entloss,TimestepsSoFar,AttC,MtR,entropy,meankl,optimgain,EpisodesSoFar,AttNC,TtR,Fce,surrgain,TimeElapsed
0.0,3289981,0.5,24.03533211725828,0.4074019,0.0031815018,0.0019354433,14400,2.5,125.4,0.16719999999999996,0.0019354433,12159.423169374466
0.0,3299981,0.55,24.160370948111765,0.38680828,0.00435117,0.0023886664,14440,2.45,130.05,0.17339999999999997,0.0023886664,12190.867700576782
0.0,3309981,0.425,25.536310049135892,0.36908227,0.006317756,0.0029199186,14480,2.575,135.225,0.1803,0.0029199186,12218.700655460358
0.0,3319981,0.525,23.125810801715136,0.3747553,0.005175184,0.0026179175,14520,2.475,121.05,0.1614,0.0026179175,12248.617454528809
0.0,3329981,0.6,22.090238906145878,0.33700487,0.0071784933,0.003195396,14560,2.4,117.975,0.1573,0.003195396,12278.649091720581
0.0,3339981,0.65,24.282591967321025,0.31430364,0.0050167684,0.0020351268,14600,2.35,127.5,0.17,0.0020351268,12307.125671625137
0.0,3349988,0.7317073170731707,24.096496243242665,0.27618715,0.005340315,0.0025829854,14641,2.268292682926829,128.70731707317074,0.17499651567944252,0.0025829854,12335.844582796097
0.0,3359988,0.575,24.387282693349142,0.24075311,0.0053529344,0.0025640083,14681,2.425,127.2,0.1696,0.0025640083,12366.955352067947
0.0,3369988,0.25,27.91834755358492,0.2587433,0.0055180127,0.0023699438,14721,2.75,150.675,0.2009,0.0023699438,12395.439181089401
0.0,3379997,0.36585365853658536,26.13000274405166,0.22698945,0.0053713326,0.002373186,14762,2.6341463414634148,139.7560975609756,0.18634146341463417,0.002373186,12426.592025518417
0.0,3389997,0.3,24.982493205731103,0.21519564,0.004036839,0.0019053416,14802,2.7,133.125,0.17749999999999994,0.0019053416,12456.178065538406
0.0,3399997,0.25,26.400865048344297,0.19558184,0.0044915145,0.0026684906,14842,2.75,142.05,0.18939999999999996,0.0026684906,12486.38716006279
0.0,3409997,0.275,26.36758413664152,0.18351708,0.003888328,0.0019502838,14882,2.725,140.475,0.1873,0.0019502838,12515.717739343643
0.0,3419754,0.3,25.72376352397215,0.14157794,0.004526642,0.0018268836,14922,2.7,137.325,0.18309999999999998,0.0018268836,12544.03954577446
0.0,3429754,0.375,24.59527721084591,0.14671338,0.004831665,0.0026136262,14962,2.625,128.7,0.17160000000000003,0.0026136262,12573.853960037231
0.0,3439754,0.25,24.88231566197816,0.15969688,0.0040762513,0.0020256776,15002,2.75,134.025,0.17869999999999994,0.0020256776,12602.981112957
0.0,3449754,0.1,28.785200366365935,0.16189453,0.0033409258,0.001426653,15042,2.9,155.7,0.2076,0.001426653,12633.199890851974
0.0,3459754,0.3,26.114667017309444,0.122222774,0.0059745037,0.0018779322,15082,2.7,141.45,0.18860000000000005,0.0018779322,12662.8322057724
0.0,3469754,0.15,26.652067117814607,0.14906998,0.0043421774,0.0019129211,15122,2.85,141.6,0.18880000000000002,0.0019129211,12689.966722726822
0.0,3479754,0.325,26.944028309462265,0.10324796,0.0067418367,0.0024678197,15162,2.675,142.5,0.18999999999999997,0.0024678197,12720.259851932526
