entloss,meankl,Tmt,Tmc,AttNC,TimeElapsed,AttC,TtR,MpbtN,MpbtA,entropy,TimestepsSoFar,MtR,Tbt,optimgain,surrgain,EpisodesSoFar,Ptt
0.0,0.002647671,61.8,43.2,2.466666666666667,8663.371349096298,7.533333333333333,-192.33333333333334,31.058621523171322,68.94137847682866,0.3899253,289934,-12.978225585078304,253132.8,0.002738057,0.002738057,3510,60.18952832138519
0.0,0.0032762466,62.03333333333333,43.0,2.466666666666667,8829.245266914368,7.533333333333333,-196.33333333333334,31.754331611746128,68.24566838825386,0.41456774,299936,-13.148403441881614,254088.53333333333,0.0031466295,0.0031466295,3570,60.391963835952225
0.0,0.0027899647,62.950819672131146,42.0,1.3934426229508197,9005.554465770721,8.60655737704918,-215.24590163934425,34.06923754542545,65.93076245457458,0.4121282,309832,-13.7852610636681,257846.55737704918,0.0027876196,0.0027876196,3631,61.30312811866313
0.0,0.0041701146,63.152542372881356,41.847457627118644,2.288135593220339,9178.594158172607,7.711864406779661,-207.11864406779662,32.72181407862997,67.27818592137005,0.38517913,319810,-13.492317938478164,258672.81355932204,0.0035361466,0.0035361466,3690,61.46442284168132
0.0,0.00261614,62.59322033898305,42.389830508474574,3.2711864406779663,9349.905388832092,6.728813559322034,-191.35593220338984,30.678678609072367,69.32132139092765,0.3895529,329908,-12.920783574041915,256381.83050847458,0.0024788668,0.0024788668,3749,60.94637602388846
0.0,0.0027730376,61.6,43.4,3.316666666666667,9535.937463998795,6.683333333333334,-190.5,30.709769732463858,69.29023026753612,0.3899685,339938,-12.883859868627805,252313.6,0.0026049707,0.0026049707,3809,60.004226724418615
0.0,0.0028729788,63.93103448275862,41.01724137931034,2.689655172413793,9703.430653333664,7.310344827586207,-203.79310344827587,31.743436961288857,68.25656303871112,0.40372628,349916,-13.591935577908274,261861.5172413793,0.0031111785,0.0031111785,3867,62.230896492963396
0.0,0.0025558912,61.45,43.53333333333333,2.433333333333333,9893.321700811386,7.566666666666666,-189.16666666666666,30.734424993785254,69.26557500621472,0.39846545,359930,-12.7073488859058,251699.2,0.0024732656,0.0024732656,3927,59.871199550843336
0.0,0.0031499665,61.18333333333333,43.833333333333336,2.6,10056.163575410843,7.4,-180.33333333333334,29.40414106491779,70.59585893508219,0.4036139,369946,-12.157479742135452,250606.93333333332,0.0033138352,0.0033138352,3987,59.60436403636292
0.0,0.0023164887,62.53333333333333,42.46666666666667,2.5,10232.926993608475,7.5,-201.33333333333334,31.998138769163106,68.0018612308369,0.41732743,379975,-13.423574761012203,256136.53333333333,0.002484353,0.002484353,4047,60.884672418417466
0.0,0.0025871042,61.91525423728814,43.101694915254235,2.135593220338983,10397.285165548325,7.864406779661017,-206.27118644067798,33.26779412871571,66.7322058712843,0.41994572,389962,-13.59988829876517,253604.88135593222,0.0029080745,0.0029080745,4106,60.29042616726336
0.0,0.003928602,63.271186440677965,41.69491525423729,3.0,10581.724338769913,7.0,-187.6271186440678,29.553527679735105,70.44647232026492,0.42427382,399862,-12.465853672157074,259158.77966101695,0.0030854086,0.0030854086,4165,61.59579595868448
0.0,0.0038200635,62.728813559322035,42.220338983050844,1.4915254237288136,10751.901918172836,8.508474576271187,-204.40677966101694,32.48008816330076,67.51991183669921,0.43797642,410000,-13.012925547960933,256937.22033898305,0.0033358538,0.0033358538,4224,61.096626064824825
0.0,0.0043904926,62.03333333333333,42.95,1.75,10927.986159563065,8.25,-208.33333333333334,33.45899393339012,66.54100606660988,0.4027844,419995,-13.4960067684907,254088.53333333333,0.0029258172,0.0029258172,4284,60.41996880065338
0.0,0.0028871205,62.66101694915254,42.33898305084746,3.016949152542373,11093.054735898972,6.983050847457627,-205.42372881355934,32.614500630641395,67.38549936935863,0.40149507,429854,-13.697442468511305,256659.5254237288,0.0033331027,0.0033331027,4343,61.00262398707362
0.0,0.002614519,62.67796610169491,42.30508474576271,2.9661016949152543,11269.459201097488,7.033898305084746,-193.5593220338983,30.811923780032398,69.1880762199676,0.4024085,439830,-13.31102080088208,256728.94915254237,0.002596349,0.002596349,4402,61.02818186459407
0.0,0.0039850133,61.233333333333334,43.75,2.5166666666666666,11438.083802938461,7.483333333333333,-184.0,29.972333864027043,70.02766613597296,0.41302872,449960,-12.51264227692611,250811.73333333334,0.003648926,0.003648926,4462,59.667186126466845
0.0,0.0030433747,62.6,42.38333333333333,2.6166666666666667,11626.003666639328,7.383333333333334,-183.16666666666666,29.328902816213994,70.671097183786,0.41801578,459982,-12.42536978496707,256409.6,0.0028825782,0.0028825782,4522,60.956103748846104
0.0,0.0036456129,62.610169491525426,42.355932203389834,2.3389830508474576,11786.37460231781,7.661016949152542,-201.35593220338984,32.036383304943904,67.9636166950561,0.43497616,469831,-13.307420190356241,256451.25423728814,0.003746638,0.003746638,4581,60.975921449476154
