meankl,EpisodesSoFar,Ptt,AttNC,AttC,surrgain,entloss,TtR,optimgain,entropy,MtR,Tmt,Tmc,Tbt,TimeElapsed,MpbtN,TimestepsSoFar,MpbtA
0.008803101,17506,79.3461112099272,0.7142857142857143,0.2857142857142857,0.0038617356,0.0,-63.45238095238095,0.0038617356,0.14579344,-36.79965740928563,81.57142857142857,22.404761904761905,334116.5714285714,47005.612166166306,77.80269320745504,3629912,22.197306792544975
0.009378305,17545,79.81575249611943,0.9230769230769231,0.07692307692307693,0.0034096222,0.0,-63.205128205128204,0.0034096222,0.16375262,-35.72610463555337,82.05128205128206,21.897435897435898,336082.0512820513,47112.12501335144,77.0247407629075,3639991,22.975259237092498
0.01078687,17584,80.104002678588,0.9743589743589743,0.02564102564102564,0.00413681,0.0,-64.3076923076923,0.00413681,0.17709497,-36.987194947358276,82.35897435897436,21.58974358974359,337342.358974359,47214.49913764,78.05266309766755,3649763,21.94733690233247
0.008822877,17628,80.40092633733038,0.7954545454545454,0.20454545454545456,0.008989276,0.0,-65.06818181818181,0.008989276,0.15080123,-39.01135469127398,82.70454545454545,21.272727272727273,338757.8181818182,47331.07868862152,78.59780058669934,3659751,21.40219941330065
0.00944426,17668,80.47192921339699,0.95,0.05,0.0020628877,0.0,-64.025,0.0020628877,0.15056287,-36.238870372399305,82.8,21.2,339148.8,47434.9220495224,77.29819371289821,3669980,22.701806287101814
0.009095443,17706,79.28808477024025,0.868421052631579,0.13157894736842105,0.0025603394,0.0,-63.421052631578945,0.0025603394,0.13743962,-35.75817002165992,81.52631578947368,22.473684210526315,333931.7894736842,47541.074974775314,77.79736711206328,3679753,22.202632887936705
0.010153894,17745,79.55746518568463,0.9230769230769231,0.07692307692307693,0.003776876,0.0,-63.333333333333336,0.003776876,0.15698268,-35.76065912995216,81.7948717948718,22.17948717948718,335031.7948717949,47645.894299030304,77.39867639607381,3689801,22.601323603926186
0.010184146,17784,79.8481995532414,0.8717948717948718,0.1282051282051282,0.0032798247,0.0,-63.43589743589744,0.0032798247,0.1525971,-36.27158746612322,82.12820512820512,21.871794871794872,336397.1282051282,47749.315386772156,77.22574863582346,3699768,22.774251364176546
0.008659816,17824,79.81204644051346,0.875,0.125,0.0050900574,0.0,-63.475,0.0050900574,0.13581324,-36.53446039385846,82.05,21.9,336076.8,47856.634442806244,77.30040237132114,3709912,22.699597628678863
0.008892236,17861,79.45012275876498,0.972972972972973,0.02702702702702703,0.004136511,0.0,-61.945945945945944,0.004136511,0.14107098,-34.54340486173667,81.70270270270271,22.2972972972973,334654.2702702703,47961.14370203018,75.7544971820287,3719891,24.245502817971303
0.009311644,17899,79.45498734542896,0.8947368421052632,0.10526315789473684,0.006380118,0.0,-63.05263157894737,0.006380118,0.13855134,-35.077684346005974,81.6842105263158,22.289473684210527,334578.5263157895,48065.240658283234,77.20043215533504,3729862,22.79956784466498
0.011100606,17937,80.16840691198445,1.0,0.0,0.007023656,0.0,-64.10526315789474,0.007023656,0.16019443,-36.322466128825184,82.47368421052632,21.526315789473685,337812.2105263158,48169.741035461426,77.72014791973952,3739864,22.27985208026048
0.009773072,17976,79.06150754061088,0.8974358974358975,0.10256410256410256,0.004845134,0.0,-62.794871794871796,0.004845134,0.15307018,-36.03521482206506,81.28205128205128,22.71794871794872,332931.28205128206,48276.55696225166,77.22709592849229,3749885,22.77290407150772
0.010510331,18014,79.79765014130683,0.868421052631579,0.13157894736842105,0.004625601,0.0,-63.1578947368421,0.004625601,0.1648747,-35.632045444309796,82.05263157894737,21.92105263157895,336087.5789473684,48380.55391740799,76.98220932876212,3759741,23.01779067123787
0.008894719,18056,79.32934372988966,0.7380952380952381,0.2619047619047619,0.003035355,0.0,-63.5,0.003035355,0.16032284,-36.006261577463775,81.57142857142857,22.428571428571427,334116.5714285714,48491.1563744545,77.86616534994663,3769883,22.133834650053352
0.007547382,18096,79.38116803125159,0.825,0.175,0.00362295,0.0,-63.0,0.00362295,0.14595625,-36.09935228799192,81.625,22.375,334336.0,48600.023617744446,77.18397409647609,3780000,22.8160259035239
0.009487863,18135,80.69452350322662,0.8205128205128205,0.1794871794871795,0.0035924236,0.0,-64.74358974358974,0.0035924236,0.14194256,-37.248222606259844,82.97435897435898,20.94871794871795,339862.9743589744,48705.73638701439,78.00757672273346,3789774,21.992423277266532
