EpisodesSoFar,meankl,AttC,entropy,MtR,entloss,surrgain,AttNC,TimeElapsed,TimestepsSoFar,TtR,Fce,optimgain
13004,0.0032657601,0.06976744186046512,0.36776754,15.647748703294214,0.0,0.004607246,0.9302325581395349,10546.153205633163,2739813,27.325581395348838,0.10930232558139537,0.004607246
13048,0.004145481,0.09090909090909091,0.3924216,14.784735299525817,0.0,0.004536758,0.9090909090909091,10586.902333021164,2749817,26.09090909090909,0.1043636363636364,0.004536758
13091,0.0056802565,0.06976744186046512,0.4121255,16.032352012007706,0.0,0.0049012913,0.9302325581395349,10625.505306243896,2759820,27.72093023255814,0.11088372093023255,0.0049012913
13135,0.0043012183,0.09090909090909091,0.39442742,15.174980699313194,0.0,0.004066333,0.9090909090909091,10661.082293272018,2769828,26.5,0.10600000000000001,0.004066333
13177,0.0026155289,0.047619047619047616,0.39541999,16.587300553483153,0.0,0.0037763978,0.9523809523809523,10699.670701742172,2779830,28.904761904761905,0.11561904761904764,0.0037763978
13222,0.0030294247,0.1111111111111111,0.3807342,15.746226222506087,0.0,0.0035396058,0.8888888888888888,10735.652811050415,2789839,28.08888888888889,0.11235555555555557,0.0035396058
13267,0.0034291588,0.1111111111111111,0.34534058,15.126464019594364,0.0,0.0047894646,0.8888888888888888,10771.675060510635,2799844,26.844444444444445,0.1073777777777778,0.0047894646
13312,0.0045075025,0.1111111111111111,0.31835476,15.237406020133612,0.0,0.0039011703,0.8888888888888888,10813.048988580704,2809849,26.333333333333332,0.10533333333333333,0.0039011703
13355,0.004344817,0.06976744186046512,0.32116818,15.990401312278815,0.0,0.0046049715,0.9302325581395349,10847.989331483841,2819854,28.0,0.112,0.0046049715
13396,0.00400017,0.024390243902439025,0.343136,16.758741864690492,0.0,0.0039455323,0.975609756097561,10887.292383670807,2829855,29.317073170731707,0.11726829268292686,0.0039455323
13437,0.003964817,0.024390243902439025,0.3604737,16.76750951328013,0.0,0.004938893,0.975609756097561,10922.987734079361,2839856,29.0,0.11600000000000005,0.004938893
13477,0.0031883067,0.0,0.3656158,16.97440670569748,0.0,0.0050887694,1.0,10956.688279151917,2849856,30.125,0.12050000000000005,0.0050887694
13518,0.0038403943,0.024390243902439025,0.3307798,16.642963426019,0.0,0.0048910324,0.975609756097561,10997.036519527435,2859857,28.78048780487805,0.11512195121951226,0.0048910324
13561,0.0047634547,0.06976744186046512,0.35269186,15.964020834606186,0.0,0.0058379183,0.9302325581395349,11033.710413455963,2869862,28.023255813953487,0.11209302325581398,0.0058379183
13603,0.0035118912,0.047619047619047616,0.37138447,16.453837022604066,0.0,0.0055811587,0.9523809523809523,11070.753564119339,2879864,28.428571428571427,0.11371428571428575,0.0055811587
13645,0.0031264175,0.047619047619047616,0.38112283,17.959818748977245,0.0,0.0044920286,0.9523809523809523,11110.452644109726,2889866,31.19047619047619,0.12476190476190478,0.0044920286
13687,0.003989616,0.047619047619047616,0.4203943,16.301657605253574,0.0,0.005127112,0.9523809523809523,11144.505771398544,2899868,28.571428571428573,0.11428571428571428,0.005127112
13728,0.003019312,0.024390243902439025,0.41669902,18.40143750528483,0.0,0.00455387,0.975609756097561,11182.711987495422,2909869,31.951219512195124,0.1278048780487805,0.00455387
13771,0.002793899,0.06976744186046512,0.42765468,17.269378620794384,0.0,0.004275824,0.9302325581395349,11219.632398366928,2919872,30.348837209302324,0.12139534883720934,0.004275824
13814,0.0037685013,0.06976744186046512,0.4166269,16.55843646266353,0.0,0.005296358,0.9302325581395349,11256.099204778671,2929875,29.325581395348838,0.11730232558139536,0.005296358
13863,0.0054399567,0.1836734693877551,0.4495127,15.066107105938151,0.0,0.006010306,0.8163265306122449,11294.503297328949,2939884,26.46938775510204,0.10587755102040818,0.006010306
13906,0.003780445,0.06976744186046512,0.43884364,17.679713715216938,0.0,0.0048542526,0.9302325581395349,11330.95562005043,2949893,30.88372093023256,0.12676411960132894,0.0048542526
13951,0.0029163444,0.1111111111111111,0.43139574,16.13329534989276,0.0,0.0036611191,0.8888888888888888,11368.31523489952,2959898,28.31111111111111,0.11324444444444448,0.0036611191
13992,0.0041395524,0.024390243902439025,0.44997823,17.61886053740373,0.0,0.0055508697,0.975609756097561,11406.564525604248,2969899,31.0,0.12400000000000004,0.0055508697
14035,0.0045707575,0.06976744186046512,0.47859663,17.387083739744398,0.0,0.0047744536,0.9302325581395349,11444.769969463348,2979902,30.627906976744185,0.12251162790697674,0.0047744536
14080,0.003391785,0.1111111111111111,0.46806544,16.95875687459703,0.0,0.0049410746,0.8888888888888888,11478.50309062004,2989907,29.444444444444443,0.11777777777777779,0.0049410746
14126,0.0036545994,0.13043478260869565,0.47408745,16.355943975636492,0.0,0.0053006755,0.8695652173913043,11516.332149744034,2999913,28.73913043478261,0.11495652173913048,0.0053006755
