EpisodesSoFar,entloss,TimeElapsed,MtR,AttC,Fce,TtR,entropy,AttNC,surrgain,meankl,TimestepsSoFar,optimgain
8239,0.0,5513.443223953247,21.286961195866027,0.0,0.15050000000000002,37.625,-0.019061742,1.0,0.004398192,0.0065864655,1769776,0.004398192
8279,0.0,5544.166506290436,19.630948019572838,0.0,0.138,34.5,-0.017405532,1.0,0.003211113,0.0064411117,1779776,0.003211113
8320,0.0,5574.5458998680115,20.71681174447951,0.024390243902439025,0.14478048780487804,36.19512195121951,-0.042584002,0.975609756097561,0.0049711205,0.0065354444,1789777,0.0049711205
8360,0.0,5605.46265745163,20.68839852032435,0.0,0.14559999999999998,36.4,-0.061874785,1.0,0.0056543383,0.0077613695,1799777,0.0056543383
8400,0.0,5635.802993297577,19.830909859930777,0.0,0.14040000000000002,35.1,-0.05763414,1.0,0.004427194,0.0072867544,1809777,0.004427194
8441,0.0,5666.374148130417,20.541987088480987,0.024390243902439025,0.1431219512195122,35.78048780487805,-0.04070474,0.975609756097561,0.0051584793,0.008496603,1819778,0.0051584793
8483,0.0,5697.00385761261,19.225134704819943,0.047619047619047616,0.1365714285714286,34.142857142857146,-0.03778904,0.9523809523809523,0.0037701477,0.0054968838,1829780,0.0037701477
8524,0.0,5727.359400033951,21.835813434515277,0.024390243902439025,0.15073170731707317,37.68292682926829,-0.05052233,0.975609756097561,0.0048420737,0.0075165993,1839781,0.0048420737
8564,0.0,5758.56888461113,19.8548753267281,0.0,0.13920000000000002,34.8,-0.0716251,1.0,0.00456528,0.0067873946,1849781,0.00456528
8605,0.0,5789.04040312767,21.963833702227724,0.024390243902439025,0.15356385918538987,38.170731707317074,-0.05460739,0.975609756097561,0.0049022036,0.006767179,1859984,0.0049022036
8645,0.0,5819.783248186111,21.67249672128387,0.0,0.15100000000000002,37.75,-0.05598621,1.0,0.004315466,0.0070247576,1869984,0.004315466
8685,0.0,5850.280658960342,21.716159998094156,0.0,0.15080000000000005,37.7,-0.063857935,1.0,0.002964946,0.0060652313,1879984,0.002964946
8725,0.0,5881.73970746994,21.509481302784174,0.0,0.15140000000000003,37.85,-0.08110906,1.0,0.0035217095,0.0046355254,1889984,0.0035217095
8766,0.0,5912.652628421783,20.856942460978498,0.024390243902439025,0.14692682926829267,36.73170731707317,-0.08101653,0.975609756097561,0.004222876,0.0059410385,1899985,0.004222876
8807,0.0,5943.3201270103455,20.05688087729657,0.024390243902439025,0.13941463414634148,34.853658536585364,-0.098575845,0.975609756097561,0.0050911894,0.007486003,1909986,0.0050911894
8847,0.0,5973.706451892853,20.54122152253502,0.0,0.14509999999999998,36.275,-0.113990724,1.0,0.0035810422,0.005513931,1919986,0.0035810422
8887,0.0,6004.5471115112305,20.221686804374666,0.0,0.1446,36.15,-0.106888525,1.0,0.0054870145,0.00712041,1929986,0.0054870145
8928,0.0,6035.279321670532,20.153465659103837,0.024390243902439025,0.14146341463414636,35.36585365853659,-0.09009851,0.975609756097561,0.004037436,0.0066410853,1939987,0.004037436
8969,0.0,6065.8102242946625,20.11270077805281,0.024390243902439025,0.1406829268292683,35.170731707317074,-0.07788094,0.975609756097561,0.003973983,0.0062530874,1949988,0.003973983
9009,0.0,6096.498482465744,20.69286552246067,0.0,0.14739999999999998,36.85,-0.0796444,1.0,0.0025985688,0.0049609975,1959988,0.0025985688
9049,0.0,6127.3970420360565,21.917932081501547,0.0,0.1538,38.45,-0.02349375,1.0,0.0047323587,0.0065820785,1969988,0.0047323587
9090,0.0,6158.201197862625,20.521275034645853,0.024390243902439025,0.14321951219512194,35.80487804878049,-0.0133628845,0.975609756097561,0.0048794323,0.006206104,1979989,0.0048794323
9132,0.0,6189.014096260071,19.855670157858032,0.047619047619047616,0.13819047619047622,34.54761904761905,-0.014082361,0.9523809523809523,0.005265751,0.0063217287,1989991,0.005265751
9174,0.0,6219.67005944252,19.937409122976025,0.047619047619047616,0.14133333333333334,35.333333333333336,-0.048020925,0.9523809523809523,0.005365703,0.0070293867,1999993,0.005365703
9215,0.0,6250.488734483719,20.331470228775597,0.024390243902439025,0.1420487804878049,35.51219512195122,-0.043776944,0.975609756097561,0.005300685,0.006781995,2009994,0.005300685
9255,0.0,6281.480720043182,20.66779371888095,0.0,0.1476,36.9,-0.061370842,1.0,0.0049738144,0.0065486664,2019994,0.0049738144
9295,0.0,6312.4265813827515,20.24917287128195,0.0,0.1431,35.775,-0.047880672,1.0,0.0045129866,0.0060369773,2029994,0.0045129866
9335,0.0,6343.195148229599,21.933614209058348,0.0,0.15320000000000003,38.3,-0.04210707,1.0,0.0058023124,0.007907987,2039994,0.0058023124
9377,0.0,6374.639317989349,20.363294137995574,0.047619047619047616,0.14219047619047617,35.54761904761905,-0.025542319,0.9523809523809523,0.004542762,0.0069284257,2049996,0.004542762
9417,0.0,6405.60999417305,20.84408893356298,0.0,0.1456,36.4,0.0051014423,1.0,0.0048870943,0.006427053,2059996,0.0048870943
9457,0.0,6436.128465414047,21.62967538042336,0.0,0.1538,38.45,0.011880843,1.0,0.0033634212,0.0053248205,2069996,0.0033634212
9497,0.0,6467.359865188599,21.56688921545698,0.0,0.15189999999999998,37.975,-0.016500497,1.0,0.0043039825,0.005757352,2079996,0.0043039825
9537,0.0,6497.816322088242,20.885451695866927,0.0,0.14750000000000005,36.875,-0.033129957,1.0,0.0035052642,0.0058778464,2089996,0.0035052642
9577,0.0,6529.098432064056,21.17679750096189,0.0,0.14930000000000002,37.325,-0.04984426,1.0,0.0047610807,0.007256884,2099996,0.0047610807
9617,0.0,6559.706463098526,20.222586353858393,0.0,0.1428,35.7,-0.056708857,1.0,0.0059659,0.0058512823,2109996,0.0059659
9658,0.0,6589.907349348068,19.95427813358446,0.024390243902439025,0.14078048780487806,35.19512195121951,-0.07960387,0.975609756097561,0.0049993074,0.005252679,2119997,0.0049993074
9698,0.0,6621.406219005585,21.96716962990352,0.0,0.15240000000000004,38.1,-0.07189693,1.0,0.006066223,0.007220243,2129997,0.006066223
9738,0.0,6651.584655284882,20.947997051704927,0.0,0.1482,37.05,-0.05926555,1.0,0.0021111695,0.003986006,2139997,0.0021111695
9780,0.0,6683.293754577637,20.49448771343263,0.047619047619047616,0.1417142857142857,35.42857142857143,-0.03177625,0.9523809523809523,0.0045467606,0.00495623,2149999,0.0045467606
9820,0.0,6713.801944255829,20.972883958530733,0.0,0.14720000000000005,36.8,-0.033864267,1.0,0.004323049,0.007141375,2159999,0.004323049
