optimgain,entloss,meankl,AttNC,AttC,MtR,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,Fce,TimeElapsed,TtR
0.0024248317,0.0,0.008241905,0.8888888888888888,0.1111111111111111,15.41266055947395,0.47860986,0.0024248317,3800,669990,0.10977777777777782,2439.355605840683,27.444444444444443
0.0015953964,0.0,0.0041083507,0.8888888888888888,0.1111111111111111,15.782884409318108,0.49396777,0.0015953964,3845,679995,0.13324444444444444,2476.3950304985046,27.77777777777778
0.0020247344,0.0,0.006604533,0.9285714285714286,0.07142857142857142,17.078181216983193,0.56387275,0.0020247344,3887,689758,0.12178354978354979,2511.9166185855865,29.928571428571427
0.0031890664,0.0,0.006571956,0.851063829787234,0.14893617021276595,16.075003564526448,0.5303674,0.0031890664,3934,699769,0.11412765957446812,2546.6675567626953,28.53191489361702
0.0036419067,0.0,0.0074405978,0.8,0.2,15.740298348163822,0.47752085,0.0036419067,3984,709789,0.11200000000000003,2584.454512119293,28.0
0.0023794742,0.0,0.00930519,0.9090909090909091,0.09090909090909091,18.81038966752393,0.45153722,0.0023794742,4028,719905,0.1337861811391223,2619.73197889328,32.81818181818182
0.0015649538,0.0,0.0062791626,0.9285714285714286,0.07142857142857142,20.394841663537278,0.43657032,0.0015649538,4070,729944,0.146939752225729,2654.9340851306915,35.73809523809524
0.0033759503,0.0,0.0060885614,0.5901639344262295,0.4098360655737705,13.515097564548395,0.4114981,0.0033759503,4131,739973,0.1523134705480213,2690.938346385956,23.131147540983605
0.0028301452,0.0,0.008829915,0.8125,0.1875,16.44577748392366,0.37618917,0.0028301452,4179,749816,0.140121067303863,2728.6259887218475,29.229166666666668
0.004355526,0.0,0.007367586,0.5614035087719298,0.43859649122807015,15.383270902657934,0.38496095,0.004355526,4236,759857,0.12944568713084786,2767.2589037418365,26.07017543859649
0.002738783,0.0,0.007663507,0.7959183673469388,0.20408163265306123,17.417241963310712,0.36747742,0.002738783,4285,769827,0.15256143536458197,2803.3075907230377,30.591836734693878
0.0015268137,0.0,0.0047002006,0.78,0.22,17.031340604823686,0.36549404,0.0015268137,4335,779930,0.1251465934192267,2837.9234099388123,29.44
0.0035250045,0.0,0.0060734316,0.9090909090909091,0.09090909090909091,17.965294703755855,0.34689677,0.0035250045,4379,789990,0.15340669856459327,2874.139368534088,32.0
0.002360104,0.0,0.0064394884,0.9302325581395349,0.06976744186046512,18.658877143002034,0.3742482,0.002360104,4422,799993,0.13376744186046513,2911.1488769054413,33.44186046511628
0.0012539948,0.0,0.0064844107,0.8666666666666667,0.13333333333333333,18.6176417174039,0.35395917,0.0012539948,4467,809763,0.1320205128205128,2953.1965997219086,32.6
0.0031087466,0.0,0.0071765035,0.851063829787234,0.14893617021276595,17.164586192788363,0.4158905,0.0031087466,4514,819770,0.12340425531914893,2987.181083202362,30.851063829787233
0.0028902984,0.0,0.007234398,0.8695652173913043,0.13043478260869565,19.05397235245083,0.36066768,0.0028902984,4560,829820,0.14359133620003187,3021.9440009593964,33.56521739130435
0.0023393068,0.0,0.008078052,0.8333333333333334,0.16666666666666666,18.1240897811123,0.3895447,0.0023393068,4608,839900,0.1296542288557214,3059.160268306732,31.958333333333332
0.0034087044,0.0,0.00928763,0.9090909090909091,0.09090909090909091,18.801207895737736,0.4005318,0.0034087044,4652,849914,0.13479338842975205,3098.4920630455017,33.20454545454545
0.0021992463,0.0,0.007830121,0.9302325581395349,0.06976744186046512,18.37747444532791,0.32465056,0.0021992463,4695,859917,0.12744186046511627,3136.698730945587,31.86046511627907
0.001676538,0.0,0.0077077164,0.9090909090909091,0.09090909090909091,17.729407419357884,0.271988,0.001676538,4739,869923,0.12527272727272729,3179.9085993766785,31.318181818181817
0.005208168,0.0,0.0092121875,0.9090909090909091,0.09090909090909091,18.205125230758366,0.24549238,0.005208168,4783,879929,0.12690909090909092,3215.5370543003082,31.727272727272727
0.0019727054,0.0,0.0071773026,0.9523809523809523,0.047619047619047616,18.473508614738233,0.25943452,0.0019727054,4825,889931,0.12847619047619052,3249.935302257538,32.11904761904762
