EpisodesSoFar,surrgain,AttNC,TtR,Fce,meankl,TimeElapsed,entloss,AttC,MtR,entropy,TimestepsSoFar,optimgain
1755,0.0014013042,1.446808510638298,84.44680851063829,0.14866653263025773,0.004666358,1481.7778060436249,0.0,1.553191489361702,16.198389622433538,1.2414961,359851,0.0014013042
1799,0.0010399475,1.6818181818181819,96.81818181818181,0.13487649061262758,0.0036304132,1527.3462841510773,0.0,1.3181818181818181,18.483686067729934,1.2433981,369874,0.0010399475
1852,0.0014884104,1.2075471698113207,81.62264150943396,0.132320400381068,0.0037639027,1567.5850548744202,0.0,1.7924528301886793,16.03047218567598,1.2560315,379990,0.0014884104
1899,0.0009914875,1.1914893617021276,92.42553191489361,0.14111438225328266,0.004026529,1609.4111132621765,0.0,1.8085106382978724,18.005356478579518,1.2437847,389942,0.0009914875
1961,0.00082236127,0.8548387096774194,67.35483870967742,0.13785749974129916,0.0024533116,1650.1008474826813,0.0,2.1451612903225805,13.401734532204841,1.2434074,399769,0.00082236127
2009,0.0011338384,1.2291666666666667,93.1875,0.1638110127169951,0.003955023,1692.0977563858032,0.0,1.7708333333333333,17.817597526070973,1.2231004,409961,0.0011338384
2055,0.0009961431,1.3695652173913044,90.32608695652173,0.13363724419336145,0.0027143855,1733.4386315345764,0.0,1.6304347826086956,17.474499506562985,1.237358,419876,0.0009961431
2101,0.0013821259,1.3478260869565217,93.0,0.13744414889944012,0.003623971,1773.669225692749,0.0,1.6521739130434783,17.9698217351727,1.2386448,429761,0.0013821259
2145,0.0010748464,1.3181818181818181,96.88636363636364,0.13164433811802234,0.0034358876,1818.3243577480316,0.0,1.6818181818181819,18.204847328388144,1.2152909,439829,0.0010748464
2189,0.0015646074,1.5681818181818181,100.1590909090909,0.14097062295992777,0.0068277395,1859.733183145523,0.0,1.4318181818181819,18.894159760995343,1.1973459,449943,0.0015646074
2234,0.0011458343,1.3333333333333333,90.6,0.12845699485699488,0.0049687703,1903.2138681411743,0.0,1.6666666666666667,17.249150423574694,1.2259651,459779,0.0011458343
2279,0.001331067,1.4666666666666666,89.33333333333333,0.12733660413660416,0.004194198,1943.7949075698853,0.0,1.5333333333333334,17.030746572101812,1.225505,469830,0.001331067
2323,0.0011105795,1.3863636363636365,97.56818181818181,0.1556969696969697,0.0035684707,1989.749971628189,0.0,1.6136363636363635,18.657747441822668,1.2168491,479914,0.0011105795
2365,0.0010550399,1.5714285714285714,101.78571428571429,0.13571428571428573,0.0039814506,2031.370553970337,0.0,1.4285714285714286,19.720343585341517,1.2331553,489920,0.0010550399
2411,0.000705779,1.0869565217391304,95.73913043478261,0.15846620720950674,0.0017946665,2076.2460975646973,0.0,1.9130434782608696,18.29371768247325,1.2328563,499783,0.000705779
2456,0.0006909147,1.0888888888888888,96.33333333333333,0.14216006381472218,0.0016636419,2116.5489642620087,0.0,1.9111111111111112,18.298999696435818,1.2424852,509972,0.0006909147
2505,0.00089251966,1.1428571428571428,91.95918367346938,0.13409090789882028,0.0039934465,2158.598003387451,0.0,1.8571428571428572,17.86499638344412,1.2221682,519896,0.00089251966
2551,0.0012520569,1.1956521739130435,95.80434782608695,0.15214624491038917,0.0031325268,2201.158853292465,0.0,1.8043478260869565,18.394509173615187,1.2038469,529773,0.0012520569
2594,0.0011912974,1.4186046511627908,103.18604651162791,0.14662697654648504,0.003580768,2242.881199836731,0.0,1.5813953488372092,20.001640792561968,1.2086853,539952,0.0011912974
2636,0.0014104375,1.1666666666666667,98.71428571428571,0.13869784692400453,0.0039240434,2287.5800178050995,0.0,1.8333333333333333,18.93376694585844,1.2031925,549875,0.0014104375
2683,0.0013013728,1.2340425531914894,90.76595744680851,0.13063012526341689,0.0030126155,2328.30139708519,0.0,1.7659574468085106,17.332826976526846,1.1895305,559924,0.0013013728
2729,0.001651988,1.0434782608695652,94.5,0.13980734776582338,0.0050653755,2369.960695028305,0.0,1.9565217391304348,18.023302976596245,1.2057307,569897,0.001651988
2779,0.0018559484,0.86,93.06,0.15098606795361832,0.005583783,2411.179223060608,0.0,2.14,18.042744652563595,1.202839,579908,0.0018559484
2822,0.0010655706,1.255813953488372,100.53488372093024,0.14014975115885128,0.0033678142,2453.0489213466644,0.0,1.744186046511628,19.05075755410084,1.1862928,589977,0.0010655706
2866,0.0011649831,1.2954545454545454,99.06818181818181,0.13452525252525255,0.003937088,2493.3739223480225,0.0,1.7045454545454546,18.81302282960217,1.1860905,599991,0.0011649831
2907,0.0009533953,1.2926829268292683,103.2439024390244,0.14005574912891988,0.0026928426,2535.298625230789,0.0,1.7073170731707317,19.888073286086296,1.1973432,609777,0.0009533953
2950,0.0009420343,1.3255813953488371,103.25581395348837,0.1396875372689326,0.0026881923,2575.2791159152985,0.0,1.6744186046511629,19.734973291768327,1.1877012,619836,0.0009420343
2995,0.0012120204,1.3777777777777778,99.53333333333333,0.14053184989996587,0.0032340486,2617.4973809719086,0.0,1.6222222222222222,18.909866342449455,1.1803775,629885,0.0012120204
3047,0.0011127463,1.1346153846153846,89.13461538461539,0.13914046069196478,0.003352191,2657.4810135364532,0.0,1.8653846153846154,17.3196591983886,1.1617317,639930,0.0011127463
3105,0.0018686838,0.896551724137931,76.70689655172414,0.1385514356555958,0.0068772486,2698.39697432518,0.0,2.103448275862069,15.319080528188003,1.1566948,649842,0.0018686838
3149,0.00093905895,1.2954545454545454,100.9090909090909,0.14278582930756845,0.002212743,2740.521504163742,0.0,1.7045454545454546,19.444278528297243,1.1685138,659904,0.00093905895
3194,0.0013721781,1.2444444444444445,102.33333333333333,0.1464044470731038,0.0038522114,2781.4832756519318,0.0,1.7555555555555555,19.62275368617241,1.1429554,669834,0.0013721781
3241,0.0018103742,1.148936170212766,90.51063829787235,0.12719486659912194,0.004096296,2822.3730762004852,0.0,1.851063829787234,17.528373033212862,1.1225437,679915,0.0018103742
3281,0.0012331565,1.325,111.075,0.14810000000000004,0.0028197898,2862.8418436050415,0.0,1.675,21.090394116098118,1.133289,689915,0.0012331565
3329,0.0016340007,0.8958333333333334,96.4375,0.14518779750027658,0.0046160948,2905.021107673645,0.0,2.1041666666666665,18.6215018227641,1.1660041,699925,0.0016340007
3372,0.0011838718,1.1627906976744187,102.69767441860465,0.141520728008089,0.0036277936,2944.86910200119,0.0,1.8372093023255813,19.599962043832335,1.1298683,709970,0.0011838718
3415,0.0014186648,1.4883720930232558,97.74418604651163,0.13851877548615973,0.0035781958,2986.617335796356,0.0,1.5116279069767442,18.865478245938906,1.142457,719874,0.0014186648
3461,0.0014372263,1.673913043478261,99.71739130434783,0.1405711776146559,0.0042216224,3026.45698094368,0.0,1.326086956521739,18.97513467567878,1.1159817,729958,0.0014372263
3505,0.0014368673,1.4318181818181819,100.22727272727273,0.13823163473036157,0.0034707955,3067.015976190567,0.0,1.5681818181818181,19.073962401533066,1.087448,739935,0.0014368673
3549,0.0013079076,1.6136363636363635,95.38636363636364,0.13567810831426394,0.0040703113,3107.5918352603912,0.0,1.3863636363636365,18.553445372576576,1.0837393,749826,0.0013079076
3593,0.0008159495,1.5454545454545454,99.88636363636364,0.13916722408026758,0.0019766449,3148.4969503879547,0.0,1.4545454545454546,18.935590960463834,1.0742761,759898,0.0008159495
3637,0.0013607198,1.4772727272727273,100.97727272727273,0.1478643255771969,0.0036427162,3189.5229229927063,0.0,1.5227272727272727,19.521731963838963,1.0527825,769913,0.0013607198
3682,0.0016506267,1.5555555555555556,100.86666666666666,0.1386409854423292,0.003936833,3229.5310842990875,0.0,1.4444444444444444,19.1020765809432,1.0267934,779992,0.0016506267
3726,0.0020372174,1.4090909090909092,99.68181818181819,0.13801145912910617,0.005065098,3271.0118713378906,0.0,1.5909090909090908,19.09593963876472,1.0034336,789843,0.0020372174
3775,0.0019215007,1.2244897959183674,95.38775510204081,0.14154274191350943,0.005178382,3312.5115809440613,0.0,1.7755102040816326,18.31722206707037,0.96592844,799891,0.0019215007
3821,0.0013303065,1.565217391304348,103.43478260869566,0.15051893907755745,0.007979254,3354.2746472358704,0.0,1.434782608695652,19.523830072291144,0.953124,809916,0.0013303065
