TimestepsSoFar,AttNC,MtR,EpisodesSoFar,entloss,meankl,Fce,entropy,TimeElapsed,AttC,TtR,optimgain,surrgain
3219995,10.0,142.8784238871937,13452,0.0,0.01017476,1.0,-0.23450233,35675.725697517395,0.0,2500.0,0.00036348947,0.00036348947
3229995,10.0,142.8784238871937,13492,0.0,0.008933204,1.0,-0.13691494,35773.314100027084,0.0,2500.0,0.00013322334,0.00013322334
3239995,10.0,142.8784238871937,13532,0.0,0.008933204,1.0,-0.039323818,35869.86847448349,0.0,2500.0,0.0005486146,0.0005486146
3249995,10.0,142.8784238871937,13572,0.0,0.008933034,1.0,0.0582646,35964.66755723953,0.0,2500.0,0.0010845105,0.0010845105
3259995,10.0,142.8784238871937,13612,0.0,0.008933204,1.0,0.15585366,36065.48675656319,0.0,2500.0,0.00024838417,0.00024838417
3269995,10.0,142.8784238871937,13652,0.0,0.008933204,1.0,0.25344726,36159.67475485802,0.0,2500.0,0.0003994011,0.0003994011
3279995,10.0,142.8784238871937,13692,0.0,0.008933196,1.0,0.35103282,36259.82960605621,0.0,2500.0,0.00044163835,0.00044163835
3289995,10.0,142.8784238871937,13732,0.0,0.0024602725,1.0,0.30224204,36359.19491672516,0.0,2500.0,4.088974e-06,4.088974e-06
3299995,10.0,142.8603754227942,13772,0.0,0.010174781,0.9999,0.20465058,36462.57938528061,0.0,2499.75,0.00037368358,0.00037368358
3309995,10.0,142.8784238871937,13812,0.0,0.010174781,1.0,0.10706039,36553.617235183716,0.0,2500.0,0.00039377293,0.00039377293
3319995,10.0,142.8784238871937,13852,0.0,0.008933416,1.0,0.20465077,36664.80157279968,0.0,2500.0,0.00015706077,0.00015706077
3329995,10.0,142.84796193630314,13892,0.0,0.008933204,0.9997999999999999,0.30224222,36748.988322257996,0.0,2499.5,8.4251864e-05,8.4251864e-05
3339995,10.0,142.8784238871937,13932,0.0,0.00060504675,1.0,0.2778439,36851.17959523201,0.0,2500.0,1.632595e-07,1.632595e-07
3349995,10.0,142.84738481738586,13972,0.0,0.00060504675,0.9998000000000001,0.25344735,36942.107897520065,0.0,2499.5,3.4150125e-07,3.4150125e-07
3359995,10.0,142.8784238871937,14012,0.0,0.01017476,1.0,0.1558549,37047.650975465775,0.0,2500.0,0.00062345935,0.00062345935
3369995,10.0,142.8784238871937,14052,0.0,0.010174863,1.0,0.058265682,37141.58200550079,0.0,2500.0,0.00017362312,0.00017362312
3379995,10.0,142.8784238871937,14092,0.0,0.010174781,1.0,-0.039323926,37240.598714113235,0.0,2500.0,8.3933584e-05,8.3933584e-05
3389995,10.0,142.8784238871937,14132,0.0,0.008933067,1.0,0.05826537,37333.24701619148,0.0,2500.0,0.0012790613,0.0012790613
3399995,10.0,142.8784238871937,14172,0.0,0.008933204,1.0,0.15585378,37434.70619893074,0.0,2500.0,0.00024252613,0.00024252613
3409995,10.0,142.8784238871937,14212,0.0,0.0024602725,1.0,0.107060544,37536.19153380394,0.0,2500.0,1.2940664e-05,1.2940664e-05
3419995,10.0,142.8784238871937,14252,0.0,0.008933204,1.0,0.20465083,37627.83387684822,0.0,2500.0,0.00058060157,0.00058060157
3429995,10.0,142.8784238871937,14292,0.0,0.008933196,1.0,0.30224222,37728.05488610268,0.0,2500.0,0.00022462476,0.00022462476
3439995,10.0,142.83965293702235,14332,0.0,0.010174781,0.9998000000000001,0.20465083,37824.42935681343,0.0,2499.5,7.516978e-05,7.516978e-05
3449995,10.0,142.8784238871937,14372,0.0,0.008933102,1.0,0.30224222,37917.55116581917,0.0,2500.0,8.844927e-05,8.844927e-05
3459995,10.0,142.8784238871937,14412,0.0,0.008933416,1.0,0.39983118,38014.57828474045,0.0,2500.0,0.00020435329,0.00020435329
3469995,10.0,142.8480091767852,14452,0.0,0.008933204,0.9997,0.49741605,38114.121218681335,0.0,2499.25,0.0005851154,0.0005851154
3479995,10.0,142.70841394126796,14492,0.0,0.010174863,0.9987,0.39983132,38203.422736406326,0.0,2496.75,6.1035345e-05,6.1035345e-05
3489995,10.0,142.78098485860082,14532,0.0,0.010174863,0.9993000000000001,0.3022428,38309.48891377449,0.0,2498.25,0.0005815268,0.0005815268
3499995,10.0,142.84567550256457,14572,0.0,0.010174751,0.9997,0.2046509,38402.27059864998,0.0,2499.25,0.00056558853,0.00056558853
3509995,10.0,142.8784238871937,14612,0.0,0.010174751,1.0,0.107062556,38504.92816734314,0.0,2500.0,0.0001420348,0.0001420348
3519995,10.0,142.8784238871937,14652,0.0,0.008933204,1.0,0.20465098,38594.57285261154,0.0,2500.0,0.00019079185,0.00019079185
3529995,10.0,142.85647107839236,14692,0.0,0.010174781,0.9998000000000001,0.10706258,38694.315973997116,0.0,2499.5,0.00018427643,0.00018427643
3539995,10.0,142.8784238871937,14732,0.0,0.010174871,1.0,0.009471384,38781.09092640877,0.0,2500.0,0.00022404533,0.00022404533
3549995,10.0,142.8784238871937,14772,0.0,0.010174781,1.0,-0.088119276,38882.820984601974,0.0,2500.0,0.00015738378,0.00015738378
3559995,10.0,142.8784238871937,14812,0.0,0.008933196,1.0,0.009470971,38967.29000544548,0.0,2500.0,0.00010109643,0.00010109643
3569995,10.0,142.8784238871937,14852,0.0,0.010174781,1.0,-0.0881193,39065.15513205528,0.0,2500.0,3.519018e-05,3.519018e-05
3579995,10.0,142.8784238871937,14892,0.0,0.010174781,1.0,-0.18570842,39161.70589351654,0.0,2500.0,0.00025747487,0.00025747487
