entloss,EpisodesSoFar,TimestepsSoFar,AttC,MpbtA,optimgain,AttNC,TtR,surrgain,Ptt,Tmt,MpbtN,TimeElapsed,MtR,meankl,Tbt,Tmc,entropy
0.0,3733,349959,2.0833333333333335,37.068996914218005,0.004220632,0.9166666666666666,-148.0625,0.004220632,76.30328645627262,78.33333333333333,62.93100308578201,9701.226420879364,-29.899331568342344,0.0051081236,320853.3333333333,25.6875,0.28743058
0.0,3777,359841,2.1136363636363638,38.77887614016401,0.0046691005,0.8863636363636364,-140.5909090909091,0.0046691005,74.6096249409801,76.52272727272727,61.22112385983599,9838.421457767487,-28.62496121877659,0.0053273104,313437.0909090909,27.5,0.32492733
0.0,3825,369923,2.5833333333333335,38.977695225398975,0.003543722,0.4166666666666667,-141.6875,0.003543722,75.42178169945535,77.375,61.022304774601025,9978.418430805206,-28.529544365982378,0.007022707,316928.0,26.625,0.26937258
0.0,3869,379894,1.7272727272727273,39.065851537277254,0.0031421082,1.2727272727272727,-141.27272727272728,0.0031421082,75.2834187704358,77.22727272727273,60.93414846272274,10114.921885490417,-28.689806684479038,0.004214688,316322.9090909091,26.772727272727273,0.3104789
0.0,3912,389936,1.6744186046511629,40.00473992111991,0.0026478362,1.3255813953488371,-140.30232558139534,0.0026478362,75.96215764330974,77.95348837209302,59.99526007888007,10249.948183774948,-27.956709460088494,0.0035269463,319297.488372093,26.046511627906977,0.29653847
0.0,3956,399959,1.7727272727272727,38.493049623701815,0.0036300735,1.2272727272727273,-142.63636363636363,0.0036300735,75.32427725788067,77.27272727272727,61.50695037629817,10387.041732549667,-28.541627492748468,0.004045707,316509.0909090909,26.727272727272727,0.27921426
0.0,4000,409976,1.3863636363636365,40.32151823392475,0.0042918,1.6136363636363635,-139.4318181818182,0.0042918,75.81502255289523,77.79545454545455,59.678481766075244,10520.73297739029,-28.203765432718285,0.0051139453,318650.1818181818,26.204545454545453,0.32430246
0.0,4044,419905,2.0,39.8437367739587,0.003100381,1.0,-139.97727272727272,0.003100381,75.55902408666799,77.52272727272727,60.15626322604132,10657.446823835373,-27.797876923554806,0.0041730674,317533.0909090909,26.477272727272727,0.29134652
0.0,4088,429856,1.7045454545454546,40.2447127008599,0.0030692236,1.2954545454545454,-138.8181818181818,0.0030692236,75.49538951844256,77.45454545454545,59.75528729914012,10790.022526979446,-28.282933005852353,0.003921551,317253.8181818182,26.545454545454547,0.26187336
0.0,4132,439959,1.5909090909090908,40.991004618067024,0.0038499623,1.4090909090909092,-136.77272727272728,0.0038499623,75.26803090750774,77.22727272727273,59.00899538193296,10922.89704322815,-28.229349351908535,0.005587414,316322.9090909091,26.795454545454547,0.3258391
0.0,4174,449778,1.9285714285714286,37.570152551506155,0.0035280823,1.0714285714285714,-143.42857142857142,0.0035280823,74.67545370791747,76.5952380952381,62.42984744849386,11057.134612560272,-28.46431312017383,0.0036726764,313734.09523809527,27.428571428571427,0.30378792
0.0,4219,459885,1.8888888888888888,40.18088566280583,0.0030734518,1.1111111111111112,-138.46666666666667,0.0030734518,75.1390454532868,77.08888888888889,59.81911433719419,11191.720559120178,-28.250443016340878,0.004005001,315756.0888888889,26.933333333333334,0.29436123
0.0,4264,469930,1.8666666666666667,38.53533019085399,0.0036162597,1.1333333333333333,-142.46666666666667,0.0036162597,75.23376714949966,77.22222222222223,61.464669809145995,11328.556908369064,-28.77144525987573,0.0045336653,316302.22222222225,26.844444444444445,0.283472
0.0,4307,479857,1.3255813953488371,40.65620730931874,0.0039574993,1.6744186046511629,-136.32558139534885,0.0039574993,74.48944838959925,76.3953488372093,59.34379269068125,11461.041830301285,-27.963063207338205,0.005336458,312915.3488372093,27.627906976744185,0.3207735
0.0,4351,489997,1.2045454545454546,40.34378646003432,0.0041672974,1.7954545454545454,-137.5909090909091,0.0041672974,74.90139325134359,76.81818181818181,59.65621353996567,11592.917680501938,-27.521163826126113,0.0049500256,314647.2727272727,27.181818181818183,0.31318945
0.0,4395,499893,1.4772727272727273,42.97809742257767,0.004298586,1.5227272727272727,-131.38636363636363,0.004298586,74.928658142267,76.86363636363636,57.02190257742233,11728.734077215195,-26.590886757479385,0.006622271,314833.45454545453,27.15909090909091,0.34066615
