optimgain,TimeElapsed,meankl,TimestepsSoFar,AttC,MtR,TtR,AttNC,entloss,Fce,surrgain,entropy,EpisodesSoFar
0.005472795,11821.99586391449,0.0030283516,2889931,0.0,19.259542555068712,33.35,1.0,0.0,0.13340000000000002,0.005472795,0.19564979,13636
0.0056414795,11863.438845872879,0.0042261817,2899934,0.06976744186046512,17.12855490439912,30.3953488372093,0.9302325581395349,0.0,0.1215813953488372,0.0056414795,0.22217795,13679
0.005944484,11906.42775273323,0.004067652,2909936,0.047619047619047616,17.10039694027269,30.285714285714285,0.9523809523809523,0.0,0.12114285714285716,0.005944484,0.20830552,13721
0.0065561403,11947.9427216053,0.0038652779,2919964,0.09090909090909091,17.267769667431182,30.272727272727273,0.9090909090909091,0.0,0.12557707509881422,0.0065561403,0.18830706,13765
0.006012748,11989.432436466217,0.003925738,2929965,0.024390243902439025,18.0503892910823,31.609756097560975,0.975609756097561,0.0,0.12643902439024396,0.006012748,0.18344893,13806
0.006809784,12028.306120872498,0.0045655244,2939966,0.024390243902439025,18.150439438711388,31.853658536585368,0.975609756097561,0.0,0.12741463414634147,0.006809784,0.16935194,13847
0.006537918,12069.434108495712,0.0043824567,2949967,0.024390243902439025,18.054741856199527,31.878048780487806,0.975609756097561,0.0,0.12751219512195125,0.006537918,0.1800711,13888
0.005871953,12109.382865667343,0.0037192618,2959980,0.024390243902439025,19.40761254879912,33.853658536585364,0.975609756097561,0.0,0.1389718574108818,0.005871953,0.17140144,13929
0.006970181,12150.148469924927,0.005122403,2969982,0.047619047619047616,18.722390013470118,32.69047619047619,0.9523809523809523,0.0,0.13076190476190477,0.006970181,0.19385526,13971
0.0059229597,12189.857711791992,0.0039167344,2979984,0.047619047619047616,17.31976399744581,30.80952380952381,0.9523809523809523,0.0,0.12323809523809522,0.0059229597,0.2083658,14013
0.0062249913,12229.365775585175,0.0033235329,2989985,0.024390243902439025,17.00971367838025,29.951219512195124,0.975609756097561,0.0,0.11980487804878048,0.0062249913,0.2237685,14054
0.006851073,12271.010405302048,0.0041139834,2999991,0.047619047619047616,18.24392543952359,31.261904761904763,0.9523809523809523,0.0,0.1250476190476191,0.006851073,0.21169075,14096
0.0056988313,12312.95948958397,0.0028943399,3009999,0.09090909090909091,16.07797476830489,28.727272727272727,0.9090909090909091,0.0,0.11490909090909093,0.0056988313,0.2086182,14140
0.0061114305,12356.880567789078,0.003586108,3019774,0.07142857142857142,17.846345306734097,31.142857142857142,0.9285714285714286,0.0,0.13640496198479393,0.0061114305,0.22646257,14182
0.0057659517,12395.350518465042,0.003976499,3029776,0.047619047619047616,18.687260775676904,32.142857142857146,0.9523809523809523,0.0,0.12857142857142861,0.0057659517,0.25696748,14224
0.00599279,12434.971405744553,0.0046906145,3039786,0.09090909090909091,16.766723756904348,30.0,0.9090909090909091,0.0,0.12315584415584419,0.00599279,0.24589409,14268
0.005741142,12478.2319085598,0.0039769285,3049787,0.024390243902439025,19.460355411125377,33.68292682926829,0.975609756097561,0.0,0.13473170731707315,0.005741142,0.23757434,14309
0.0066370484,12515.701400518417,0.0038107822,3059790,0.06976744186046512,17.887831957583003,31.441860465116278,0.9302325581395349,0.0,0.1257674418604651,0.0066370484,0.23518911,14352
0.0057021133,12553.036360502243,0.0032522003,3069792,0.047619047619047616,17.943425840031836,31.785714285714285,0.9523809523809523,0.0,0.1271428571428572,0.0057021133,0.24704993,14394
0.0059293094,12595.722458600998,0.00558446,3079793,0.024390243902439025,18.79474471564185,32.4390243902439,0.975609756097561,0.0,0.12975609756097561,0.0059293094,0.25436258,14435
0.0042584077,12637.58990573883,0.0026808972,3089795,0.047619047619047616,18.591398468635173,32.476190476190474,0.9523809523809523,0.0,0.12990476190476194,0.0042584077,0.25268435,14477
0.0058028414,12677.673765182495,0.0048494125,3099884,0.1111111111111111,18.172253223054796,31.044444444444444,0.8888888888888888,0.0,0.12865657541599568,0.0058028414,0.25802615,14522
0.005964504,12719.422584056854,0.0028741385,3109886,0.047619047619047616,18.144843021484977,32.285714285714285,0.9523809523809523,0.0,0.12914285714285714,0.005964504,0.26537532,14564
0.0055863596,12761.32287478447,0.004017008,3119912,0.047619047619047616,18.473826950853418,32.166666666666664,0.9523809523809523,0.0,0.13209523809523813,0.0055863596,0.24330178,14606
0.0071373736,12797.330121278763,0.006085519,3129922,0.09090909090909091,18.92331205473904,32.81818181818182,0.9090909090909091,0.0,0.13127272727272724,0.0071373736,0.21504758,14650
0.006668888,12837.471192121506,0.004202771,3139929,0.024390243902439025,19.483583964129593,33.78048780487805,0.975609756097561,0.0,0.13850871080139374,0.006668888,0.23642498,14691
0.0065243044,12878.519949913025,0.005064594,3149939,0.09090909090909091,17.777964358448926,31.704545454545453,0.9090909090909091,0.0,0.12681818181818183,0.0065243044,0.22912434,14735
0.006711078,12919.940773963928,0.0042493814,3159939,0.0,19.41661168363382,34.525,1.0,0.0,0.13810000000000003,0.006711078,0.22194773,14775
0.0067457473,12965.901228427887,0.0037322838,3169961,0.09090909090909091,18.739450022617714,33.06818181818182,0.9090909090909091,0.0,0.13558851674641148,0.0067457473,0.20970012,14819
0.0056949547,13005.04001879692,0.0029550304,3179752,0.11363636363636363,17.536296579401412,30.727272727272727,0.8863636363636364,0.0,0.1262248803827751,0.0056949547,0.20092727,14863
0.006090709,13044.786851406097,0.00356632,3189767,0.06976744186046512,19.06962828872197,33.27906976744186,0.9302325581395349,0.0,0.13560723514211886,0.006090709,0.20224147,14906
0.0070490637,13084.043136358261,0.005002582,3199781,0.047619047619047616,19.96914830625722,35.26190476190476,0.9523809523809523,0.0,0.15427210884353743,0.0070490637,0.20117997,14948
0.0065322234,13123.218386650085,0.004410848,3209782,0.024390243902439025,18.437115423140078,32.4390243902439,0.975609756097561,0.0,0.12975609756097564,0.0065322234,0.23709095,14989
0.007341005,13166.857867240906,0.0050996887,3219801,0.1111111111111111,17.62161272288284,30.8,0.8888888888888888,0.0,0.12598518518518523,0.007341005,0.2271981,15034
0.0068700723,13208.019341945648,0.0036674943,3229820,0.06976744186046512,18.12447190051536,31.25581395348837,0.9302325581395349,0.0,0.1262982216142271,0.0068700723,0.23378848,15077
0.0072474075,13244.88212943077,0.0054503614,3239829,0.024390243902439025,20.095527846827913,35.19512195121951,0.975609756097561,0.0,0.14339295392953927,0.0072474075,0.23489422,15118
0.006402092,13288.192747831345,0.0041760397,3249829,0.0,20.129245599006612,35.325,1.0,0.0,0.14130000000000004,0.006402092,0.240022,15158
0.006645799,13326.430441141129,0.005193072,3259831,0.047619047619047616,18.550511877832005,32.07142857142857,0.9523809523809523,0.0,0.12828571428571428,0.006645799,0.22573161,15200
0.007942546,13366.408901691437,0.0041786507,3269834,0.06976744186046512,18.870413296348474,32.883720930232556,0.9302325581395349,0.0,0.13153488372093022,0.007942546,0.22050434,15243
0.006950314,13409.932661056519,0.0046147476,3279837,0.06976744186046512,18.318747692902964,31.488372093023255,0.9302325581395349,0.0,0.125953488372093,0.006950314,0.22417562,15286
0.007596837,13446.838176965714,0.0044316323,3289839,0.047619047619047616,18.11906065399902,31.30952380952381,0.9523809523809523,0.0,0.12523809523809526,0.007596837,0.24496968,15328
0.00657685,13486.04593873024,0.004335059,3299843,0.09090909090909091,17.798565596261245,31.318181818181817,0.9090909090909091,0.0,0.12527272727272729,0.00657685,0.24596655,15372
0.006378261,13525.386711359024,0.003278736,3309845,0.047619047619047616,19.498161738946788,34.54761904761905,0.9523809523809523,0.0,0.13819047619047617,0.006378261,0.23928986,15414
0.0077793654,13563.993918418884,0.0051108743,3319920,0.14893617021276595,17.048874825443455,30.02127659574468,0.851063829787234,0.0,0.12201370357014063,0.0077793654,0.22482441,15461
0.007286336,13604.004981040955,0.004102439,3329926,0.13043478260869565,17.11084540537333,30.369565217391305,0.8695652173913043,0.0,0.12147826086956522,0.007286336,0.22235975,15507
0.0072564604,13648.956716537476,0.0042232634,3339817,0.07142857142857142,18.972627494819623,32.857142857142854,0.9285714285714286,0.0,0.14011829560077538,0.0072564604,0.22128151,15549
0.00726017,13684.635951519012,0.0045811026,3349820,0.024390243902439025,18.824640222738505,32.951219512195124,0.975609756097561,0.0,0.1318048780487805,0.00726017,0.2161352,15590
0.0072184936,13728.090001106262,0.0046745646,3359834,0.047619047619047616,18.856600551410683,33.023809523809526,0.9523809523809523,0.0,0.13383150183150186,0.0072184936,0.2232073,15632
0.007816018,13769.22922039032,0.005358672,3369840,0.13043478260869565,17.4407500268546,30.5,0.8695652173913043,0.0,0.12199999999999998,0.007816018,0.22346531,15678
0.006699572,13805.75408911705,0.004047022,3379920,0.047619047619047616,18.239463420641762,32.73809523809524,0.9523809523809523,0.0,0.13309214594928884,0.006699572,0.2188725,15720
0.006519046,13842.69232082367,0.0034768288,3389948,0.09090909090909091,17.791955046934923,31.272727272727273,0.9090909090909091,0.0,0.1323939393939394,0.006519046,0.22134234,15764
0.006995892,13883.343700408936,0.0038484791,3399917,0.11363636363636363,18.63697791608234,32.56818181818182,0.8863636363636364,0.0,0.13319404125286477,0.006995892,0.21601878,15808
0.0072213775,13922.461904287338,0.0038923877,3409934,0.1111111111111111,17.396090186855343,30.57777777777778,0.8888888888888888,0.0,0.12717264957264957,0.0072213775,0.214547,15853
0.006872098,13967.289582967758,0.0036100599,3419865,0.025,20.25751811521217,35.075,0.975,0.0,0.14151988950276245,0.006872098,0.22452623,15893
