entloss,optimgain,Tmt,meankl,MtR,TtR,TimestepsSoFar,surrgain,MpbtN,Tbt,TimeElapsed,AttC,entropy,Ptt,MpbtA,Tmc,EpisodesSoFar,AttNC
0.0,0.0048621097,82.47368421052632,0.0045797415,-39.64216617207988,-70.23684210526316,469735,0.0048621097,85.147507230973,337812.2105263158,14054.335929393768,0.631578947368421,0.2711529,80.20974385687278,14.852492769026968,21.473684210526315,5030,0.3684210526315789
0.0,0.0049618166,82.5,0.004055526,-38.46184167691786,-68.95,479876,0.0049618166,83.55353830672894,337920.0,14184.825361967087,0.675,0.27303693,80.2488163095441,16.446461693271065,21.425,5070,0.325
0.0,0.0052778497,82.4,0.0038752656,-38.875584067624345,-68.95,489764,0.0052778497,83.63243177561259,337510.4,14326.301685094833,0.6,0.22788863,80.11621508468488,16.367568224387433,21.575,5110,0.4
0.0,0.0069782347,82.71052631578948,0.0075917505,-37.94416081803422,-69.02631578947368,499855,0.0069782347,83.4301828892339,338782.3157894737,14453.311398506165,0.4473684210526316,0.31069145,80.4272947213485,16.56981711076608,21.236842105263158,5148,0.5526315789473685
0.0,0.0066841524,83.02272727272727,0.005821609,-42.698220350344876,-70.4090909090909,509853,0.0066841524,84.7522840929378,340061.0909090909,14590.484946489334,0.5227272727272727,0.23208748,80.69494432610087,15.247715907062224,20.954545454545453,5192,0.4772727272727273
0.0,0.0037722266,82.63157894736842,0.003912218,-38.329329711552575,-68.76315789473684,519749,0.0037722266,83.19716393276663,338458.94736842107,14728.069650173187,0.39473684210526316,0.2890464,80.35459885587197,16.802836067233347,21.31578947368421,5230,0.6052631578947368
0.0,0.0058798827,82.55,0.0057043615,-39.263104585807135,-67.625,529982,0.0058798827,81.85997599209198,338124.8,14857.525799274445,0.35,0.2615684,80.27645081950924,18.140024007908032,21.4,5270,0.65
0.0,0.005581238,82.36585365853658,0.006364926,-38.79957284063243,-68.78048780487805,539932,0.005581238,83.4914980168458,337370.53658536583,14999.300232172012,0.6341463414634146,0.20967828,80.1231844508718,16.50850198315423,21.5609756097561,5311,0.36585365853658536
0.0,0.003965256,81.63157894736842,0.003982415,-38.01265683287875,-68.78947368421052,549958,0.003965256,84.24835594400656,334362.94736842107,15130.311653614044,0.5526315789473685,0.23203188,79.42371568754812,15.751644055993443,22.31578947368421,5349,0.4473684210526316
0.0,0.004496063,81.91891891891892,0.0045941244,-38.111185388061564,-68.70270270270271,559980,0.004496063,83.82876634287963,335539.8918918919,15255.263121843338,0.2972972972972973,0.27477628,79.65079062939527,16.17123365712034,22.08108108108108,5386,0.7027027027027027
0.0,0.0069704284,82.5,0.0052488735,-38.55702536799058,-69.13157894736842,569953,0.0069704284,83.80501945899827,337920.0,15394.142297506332,0.39473684210526316,0.25897697,80.21225323374911,16.194980541001716,21.473684210526315,5424,0.6052631578947368
0.0,0.0060652895,82.97435897435898,0.0062700026,-39.65225726469384,-70.38461538461539,579758,0.0060652895,84.8240657812528,339862.9743589744,15525.596697092056,0.46153846153846156,0.25876507,80.67231378428598,15.175934218747178,20.974358974358974,5463,0.5384615384615384
0.0,0.0057887305,82.42857142857143,0.005800215,-40.20208972322833,-69.52380952380952,589987,0.0057887305,84.34198781048534,337627.4285714286,15663.580622911453,0.38095238095238093,0.23580454,80.14334381777073,15.658012189514656,21.547619047619047,5505,0.6190476190476191
0.0,0.00800824,82.3157894736842,0.006396209,-38.08578362914673,-68.52631578947368,599879,0.00800824,83.25966399496798,337165.4736842105,15797.86796283722,0.39473684210526316,0.2900064,80.06057362191832,16.740336005032002,21.63157894736842,5543,0.6052631578947368
