entloss,AttNC,TimestepsSoFar,TtR,AttC,TimeElapsed,Tmc,meankl,entropy,Ptt,EpisodesSoFar,MpbtN,surrgain,optimgain,MtR,MpbtA,Tmt,Tbt
0.0,4.96969696969697,1939864,-123.93939393939394,5.03030303030303,29740.15340924263,50.166666666666664,0.00483206,0.29408067,53.75560910323334,14048,22.319582059621865,0.0029831512,0.0029831512,-8.982764007842855,77.68041794037813,55.13636363636363,225838.54545454544
0.0,5.1940298507462686,1949941,-116.71641791044776,4.8059701492537314,29851.962532758713,49.55223880597015,0.0043005487,0.28775716,54.30791139103291,14115,20.92091776493921,0.0022366557,0.0022366557,-8.410267528203855,79.07908223506078,55.6865671641791,228092.1791044776
0.0,4.104477611940299,1959928,-115.82089552238806,5.895522388059701,29965.25101542473,50.134328358208954,0.0045345784,0.30999333,53.757122523383416,14182,20.90769588242108,0.0020402095,0.0020402095,-8.410214574725412,79.0923041175789,55.1044776119403,225707.94029850746
0.0,5.402985074626866,1969866,-124.92537313432835,4.597014925373134,30083.618656873703,48.04477611940298,0.005411082,0.28680953,55.70959842677755,14249,21.406986063524474,0.0026430541,0.0026430541,-8.92470278288297,78.59301393647553,57.149253731343286,234083.3432835821
0.0,5.602941176470588,1979882,-106.32352941176471,4.397058823529412,30202.92475271225,50.794117647058826,0.005635375,0.28621832,53.17273164350566,14317,19.452544708437898,0.002205162,0.002205162,-7.798947686964154,80.5474552915621,54.529411764705884,223352.4705882353
0.0,4.8059701492537314,1989946,-127.16417910447761,5.1940298507462686,30313.880632400513,47.940298507462686,0.0055159186,0.24368243,55.77479003672858,14384,21.79726820703588,0.002360623,0.002360623,-8.869155653951301,78.2027317929641,57.17910447761194,234205.61194029852
0.0,7.5588235294117645,1999930,-111.61764705882354,2.4411764705882355,30432.433340787888,51.30882352941177,0.005972146,0.27218288,52.70613203631848,14452,20.769331265445974,0.002350409,0.002350409,-8.450374137310076,79.23066873455403,54.05882352941177,221424.9411764706
0.0,6.82089552238806,2009969,-122.08955223880596,3.1791044776119404,30548.659870386124,48.43283582089552,0.0053331233,0.28689197,55.344402520340914,14519,21.406981740729513,0.0024180585,0.0024180585,-8.757844911315065,78.59301825927047,56.76119402985075,232493.85074626867
0.0,5.119402985074627,2019998,-130.29850746268656,4.880597014925373,30657.67677307129,47.37313432835821,0.004552161,0.29417735,56.31912231921512,14586,22.365108183944,0.0032611573,0.0032611573,-9.234826286068593,77.63489181605601,57.76119402985075,236589.85074626867
0.0,6.850746268656716,2029934,-124.32835820895522,3.1492537313432836,30768.307943344116,48.08955223880597,0.0029178273,0.25588316,55.626141944732574,14653,21.546095606501638,0.0016414272,0.0016414272,-8.86156537542732,78.45390439349833,57.014925373134325,233533.1343283582
0.0,6.492307692307692,2039964,-123.23076923076923,3.5076923076923077,30882.829086780548,47.58461538461538,0.005060302,0.26310548,56.090530350311624,14718,21.29441634552511,0.0025288758,0.0025288758,-8.65878207919241,78.7055836544749,57.49230769230769,235488.4923076923
0.0,8.656716417910447,2049907,-124.02985074626865,1.3432835820895523,30997.465850830078,48.47761194029851,0.0059162336,0.24610414,55.28819672545341,14785,21.915650007870642,0.0021657555,0.0021657555,-9.190532963164872,78.08434999212936,56.6865671641791,232188.1791044776
0.0,7.257575757575758,2059887,-122.87878787878788,2.742424242424242,31114.166939020157,48.878787878787875,0.005299609,0.25955364,54.94916894193375,14851,21.76459549501368,0.0022611185,0.0022611185,-8.821755980998145,78.23540450498628,56.378787878787875,230927.51515151514
0.0,6.955223880597015,2069864,-120.74626865671642,3.044776119402985,31227.710686683655,50.208955223880594,0.005961936,0.27594608,53.71446690038221,14918,21.904367342957034,0.0029206518,0.0029206518,-8.946170746147724,78.09563265704296,55.08955223880597,225646.80597014926
0.0,4.969230769230769,2079878,-143.53846153846155,5.030769230769231,31334.63209795952,46.723076923076924,0.005113077,0.27054703,56.9003776112475,14983,24.09944550957437,0.0022126685,0.0022126685,-9.706031135855316,75.9005544904256,58.33846153846154,238954.33846153846
0.0,6.2272727272727275,2089868,-117.27272727272727,3.772727272727273,31447.071470737457,49.803030303030305,0.0035309598,0.24802165,54.07747172488207,15049,21.13350804137087,0.0017578293,0.0017578293,-8.423077514120921,78.86649195862911,55.45454545454545,227141.81818181818
0.0,6.647058823529412,2099883,-110.88235294117646,3.3529411764705883,31560.739797353745,51.23529411764706,0.005432063,0.24809863,52.77464702256654,15117,20.457511922769715,0.0026305334,0.0026305334,-8.283039526940522,79.54248807723026,54.13235294117647,221726.11764705883
0.0,4.338235294117647,2109941,-112.79411764705883,5.661764705882353,31671.693066120148,50.9264705882353,0.0050946004,0.2766758,53.06882501594076,15185,20.668819380733854,0.00255394,0.00255394,-8.164723151361807,79.33118061926616,54.44117647058823,222991.0588235294
0.0,4.878787878787879,2119993,-129.54545454545453,5.121212121212121,31778.68901205063,48.0,0.0044633853,0.29027224,55.73861338037043,15251,22.435392329209588,0.0023396525,0.0023396525,-9.050421932441461,77.5646076707904,57.166666666666664,234154.66666666666
