entloss,surrgain,AttNC,TimestepsSoFar,EpisodesSoFar,AttC,Tbt,MpbtN,TtR,MtR,Ptt,MpbtA,meankl,entropy,TimeElapsed,optimgain,Tmt,Tmc
0.0,0.005838506,1.0454545454545454,709932,5630,1.9545454545454546,322187.63636363635,65.94918703430812,-155.72727272727272,-30.304613337673683,76.61982316425163,34.05081296569187,0.0039685015,0.35257334,14097.50830078125,0.005838506,78.6590909090909,25.34090909090909
0.0,0.0061360016,1.0227272727272727,719873,5674,1.9772727272727273,322187.63636363635,65.30253802090851,-154.22727272727272,-30.219001639553422,76.61927156238706,34.69746197909147,0.00405574,0.36569205,14214.426181793213,0.0061360016,78.6590909090909,25.34090909090909
0.0,0.0052921637,0.9318181818181818,729851,5718,2.0681818181818183,320977.45454545453,63.892460395328996,-150.3409090909091,-29.097656017961956,76.34494078824856,36.107539604671,0.0035259947,0.37687168,14329.82756972313,0.0052921637,78.36363636363636,25.636363636363637
0.0,0.0055385293,0.8222222222222222,739875,5763,2.1777777777777776,318031.64444444445,63.11064012383979,-147.06666666666666,-29.1977948609735,75.67260259087472,36.88935987616022,0.003984233,0.3539065,14451.203399896622,0.0055385293,77.64444444444445,26.355555555555554
0.0,0.006102416,0.7674418604651163,749751,5806,2.2325581395348837,319964.27906976745,64.42005704807667,-151.04651162790697,-29.244388702925196,76.11234200931935,35.579942951923314,0.0045333747,0.37684458,14564.318772554398,0.006102416,78.11627906976744,25.88372093023256
0.0,0.006565271,0.6888888888888889,759931,5851,2.311111111111111,319123.9111111111,66.24904376701252,-155.2,-30.187654310914418,75.918053487954,33.750956232987484,0.0043815067,0.37984648,14683.842794656754,0.006565271,77.91111111111111,26.08888888888889
0.0,0.007156091,0.6739130434782609,769865,5897,2.3260869565217392,318686.60869565216,65.89705407787068,-154.04347826086956,-29.931619475482233,75.81874436212648,34.102945922129344,0.0044116233,0.35799018,14807.482031822205,0.007156091,77.80434782608695,26.195652173913043
0.0,0.0056305877,0.8863636363636364,779942,5941,2.1136363636363638,317905.45454545453,65.21988939129052,-152.11363636363637,-29.450647190960918,75.64293605813005,34.78011060870944,0.00432704,0.36411658,14923.879768133163,0.0056305877,77.61363636363636,26.386363636363637
0.0,0.0056514,0.8409090909090909,789937,5985,2.159090909090909,318091.63636363635,65.76689458905183,-153.3409090909091,-30.277669354731074,75.67071517586224,34.23310541094819,0.003441851,0.36395025,15041.231446743011,0.0056514,77.6590909090909,26.363636363636363
0.0,0.00539782,0.9318181818181818,799831,6029,2.0681818181818183,321722.1818181818,63.83668309705156,-150.54545454545453,-29.367243238620905,76.51171606001786,36.16331690294845,0.0036929457,0.3446634,15158.303249835968,0.00539782,78.54545454545455,25.454545454545453
0.0,0.006802087,1.0227272727272727,809987,6073,1.9772727272727273,318557.0909090909,66.00736171337438,-154.4318181818182,-30.18519551966318,75.78986291790271,33.992638286625606,0.0041337693,0.35071495,15273.39395070076,0.006802087,77.77272727272727,26.227272727272727
0.0,0.006071976,0.8181818181818182,819819,6117,2.1818181818181817,315578.1818181818,64.3358727741161,-148.8409090909091,-28.86092963174791,75.11187103160066,35.664127225883895,0.0043870583,0.34631735,15392.531383037567,0.006071976,77.04545454545455,26.954545454545453
0.0,0.005707304,1.173913043478261,829962,6163,1.826086956521739,318953.73913043475,62.52788311388096,-146.54347826086956,-29.543373935685686,75.8810926362693,37.472116886119046,0.004686724,0.33575514,15509.165989398956,0.005707304,77.8695652173913,26.130434782608695
0.0,0.006633444,0.7608695652173914,839883,6209,2.239130434782609,315302.95652173914,64.43537937717379,-148.8913043478261,-29.425011216262774,75.04991068953377,35.56462062282619,0.004443323,0.3301964,15629.655084609985,0.006633444,76.97826086956522,27.02173913043478
0.0,0.00496015,1.0454545454545454,849884,6253,1.9545454545454546,313530.1818181818,61.453569778727456,-141.4090909090909,-28.429400242340535,74.64554479850193,38.54643022127254,0.00395689,0.319078,15748.39588189125,0.00496015,76.54545454545455,27.454545454545453
0.0,0.0062577277,1.0232558139534884,859783,6296,1.9767441860465116,317392.37209302327,62.932509688329226,-146.30232558139534,-28.921703792363136,75.5261402837707,37.067490311670774,0.0057292255,0.35251296,15865.723863840103,0.0062577277,77.48837209302326,26.511627906976745
0.0,0.006183863,0.5333333333333333,869913,6341,2.466666666666667,317849.6,64.81552371754239,-151.06666666666666,-29.158790145219594,75.62755537501948,35.18447628245758,0.0042344886,0.3570787,15986.550341129303,0.006183863,77.6,26.4
0.0,0.0067881797,0.8604651162790697,879858,6384,2.13953488372093,317678.1395348837,64.57615622854351,-150.34883720930233,-29.114269154154965,75.59124529386614,35.423843771456475,0.004798863,0.34797812,16102.157847166061,0.0067881797,77.55813953488372,26.441860465116278
0.0,0.0051159603,0.9302325581395349,889890,6427,2.0697674418604652,317392.37209302327,65.97723392983484,-153.41860465116278,-29.679687964651464,75.52608837863639,34.022766070165154,0.0041738036,0.3353584,16219.538201332092,0.0051159603,77.48837209302326,26.511627906976745
0.0,0.0053361785,1.4090909090909092,899999,6471,1.5909090909090908,315857.45454545453,61.24991105347445,-141.95454545454547,-28.096969212913223,75.17658653169933,38.75008894652552,0.0039882166,0.33492857,16338.028097629547,0.0053361785,77.11363636363636,26.886363636363637
