entloss,TimeElapsed,AttC,optimgain,AttNC,meankl,surrgain,TimestepsSoFar,entropy,Fce,EpisodesSoFar,MtR,TtR
0.0,123613.76665472984,0.0,0.0021125136,10.0,0.007602746,0.0021125136,3769844,-0.2768094,0.9648999999999998,15493,138.01125121791466,2412.25
0.0,123882.73845481873,0.0,0.0012351943,10.0,0.005109686,0.0012351943,3779844,-0.26878726,0.9785999999999999,15533,139.81361707413942,2446.5
0.0,124152.77563619614,0.0,0.0016606087,10.0,0.006262003,0.0016606087,3789844,-0.2720455,0.9763999999999999,15573,139.45460141397737,2441.0
0.0,124411.2248723507,0.0,0.0023087088,10.0,0.008570933,0.0023087088,3799844,-0.3199312,0.9792,15613,139.86227249131346,2448.0
0.0,124679.59192347527,0.0,0.0017222372,10.0,0.008201759,0.0017222372,3809844,-0.3034098,0.9730999999999999,15653,139.19052958277936,2432.75
0.0,124944.5547683239,0.0,0.0018955175,10.0,0.0074842186,0.0018955175,3819844,-0.29526946,0.9591,15693,136.95995198624476,2397.75
0.0,125218.98574972153,0.0,0.0013311235,10.0,0.0065296404,0.0013311235,3829844,-0.31072617,0.9503000000000001,15733,135.75843940286407,2375.75
0.0,125499.98882937431,0.0,0.0018586956,10.0,0.008408726,0.0018586956,3839844,-0.32160583,0.9608999999999999,15773,137.1839492814549,2402.25
0.0,125771.72252106667,0.0,0.0016992852,10.0,0.0075140395,0.0016992852,3849844,-0.3432779,0.9574999999999999,15813,136.74587852982057,2393.75
0.0,126041.15362024307,0.0,0.0013624197,10.0,0.006744424,0.0013624197,3859844,-0.34277064,0.9691999999999998,15853,138.44795816092144,2423.0
