EpisodesSoFar,surrgain,AttNC,AttC,MtR,TimeElapsed,optimgain,entropy,entloss,TtR,Fce,TimestepsSoFar,meankl
6272,0.0009587756,1.8048780487804879,1.1951219512195121,17.159180347545615,19350.577068328857,0.0009587756,1.3547479,0.0,90.36585365853658,0.12048780487804882,1369767,0.0037555792
6317,0.0007545787,1.8,1.2,14.908885081933267,19497.869199991226,0.0007545787,1.3808231,0.0,79.66666666666667,0.11117556154537289,1379870,0.004906325
6364,0.0010259339,1.5106382978723405,1.4893617021276595,14.743144936484727,19640.592049121857,0.0010259339,1.3668976,0.0,78.25531914893617,0.10434042553191489,1389885,0.0022336738
6404,0.0007309525,2.3,0.7,15.326556067828651,19773.39536190033,0.0007309525,1.4130853,0.0,79.8,0.10755957446808513,1399776,0.0034793722
6445,0.0012586357,1.9268292682926829,1.0731707317073171,15.444363516533727,19911.635282039642,0.0012586357,1.4156138,0.0,82.02439024390245,0.11114446529080678,1409789,0.0056925057
6487,0.0005013448,1.9285714285714286,1.0714285714285714,16.128411926686486,20069.081488609314,0.0005013448,1.461391,0.0,84.78571428571429,0.11304761904761909,1419793,0.0028291552
6531,0.00047822366,1.7045454545454546,1.2954545454545454,14.802724812690029,20220.80136847496,0.00047822366,1.4374886,0.0,75.88636363636364,0.12579338842975202,1429813,0.004688649
6576,0.00057679217,1.711111111111111,1.288888888888889,15.934339398060711,20351.058348178864,0.00057679217,1.4528831,0.0,82.93333333333334,0.13126019988242213,1439906,0.002895425
6623,0.00053858187,1.7446808510638299,1.2553191489361701,14.797746953519528,20483.537019491196,0.00053858187,1.4723755,0.0,75.44680851063829,0.11060896828105841,1449944,0.0054682675
6667,0.0006073865,1.6590909090909092,1.3409090909090908,15.726605126949767,20611.596480607986,0.0006073865,1.4593513,0.0,81.3409090909091,0.11290909090909095,1459968,0.0035319983
6716,0.00076728617,1.5510204081632653,1.4489795918367347,13.629999773959796,20747.42494750023,0.00076728617,1.4751768,0.0,71.14285714285714,0.10201300740076251,1469762,0.0053000967
6770,0.0012249186,1.4074074074074074,1.5925925925925926,12.999204558316366,20900.44324874878,0.0012249186,1.4780719,0.0,67.61111111111111,0.11480187391949083,1479973,0.0033966114
6814,0.0008245992,1.5454545454545454,1.4545454545454546,16.85415333412342,21058.32302904129,0.0008245992,1.4841332,0.0,89.38636363636364,0.12887719298245617,1489752,0.0049541662
6858,0.00063539733,1.7272727272727273,1.2727272727272727,18.14076251361524,21203.755113840103,0.00063539733,1.484874,0.0,94.70454545454545,0.136010101010101,1499778,0.0037280996
6905,0.00055314635,1.702127659574468,1.297872340425532,14.264717662295665,21334.26561808586,0.00055314635,1.4554013,0.0,75.63829787234043,0.1067598784194529,1509813,0.004565173
6951,5.4138185e-05,1.891304347826087,1.108695652173913,14.838110746597378,21474.124130487442,5.4138185e-05,1.4547908,0.0,77.21739130434783,0.11223793597706642,1519877,0.004243052
6994,0.00073558296,1.7209302325581395,1.2790697674418605,16.634309600940558,21610.098252773285,0.00073558296,1.4284757,0.0,85.74418604651163,0.11815047879616966,1529898,0.0029164897
7039,0.00047536317,1.8888888888888888,1.1111111111111112,14.366659166628885,21755.786732673645,0.00047536317,1.4199594,0.0,75.06666666666666,0.12222222222222222,1539923,0.0011681047
7084,0.00083684793,1.6888888888888889,1.3111111111111111,15.008925456908319,21895.902358293533,0.00083684793,1.4191115,0.0,78.13333333333334,0.19271111111111108,1549938,0.0054243603
7130,0.00066831766,1.7173913043478262,1.2826086956521738,13.904789253545484,22049.281056165695,0.00066831766,1.4125947,0.0,72.32608695652173,0.1042764334572115,1559833,0.004640926
7173,0.0007262784,1.813953488372093,1.186046511627907,15.218996833713993,22175.91410255432,0.0007262784,1.3889071,0.0,79.46511627906976,0.1136124031007752,1569838,0.0042614806
7223,0.0012365407,1.74,1.26,14.221414902831967,22311.17215681076,0.0012365407,1.380212,0.0,73.56,0.12643558573853989,1579948,0.005944401
7282,0.0010880239,1.2372881355932204,1.7627118644067796,12.296384950799759,22447.738360643387,0.0010880239,1.3695922,0.0,63.30508474576271,0.12353611395986275,1589852,0.0041382876
7325,0.0018561345,1.744186046511628,1.255813953488372,18.06833919708188,22590.894420862198,0.0018561345,1.3691773,0.0,95.93023255813954,0.12790697674418605,1599859,0.00634071
7369,0.00046252797,1.6136363636363635,1.3863636363636365,15.851812621905362,22723.214307785034,0.00046252797,1.3584721,0.0,83.31818181818181,0.11297948428383213,1609919,0.0020380234
7413,0.0004696158,1.75,1.25,15.939112822245328,22854.959935426712,0.0004696158,1.3336151,0.0,84.3409090909091,0.11663911845730027,1619963,0.002851123
7456,0.00077003887,1.9767441860465116,1.0232558139534884,14.239598383460514,22995.2034573555,0.00077003887,1.3367516,0.0,75.34883720930233,0.10046511627906979,1629966,0.0019537979
7499,0.00083693746,1.5813953488372092,1.4186046511627908,16.64680788339912,23120.286761045456,0.00083693746,1.3308206,0.0,89.02325581395348,0.11869767441860465,1639977,0.0016680219
7543,0.0003511458,1.8409090909090908,1.1590909090909092,14.655501508771486,23267.536662578583,0.0003511458,1.3471192,0.0,75.95454545454545,0.10889327004989659,1649826,0.0046818317
7585,0.000425442,1.9047619047619047,1.0952380952380953,17.092039301492473,23415.84979915619,0.000425442,1.3425411,0.0,88.71428571428571,0.12175824175824176,1659848,0.0025004407
7630,0.0008716656,1.9111111111111112,1.0888888888888888,13.836128441206359,23539.852920770645,0.0008716656,1.372312,0.0,71.33333333333333,0.10312673992673997,1669955,0.0023233006
7673,0.0008819478,1.697674418604651,1.302325581395349,15.543628198684223,23674.229988098145,0.0008819478,1.3778172,0.0,80.72093023255815,0.11408637873754157,1679976,0.0029753128
7717,0.0004518982,1.7045454545454546,1.2954545454545454,14.672145498398756,23807.61393737793,0.0004518982,1.379929,0.0,77.45454545454545,0.1097777777777778,1689775,0.003276713
