Fce,AttC,meankl,EpisodesSoFar,MtR,TimeElapsed,TimestepsSoFar,TtR,entloss,entropy,AttNC,optimgain,surrgain
0.14924661246612464,6.878048780487805,0.008932718,5928,21.44595982430676,13989.598432540894,1430000,366.5853658536585,0.0,6.0872025,3.1219512195121952,8.544922e-09,8.544922e-09
0.15812775842044133,6.780487804878049,0.008933077,5969,22.42896024774061,14089.940005779266,1439776,390.0,0.0,6.1847677,3.2195121951219514,5.1879883e-09,5.1879883e-09
0.15840882694541233,7.119047619047619,0.008933204,6011,22.662138097454484,14185.017593622208,1449842,388.0952380952381,0.0,6.2823825,2.880952380952381,-1.0681153e-09,-1.0681153e-09
0.16306159948754806,6.976744186046512,0.010173806,6054,22.458671979605683,14281.201102733612,1459909,394.4186046511628,0.0,6.184774,3.0232558139534884,9.918213e-10,9.918213e-10
0.16560000000000002,6.2,0.008933204,6094,24.4097180095585,14379.049852848053,1469909,414.0,0.0,6.2823825,3.8,1.2359619e-08,1.2359619e-08
0.17009473684210524,6.45,0.00230515,6134,24.460141644681617,14480.62998509407,1479754,420.75,0.0,6.331105,3.55,-4.272461e-09,-4.272461e-09
0.17114231586081574,7.090909090909091,0.008933196,6178,22.845175584426105,14578.72894001007,1489882,389.54545454545456,0.0,6.4287224,2.909090909090909,1.03759765e-08,1.03759765e-08
0.16660000000000005,6.55,0.008933196,6218,24.186400872142965,14671.108727693558,1499882,416.5,0.0,6.4287224,3.45,1.03759765e-08,1.03759765e-08
0.16424155528968956,6.954545454545454,0.010167234,6262,21.89794174828306,14770.488083600998,1509797,374.09090909090907,0.0,6.3312087,3.0454545454545454,-3.0517577e-09,-3.0517577e-09
0.16278982874935133,7.024390243902439,0.008933196,6303,22.989797563149807,14859.920091629028,1519844,401.7073170731707,0.0,6.4287515,2.975609756097561,2.89917e-09,2.89917e-09
0.17755347091932455,6.073170731707317,0.010173789,6344,25.387297970641068,14965.300382375717,1529909,439.0243902439024,0.0,6.3312087,3.926829268292683,2.8686523e-08,2.8686523e-08
