TimestepsSoFar,EpisodesSoFar,Ptt,Tmc,meankl,TtR,entropy,Tmt,entloss,surrgain,optimgain,AttNC,TimeElapsed,MtR,Tbt,AttC,MpbtN,MpbtA
229776,4192,80.48098878867452,21.17948717948718,0.005017362,-69.97435897435898,0.22306578,82.76923076923077,0.0,0.0045722136,0.0045722136,0.7692307692307693,10478.53618812561,-39.98253015320824,339022.76923076925,0.23076923076923078,84.49195316055332,15.508046839446678
239809,4229,80.24070711049204,21.43243243243243,0.004792716,-70.29729729729729,0.26454395,82.48648648648648,0.0,0.003198265,0.003198265,0.8648648648648649,10585.320748090744,-38.95258044663556,337864.64864864864,0.13513513513513514,85.18992733114874,14.810072668851253
249989,4268,80.6525649629799,21.0,0.0062517864,-69.35897435897436,0.3101353,82.97435897435898,0.0,0.0040579834,0.0040579834,0.7692307692307693,10694.32325387001,-39.146083107902946,339862.9743589744,0.23076923076923078,83.57765119816389,16.42234880183612
259737,4308,80.25758814152769,21.425,0.005323734,-68.5,0.25897276,82.55,0.0,0.0052310987,0.0052310987,0.7,10808.945474147797,-39.876316676561046,338124.8,0.3,82.98693993980626,17.01306006019374
269814,4347,80.50225590911255,21.153846153846153,0.0032804268,-68.74358974358974,0.282875,82.76923076923077,0.0,0.0031311768,0.0031311768,0.717948717948718,10919.062979221344,-38.55740240562379,339022.76923076925,0.28205128205128205,83.04353066368476,16.95646933631524
279808,4387,80.44016225341467,21.225,0.0039448035,-68.875,0.2944616,82.725,0.0,0.0036774583,0.0036774583,0.55,11029.966651201248,-39.33603583356785,338841.6,0.45,83.25507439827524,16.74492560172474
289859,4430,80.4078681535485,21.25581395348837,0.005184514,-69.88372093023256,0.24820808,82.67441860465117,0.0,0.0071339584,0.0071339584,0.4186046511627907,11148.570516347885,-39.819929587822294,338634.4186046512,0.5813953488372093,84.50173815074783,15.49826184925216
299942,4470,80.40075195725191,21.275,0.008071336,-68.975,0.32545808,82.725,0.0,0.0043191467,0.0043191467,0.6,11262.781440734863,-39.36241819388535,338841.6,0.4,83.33054624792746,16.669453752072513
309977,4511,80.35571652450727,21.317073170731707,0.0037485268,-66.97560975609755,0.31050345,82.63414634146342,0.0,0.002760415,0.002760415,0.5365853658536586,11374.458082437515,-37.69938697285544,338469.46341463417,0.4634146341463415,81.0180845771048,18.98191542289517
319760,4556,80.58466467077146,21.066666666666666,0.0051329825,-68.31111111111112,0.2682437,82.86666666666666,0.0,0.005347888,0.005347888,0.28888888888888886,11498.55576634407,-40.01495425981049,339421.86666666664,0.7111111111111111,82.42415200706954,17.575847992930502
