meankl,EpisodesSoFar,TtR,optimgain,MpbtN,MtR,Tmc,Tbt,AttC,TimeElapsed,Tmt,entloss,surrgain,Ptt,entropy,AttNC,TimestepsSoFar,MpbtA
0.008103231,11893,-137.34375,0.0011702438,23.989876543619232,-9.721603821000059,47.953125,234240.0,4.0625,28694.816794633865,57.1875,0.0,0.0011702438,55.773542427178185,0.1727023,5.9375,1629926,76.01012345638077
0.009949826,11959,-134.24242424242425,0.001986301,23.8070637087635,-9.865511241016042,48.71212121212121,231237.81818181818,2.4242424242424243,28860.85931634903,56.45454545454545,0.0,0.001986301,55.06696638449148,0.23459345,7.575757575757576,1639978,76.19293629123646
0.010116463,12019,-174.66666666666666,0.0016854126,28.494082459959987,-11.595677438178233,44.2,249173.33333333334,5.9,29009.884165287018,60.833333333333336,0.0,0.0016854126,59.26591590192094,0.1641402,4.1,1649919,71.50591754003997
0.008571799,12081,-156.61290322580646,0.0019103098,26.666476517388826,-10.627175018041902,46.88709677419355,238492.90322580645,5.370967741935484,29164.33751654625,58.225806451612904,0.0,0.0019103098,56.76504701284141,0.15330441,4.629032258064516,1659920,73.33352348261117
0.008860291,12147,-141.36363636363637,0.0021826013,25.322764462134284,-10.35058632562604,49.42424242424242,228320.9696969697,2.121212121212121,29328.927311897278,55.74242424242424,0.0,0.0021826013,54.394922187219485,0.2073775,7.878787878787879,1669876,74.67723553786571
0.010480086,12213,-136.06060606060606,0.0012739704,24.257161236638368,-9.871313251001222,48.89393939393939,230679.27272727274,3.409090909090909,29489.85452747345,56.31818181818182,0.0,0.0012739704,54.917516575631794,0.2213634,6.590909090909091,1679908,75.74283876336166
0.008311506,12274,-164.2622950819672,0.001057399,27.596619963592126,-10.890834812474646,45.967213114754095,241932.59016393442,6.311475409836065,29638.658680915833,59.0655737704918,0.0,0.001057399,57.59766066915938,0.12980805,3.6885245901639343,1689804,72.40338003640787
0.01077074,12341,-127.01492537313433,0.0015814811,23.12023838314543,-9.226444781809752,50.149253731343286,225830.20895522388,2.4925373134328357,29800.767592668533,55.134328358208954,0.0,0.0015814811,53.76394120520325,0.20779164,7.507462686567164,1699987,76.87976161685457
0.010199072,12405,-139.53125,0.0014893408,24.55045831822517,-9.802956612821282,48.59375,231552.0,4.40625,29955.915821790695,56.53125,0.0,0.0014893408,55.15830518725808,0.18735182,5.59375,1709993,75.44954168177486
0.008357615,12469,-144.375,0.0012584772,25.265518121525183,-9.883959092076616,48.328125,232704.0,5.640625,30110.37065911293,56.8125,0.0,0.0012584772,55.4177615088929,0.15003623,4.359375,1719979,74.73448187847481
0.008930504,12535,-129.84848484848484,0.0014325508,23.345864184891976,-9.342942057059386,49.40909090909091,228693.33333333334,3.121212121212121,30270.30388045311,55.833333333333336,0.0,0.0014325508,54.4444791124185,0.1772925,6.878787878787879,1729976,76.65413581510803
0.008708444,12601,-124.24242424242425,0.0013437851,22.65942598769778,-9.092352518681254,50.39393939393939,225155.87878787878,1.9393939393939394,30434.423164606094,54.96969696969697,0.0,0.0013437851,53.569667921030245,0.21759152,8.06060606060606,1739879,77.34057401230221
0.007996176,12664,-154.6031746031746,0.0011555017,26.451289182654406,-10.642220441178784,46.98412698412698,238153.14285714287,5.349206349206349,30589.580070972443,58.142857142857146,0.0,0.0011555017,56.680988844976866,0.14813215,4.650793650793651,1749923,73.54871081734561
0.010337083,12730,-136.66666666666666,0.0014072229,24.495080917212075,-9.956716587610543,49.63636363636363,228010.66666666666,2.696969696969697,30752.865483045578,55.666666666666664,0.0,0.0014072229,54.258908403562714,0.18845785,7.303030303030303,1759860,75.50491908278792
0.010897148,12797,-125.22388059701493,0.002283076,22.970840529559165,-9.15845791199881,50.776119402985074,223262.5671641791,1.8955223880597014,30914.1179728508,54.507462686567166,0.0,0.002283076,53.17076308000234,0.20891027,8.104477611940299,1769938,77.02915947044082
0.009910026,12863,-131.66666666666666,0.0017683327,24.197657624926045,-9.3836390478584,50.72727272727273,223418.18181818182,3.4393939393939394,31072.472454309464,54.54545454545455,0.0,0.0017683327,53.21175108070612,0.22177431,6.5606060606060606,1779976,75.80234237507396
0.0084518315,12924,-184.91803278688525,0.0016507352,30.877241379574865,-12.089227677689871,45.78688524590164,242604.0655737705,7.295081967213115,31219.908042430878,59.22950819672131,0.0,0.0016507352,57.762105478355686,0.12705034,2.7049180327868854,1789869,69.12275862042516
0.008736781,12991,-134.62686567164178,0.0009615229,24.205055226122255,-9.675976997165266,49.73134328358209,227603.10447761195,3.2388059701492535,31382.397231578827,55.56716417910448,0.0,0.0009615229,54.16497467263885,0.15858266,6.7611940298507465,1799941,75.79494477387773
0.0106914425,13056,-131.69230769230768,0.00212249,23.67444952721238,-9.713940248007619,49.61538461538461,227674.5846153846,1.353846153846154,31552.088629961014,55.58461538461538,0.0,0.00212249,54.229760435526735,0.21583746,8.646153846153846,1809883,76.32555047278765
0.008752051,13122,-126.21212121212122,0.0009818048,22.691759708776704,-9.112582249365378,49.77272727272727,227265.9393939394,2.878787878787879,31713.158363819122,55.484848484848484,0.0,0.0009818048,54.10718086850832,0.18770622,7.121212121212121,1819867,77.30824029122329
0.010276798,13188,-125.60606060606061,0.0012394998,22.401805728894878,-9.048422338422961,48.803030303030305,230927.51515151514,3.5303030303030303,31870.4373960495,56.378787878787875,0.0,0.0012394998,54.988822122757256,0.19455977,6.46969696969697,1829921,77.59819427110511
0.00933454,13253,-144.0,0.0016431714,25.312485656813415,-10.175382003932805,48.13846153846154,233408.9846153846,4.6461538461538465,32027.62262916565,56.98461538461538,0.0,0.0016431714,55.5906900087025,0.17807953,5.3538461538461535,1839889,74.68751434318662
0.008483458,13317,-154.53125,0.001346464,27.330601039347005,-10.538605124018362,48.734375,231104.0,6.171875,32183.643813610077,56.421875,0.0,0.001346464,55.04115409663679,0.14779717,3.828125,1849912,72.66939896065301
0.009900661,13383,-124.6969696969697,0.0014873852,22.749217221058554,-9.099333241053829,50.45454545454545,224535.27272727274,3.378787878787879,32345.346752643585,54.81818181818182,0.0,0.0014873852,53.46887382184016,0.20364554,6.621212121212121,1859895,77.25078277894144
0.010784079,13446,-152.6984126984127,0.00055266725,26.632675004095713,-10.567905556892496,47.98412698412698,233862.09523809524,5.746031746031746,32496.82356953621,57.095238095238095,0.0,0.00055266725,55.713804319271254,0.13222603,4.253968253968254,1869855,73.36732499590428
0.01033271,13513,-118.2089552238806,0.0017745483,21.554616222226457,-8.743180151746483,50.47761194029851,224424.1194029851,2.5671641791044775,32656.696553468704,54.791044776119406,0.0,0.0017745483,53.44608476886399,0.19582647,7.432835820895522,1879935,78.44538377777353
