TimestepsSoFar,AttC,AttNC,TtR,MpbtA,MpbtN,Tbt,Ptt,entloss,Tmt,EpisodesSoFar,entropy,optimgain,Tmc,meankl,surrgain,TimeElapsed,MtR
3249799,0.425,0.575,-66.25,19.288776303486603,80.7112236965134,336179.2,79.816362350697,0.0,82.075,15893,0.20443489,0.0048517883,21.9,0.0052422574,0.0048517883,51536.935220718384,-37.40547343104052
3259915,0.25,0.75,-65.925,18.913917509610044,81.08608249038997,333004.8,79.0761766350202,0.0,81.3,15933,0.19405416,0.0056677214,22.7,0.0059751146,0.0056677214,51664.39125800133,-37.70422723532141
3269893,0.18421052631578946,0.8157894736842105,-66.02631578947368,18.941556163642066,81.05844383635792,333608.4210526316,79.21187734015692,0.0,81.44736842105263,15971,0.19943261,0.005116791,22.55263157894737,0.0050920127,0.005116791,51796.243013858795,-37.415363289697225
3279740,0.1891891891891892,0.8108108108108109,-65.83783783783784,19.354667957015646,80.64533204298436,334432.86486486485,79.40079480105622,0.0,81.64864864864865,16008,0.2038022,0.005903378,22.35135135135135,0.0067884247,0.005903378,51924.79908037186,-36.22628354064993
3289923,0.325,0.675,-64.925,19.349588001929384,80.65041199807062,329728.0,78.33191735583628,0.0,80.5,16048,0.20887344,0.0066997255,23.5,0.006171794,0.0066997255,52057.12250375748,-36.97922379112164
3299866,0.38461538461538464,0.6153846153846154,-64.8974358974359,19.626543456110998,80.37345654388902,330515.6923076923,78.50953118243564,0.0,80.6923076923077,16087,0.20714323,0.0070748655,23.307692307692307,0.0062351385,0.0070748655,52193.60642528534,-36.53283441686558
3309962,0.2682926829268293,0.7317073170731707,-66.02439024390245,19.062884431590767,80.93711556840923,333973.85365853657,79.31558827365909,0.0,81.53658536585365,16128,0.19473764,0.006678009,22.4390243902439,0.0072044632,0.006678009,52326.38270497322,-38.53841799111884
3319791,0.21052631578947367,0.7894736842105263,-66.55263157894737,19.220268342733565,80.77973165726642,337488.84210526315,80.17751037479705,0.0,82.39473684210526,16166,0.20320612,0.005666251,21.5,0.0054335753,0.005666251,52454.79606246948,-37.38234536155543
3329851,0.1111111111111111,0.8888888888888888,-63.833333333333336,21.296830736132215,78.70316926386778,332231.1111111111,78.91883663003023,0.0,81.11111111111111,16202,0.20536274,0.007613849,22.86111111111111,0.0054671816,0.007613849,52588.65733575821,-35.53902856107332
3339745,0.18421052631578946,0.8157894736842105,-65.1842105263158,20.287650416470466,79.71234958352954,334794.1052631579,79.48222365885987,0.0,81.73684210526316,16240,0.2317665,0.006124801,22.263157894736842,0.0049789893,0.006124801,52720.24591398239,-37.00145236874397
