entropy,Tbt,MtR,entloss,meankl,TtR,MpbtN,TimestepsSoFar,Tmc,Ptt,MpbtA,AttNC,EpisodesSoFar,TimeElapsed,Tmt,optimgain,AttC,surrgain
0.27225474,336896.0,-39.02157259827866,0.0,0.0031051128,-69.8,84.87675868121866,689832,21.75,79.95826073593574,15.123241318781345,0.525,6022,16045.84954071045,82.25,0.008044058,0.475,0.008044058
0.24138606,339668.2926829268,-40.35332870018807,0.0,0.0023741412,-70.63414634146342,85.15275748486201,699761,20.975609756097562,80.6632243066717,14.847242515137973,0.6097560975609756,6063,16168.08507347107,82.92682926829268,0.0063966475,0.3902439024390244,0.0063966475
0.28597042,341648.41025641025,-38.7302882757583,0.0,0.003939518,-69.84615384615384,83.70826886696861,709994,20.53846153846154,81.07707711595283,16.291731133031387,0.6666666666666666,6102,16283.669388532639,83.41025641025641,0.008617061,0.3333333333333333,0.008617061
0.25355563,337826.9090909091,-41.23519289189809,0.0,0.0042878124,-69.56818181818181,84.35949962545371,719901,21.431818181818183,80.24045314714489,15.640500374546285,0.5227272727272727,6146,16405.701704263687,82.47727272727273,0.009863373,0.4772727272727273,0.009863373
0.23580752,338310.09523809527,-39.61843881125484,0.0,0.003434192,-70.33333333333333,85.13584509522771,729926,21.38095238095238,80.29823937211833,14.864154904772276,0.40476190476190477,6188,16531.540598630905,82.5952380952381,0.0077487854,0.5952380952380952,0.0077487854
0.25351092,338196.75675675675,-38.94224926189266,0.0,0.0042497944,-71.10810810810811,86.10895655321796,739950,21.37837837837838,80.2950075287032,13.891043446782062,0.7567567567567568,6225,16643.873120307922,82.56756756756756,0.007974555,0.24324324324324326,0.007974555
0.26858148,335207.7837837838,-38.35082370925971,0.0,0.0035335808,-69.16216216216216,84.47739933670472,749994,22.10810810810811,79.61593298400162,15.522600663295263,0.7027027027027027,6262,16755.05036497116,81.83783783783784,0.007485318,0.2972972972972973,0.007485318
0.25226808,339668.2926829268,-40.00253321275376,0.0,0.0035026078,-71.14634146341463,85.77802977475729,759779,21.048780487804876,80.60787675510242,14.221970225242705,0.4634146341463415,6303,16878.475059986115,82.92682926829268,0.008164105,0.5365853658536586,0.008164105
0.22522852,337408.0,-38.931007302757635,0.0,0.0028949706,-69.275,84.10217635689354,769894,21.625,80.0760819471771,15.897823643106443,0.65,6343,16995.37536096573,82.375,0.005747943,0.35,0.005747943
0.21444224,338135.5789473684,-40.29474411499863,0.0,0.0043689627,-71.3157894736842,86.37511663504564,779777,21.42105263157895,80.25875575101634,13.62488336495435,0.7105263157894737,6381,17108.660667657852,82.55263157894737,0.008905953,0.2894736842105263,0.008905953
0.22849853,338841.6,-39.97260376853579,0.0,0.002882626,-70.9,85.69151111455483,789931,21.225,80.43882136207137,14.308488885445158,0.525,6421,17227.635748147964,82.725,0.0067400266,0.475,0.0067400266
