AttC,surrgain,TimestepsSoFar,MtR,optimgain,entropy,TimeElapsed,AttNC,TtR,entloss,meankl,Fce,EpisodesSoFar
0.024390243902439025,0.003169561,2369879,19.50008470072626,0.003169561,0.09901503,19784.075788497925,0.975609756097561,34.09756097560975,0.0,0.004500071,0.136390243902439,10930
0.06976744186046512,0.0052393647,2379888,18.409810754385024,0.0052393647,0.050790418,19876.159631967545,0.9302325581395349,32.25581395348837,0.0,0.007651752,0.1290232558139535,10973
0.024390243902439025,0.00429421,2389889,19.395356988612996,0.00429421,0.053668965,19943.419984340668,0.975609756097561,34.34146341463415,0.0,0.005941864,0.1373658536585366,11014
0.0,0.004405977,2399889,20.53241025961335,0.004405977,0.017014593,20022.8449344635,1.0,36.05,0.0,0.0063224765,0.1442,11054
0.024390243902439025,0.001933857,2409928,19.19672815195283,0.001933857,0.0076661604,20112.757007837296,0.975609756097561,33.829268292682926,0.0,0.005005821,0.13848405253283305,11095
0.047619047619047616,0.004280493,2419930,18.195580754218888,0.004280493,-0.032396268,20199.645050048828,0.9523809523809523,32.54761904761905,0.0,0.007302963,0.13019047619047625,11137
0.0,0.0051025134,2429930,20.262141560968878,0.0051025134,-0.024866335,20277.914186000824,1.0,36.225,0.0,0.00683116,0.14490000000000003,11177
0.11363636363636363,0.0055322014,2439803,17.413835253019442,0.0055322014,-0.017021269,20363.162549495697,0.8863636363636364,30.795454545454547,0.0,0.006378745,0.12889630913423714,11221
0.0,0.004952896,2449803,19.067269629336828,0.004952896,-0.005298065,20452.47194838524,1.0,33.475,0.0,0.0066098557,0.1339,11261
0.047619047619047616,0.0031894166,2459863,18.038079091146933,0.0031894166,0.024480836,20538.74391436577,0.9523809523809523,32.07142857142857,0.0,0.00469895,0.13175570739975637,11303
0.047619047619047616,0.005595903,2469865,18.538530291939043,0.005595903,0.047905095,20624.701115369797,0.9523809523809523,32.26190476190476,0.0,0.007600685,0.12904761904761908,11345
0.09090909090909091,0.004563493,2479869,19.248322547752238,0.004563493,0.07833738,20708.70596909523,0.9090909090909091,33.72727272727273,0.0,0.0060739443,0.15754545454545454,11389
0.024390243902439025,0.0036741553,2489870,19.121803669231866,0.0036741553,0.12895274,20787.382838010788,0.975609756097561,33.34146341463415,0.0,0.0071863113,0.13336585365853662,11430
0.024390243902439025,0.0059591453,2499873,20.045845260506415,0.0059591453,0.14107509,20868.819941997528,0.975609756097561,35.53658536585366,0.0,0.007146962,0.14214634146341465,11471
0.06976744186046512,0.0038443985,2509994,19.642665994192846,0.0038443985,0.130974,20955.08422756195,0.9302325581395349,34.41860465116279,0.0,0.0057600294,0.13916626820256467,11514
