AttNC,TimestepsSoFar,optimgain,MtR,entropy,EpisodesSoFar,TimeElapsed,TtR,Fce,entloss,AttC,surrgain,meankl
1.6590909090909092,2549913,0.0009279261,14.768853143310894,1.1217628,11454,16615.704711914062,77.5909090909091,0.10989913655612385,0.0,1.3409090909090908,0.0009279261,0.001664969
1.9534883720930232,2559944,0.0008999929,14.258161504829571,1.1524662,11497,16680.957901000977,75.27906976744185,0.1026340269277846,0.0,1.0465116279069768,0.0008999929,0.0019550188
1.75,2569972,0.0012967117,14.100826127495308,1.1408552,11541,16749.535833120346,74.5909090909091,0.10166507177033494,0.0,1.25,0.0012967117,0.0062477672
1.9767441860465116,2579987,0.0014340032,14.121463790435895,1.169176,11584,16808.045423269272,74.16279069767442,0.10211295681063129,0.0,1.0232558139534884,0.0014340032,0.0048393942
1.7209302325581395,2589757,0.0015070242,14.265128977819211,1.1658367,11627,16874.9165225029,74.51162790697674,0.112507399577167,0.0,1.2790697674418605,0.0015070242,0.0052537248
1.8372093023255813,2599902,0.0016572215,15.289328655060494,1.1714654,11670,16950.52468943596,79.67441860465117,0.11685443583118005,0.0,1.1627906976744187,0.0016572215,0.001448379
1.8372093023255813,2609931,0.00081214804,14.652969813792495,1.2074008,11713,17008.27870798111,76.11627906976744,0.10464162194394755,0.0,1.1627906976744187,0.00081214804,0.0023367936
1.9285714285714286,2619977,0.0012630473,15.074067259945908,1.2473838,11755,17072.954391479492,79.57142857142857,0.1086984126984127,0.0,1.0714285714285714,0.0012630473,0.0034948038
1.853658536585366,2629984,0.0011944193,16.0431810486884,1.2365724,11796,17135.624423503876,85.60975609756098,0.11414634146341467,0.0,1.146341463414634,0.0011944193,0.001421674
1.9069767441860466,2639999,0.0007080086,16.651580095597538,1.2354839,11839,17196.43949508667,85.95348837209302,0.12549280177187155,0.0,1.0930232558139534,0.0007080086,0.0014242308
1.574468085106383,2649877,0.0015873561,14.61481481172022,1.253306,11886,17272.067418813705,75.76595744680851,0.10949649075372443,0.0,1.425531914893617,0.0015873561,0.0016158976
1.7954545454545454,2659909,0.0011845886,15.451588406108295,1.2639188,11930,17332.255672693253,80.45454545454545,0.11069841269841274,0.0,1.2045454545454546,0.0011845886,0.0018551697
1.8780487804878048,2669759,0.00091149064,15.445934642703357,1.2656355,11971,17388.7703435421,79.53658536585365,0.11066013724464734,0.0,1.1219512195121952,0.00091149064,0.0029181356
1.8780487804878048,2679760,0.00052237726,17.133774546403927,1.2481799,12012,17461.70570921898,91.17073170731707,0.12156097560975612,0.0,1.1219512195121952,0.00052237726,0.0042975526
1.7555555555555555,2689827,0.0010815246,14.623448323961323,1.2343343,12057,17529.77836203575,77.66666666666667,0.10750976430976432,0.0,1.2444444444444445,0.0010815246,0.004796397
1.9024390243902438,2699836,0.00055685325,16.44089423774684,1.2378638,12098,17594.002912282944,85.53658536585365,0.11666124661246613,0.0,1.0975609756097562,0.00055685325,0.0030021989
1.6153846153846154,2709873,0.0007100675,12.639209870510786,1.224775,12150,17660.594037532806,64.96153846153847,0.09601304825442757,0.0,1.3846153846153846,0.0007100675,0.0015800832
1.75,2719919,0.001174679,14.925390106303418,1.228462,12194,17720.5210313797,78.88636363636364,0.113803666921314,0.0,1.25,0.001174679,0.0029285345
1.7555555555555555,2729778,0.00078350527,14.410718117717048,1.2321669,12239,17792.961312532425,74.86666666666666,0.10586401433295141,0.0,1.2444444444444445,0.00078350527,0.0054602833
2.0238095238095237,2739936,0.0010587451,16.60454397542178,1.2204148,12281,17862.505661964417,87.21428571428571,0.11755368814192346,0.0,0.9761904761904762,0.0010587451,0.0073305853
1.8,2749798,0.0009309015,14.361198231492017,1.2280307,12326,17922.5835916996,74.6,0.11501951298177714,0.0,1.2,0.0009309015,0.0010322421
1.5471698113207548,2759977,0.00061147666,12.23484503918021,1.200931,12379,17991.29403924942,64.69811320754717,0.10220812039302121,0.0,1.4528301886792452,0.00061147666,0.0026040676
1.8444444444444446,2769757,0.0011378784,14.153879431037085,1.1816266,12424,18060.24901366234,72.6,0.128183164983165,0.0,1.1555555555555554,0.0011378784,0.0014967496
1.5434782608695652,2779799,0.000587751,15.689430236480714,1.1723179,12470,18126.18215227127,82.43478260869566,0.11689855072463766,0.0,1.4565217391304348,0.000587751,0.002063486
1.9545454545454546,2789821,0.0008451159,13.655158214675117,1.1816405,12514,18196.79887366295,71.6590909090909,0.0988601398601399,0.0,1.0454545454545454,0.0008451159,0.0033396755
1.7954545454545454,2799806,0.0007928762,14.343282280938256,1.1818311,12558,18262.294865608215,74.5909090909091,0.10408068521120097,0.0,1.2045454545454546,0.0007928762,0.0024860993
1.9318181818181819,2809876,0.0014691335,14.103612467096623,1.2133788,12602,18326.008944511414,73.8409090909091,0.10643143578737685,0.0,1.0681818181818181,0.0014691335,0.0044997795
1.8095238095238095,2819898,0.0013788086,15.733389177569983,1.2225237,12644,18397.78799366951,83.57142857142857,0.11441269841269844,0.0,1.1904761904761905,0.0013788086,0.0025930104
1.8837209302325582,2829907,0.0013594782,15.157432005764376,1.1988099,12687,18455.924248456955,79.25581395348837,0.1102325581395349,0.0,1.1162790697674418,0.0013594782,0.0019072078
1.8604651162790697,2839922,0.00070587156,15.114572207664896,1.2059878,12730,18523.114635944366,78.83720930232558,0.10760723514211888,0.0,1.1395348837209303,0.00070587156,0.0017132121
2.0,2849949,0.00077875046,14.915429254195601,1.2077742,12773,18586.663566350937,78.4186046511628,0.10908200734394127,0.0,1.0,0.00077875046,0.0020058362
1.5333333333333334,2859976,0.001855479,15.508665583864838,1.1832167,12818,18653.84233236313,81.4,0.11131851851851851,0.0,1.4666666666666666,0.001855479,0.0055213324
1.9047619047619047,2869765,0.0005577932,14.844553055427157,1.1846466,12860,18723.643144607544,76.14285714285714,0.10698332666399897,0.0,1.0952380952380953,0.0005577932,0.009362268
1.75,2879809,0.0012479771,15.810192539447128,1.1795125,12904,18782.68842625618,82.43181818181819,0.11188429752066117,0.0,1.25,0.0012479771,0.005685691
1.673913043478261,2889915,0.00097566895,14.257187320087223,1.1848707,12950,18848.889795541763,74.8695652173913,0.10651426295309008,0.0,1.326086956521739,0.00097566895,0.006050037
1.62,2899983,0.0005946589,12.689145922584977,1.1939809,13000,18904.54473733902,66.36,0.0944450127877238,0.0,1.38,0.0005946589,0.001335855
1.7872340425531914,2909863,0.00077845255,14.040199753390874,1.1951907,13047,18983.53773379326,73.02127659574468,0.1102886813529838,0.0,1.2127659574468086,0.00077845255,0.00092905556
1.6595744680851063,2919751,0.0015734853,13.875091834626485,1.1634487,13094,19043.49271440506,72.31914893617021,0.10539306561045113,0.0,1.3404255319148937,0.0015734853,0.003920203
1.6590909090909092,2929843,0.001145931,15.657301143220598,1.1550303,13138,19114.710427045822,81.61363636363636,0.13882393493031792,0.0,1.3409090909090908,0.001145931,0.0051431363
1.9523809523809523,2939857,0.0009708628,14.488269523566002,1.1500208,13180,19176.14326953888,76.35714285714286,0.10180952380952385,0.0,1.0476190476190477,0.0009708628,0.0013387576
1.8636363636363635,2949921,0.0010735998,13.60475386139496,1.1598555,13224,19241.483855724335,69.61363636363636,0.09688675452311818,0.0,1.1363636363636365,0.0010735998,0.0030381144
