TimestepsSoFar,TimeElapsed,meankl,entloss,Fce,entropy,optimgain,AttNC,surrgain,EpisodesSoFar,TtR,AttC,MtR
1339927,17672.050590991974,0.010174781,0.0,0.16263414634146345,7.1591825,1.159668e-08,3.268292682926829,1.159668e-08,5674,406.5853658536585,6.7317073170731705,23.54207636110836
1349998,17797.054654359818,0.010174781,0.0,0.17801855032634836,7.1591825,1.159668e-08,3.951219512195122,1.159668e-08,5715,439.5121951219512,6.048780487804878,25.366097721103593
1359998,17943.308892965317,0.0,0.0,0.17230000000000004,7.159356,-9.841919e-09,3.4,-9.841919e-09,5755,430.75,6.6,24.645794489889447
1369998,18096.700891017914,0.0,0.0,0.1616,7.159356,-7.7056885e-09,3.425,-7.7056885e-09,5795,404.0,6.575,23.23351978765106
1379851,18230.341049194336,0.008933077,0.0,0.16155776638737052,7.2568274,5.5694582e-09,2.619047619047619,5.5694582e-09,5837,379.76190476190476,7.380952380952381,22.01120836040078
1389890,18357.07928419113,0.008933077,0.0,0.1724928080050031,7.2568274,5.5694582e-09,3.4390243902439024,5.5694582e-09,5878,424.6341463414634,6.560975609756097,24.4446033055816
1399897,18487.75004529953,0.008933416,0.0,0.16885017421602788,7.354451,5.340576e-09,3.1463414634146343,5.340576e-09,5919,413.6585365853659,6.853658536585366,23.67801581626392
1409930,18600.578788995743,0.008933416,0.0,0.15855136733185513,7.354451,5.340576e-09,3.3658536585365852,5.340576e-09,5960,393.1707317073171,6.634146341463414,22.741860295019194
1419930,18737.86322259903,0.008933204,0.0,0.1666,7.45201,-2.89917e-09,3.55,-2.89917e-09,6000,416.5,6.45,24.127107964841663
1429831,18863.240898370743,0.008933196,0.0,0.15734827778678045,7.5496364,-7.3242186e-09,2.8181818181818183,-7.3242186e-09,6044,364.3181818181818,7.181818181818182,20.992549597244334
1439945,18995.323076725006,0.008933196,0.0,0.17441537063759285,7.5496364,-7.3242186e-09,3.4761904761904763,-7.3242186e-09,6086,425.95238095238096,6.523809523809524,24.25452322257863
1449823,19115.188719511032,0.0023053885,0.0,0.15930656111349945,7.5983114,0.0,2.902439024390244,0.0,6127,382.9268292682927,7.097560975609756,22.190931523549484
1459823,19246.446479797363,0.0023053885,0.0,0.1618,7.5983114,0.0,3.325,0.0,6167,404.5,6.675,22.76839075865107
1469881,19365.64309000969,0.010174863,0.0,0.1623001443001443,7.500815,8.392334e-09,3.5,8.392334e-09,6209,398.3333333333333,6.5,23.064324429623674
1479881,19499.68200993538,0.010174863,0.0,0.17109999999999997,7.500815,8.392334e-09,3.4,8.392334e-09,6249,427.75,6.6,24.448879166122616
1489915,19618.68521785736,0.008933102,0.0,0.1551557648700506,7.5983114,0.0,2.9047619047619047,0.0,6291,380.95238095238096,7.095238095238095,21.678368548339154
1499915,19750.423811912537,0.008933204,0.0,0.16030000000000005,7.695934,9.765625e-09,3.35,9.765625e-09,6331,400.75,6.65,23.131186719866943
1509936,19877.013654470444,0.008933204,0.0,0.16523112659698022,7.79349,-7.5531e-09,3.268292682926829,-7.5531e-09,6372,402.4390243902439,6.7317073170731705,23.049995312278266
1519949,20000.556457042694,0.008933196,0.0,0.17346341463414636,7.891116,5.340576e-09,3.707317073170732,5.340576e-09,6413,433.6585365853659,6.2926829268292686,25.451574880051755
1529949,20114.118503808975,0.008933196,0.0,0.15620000000000003,7.891116,5.340576e-09,2.875,5.340576e-09,6453,390.5,7.125,22.424952412902527
