entropy,AttNC,entloss,surrgain,meankl,AttC,Fce,TimeElapsed,TtR,MtR,optimgain,EpisodesSoFar,TimestepsSoFar
0.5682047,10.0,0.0,0.00049429905,0.008933196,0.0,0.9988000000000001,16321.525158405304,2497.0,142.71170620549984,0.00049429905,2440,479755
0.4706114,9.75609756097561,0.0,7.489082e-05,0.010174863,0.24390243902439024,0.9836747967479674,16602.077825546265,2432.439024390244,139.0734539228229,7.489082e-05,2481,489770
0.3730172,9.975,0.0,7.272537e-05,0.010174781,0.025,0.9985999999999999,16884.669349193573,2496.5,142.6655021090019,7.272537e-05,2521,499770
0.34862134,10.0,0.0,1.0395431e-06,0.00060510635,0.0,0.9994,17259.482168912888,2498.5,142.79078937707612,1.0395431e-06,2561,509770
0.2510336,9.75609756097561,0.0,0.000118186035,0.010174863,0.24390243902439024,0.9918699186991871,17547.01245212555,2439.512195121951,139.4421214753109,0.000118186035,2602,519773
0.20223875,10.0,0.0,3.7251282e-06,0.0024603605,0.0,1.0,17854.33501434326,2500.0,142.8784238871937,3.7251282e-06,2642,529773
0.2998241,10.0,0.0,0.0004508862,0.008933204,0.0,0.9999,18141.85415506363,2499.75,142.86151401571388,0.0004508862,2682,539773
0.20223875,10.0,0.0,0.0006678541,0.01017476,0.0,0.9997,18456.52247953415,2499.25,142.84860848739078,0.0006678541,2722,549773
0.2998241,10.0,0.0,0.0006788427,0.008933196,0.0,1.0,18764.493321418762,2500.0,142.8784238871937,0.0006788427,2762,559773
0.20223875,10.0,0.0,3.0282592e-05,0.01017476,0.0,0.9998999999999999,19078.798850297928,2499.75,142.85877002600154,3.0282592e-05,2802,569773
0.10464758,10.0,0.0,0.00046556507,0.01017476,0.0,1.0,19399.957537174225,2500.0,142.8784238871937,0.00046556507,2842,579773
0.20223878,10.0,0.0,0.00016576856,0.008933204,0.0,1.0,19686.924533367157,2500.0,142.8784238871937,0.00016576856,2882,589773
0.10464758,10.0,0.0,2.160431e-05,0.010174863,0.0,1.0,19979.887917995453,2500.0,142.8784238871937,2.160431e-05,2922,599773
0.007058101,10.0,0.0,0.00031203544,0.010174781,0.0,1.0,20288.540234327316,2500.0,142.8784238871937,0.00031203544,2962,609773
0.10464772,10.0,0.0,0.0002887597,0.008933204,0.0,1.0,20600.533622980118,2500.0,142.8784238871937,0.0002887597,3002,619773
0.007058317,10.0,0.0,0.00024249927,0.01017476,0.0,1.0,20920.220948696136,2500.0,142.8784238871937,0.00024249927,3042,629773
-0.09053105,10.0,0.0,0.0006783035,0.010174781,0.0,1.0,21237.110265254974,2500.0,142.8784238871937,0.0006783035,3082,639773
0.007058317,10.0,0.0,0.00060345756,0.008933196,0.0,1.0,21539.19694542885,2500.0,142.8784238871937,0.00060345756,3122,649773
0.10464772,10.0,0.0,0.00014050602,0.008933204,0.0,1.0,21822.736765623093,2500.0,142.8784238871937,0.00014050602,3162,659773
0.007058317,10.0,0.0,0.00028718603,0.01017476,0.0,0.9999,22137.81270122528,2499.75,142.8569142823958,0.00028718603,3202,669773
