EpisodesSoFar,AttNC,MtR,TimeElapsed,TimestepsSoFar,optimgain,Fce,entloss,surrgain,AttC,TtR,meankl,entropy
12951,0.975609756097561,17.859192613374034,11627.896525382996,2649831,0.004790834,0.12478048780487806,0.0,0.004790834,0.024390243902439025,31.195121951219512,0.0033540605,0.50423884
12998,0.851063829787234,15.426940061301117,11671.643765449524,2659906,0.0056302035,0.11280356259277588,0.0,0.0056302035,0.14893617021276595,27.319148936170212,0.0038792214,0.5140406
13042,0.9090909090909091,16.448060617074745,11713.009571790695,2669928,0.0037142716,0.11951196172248803,0.0,0.0037142716,0.09090909090909091,28.772727272727273,0.003029043,0.5105614
13086,0.9090909090909091,16.580467664314952,11756.46117067337,2679932,0.0048625655,0.11527272727272729,0.0,0.0048625655,0.09090909090909091,28.818181818181817,0.003048413,0.49969736
13130,0.9090909090909091,16.902152845893877,11801.576510190964,2689938,0.0037154176,0.11836363636363637,0.0,0.0037154176,0.09090909090909091,29.59090909090909,0.0022583087,0.48836958
13173,0.9302325581395349,16.75214692213327,11848.374030590057,2699941,0.005156778,0.11832558139534888,0.0,0.005156778,0.06976744186046512,29.58139534883721,0.0053598555,0.5113228
13219,0.8695652173913043,16.905536066289333,11888.937098741531,2709947,0.0038227318,0.11747826086956524,0.0,0.0038227318,0.13043478260869565,29.369565217391305,0.0028964996,0.501475
13261,0.9523809523809523,17.738623913706537,11928.435473918915,2719949,0.0037907616,0.12133333333333336,0.0,0.0037907616,0.047619047619047616,30.333333333333332,0.002609003,0.5123598
13307,0.8695652173913043,16.44111360852531,11976.627053022385,2729955,0.0054111113,0.11295652173913043,0.0,0.0054111113,0.13043478260869565,28.23913043478261,0.006339364,0.5345066
13353,0.8695652173913043,16.753325593191178,12024.149335861206,2739963,0.0048891497,0.11747826086956524,0.0,0.0048891497,0.13043478260869565,29.369565217391305,0.0032085392,0.5257479
13396,0.9302325581395349,18.390364836908386,12063.503772735596,2749966,0.0053069093,0.12911627906976744,0.0,0.0053069093,0.06976744186046512,32.27906976744186,0.0036723367,0.5236625
13447,0.7843137254901961,15.428199921435086,12106.29096531868,2759983,0.004935719,0.10941176470588239,0.0,0.004935719,0.21568627450980393,27.352941176470587,0.0039028004,0.54137963
13494,0.851063829787234,16.82648412404228,12154.59106516838,2769990,0.0033380257,0.11778723404255319,0.0,0.0033380257,0.14893617021276595,29.4468085106383,0.0035898404,0.51318055
