entloss,TtR,TimestepsSoFar,TimeElapsed,entropy,surrgain,meankl,optimgain,AttC,EpisodesSoFar,Fce,AttNC,MtR
0.0,80.53333333333333,1269803,8099.233939170837,1.4415632,0.0008937088,0.0025537058,0.0008937088,1.4666666666666666,5949,0.14021449464254512,1.5333333333333334,15.478940758529568
0.0,80.93333333333334,1279822,8162.783729314804,1.4330618,0.0006969485,0.0046951924,0.0006969485,1.4666666666666666,5994,0.10791111111111112,1.5333333333333334,15.578623868061833
0.0,79.3125,1289916,8224.450942516327,1.428176,0.001343053,0.0048661353,0.001343053,1.5,6042,0.12279533760635138,1.5,14.981136116900016
0.0,83.34782608695652,1299990,8282.108107566833,1.429676,0.00038889554,0.00072523055,0.00038889554,1.4565217391304348,6088,0.14257891790884117,1.5434782608695652,16.046613030098595
0.0,87.21428571428571,1309915,8356.990932941437,1.4213021,0.00048511892,0.0010048299,0.00048511892,1.2619047619047619,6130,0.11976893847522033,1.7380952380952381,16.717135224539952
0.0,75.86666666666666,1319938,8415.898887872696,1.4226937,0.00066738407,0.002986053,0.00066738407,1.2,6175,0.1097072310405644,1.8,14.561492654305342
0.0,76.73333333333333,1329975,8476.632057905197,1.4190586,0.00019341584,0.0003071162,0.00019341584,1.3333333333333333,6220,0.1291506715506716,1.6666666666666667,14.572941688597485
0.0,89.5,1339981,8535.706238508224,1.4123445,0.00030891012,0.00094722916,0.00030891012,1.2857142857142858,6262,0.1430476190476191,1.7142857142857142,16.86516919704889
0.0,82.77272727272727,1349798,8601.525899648666,1.4085664,0.00068481854,0.001469491,0.00068481854,1.3863636363636365,6306,0.1357032590051458,1.6136363636363635,15.708479786475221
0.0,84.14285714285714,1359804,8664.356038093567,1.3923723,0.00014433467,0.0035621088,0.00014433467,0.9761904761904762,6348,0.11219047619047623,2.0238095238095237,16.049052636445797
0.0,77.66666666666667,1369865,8732.724279642105,1.407182,0.0010063042,0.0020779597,0.0010063042,1.3111111111111111,6393,0.10547920227920228,1.6888888888888889,14.95646619977754
0.0,81.20930232558139,1379783,8791.047916650772,1.4079945,0.0008067724,0.0020483248,0.0008067724,1.1162790697674418,6436,0.11549104553151483,1.8837209302325582,15.598419671375874
0.0,91.88372093023256,1389790,8846.127439975739,1.3604643,0.00092275033,0.0037704012,0.00092275033,1.3953488372093024,6479,0.14567441860465116,1.6046511627906976,17.511635074949822
0.0,74.67391304347827,1399878,8922.500603675842,1.3513181,0.0006692749,0.0011409131,0.0006692749,1.1956521739130435,6525,0.11194628204239192,1.8043478260869565,14.27646545029569
0.0,88.97560975609755,1409881,8985.591597557068,1.3592622,0.0006765495,0.0020637924,0.0006765495,1.024390243902439,6566,0.11863414634146348,1.975609756097561,16.990720324781233
0.0,83.33333333333333,1419912,9050.791002988815,1.3309443,0.0006801468,0.0016654009,0.0006801468,1.288888888888889,6611,0.1111111111111111,1.711111111111111,15.940269283381358
0.0,77.68085106382979,1429945,9108.663470745087,1.3238401,0.00077485136,0.001715945,0.00077485136,1.4680851063829787,6658,0.10542359767891685,1.5319148936170213,14.852689165901179
0.0,81.1304347826087,1439916,9176.294036865234,1.3512079,0.000632224,0.0026378753,0.000632224,1.5,6704,0.11511730345390936,1.5,15.527210638620653
0.0,84.14285714285714,1449928,9238.988824129105,1.3320805,0.00043176574,0.0048410646,0.00043176574,1.2380952380952381,6746,0.11219047619047623,1.7619047619047619,16.352066826013488
0.0,76.6,1459941,9304.795499324799,1.3082277,0.0004778473,0.0028951652,0.0004778473,1.2,6791,0.10648888888888892,1.8,14.808493531355992
0.0,84.21428571428571,1469973,9367.54583621025,1.300252,0.00038204092,0.0008686896,0.00038204092,1.1428571428571428,6833,0.11497695852534566,1.8571428571428572,16.195554520308896
0.0,77.5609756097561,1479771,9426.173966407776,1.3665774,0.00074355595,0.0055139447,0.00074355595,0.9024390243902439,6874,0.10829336279425514,2.097560975609756,14.879292539369178
0.0,83.30232558139535,1489786,9493.62475347519,1.3995354,0.00056281075,0.0017618418,0.00056281075,1.1627906976744187,6917,0.11106976744186046,1.8372093023255813,16.085980224838465
0.0,79.06666666666666,1499797,9556.367774248123,1.3994044,0.0021066356,0.0056641023,0.0021066356,1.488888888888889,6962,0.12755555555555556,1.511111111111111,15.04814167591252
0.0,83.8,1510000,9612.922971010208,1.3890747,0.00060352834,0.0041243006,0.00060352834,1.3555555555555556,7007,0.1167103936866649,1.6444444444444444,15.880118282141494
0.0,75.6734693877551,1519958,9681.861939430237,1.377552,0.0007059342,0.0007636034,0.0007059342,1.5510204081632653,7056,0.10963934892918464,1.4489795918367347,14.596197107012113
0.0,87.97674418604652,1529752,9740.839562654495,1.3754884,0.00085371296,0.0068596643,0.00085371296,1.5116279069767442,7099,0.12441782162712399,1.4883720930232558,16.611462542588125
0.0,81.27906976744185,1539759,9809.552249193192,1.382456,0.000113330076,0.00042115702,0.000113330076,1.4186046511627908,7142,0.1315348837209302,1.5813953488372092,15.224670883444333
0.0,77.21739130434783,1549811,9875.833427667618,1.4107696,0.00023719648,0.0009056703,0.00023719648,1.3695652173913044,7188,0.12872750437967828,1.6304347826086956,14.714262017465817
0.0,91.90243902439025,1559812,9934.163701534271,1.4403536,0.00037065303,0.004636826,0.00037065303,1.2195121951219512,7229,0.14682926829268295,1.7804878048780488,17.434810359632177
0.0,80.30232558139535,1569925,9996.74465751648,1.4360322,0.0010862818,0.0071178186,0.0010862818,1.2093023255813953,7272,0.11011298739529533,1.7906976744186047,15.482492940741919
0.0,79.76086956521739,1579918,10067.483101844788,1.4436405,0.0011377919,0.002861111,0.0011377919,1.3478260869565217,7318,0.1290423728159357,1.6521739130434783,15.14513808605997
0.0,76.46666666666667,1589798,10125.588813304901,1.4350963,0.0006733561,0.0023428025,0.0006733561,1.3333333333333333,7363,0.10792496002232313,1.6666666666666667,14.548094276394075
0.0,82.95348837209302,1599803,10193.45337510109,1.4346948,0.0016601166,0.0037467799,0.0016601166,1.255813953488372,7406,0.11060465116279074,1.744186046511628,15.739321000380768
0.0,85.88372093023256,1609824,10251.592804908752,1.41919,0.00083954923,0.0039006306,0.00083954923,1.2790697674418605,7449,0.11596899224806202,1.7209302325581395,16.57786509157143
0.0,83.25,1619836,10311.56223154068,1.4105128,0.0007545578,0.0059444825,0.0007545578,1.1590909090909092,7493,0.14112121212121215,1.8409090909090908,15.956855863670018
0.0,93.85714285714286,1629954,10374.929451465607,1.4121182,0.001559823,0.0062461807,0.001559823,1.3095238095238095,7535,0.1299239006607428,1.6904761904761905,18.220432203296703
