AttC,EpisodesSoFar,Ptt,optimgain,TimeElapsed,MtR,AttNC,surrgain,TtR,TimestepsSoFar,entloss,MpbtN,MpbtA,Tbt,entropy,meankl,Tmc,Tmt
1.6744186046511629,4733,74.45997814297426,0.0033052745,12716.290626049042,-28.233368250905134,1.3255813953488371,0.0033052745,-140.7906976744186,549829,0.0,61.458102848278116,38.5418971517219,312724.83720930235,0.32237527,0.0039870664,27.651162790697676,76.34883720930233
1.6744186046511629,4776,75.42208474187224,0.0036984954,12853.10939669609,-29.353660261899567,1.3255813953488371,0.0036984954,-149.65116279069767,559899,0.0,64.26324103351591,35.736758966484096,317011.3488372093,0.31947824,0.0039843,26.627906976744185,77.3953488372093
1.7045454545454546,4820,74.59479971713834,0.0037098764,12990.376478433609,-27.92904717662555,1.2954545454545454,0.0037098764,-140.04545454545453,569918,0.0,60.8988325342397,39.1011674657603,313437.0909090909,0.30979973,0.0044598575,27.522727272727273,76.52272727272727
1.744186046511628,4863,75.09827675020499,0.0038040665,13126.811277151108,-27.812447769484823,1.255813953488372,0.0038040665,-139.53488372093022,579869,0.0,60.34971941431801,39.65028058568199,315582.511627907,0.29992715,0.0042217495,26.976744186046513,77.04651162790698
1.3777777777777778,4908,74.39325413244042,0.0033165878,13264.025954008102,-28.261521133716407,1.6222222222222222,0.0033165878,-136.8,589901,0.0,59.684531254731866,40.315468745268134,312479.2888888889,0.3035041,0.0032671606,27.733333333333334,76.28888888888889
1.5227272727272727,4952,74.17755098610046,0.0029224397,13398.934268951416,-26.65247772347051,1.4772727272727273,0.0029224397,-133.22727272727272,599972,0.0,58.39773528571361,41.602264714286406,311482.1818181818,0.31465918,0.0037335164,27.954545454545453,76.04545454545455
1.302325581395349,4995,74.98864673366069,0.002466027,13535.721397399902,-27.858997975463545,1.697674418604651,0.002466027,-137.72093023255815,609903,0.0,59.596964761919715,40.403035238080285,315106.23255813954,0.31382683,0.0028067497,27.093023255813954,76.93023255813954
1.119047619047619,5037,74.43265502038784,0.004536599,13669.04454421997,-26.91489500010944,1.880952380952381,0.004536599,-134.85714285714286,619782,0.0,58.93389475631627,41.06610524368372,312661.3333333333,0.34265164,0.0059633562,27.69047619047619,76.33333333333333
1.8666666666666667,5082,75.22248903676396,0.0036429854,13801.601482391357,-26.624312822438085,1.1333333333333333,0.0036429854,-133.46666666666667,629783,0.0,57.54390665495222,42.45609334504779,316120.1777777778,0.33445463,0.005626346,26.844444444444445,77.17777777777778
1.4523809523809523,5124,75.84944976043546,0.003392281,13932.851452350616,-28.620714743471314,1.5476190476190477,0.003392281,-148.07142857142858,639801,0.0,63.277425716444384,36.722574283555595,318805.3333333333,0.31144622,0.005724824,26.166666666666668,77.83333333333333
1.6046511627906976,5167,75.37483788479683,0.0033995737,14065.291237592697,-27.72198940578996,1.3953488372093024,0.0033995737,-139.46511627906978,649778,0.0,60.053054038041836,39.946945961958164,316725.5813953488,0.3124627,0.003985125,26.674418604651162,77.32558139534883
1.3636363636363635,5211,74.52495657458265,0.004139143,14198.748846054077,-27.361819314274353,1.6363636363636365,0.004139143,-134.9318181818182,659984,0.0,58.78557311192923,41.2144268880708,313064.7272727273,0.3370092,0.004429595,27.59090909090909,76.43181818181819
