EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
14644,78.13636363636364,0.1309098679098679,3189878,16464.45537519455,14.74721497004037,0.000821564,0.0,1.7954545454545454,0.000821564,0.0013800766,1.2045454545454546,1.2590458
14687,81.83720930232558,0.11353672316384181,3199953,16515.693140745163,15.561322186528162,0.0012070485,0.0,1.813953488372093,0.0012070485,0.003390413,1.186046511627907,1.2815747
14729,76.78571428571429,0.10467331118493914,3209999,16565.636353969574,14.604807998591566,0.0017262003,0.0,2.0952380952380953,0.0017262003,0.002426706,0.9047619047619048,1.3177594
14769,81.825,0.1117777777777778,3219758,16613.71323823929,15.452805006656305,5.820821e-05,0.0,2.075,5.820821e-05,0.0022330391,0.925,1.318675
14811,75.07142857142857,0.10009523809523813,3229764,16661.984724521637,14.226426778918654,0.00050918985,0.0,1.9761904761904763,0.00050918985,0.0052018627,1.0238095238095237,1.3291737
14855,79.8409090909091,0.10932698526769678,3239802,16714.79501271248,15.184291147895237,0.0011827962,0.0,1.6363636363636365,0.0011827962,0.005485196,1.3636363636363635,1.3148576
14898,78.90697674418605,0.11033132196092504,3249857,16764.835290193558,15.129978452319612,0.0006673579,0.0,1.7906976744186047,0.0006673579,0.0026796549,1.2093023255813953,1.362989
14942,82.8409090909091,0.11045454545454549,3259869,16817.359189510345,15.63412040587353,0.00086971436,0.0,1.7045454545454546,0.00086971436,0.0039780526,1.2954545454545454,1.3211677
14989,68.23404255319149,0.09376291793313075,3269902,16866.51337003708,13.186901043757702,0.0011936808,0.0,1.851063829787234,0.0011936808,0.0060944473,1.148936170212766,1.3680422
15032,79.74418604651163,0.11137442402558681,3279953,16917.391952753067,15.145524774361526,0.0006553853,0.0,1.744186046511628,0.0006553853,0.0023598764,1.255813953488372,1.3886606
15076,78.20454545454545,0.11106112069748432,3289987,16969.273614645004,14.815534202025491,0.0006902228,0.0,1.6818181818181819,0.0006902228,0.002883344,1.3181818181818181,1.3763307
15117,86.78048780487805,0.11570731707317077,3299990,17027.367426156998,16.57750518869979,0.00027493286,0.0,1.7560975609756098,0.00027493286,0.0055555725,1.2439024390243902,1.3673211
