entropy,MtR,Tmt,TimestepsSoFar,Tbt,Ptt,EpisodesSoFar,AttNC,Tmc,MpbtA,TimeElapsed,TtR,optimgain,surrgain,AttC,MpbtN,meankl,entloss
0.2714948,-10.38222063191719,59.91803278688525,929867,245424.26229508198,58.40060177523259,7524,2.819672131147541,45.114754098360656,74.21187372971985,33875.588097810745,-156.0655737704918,0.0020604194,0.0020604194,7.180327868852459,25.788126270280152,0.004394207,0.0
0.26414517,-10.12312654141747,58.83870967741935,939924,241003.35483870967,57.39192991003037,7586,4.82258064516129,46.17741935483871,75.21123789669024,34211.89211273193,-146.61290322580646,0.0020979242,0.0020979242,5.17741935483871,24.78876210330978,0.0052298,0.0
0.25396988,-10.53073125956329,57.666666666666664,949878,236202.66666666666,56.243495434633935,7646,5.266666666666667,47.43333333333333,74.56427443344016,34559.67616033554,-146.66666666666666,0.0020045035,0.0020045035,4.733333333333333,25.435725566559825,0.0052684704,0.0
0.30005223,-10.30424872568784,56.87301587301587,959906,232951.87301587302,55.45063741663486,7709,5.380952380952381,48.317460317460316,75.54300138985715,34912.98376441002,-139.36507936507937,0.0031104467,0.0031104467,4.619047619047619,24.456998610142854,0.007542204,0.0
0.2669693,-11.734835201291501,59.134328358208954,969855,242214.20895522388,57.662989819800046,7776,3.626865671641791,45.8955223880597,71.2073057672809,35262.898282289505,-174.47761194029852,0.0025716096,0.0025716096,6.373134328358209,28.79269423271914,0.006273507,0.0
0.258578,-9.669153327320139,59.28125,979938,242816.0,57.80379272869431,7840,4.453125,45.75,77.23463508996838,35601.07472419739,-135.3125,0.0022369174,0.0022369174,5.546875,22.765364910031636,0.0069323583,0.0
0.2707266,-10.10272384772561,56.666666666666664,989977,232106.66666666666,55.26704514267328,7906,3.3636363636363638,48.5,75.19029208210189,35945.802324295044,-140.6060606060606,0.0026935781,0.0026935781,6.636363636363637,24.8097079178981,0.005012312,0.0
0.26358905,-9.271703131383193,57.682539682539684,999895,236267.68253968254,56.276695112791955,7969,2.9365079365079363,47.38095238095238,77.13294218019983,36296.68600440025,-132.53968253968253,0.0018867827,0.0018867827,7.063492063492063,22.867057819800163,0.004633441,0.0
0.2552561,-11.154984898890511,57.484848484848484,1009877,235457.9393939394,56.078387310952515,8035,3.1515151515151514,47.60606060606061,73.55516217884183,36636.69724774361,-152.27272727272728,0.0020476468,0.0020476468,6.848484848484849,26.44483782115818,0.0048393193,0.0
0.29897764,-9.845759034148102,57.71212121212121,1019966,236388.84848484848,56.27873936471166,8101,4.348484848484849,47.40909090909091,77.38715019574559,36969.85989189148,-130.3030303030303,0.0022139256,0.0022139256,5.651515151515151,22.612849804254385,0.005690167,0.0
0.28338438,-9.138711126559262,57.796875,1029845,236736.0,56.37083201836394,8165,3.515625,47.296875,78.1147729124677,37280.455607652664,-126.5625,0.0013688104,0.0013688104,6.484375,21.88522708753231,0.0041200337,0.0
0.2736902,-9.25685536328698,56.92424242424242,1039895,233161.69696969696,55.51701713526139,8231,2.8636363636363638,48.22727272727273,77.64000887051424,37608.88764500618,-127.27272727272727,0.0017538483,0.0017538483,7.136363636363637,22.35999112948576,0.0036085432,0.0
0.27227166,-9.257810717666137,55.89230769230769,1049956,228934.8923076923,54.488855833332686,8296,3.4923076923076923,49.36923076923077,77.30255218755521,37941.49263262749,-126.92307692307692,0.0017473886,0.0017473886,6.507692307692308,22.69744781244481,0.0043748864,0.0
0.29987538,-8.867778668731406,57.10769230769231,1059881,233913.1076923077,55.683163597208555,8361,4.723076923076923,48.06153846153846,78.48280693277759,38281.62130570412,-123.23076923076923,0.0022459328,0.0022459328,5.276923076923077,21.517193067222397,0.0055647776,0.0
0.27372718,-12.023069505605445,58.65714285714286,1069921,240259.65714285715,57.194037349978345,8431,1.957142857142857,46.41428571428571,70.14768691924121,38640.60140538216,-176.85714285714286,0.0033736015,0.0033736015,8.042857142857143,29.852313080758787,0.007156067,0.0
0.27381632,-9.825795904401838,56.784615384615385,1079940,232589.78461538462,55.39904856825263,8496,3.9076923076923076,48.33846153846154,76.03920395530028,39006.13660407066,-136.30769230769232,0.0016999219,0.0016999219,6.092307692307692,23.96079604469972,0.0048003076,0.0
0.26673245,-9.299896714529817,56.31818181818182,1089984,230679.27272727274,54.95890231647508,8562,3.6515151515151514,48.803030303030305,77.38326605271125,39375.67140889168,-127.87878787878788,0.0019005225,0.0019005225,6.348484848484849,22.616733947288747,0.0058691204,0.0
0.30425882,-8.535465372119791,55.276923076923076,1099910,226414.27692307692,53.894242122608986,8627,5.0,50.01538461538462,79.4710922126306,39753.612817525864,-113.38461538461539,0.0026074343,0.0026074343,5.0,20.528907787369402,0.006453468,0.0
0.31353566,-10.590517474816188,59.26229508196721,1109824,242738.3606557377,57.76436612173123,8688,4.262295081967213,45.80327868852459,73.87003130984195,40131.99786758423,-156.39344262295083,0.0023409259,0.0023409259,5.737704918032787,26.12996869015804,0.0051901527,0.0
0.32389084,-9.857244679249483,58.12698412698413,1119899,238088.12698412698,56.6720615410316,8751,4.238095238095238,46.98412698412698,75.98075025428184,40502.82949900627,-140.31746031746033,0.0029956547,0.0029956547,5.761904761904762,24.01924974571814,0.006176105,0.0
0.31313348,-9.59922299419197,58.17460317460318,1129831,238283.17460317462,56.73253088600136,8814,4.26984126984127,46.904761904761905,76.55209837546438,40879.22869229317,-136.984126984127,0.0017938482,0.0017938482,5.73015873015873,23.44790162453563,0.004381788,0.0
0.2729115,-9.618142501162827,58.78125,1139922,240768.0,57.31113259006383,8878,3.171875,46.28125,76.13458743585203,41258.231615781784,-142.5,0.0019681184,0.0019681184,6.828125,23.86541256414795,0.0049446495,0.0
0.26173458,-9.078132664829399,57.640625,1149894,236096.0,56.22991870029871,8942,4.234375,47.4375,78.29485951103624,41639.32317495346,-125.78125,0.0019495577,0.0019495577,5.765625,21.705140488963757,0.0042533544,0.0
0.2788701,-9.142098454995342,56.04615384615385,1159940,229565.04615384617,54.672289137467374,9007,5.1692307692307695,49.13846153846154,78.1097383808199,42010.983003377914,-122.76923076923077,0.002976303,0.002976303,4.8307692307692305,21.89026161918008,0.0069403,0.0
0.25621867,-9.65343179322178,58.301587301587304,1169903,238803.3015873016,56.84820017999188,9070,2.8412698412698414,46.79365079365079,75.81364233101331,42378.165476083755,-141.9047619047619,0.0021102645,0.0021102645,7.158730158730159,24.1863576689867,0.005442132,0.0
0.24106434,-9.942800241830806,56.646153846153844,1179982,232022.64615384614,55.252741407372255,9135,3.4,48.50769230769231,75.78500250678353,42740.238679647446,-137.3846153846154,0.002340874,0.002340874,6.6,24.214997493216465,0.0053769355,0.0
0.2750423,-8.985779111231402,56.859375,1189905,232896.0,55.47679732956438,9199,4.484375,48.25,78.55336884330944,43094.15567398071,-122.03125,0.0020351429,0.0020351429,5.515625,21.44663115669054,0.004852596,0.0
0.2670426,-8.982535410229199,58.203125,1199890,238400.0,56.76941420388964,9263,3.90625,46.859375,78.04875967219168,43378.5953874588,-127.65625,0.0021992573,0.0021992573,6.09375,21.95124032780832,0.0047314838,0.0
0.2814795,-8.994409141538696,56.6,1209904,231833.6,55.21900419831832,9328,3.4,48.53846153846154,77.77867560743246,43681.176315784454,-126.0,0.0024741574,0.0024741574,6.6,22.221324392567542,0.005292564,0.0
0.26212505,-9.624377090116983,58.46031746031746,1219893,239453.46031746033,56.995283811352316,9391,3.5714285714285716,46.63492063492063,76.06087966377257,43987.28734302521,-140.79365079365078,0.0016561374,0.0016561374,6.428571428571429,23.939120336227447,0.005155453,0.0
0.2512785,-8.522783906962722,57.54838709677419,1229862,235718.1935483871,56.11857681930398,9453,3.806451612903226,47.58064516129032,79.0806332444105,44294.763536691666,-121.93548387096774,0.0021440815,0.0021440815,6.193548387096774,20.919366755589483,0.005564929,0.0
0.27983743,-8.81863702654649,56.07936507936508,1239881,229701.07936507938,54.72236082498803,9516,3.746031746031746,49.06349206349206,78.20450437380609,44626.47173857689,-122.85714285714286,0.0018187332,0.0018187332,6.253968253968254,21.795495626193947,0.00575517,0.0
0.27472368,-9.402061405773697,58.703125,1249941,240448.0,57.25733006445676,9580,3.84375,46.328125,77.18343108668444,44948.635328531265,-134.6875,0.0016523974,0.0016523974,6.15625,22.816568913315574,0.0039333883,0.0
0.27331504,-9.664283496041548,57.796875,1259908,236736.0,56.33036973765722,9644,3.109375,47.375,76.13353793766002,45282.472980976105,-138.4375,0.0022232695,0.0022232695,6.890625,23.86646206233998,0.005823375,0.0
0.27328828,-8.628137424108978,57.796875,1269897,236736.0,56.3551690260074,9708,4.34375,47.328125,79.54282082941089,45620.14593863487,-118.90625,0.0015919256,0.0015919256,5.65625,20.457179170589082,0.0049725254,0.0
0.26398376,-8.947238632673711,56.33846153846154,1279845,230762.33846153846,54.94168261840621,9773,4.923076923076923,48.86153846153846,78.40603835373875,45963.85531544685,-122.0,0.0025246863,0.0025246863,5.076923076923077,21.593961646261278,0.0062293774,0.0
0.2622914,-8.848695763313325,54.5,1289896,223232.0,53.15561525205664,9837,3.90625,50.796875,77.72672815676378,46310.041021347046,-121.5625,0.0023442516,0.0023442516,6.09375,22.27327184323621,0.0059190076,0.0
0.24390902,-8.231826608872083,55.609375,1299968,227776.0,54.20367780813588,9901,4.953125,49.6875,79.47201646427862,46659.253054142,-113.90625,0.001976256,0.001976256,5.046875,20.527983535721376,0.0060041933,0.0
0.28294748,-8.984886760471174,55.65625,1309945,227968.0,54.309525619950634,9965,5.515625,49.515625,78.64873905453697,47008.508999824524,-118.90625,0.0029719928,0.0029719928,4.484375,21.351260945463014,0.0067219543,0.0
0.25512636,-8.516304738947694,57.140625,1319995,234048.0,55.73476535348392,10029,3.734375,47.984375,78.89945648208112,47337.14525151253,-120.625,0.0017941608,0.0017941608,6.265625,21.10054351791888,0.006449822,0.0
0.25633964,-8.113741872053472,56.3968253968254,1329983,231001.39682539683,55.03115099704457,10092,4.222222222222222,48.73015873015873,79.88018466458651,47664.299716711044,-113.33333333333333,0.0014596981,0.0014596981,5.777777777777778,20.119815335413445,0.003642437,0.0
0.25758117,-8.388824830823326,56.515625,1339932,231488.0,55.12159659630087,10156,5.203125,48.65625,79.92671873687459,47981.986072063446,-112.96875,0.0018647293,0.0018647293,4.796875,20.073281263125423,0.004851551,0.0
0.2833375,-8.707329924475076,56.46969696969697,1349888,231299.87878787878,55.05965622330501,10222,5.318181818181818,48.74242424242424,79.33789974562484,48284.544652462006,-116.36363636363636,0.0025051562,0.0025051562,4.681818181818182,20.662100254375186,0.006646253,0.0
