meankl,optimgain,surrgain,AttC,entropy,EpisodesSoFar,AttNC,MtR,TtR,Tmc,entloss,TimeElapsed,Ptt,TimestepsSoFar,Tbt,MpbtN,MpbtA,Tmt
0.0035143998,0.0039108763,0.0039108763,0.28205128205128205,0.22300698,4400,0.717948717948718,-40.00890518276952,-71.1025641025641,21.205128205128204,0.0,12116.612550735474,80.4575053810349,319911,338917.74358974356,85.91163692934202,14.088363070658001,82.74358974358974
0.0048230034,0.003961133,0.003961133,0.3,0.22611882,4440,0.7,-40.71365975956269,-72.3,20.475,0.0,12255.30688714981,81.13419679904457,329965,341811.2,86.61906779920531,13.38093220079468,83.45
0.0033980203,0.0043257996,0.0043257996,0.21052631578947367,0.2256948,4478,0.7894736842105263,-40.58691537163617,-70.89473684210526,21.526315789473685,0.0,12390.571692705154,80.15863763546861,339985,337596.63157894736,85.9758780421883,14.024121957811689,82.42105263157895
0.0017333239,0.0023703899,0.0023703899,0.32432432432432434,0.21255688,4515,0.6756756756756757,-39.85711785271018,-71.91891891891892,21.756756756756758,0.0,12522.17477965355,79.93872393559751,349882,336536.2162162162,87.51081357895357,12.489186421046446,82.16216216216216
0.0081366245,0.0028464906,0.0028464906,0.20512820512820512,0.15558289,4554,0.7948717948717948,-40.523130872302964,-73.12820512820512,20.46153846153846,0.0,12659.425780057907,81.14084582209135,359941,341753.4358974359,87.6284124318312,12.371587568168808,83.43589743589743
0.001771211,0.0007562603,0.0007562603,0.05714285714285714,0.16790695,4589,0.9428571428571428,-40.460496281984625,-73.91428571428571,20.62857142857143,0.0,12780.908972263336,80.98619296296562,369927,341138.28571428574,88.75645297155178,11.243547028448202,83.28571428571429
0.008545668,0.0085180355,0.0085180355,0.0,0.24540061,4623,1.0,-39.80279774651631,-74.5,21.176470588235293,0.0,12909.119178533554,80.47562893625785,379800,338883.76470588235,90.04006157087919,9.959938429120804,82.73529411764706
0.0036925056,0.0053937896,0.0053937896,0.10810810810810811,0.19836688,4660,0.8918918918918919,-41.24888790408819,-73.29729729729729,21.054054054054053,0.0,13048.013677597046,80.5920753855634,389800,339414.4864864865,88.4571828712495,11.54281712875051,82.86486486486487
0.0023353475,0.0019159394,0.0019159394,0.02857142857142857,0.17564248,4695,0.9714285714285714,-40.61574201234136,-73.37142857142857,21.257142857142856,0.0,13173.801670074463,80.41189562551001,399768,338797.71428571426,88.70467582525743,11.295324174742584,82.71428571428571
0.0053498596,0.0072340537,0.0072340537,0.027777777777777776,0.24578874,4731,0.9722222222222222,-41.25807096099584,-74.47222222222223,20.77777777777778,0.0,13305.085552930832,80.8495834774132,409791,340536.8888888889,89.54203734126433,10.457962658735669,83.13888888888889
0.0034430835,0.0031738372,0.0031738372,0.21621621621621623,0.22712502,4768,0.7837837837837838,-39.830555231816575,-72.5945945945946,20.54054054054054,0.0,13433.07090306282,81.07356410085319,419761,341628.54054054053,87.01326575517997,12.986734244820028,83.4054054054054
