TimestepsSoFar,MpbtN,Tmc,entropy,Tbt,AttC,TtR,MtR,EpisodesSoFar,AttNC,Tmt,entloss,meankl,MpbtA,Ptt,TimeElapsed,optimgain,surrgain
559928,25.290826994287286,47.80952380952381,0.37872395,234837.33333333334,5.666666666666667,-144.76190476190476,-10.715842308999658,5205,4.333333333333333,57.333333333333336,0.0,0.0058930446,74.7091730057127,55.90945936832786,21219.18240380287,0.0022373032,0.0022373032
569923,25.94668159143276,45.704918032786885,0.3567615,242939.80327868852,6.475409836065574,-154.0983606557377,-10.548124563804782,5266,3.5245901639344264,59.31147540983606,0.0,0.005538675,74.05331840856724,57.838164672304295,21571.03812623024,0.001912937,0.001912937
579906,24.482540239957373,47.73015873015873,0.33377695,235162.4126984127,6.0,-140.31746031746033,-10.288179180196309,5329,4.0,57.41269841269841,0.0,0.003240457,75.51745976004263,55.98495474639091,21924.744460582733,0.0013744317,0.0013744317
589853,24.6618624532357,47.46774193548387,0.34782255,236246.70967741936,5.483870967741935,-142.41935483870967,-10.353254479958611,5391,4.516129032258065,57.67741935483871,0.0,0.0044591613,75.3381375467643,56.23187264664851,22284.882540225983,0.0019937751,0.0019937751
599861,23.963769634313948,47.04761904761905,0.34284148,237633.0158730159,6.968253968253968,-139.68253968253967,-10.042867283781222,5454,3.0317460317460316,58.01587301587302,0.0,0.0057152533,76.03623036568605,56.592810527680584,22636.891665697098,0.0021366726,0.0021366726
609871,23.891693812534424,47.3968253968254,0.31052563,236397.7142857143,6.158730158730159,-137.93650793650792,-9.99870468622022,5517,3.8412698412698414,57.714285714285715,0.0,0.0051746094,76.10830618746556,56.28575132497159,22995.39974784851,0.002090287,0.002090287
619888,23.501994484066913,47.65625,0.34250078,235456.0,5.1875,-135.625,-9.930003147491972,5581,4.8125,57.484375,0.0,0.005059372,76.49800551593307,56.05216816377091,23355.293292999268,0.0023237644,0.0023237644
629959,25.071295636360446,46.01538461538462,0.33239985,241790.03076923077,6.246153846153846,-148.30769230769232,-10.453785805794785,5646,3.753846153846154,59.03076923076923,0.0,0.003776727,74.92870436363954,57.559228354020576,23709.627455949783,0.0013681283,0.0013681283
639989,25.204363761617156,46.90769230769231,0.36014235,238198.15384615384,5.969230769230769,-146.76923076923077,-10.883500750281636,5711,4.030769230769231,58.15384615384615,0.0,0.006408186,74.79563623838281,56.72353481966637,24067.229216098785,0.0018130896,0.0018130896
649917,26.390219517895666,46.753846153846155,0.37637976,238954.33846153846,7.707692307692308,-154.30769230769232,-11.182861388165497,5776,2.292307692307692,58.33846153846154,0.0,0.0051021446,73.60978048210433,56.88241802678847,24417.886160612106,0.0018650149,0.0018650149
659944,27.161137395370975,47.32835820895522,0.35597014,236650.98507462686,7.91044776119403,-158.3582089552239,-10.659628643041323,5843,2.08955223880597,57.776119402985074,0.0,0.0035798142,72.83886260462903,56.343872723998274,24778.623531341553,0.001703877,0.001703877
669877,25.71885567702927,47.31818181818182,0.34435445,236885.33333333334,7.909090909090909,-149.54545454545453,-10.436848703475855,5909,2.090909090909091,57.833333333333336,0.0,0.0044522216,74.2811443229707,56.375893337523536,25132.36141037941,0.0019048718,0.0019048718
679846,23.926559529230794,47.796875,0.37057218,234624.0,7.125,-136.875,-9.9012033242579,5973,2.875,57.28125,0.0,0.0045666564,76.07344047076921,55.89016797893121,25475.875720500946,0.0015249837,0.0015249837
689935,24.17326103210865,47.184615384615384,0.40464312,237063.87692307692,7.030769230769231,-140.0,-10.284463719175934,6038,2.9692307692307693,57.87692307692308,0.0,0.0053552985,75.82673896789139,56.4614992053294,25786.974546909332,0.001971944,0.001971944
699970,29.194070465876923,43.83582089552239,0.37314054,250589.61194029852,8.985074626865671,-179.70149253731344,-11.756873860695139,6105,1.0149253731343284,61.17910447761194,0.0,0.0048285993,70.80592953412308,59.59929100006736,26095.982709407806,0.002007285,0.002007285
709950,26.444715613102744,46.9375,0.37271062,238336.0,8.15625,-155.15625,-10.519571274974854,6169,1.84375,58.1875,0.0,0.004382541,73.55528438689724,56.722952282374685,26397.012149333954,0.0016958639,0.0016958639
