meankl,entropy,TimestepsSoFar,TtR,MtR,AttNC,entloss,surrgain,EpisodesSoFar,Fce,TimeElapsed,optimgain,AttC
0.010174781,8.674429,3439756,393.75,22.491892533428835,2.875,0.0,1.2512207e-08,14170,0.16017777777777772,91780.27504396439,1.2512207e-08,7.125
3.7312508e-05,8.668423,3449958,383.04347826086956,22.255756891690545,3.0,0.0,1.7395019e-08,14216,0.16436443402948378,92038.67051053047,1.7395019e-08,7.0
3.7312508e-05,8.668423,3459975,410.7317073170732,23.876858601381148,3.4146341463414633,0.0,1.7395019e-08,14257,0.1656298421807747,92207.43194270134,1.7395019e-08,6.585365853658536
3.7312508e-05,8.668423,3469783,408.83720930232556,23.390670016710235,3.8372093023255816,0.0,1.7395019e-08,14300,0.17613895452472747,92378.16048550606,1.7395019e-08,6.162790697674419
3.7312508e-05,8.668423,3479828,429.5121951219512,24.9190903732803,3.5853658536585367,0.0,1.7395019e-08,14341,0.1735826558265582,92553.1295762062,1.7395019e-08,6.414634146341464
3.7312508e-05,8.668423,3489771,374.04761904761904,22.05329513825299,3.0476190476190474,0.0,1.7395019e-08,14383,0.15558467117931268,92718.14636540413,1.7395019e-08,6.9523809523809526
3.7312508e-05,8.668423,3499771,412.0,23.488866057515814,3.375,0.0,1.7395019e-08,14423,0.1648,92880.78350400925,1.7395019e-08,6.625
3.7312508e-05,8.668423,3509805,362.3809523809524,21.038300132943583,2.5238095238095237,0.0,1.7395019e-08,14465,0.1506182917611489,93057.08078479767,1.7395019e-08,7.476190476190476
3.7312508e-05,8.668423,3519805,398.75,22.58950256334624,2.85,0.0,1.7395019e-08,14505,0.15950000000000003,93226.51976156235,1.7395019e-08,7.15
3.7312508e-05,8.668423,3529805,433.0,25.167759099208325,3.4,0.0,1.7395019e-08,14545,0.17320000000000002,93399.96572637558,1.7395019e-08,6.6
3.7312508e-05,8.668423,3539812,417.5609756097561,24.155685827250615,3.3902439024390243,0.0,1.7395019e-08,14586,0.16702439024390245,93572.08344912529,1.7395019e-08,6.609756097560975
3.7312508e-05,8.668423,3549854,413.3333333333333,24.006154460482602,3.642857142857143,0.0,1.7395019e-08,14628,0.17156462585034019,93737.05916929245,1.7395019e-08,6.357142857142857
3.7312508e-05,8.668423,3559879,415.3658536585366,24.17881343738493,3.5121951219512195,0.0,1.7395019e-08,14669,0.16965853658536587,93913.14660406113,1.7395019e-08,6.487804878048781
3.7312508e-05,8.668423,3569972,423.4146341463415,24.200392678254637,3.5365853658536586,0.0,1.7395019e-08,14710,0.1715069499082088,94090.3358528614,1.7395019e-08,6.463414634146342
3.7312508e-05,8.668423,3579972,402.25,22.955236770145724,3.3,0.0,1.7395019e-08,14750,0.1609,94256.48129272461,1.7395019e-08,6.7
0.008933077,8.765996,3589754,394.1463414634146,22.59155165945796,2.8292682926829267,0.0,-6.866455e-09,14791,0.1591869918699187,94457.67633295059,-6.866455e-09,7.170731707317073
0.008933077,8.765996,3599813,437.5609756097561,25.505358726838345,3.7560975609756095,0.0,-6.866455e-09,14832,0.17849855312112442,94632.88334822655,-6.866455e-09,6.2439024390243905
0.008933196,8.863627,3609905,385.95238095238096,22.175375328261225,2.9285714285714284,0.0,-1.0299683e-08,14874,0.15954559908254487,94842.26180672646,-1.0299683e-08,7.071428571428571
0.008933196,8.863627,3619973,391.1904761904762,22.353357269024634,3.261904761904762,0.0,-1.0299683e-08,14916,0.1596901965845055,95017.50486969948,-1.0299683e-08,6.738095238095238
1.1920929e-07,8.86388,3629859,419.2682926829268,24.28748057822206,3.268292682926829,0.0,-9.155274e-09,14957,0.1742425096152324,95357.12114977837,-9.155274e-09,6.7317073170731705
1.1920929e-07,8.86388,3639897,419.5238095238095,24.36194464423585,3.142857142857143,0.0,-9.155274e-09,14999,0.1706653839987173,95530.66676402092,-9.155274e-09,6.857142857142857
1.1920929e-07,8.86388,3649942,388.3720930232558,22.052142630870808,2.7906976744186047,0.0,-9.155274e-09,15042,0.15987270501835987,95691.46804594994,-9.155274e-09,7.209302325581396
1.1920929e-07,8.86388,3659942,435.75,25.23672021508788,3.7,0.0,-9.155274e-09,15082,0.17430000000000007,95868.35231637955,-9.155274e-09,6.3
1.1920929e-07,8.86388,3669951,401.7073170731707,23.042224093887405,3.292682926829268,0.0,-9.155274e-09,15123,0.16329539295392953,96034.25972342491,-9.155274e-09,6.7073170731707314
9.298325e-06,8.867045,3679992,412.5581395348837,23.76643346193447,3.5813953488372094,0.0,-9.002686e-09,15166,0.17080242329489934,96312.52714848518,-9.002686e-09,6.4186046511627906
9.298325e-06,8.867045,3689992,436.0,25.100434599785327,3.525,0.0,-9.002686e-09,15206,0.17440000000000003,96479.57005620003,-9.002686e-09,6.475
9.298325e-06,8.867045,3699800,409.0243902439024,23.75570375368944,3.292682926829268,0.0,-9.002686e-09,15247,0.16688543976348852,96653.85016441345,-9.002686e-09,6.7073170731707314
9.298325e-06,8.867045,3709819,430.2439024390244,24.85996475725125,3.8780487804878048,0.0,-9.002686e-09,15288,0.17565596919127088,96825.00073003769,-9.002686e-09,6.121951219512195
9.298325e-06,8.867045,3719819,435.75,25.156417344984483,3.575,0.0,-9.002686e-09,15328,0.17429999999999998,96998.1703081131,-9.002686e-09,6.425
9.298325e-06,8.867045,3729842,416.0975609756098,24.062235657902516,3.951219512195122,0.0,-9.002686e-09,15369,0.16836479321314948,97171.30969762802,-9.002686e-09,6.048780487804878
9.298325e-06,8.867045,3739847,439.5121951219512,25.228646080412258,3.7804878048780486,0.0,-9.002686e-09,15410,0.1758048780487805,97338.24557185173,-9.002686e-09,6.219512195121951
9.298325e-06,8.867045,3749871,383.8095238095238,21.814613158138922,2.357142857142857,0.0,-9.002686e-09,15452,0.15813525410164067,97509.04882001877,-9.002686e-09,7.642857142857143
9.298325e-06,8.867045,3759876,394.6341463414634,22.906422783723222,3.2439024390243905,0.0,-9.002686e-09,15493,0.15785365853658537,97681.10048007965,-9.002686e-09,6.7560975609756095
0.008933196,8.964491,3769941,402.3255813953488,23.25272506791383,3.2325581395348837,0.0,-2.3078919e-09,15536,0.1653342154884382,97887.3916258812,-2.3078919e-09,6.767441860465116
0.008933196,8.964491,3779988,440.2439024390244,25.494807483792435,3.2195121951219514,0.0,-2.3078919e-09,15577,0.17862584327970943,98065.59529542923,-2.3078919e-09,6.780487804878049
0.008933196,8.964491,3789910,367.6744186046512,21.423391067474007,2.9069767441860463,0.0,-2.3078919e-09,15620,0.15792472565411259,98230.25285196304,-2.3078919e-09,7.093023255813954
0.008933196,8.964491,3799937,443.4146341463415,25.850821671356428,3.658536585365854,0.0,-2.3078919e-09,15661,0.18139476061427282,98405.93625473976,-2.3078919e-09,6.341463414634147
0.008933196,8.964491,3809961,416.42857142857144,24.35075899348555,3.5476190476190474,0.0,-2.3078919e-09,15703,0.1683076923076923,98573.2371339798,-2.3078919e-09,6.4523809523809526
0.008933196,8.964491,3819986,400.0,23.046569323448036,3.1463414634146343,0.0,-2.3078919e-09,15744,0.16087804878048784,98744.27699542046,-2.3078919e-09,6.853658536585366
0.008933196,8.964491,3829816,394.8837209302326,22.988111273597074,3.302325581395349,0.0,-2.3078919e-09,15787,0.1654845146693372,98914.7670249939,-2.3078919e-09,6.6976744186046515
0.008933196,8.964491,3839890,382.5,22.42295709716818,3.25,0.0,-2.3078919e-09,15831,0.16440952723166166,99082.89076709747,-2.3078919e-09,6.75
0.008933196,8.964491,3849946,419.2857142857143,24.0451615024657,3.4523809523809526,0.0,-2.3078919e-09,15873,0.1748545872731919,99254.90584731102,-2.3078919e-09,6.5476190476190474
0.008933196,8.964491,3860000,402.27272727272725,22.988434800460666,3.6136363636363638,0.0,-2.3078919e-09,15917,0.16994120230437365,99415.53378891945,-2.3078919e-09,6.386363636363637
0.008933196,8.964491,3870000,443.25,25.27177313298369,4.075,0.0,-2.3078919e-09,15957,0.1773,99584.70864319801,-2.3078919e-09,5.925
0.008933196,8.964491,3880000,442.25,25.56477694206682,3.55,0.0,-2.3078919e-09,15997,0.17689999999999997,99749.98792815208,-2.3078919e-09,6.45
0.008933196,8.964491,3889855,395.0,23.040435021878636,2.875,0.0,-2.3078919e-09,16037,0.1604857142857143,99910.9583594799,-2.3078919e-09,7.125
0.008933196,8.964491,3899870,440.4878048780488,25.50865538622175,3.682926829268293,0.0,-2.3078919e-09,16078,0.1792520325203252,100079.82575726509,-2.3078919e-09,6.317073170731708
0.008933196,8.964491,3909909,394.8837209302326,22.50503674657258,2.6511627906976742,0.0,-2.3078919e-09,16121,0.16603805496828755,100245.37976336479,-2.3078919e-09,7.348837209302325
0.008933196,8.964491,3919998,405.1162790697674,23.41531818184032,3.255813953488372,0.0,-2.3078919e-09,16164,0.16917289678736835,100418.4098572731,-2.3078919e-09,6.744186046511628
0.008933196,8.964491,3929810,383.72093023255815,22.092273186402718,2.883720930232558,0.0,-2.3078919e-09,16207,0.16803264097570433,100588.55121564865,-2.3078919e-09,7.116279069767442
0.008933196,8.964491,3939810,419.75,23.917810062752245,3.025,0.0,-2.3078919e-09,16247,0.16790000000000002,100752.0698773861,-2.3078919e-09,6.975
0.008933196,8.964491,3949817,394.6341463414634,22.363480982565694,3.024390243902439,0.0,-2.3078919e-09,16288,0.16124041811846693,100916.71631145477,-2.3078919e-09,6.975609756097561
0.008933196,8.964491,3959886,396.8888888888889,23.077569060583144,3.6222222222222222,0.0,-2.3078919e-09,16333,0.1627824640264538,101079.60643076897,-2.3078919e-09,6.377777777777778
0.008933196,8.964491,3969952,408.8095238095238,23.439449521238345,3.261904761904762,0.0,-2.3078919e-09,16375,0.16947432441772065,101251.8788523674,-2.3078919e-09,6.738095238095238
0.008933196,8.964491,3979979,402.1951219512195,23.045492091113417,3.1463414634146343,0.0,-2.3078919e-09,16416,0.1641011743450768,101436.86012768745,-2.3078919e-09,6.853658536585366
0.008933196,8.964491,3989752,419.75,24.04851027208369,3.675,0.0,-2.3078919e-09,16456,0.1718478260869566,101597.35813593864,-2.3078919e-09,6.325
5.9604645e-08,8.964814,3999769,408.780487804878,23.62430030600162,3.5609756097560976,0.0,-9.689331e-09,16497,0.16618651362984216,101942.04492402077,-9.689331e-09,6.439024390243903
5.9604645e-08,8.964814,4009836,384.44444444444446,22.293743376396996,2.911111111111111,0.0,-9.689331e-09,16542,0.164194708994709,102105.80476641655,-9.689331e-09,7.088888888888889
5.9604645e-08,8.964814,4019979,385.8139534883721,22.50884217492061,3.0232558139534884,0.0,-9.689331e-09,16585,0.16120559274230944,102287.38358163834,-9.689331e-09,6.976744186046512
5.9604645e-08,8.964814,4029833,403.1707317073171,23.194164736224202,3.073170731707317,0.0,-9.689331e-09,16626,0.16364451920381276,102458.8141503334,-9.689331e-09,6.926829268292683
5.9604645e-08,8.964814,4039962,401.16279069767444,23.34305818307368,3.372093023255814,0.0,-9.689331e-09,16669,0.16769759677937904,102624.3222720623,-9.689331e-09,6.627906976744186
0.008933204,9.062119,4049991,430.7317073170732,24.94609193752788,3.707317073170732,0.0,-1.8463135e-08,16710,0.17377964676198485,102821.06418681145,-1.8463135e-08,6.2926829268292686
0.008933204,9.062119,4059991,412.5,23.860689618237636,3.325,0.0,-1.8463135e-08,16750,0.16499999999999998,102982.63541221619,-1.8463135e-08,6.675
0.008933204,9.062119,4069769,410.9756097560976,23.708326009273055,3.317073170731707,0.0,-1.8463135e-08,16791,0.164390243902439,103152.58336830139,-1.8463135e-08,6.682926829268292
0.008933204,9.062119,4079793,429.04761904761904,24.645467146889256,3.7857142857142856,0.0,-1.8463135e-08,16833,0.18084193677470992,103322.781665802,-1.8463135e-08,6.214285714285714
0.008933204,9.062119,4089793,421.25,23.909068507898397,3.45,0.0,-1.8463135e-08,16873,0.16849999999999996,103496.41005373001,-1.8463135e-08,6.55
0.008933204,9.062119,4099793,429.25,24.882265130671453,3.675,0.0,-1.8463135e-08,16913,0.17170000000000002,103670.09813332558,-1.8463135e-08,6.325
0.008933204,9.062119,4109883,371.59090909090907,21.51277760599897,3.159090909090909,0.0,-1.8463135e-08,16957,0.15431346094982462,103835.66491627693,-1.8463135e-08,6.840909090909091
0.008933204,9.062119,4119896,427.5609756097561,24.610192885044803,3.5853658536585367,0.0,-1.8463135e-08,16998,0.17102439024390245,104004.14447522163,-1.8463135e-08,6.414634146341464
0.008933204,9.062119,4129903,410.0,23.716399004894182,3.5853658536585367,0.0,-1.8463135e-08,17039,0.16738675958188154,104167.39036083221,-1.8463135e-08,6.414634146341464
0.008933204,9.062119,4139947,425.95238095238096,24.611294505707036,3.7857142857142856,0.0,-1.8463135e-08,17081,0.1716334776334776,104337.95522093773,-1.8463135e-08,6.214285714285714
0.008933204,9.062119,4149755,401.219512195122,22.61657507103456,3.2195121951219514,0.0,-1.8463135e-08,17122,0.16301287683684287,104513.2894423008,-1.8463135e-08,6.780487804878049
0.008933204,9.062119,4159755,426.0,24.904867870988518,3.825,0.0,-1.8463135e-08,17162,0.17040000000000005,104682.11701750755,-1.8463135e-08,6.175
0.008933204,9.062119,4169755,403.0,23.1784502115961,3.125,0.0,-1.8463135e-08,17202,0.16120000000000004,104848.18377065659,-1.8463135e-08,6.875
0.008933102,9.159695,4179799,386.9047619047619,22.254034337131472,3.2857142857142856,0.0,-4.119873e-09,17244,0.16337263794406648,105053.5401031971,-4.119873e-09,6.714285714285714
0.008933102,9.159695,4189916,388.3720930232558,22.4338074902876,3.3255813953488373,0.0,-4.119873e-09,17287,0.15852710752022905,105216.17341399193,-4.119873e-09,6.674418604651163
0.008933102,9.159695,4199925,418.0487804878049,24.137683486231573,3.0,0.0,-4.119873e-09,17328,0.167219512195122,105389.29583859444,-4.119873e-09,7.0
0.008933102,9.159695,4209936,423.6585365853659,24.57088022463584,3.4390243902439024,0.0,-4.119873e-09,17369,0.17370288248337026,105565.72495031357,-4.119873e-09,6.560975609756097
0.008933102,9.159695,4219857,419.04761904761904,24.385114366725297,3.761904761904762,0.0,-4.119873e-09,17411,0.16979953085397645,105728.04040694237,-4.119873e-09,6.238095238095238
0.008933102,9.159695,4229857,425.75,24.382883026708747,3.225,0.0,-4.119873e-09,17451,0.1703,105898.74500083923,-4.119873e-09,6.775
0.008933102,9.159695,4239942,361.3953488372093,20.784663387474318,2.7906976744186047,0.0,-4.119873e-09,17494,0.14953927824359717,106070.10154795647,-4.119873e-09,7.209302325581396
0.008933102,9.159695,4249971,389.5348837209302,22.558341239945968,3.2093023255813953,0.0,-4.119873e-09,17537,0.15783509513742075,106233.57673168182,-4.119873e-09,6.790697674418604
