entloss,AttNC,meankl,optimgain,EpisodesSoFar,TimestepsSoFar,AttC,entropy,TimeElapsed,MtR,TtR,Fce,surrgain
0.0,3.317073170731707,0.008933204,-7.247925e-09,13776,3329915,6.682926829268292,7.8280845,30973.851970911026,23.357632318460826,406.3414634146341,0.16253658536585364,-7.247925e-09
0.0,2.953488372093023,0.0023053885,-1.1444092e-08,13819,3339769,7.046511627906977,7.8768287,31048.299275398254,21.180353350746284,366.27906976744185,0.14920214669051876,-1.1444092e-08
0.0,2.975609756097561,0.008933102,-8.8500975e-09,13860,3349778,7.024390243902439,7.974451,31129.06578731537,21.86326734454966,379.7560975609756,0.1545149051490515,-8.8500975e-09
0.0,2.8333333333333335,9.298325e-06,-5.493164e-09,13902,3359798,7.166666666666667,7.9775014,31209.962370157242,22.94947875362099,401.6666666666667,0.16831746031746034,-5.493164e-09
0.0,3.5,9.298325e-06,-5.493164e-09,13944,3369836,6.5,7.9775014,31285.03506207466,23.48010037017701,406.6666666666667,0.1670876350540216,-5.493164e-09
0.0,3.0714285714285716,9.298325e-06,-5.493164e-09,13986,3379862,6.928571428571429,7.9775014,31358.71947336197,22.907328917551972,395.95238095238096,0.16185347985347984,-5.493164e-09
0.0,3.0,9.298325e-06,-5.493164e-09,14029,3389911,7.0,7.9775014,31436.60629606247,22.170310186755845,384.1860465116279,0.16035201107969302,-5.493164e-09
0.0,3.5365853658536586,9.298325e-06,-5.493164e-09,14070,3399936,6.463414634146342,7.9775014,31511.116084575653,23.646341229640086,404.8780487804878,0.16458536585365854,-5.493164e-09
0.0,3.4634146341463414,9.298325e-06,-5.493164e-09,14111,3409786,6.536585365853658,7.9775014,31590.697319746017,23.40048337126366,406.8292682926829,0.16983174007564253,-5.493164e-09
0.0,3.2439024390243905,0.010174863,1.953125e-08,14152,3419837,6.7560975609756095,7.87988,31665.23647928238,24.10645491790469,418.2926829268293,0.16883978957436632,1.953125e-08
0.0,3.4047619047619047,0.010174863,1.953125e-08,14194,3429867,6.595238095238095,7.87988,31738.830132246017,23.347300500254416,402.14285714285717,0.16201503759398495,1.953125e-08
0.0,3.272727272727273,0.010174863,1.953125e-08,14238,3439993,6.7272727272727275,7.87988,31810.795404195786,23.507801904608097,410.0,0.17536787732674328,1.953125e-08
0.0,3.4634146341463414,0.010174863,1.953125e-08,14279,3449803,6.536585365853658,7.87988,31881.981372356415,24.064731883725653,420.2439024390244,0.17484520962856687,1.953125e-08
0.0,3.5681818181818183,0.010174863,1.953125e-08,14323,3459847,6.431818181818182,7.87988,31953.333420038223,22.678517479750454,398.8636363636364,0.1761429265921244,1.953125e-08
0.0,3.341463414634146,0.008933416,-6.7138672e-09,14364,3469856,6.658536585365853,7.9775014,32028.97903418541,24.358246882620538,417.5609756097561,0.16963685636856365,-6.7138672e-09
0.0,3.1739130434782608,0.008933416,-6.7138672e-09,14410,3479817,6.826086956521739,7.9775014,32102.75957584381,21.845890515822823,373.9130434782609,0.169973446614207,-6.7138672e-09
0.0,3.2857142857142856,0.008933416,-6.7138672e-09,14452,3489871,6.714285714285714,7.9775014,32179.595418930054,24.29635760288551,419.04761904761904,0.17527093596059118,-6.7138672e-09
0.0,3.15,5.9604645e-08,1.4038086e-08,14492,3499871,6.85,7.977204,32264.4686961174,24.38638102692114,419.5,0.1678,1.4038086e-08
0.0,3.35,5.9604645e-08,1.4038086e-08,14532,3509871,6.65,7.977204,32338.936594247818,23.499307741143646,404.75,0.1619,1.4038086e-08
0.0,3.3658536585365852,5.9604645e-08,1.4038086e-08,14573,3519884,6.634146341463414,7.977204,32410.667197465897,23.778420351116683,411.4634146341463,0.16458536585365852,1.4038086e-08
0.0,2.95,5.9604645e-08,1.4038086e-08,14613,3529884,7.05,7.977204,32483.988270044327,23.731152708411834,413.5,0.16539999999999996,1.4038086e-08
0.0,3.1818181818181817,0.008933102,-1.0070801e-08,14657,3539839,6.818181818181818,8.074826,32556.883699655533,21.915390818733187,380.6818181818182,0.15760048338041363,-1.0070801e-08
0.0,4.4,0.008933102,-1.0070801e-08,14697,3549839,5.6,8.074826,32629.420687913895,26.36070029236755,457.5,0.183,-1.0070801e-08
0.0,3.2045454545454546,0.008933102,-1.0070801e-08,14741,3559893,6.795454545454546,8.074826,32700.536132097244,23.853523150157105,410.0,0.17653724436483056,-1.0070801e-08
0.0,3.225,0.008933102,-1.0070801e-08,14781,3569893,6.775,8.074826,32770.92964577675,24.142245607495475,417.75,0.1671,-1.0070801e-08
0.0,3.2439024390243905,0.008933102,-1.0070801e-08,14822,3579912,6.7560975609756095,8.074826,32844.206635951996,23.430098737317063,407.3170731707317,0.16529910141206677,-1.0070801e-08
0.0,3.2195121951219514,0.008933102,-1.0070801e-08,14863,3589941,6.780487804878049,8.074826,32916.81176495552,23.874772074031988,418.2926829268293,0.1695475189234651,-1.0070801e-08
0.0,3.3095238095238093,0.008933102,-1.0070801e-08,14905,3599983,6.690476190476191,8.074826,32989.928297281265,23.92709619545473,424.04761904761904,0.1721904761904762,-1.0070801e-08
0.0,2.682926829268293,0.008933102,-1.0070801e-08,14946,3609787,7.317073170731708,8.074826,33061.19494342804,23.081484562566754,399.5121951219512,0.16517366587199706,-1.0070801e-08
0.0,3.2,0.008933102,-1.0070801e-08,14986,3619787,6.8,8.074826,33132.47136592865,23.816963351167253,419.25,0.16770000000000002,-1.0070801e-08
0.0,2.926829268292683,0.008933102,-1.0070801e-08,15027,3629806,7.073170731707317,8.074826,33204.20893597603,21.646232465996018,378.2926829268293,0.15250320924261873,-1.0070801e-08
0.0,2.6904761904761907,0.008933102,-1.0070801e-08,15069,3639828,7.309523809523809,8.074826,33276.16681051254,22.56129200037561,396.9047619047619,0.1587619047619048,-1.0070801e-08
0.0,3.3181818181818183,0.008933102,-1.0070801e-08,15113,3649896,6.681818181818182,8.074826,33347.010679483414,23.662669432846027,407.5,0.17422740060357614,-1.0070801e-08
0.0,3.1463414634146343,0.008933102,-1.0070801e-08,15154,3659937,6.853658536585366,8.074826,33420.17343592644,24.36412111413237,423.6585365853659,0.1739393218322427,-1.0070801e-08
0.0,3.3902439024390243,0.008933102,-1.0070801e-08,15195,3669954,6.609756097560975,8.074826,33491.34973144531,23.69408465219067,410.9756097560976,0.1657274031563845,-1.0070801e-08
0.0,3.142857142857143,0.0001501441,1.7395019e-08,15237,3679990,6.857142857142857,8.062621,33572.81044960022,21.52648872251517,372.85714285714283,0.15623156553591336,1.7395019e-08
0.0,3.119047619047619,0.010174871,1.19018555e-08,15279,3689801,6.880952380952381,7.964997,33649.65996146202,21.62663256334956,375.0,0.16033340107024316,1.19018555e-08
0.0,3.380952380952381,0.010174744,1.2817383e-08,15321,3699859,6.619047619047619,7.8675213,33724.60072803497,24.096124218660965,415.23809523809524,0.1731491199654465,1.2817383e-08
0.0,3.5,0.010174744,1.2817383e-08,15363,3709913,6.5,7.8675213,33802.50806069374,23.866630546897497,415.7142857142857,0.17432739353669588,1.2817383e-08
0.0,3.3902439024390243,-2.9802322e-08,-1.0986328e-08,15404,3719920,6.609756097560975,7.867674,33887.253880023956,24.511628627048967,423.4146341463415,0.17275261324041813,-1.0986328e-08
0.0,3.0697674418604652,-2.9802322e-08,-1.0986328e-08,15447,3729943,6.930232558139535,7.867674,33964.58149218559,21.786955613150283,377.2093023255814,0.15088372093023256,-1.0986328e-08
0.0,3.0714285714285716,0.010174863,1.3122558e-08,15489,3739798,6.928571428571429,7.7698936,34041.043175935745,22.658909865937037,396.6666666666667,0.16476387081851568,1.3122558e-08
0.0,3.425,0.0023052692,-5.493164e-09,15529,3749798,6.575,7.818714,34118.49029493332,24.326196229028447,423.25,0.16929999999999998,-5.493164e-09
