TimestepsSoFar,TimeElapsed,meankl,Fce,TtR,entropy,MtR,EpisodesSoFar,surrgain,AttNC,entloss,AttC,optimgain
979806,3050.2329716682434,0.005149376,0.13276190476190475,33.19047619047619,0.13349083,18.874081365281118,5002,0.00450845,0.9523809523809523,0.0,0.047619047619047616,0.00450845
989818,3081.7195298671722,0.0062693185,0.13687445887445887,32.666666666666664,0.12438221,18.815870764405275,5044,0.005126929,0.9523809523809523,0.0,0.047619047619047616,0.005126929
999818,3112.3263380527496,0.0048860456,0.14190000000000003,35.475,0.11050487,20.296993189866576,5084,0.003916191,1.0,0.0,0.0,0.003916191
1009818,3142.661914587021,0.004883133,0.1396,34.9,0.12135068,19.775741482860997,5124,0.004861902,1.0,0.0,0.0,0.004861902
1019833,3173.378832101822,0.004816039,0.13762601626016258,34.02439024390244,0.10786144,19.32502041905537,5165,0.0042674723,0.975609756097561,0.0,0.024390243902439025,0.0042674723
1029834,3203.7835376262665,0.0046741166,0.13551219512195126,33.8780487804878,0.08636967,19.227213178716898,5206,0.0041374834,0.975609756097561,0.0,0.024390243902439025,0.0041374834
1039837,3236.625792503357,0.003172739,0.1318139534883721,32.95348837209303,0.09463862,19.12233136788745,5249,0.0026445729,0.9302325581395349,0.0,0.06976744186046512,0.0026445729
1049837,3266.7934749126434,0.004770627,0.14140000000000003,35.35,0.08299644,20.12623119269178,5289,0.0046749576,1.0,0.0,0.0,0.0046749576
1059837,3298.043122291565,0.007064781,0.13520000000000004,33.8,0.10435579,19.112415718569768,5329,0.0054199276,1.0,0.0,0.0,0.0054199276
1069838,3328.5188694000244,0.0052133147,0.16136585365853656,34.26829268292683,0.104090646,19.502552958862978,5370,0.0039554243,0.975609756097561,0.0,0.024390243902439025,0.0039554243
1079840,3360.1958587169647,0.005313806,0.1364761904761905,34.11904761904762,0.1356457,19.30237285493147,5412,0.0053285463,0.9523809523809523,0.0,0.047619047619047616,0.0053285463
1089845,3391.611001968384,0.0071823318,0.1259555555555556,31.488888888888887,0.09212033,18.120096396142017,5457,0.0052141906,0.8888888888888888,0.0,0.1111111111111111,0.0052141906
1099851,3422.789951324463,0.0066636885,0.12754545454545457,31.886363636363637,0.059108745,18.11167524253847,5501,0.0053932588,0.9090909090909091,0.0,0.09090909090909091,0.0053932588
1109851,3453.3341732025146,0.0051775877,0.1469,36.725,0.04681765,21.011446783536847,5541,0.0033675942,1.0,0.0,0.0,0.0033675942
1119853,3483.8645811080933,0.004520274,0.13285714285714284,33.214285714285715,0.06589654,19.076342392519233,5583,0.004195195,0.9523809523809523,0.0,0.047619047619047616,0.004195195
1129861,3515.8144323825836,0.007088514,0.13816326530612247,33.714285714285715,0.040691964,19.284260656930527,5625,0.0055909054,0.9523809523809523,0.0,0.047619047619047616,0.0055909054
1139865,3546.0366609096527,0.0056994306,0.12409090909090911,31.022727272727273,0.01088953,17.683579574860662,5669,0.0043066344,0.9090909090909091,0.0,0.09090909090909091,0.0043066344
1149865,3576.742942094803,0.0066807717,0.1397,34.925,0.008803888,20.233059605247433,5709,0.0057940674,1.0,0.0,0.0,0.0057940674
1159884,3607.716311454773,0.00615116,0.1336893453145058,32.829268292682926,0.006184516,18.416414518980396,5750,0.0055701598,0.975609756097561,0.0,0.024390243902439025,0.0055701598
1169884,3637.900406599045,0.005977381,0.14120000000000005,35.3,0.02678941,20.119541041407807,5790,0.0031006713,1.0,0.0,0.0,0.0031006713
1179886,3668.990669965744,0.0049976315,0.13180952380952385,32.95238095238095,0.02809504,18.900461714795547,5832,0.0033882048,0.9523809523809523,0.0,0.047619047619047616,0.0033882048
1189888,3699.7584087848663,0.007130746,0.13504761904761903,33.76190476190476,0.009398897,19.33233244968783,5874,0.004929746,0.9523809523809523,0.0,0.047619047619047616,0.004929746
1199888,3730.375812292099,0.007946581,0.1404,35.1,0.001655221,20.31408401647271,5914,0.0050768103,1.0,0.0,0.0,0.0050768103
1209890,3760.9278473854065,0.0038297211,0.13771428571428576,34.42857142857143,0.008738995,19.340675157425345,5956,0.0025273834,0.9523809523809523,0.0,0.047619047619047616,0.0025273834
1219890,3791.5052313804626,0.006828308,0.1456,36.4,0.031730063,20.476575820580216,5996,0.0052204253,1.0,0.0,0.0,0.0052204253
1229890,3822.2498927116394,0.0047730478,0.1505,37.625,0.01801141,21.68127770179229,6036,0.0030396539,1.0,0.0,0.0,0.0030396539
1239890,3852.677515745163,0.006251831,0.13830000000000003,34.575,0.03775772,19.855894160754296,6076,0.0043083387,1.0,0.0,0.0,0.0043083387
1249892,3883.259168624878,0.005297853,0.13838095238095235,34.595238095238095,0.06201171,19.84590978975219,6118,0.0035036406,0.9523809523809523,0.0,0.047619047619047616,0.0035036406
1259894,3914.1218163967133,0.007372142,0.13628571428571432,34.07142857142857,0.078674555,19.54444904232377,6160,0.005481685,0.9523809523809523,0.0,0.047619047619047616,0.005481685
1269894,3944.5303683280945,0.00518977,0.1402,35.05,0.07573065,19.8497581805874,6200,0.00414164,1.0,0.0,0.0,0.00414164
1279896,3975.603449344635,0.005755644,0.13304761904761903,33.26190476190476,0.075368196,18.824852859828415,6242,0.0037407174,0.9523809523809523,0.0,0.047619047619047616,0.0037407174
1289898,4006.3222353458405,0.0060778707,0.13933333333333336,34.833333333333336,0.10201353,19.83532191877957,6284,0.00628047,0.9523809523809523,0.0,0.047619047619047616,0.00628047
1299936,4036.9313414096832,0.0058043925,0.13007017543859647,31.043478260869566,0.06534204,17.835291604027802,6330,0.0036189544,0.8695652173913043,0.0,0.13043478260869565,0.0036189544
1309936,4067.9434661865234,0.0058782357,0.14509999999999998,36.275,0.11345674,20.53483589012232,6370,0.004853557,1.0,0.0,0.0,0.004853557
1319936,4098.768933773041,0.0053656218,0.144,36.0,0.11046268,20.638162299128297,6410,0.0039216005,1.0,0.0,0.0,0.0039216005
1329938,4128.920400381088,0.0060077272,0.13580952380952377,33.95238095238095,0.12532048,19.630555400674172,6452,0.004595233,0.9523809523809523,0.0,0.047619047619047616,0.004595233
1339938,4159.496134996414,0.005384775,0.138,34.5,0.1521524,19.409451756874756,6492,0.0045191026,1.0,0.0,0.0,0.0045191026
1349941,4189.957680940628,0.0065595885,0.13274418604651167,33.18604651162791,0.14936064,19.043098207776445,6535,0.004677389,0.9302325581395349,0.0,0.06976744186046512,0.004677389
1359964,4220.933584213257,0.00758926,0.13054100367197066,32.06976744186046,0.14106974,18.334413255290386,6578,0.0051312773,0.9302325581395349,0.0,0.06976744186046512,0.0051312773
1369856,4251.406466245651,0.004559489,0.1299038997297217,31.488888888888887,0.1658271,17.991326292626635,6623,0.0045765494,0.8666666666666667,0.0,0.13333333333333333,0.0045765494
1379856,4282.015185117722,0.0056940713,0.14840000000000003,37.1,0.1366659,21.22755707891923,6663,0.00452442,1.0,0.0,0.0,0.00452442
1389861,4312.687733888626,0.0048145577,0.135219512195122,33.80487804878049,0.17074771,19.593513844419043,6704,0.0037762593,0.975609756097561,0.0,0.024390243902439025,0.0037762593
1399862,4343.722783327103,0.005105463,0.14302439024390243,35.75609756097561,0.15719089,20.48483643670673,6745,0.0043389243,0.975609756097561,0.0,0.024390243902439025,0.0043389243
1409925,4373.779088020325,0.0061848206,0.14524609621304846,33.627906976744185,0.16585529,18.903004842880566,6788,0.0030164795,0.9302325581395349,0.0,0.06976744186046512,0.0030164795
1419927,4404.980466604233,0.0064734602,0.13438095238095238,33.595238095238095,0.15384623,19.011024716064362,6830,0.004970553,0.9523809523809523,0.0,0.047619047619047616,0.004970553
1429941,4435.2393679618835,0.0055198753,0.13623443223443224,33.19047619047619,0.1590881,18.81169346419658,6872,0.004517092,0.9523809523809523,0.0,0.047619047619047616,0.004517092
