surrgain,entloss,Tbt,EpisodesSoFar,AttNC,MtR,entropy,Ptt,TimeElapsed,optimgain,Tmc,Tmt,AttC,MpbtA,meankl,MpbtN,TimestepsSoFar,TtR
0.0043641417,0.0,307928.1777777778,5600,1.9777777777777779,-25.35168418522244,0.28891042,73.32584661198686,13741.918965101242,0.0043641417,28.88888888888889,75.17777777777778,1.0222222222222221,46.27747138161426,0.0046647857,53.72252861838574,739809,-121.26666666666667
0.0045267213,0.0,313025.4222222222,5645,1.511111111111111,-25.399530449709523,0.29988554,74.53066051036275,13856.565772294998,0.0045267213,27.57777777777778,76.42222222222222,1.488888888888889,46.22041969721806,0.0037693756,53.77958030278192,749860,-123.46666666666667
0.003929316,0.0,308565.3333333333,5690,1.8222222222222222,-24.965270695210783,0.28909892,73.4985490111843,13970.049016714096,0.003929316,28.68888888888889,75.33333333333333,1.1777777777777778,46.7144299047857,0.004106079,53.28557009521431,759952,-120.4
0.004026942,0.0,311028.8695652174,5736,1.608695652173913,-26.274477530522812,0.2873011,74.07681935966585,14086.31843996048,0.004026942,28.065217391304348,75.93478260869566,1.391304347826087,45.16374469265865,0.004318579,54.83625530734133,769949,-124.8913043478261
0.004461546,0.0,309960.347826087,5782,0.8478260869565217,-25.645914382889046,0.29226002,73.82999337621656,14204.00587773323,0.004461546,28.32608695652174,75.67391304347827,2.152173913043478,44.83957268659092,0.0049376795,55.16042731340907,779825,-125.21739130434783
0.0046020057,0.0,312167.4893617021,5829,1.297872340425532,-26.382588921912987,0.2824237,74.3340540439565,14321.552818059921,0.0046020057,27.78723404255319,76.2127659574468,1.702127659574468,44.64601643982886,0.005184694,55.35398356017114,789794,-126.51063829787235
0.0034066222,0.0,312453.5652173913,5875,1.2826086956521738,-25.11552031856829,0.27426338,74.40271961586795,14435.561362981796,0.0034066222,27.717391304347824,76.28260869565217,1.7173913043478262,47.13240587229639,0.0028278583,52.86759412770361,799925,-120.97826086956522
0.0042745485,0.0,311389.0909090909,5919,1.3636363636363635,-25.944448562610855,0.26765528,74.11425738426864,14549.36624789238,0.0042745485,28.045454545454547,76.02272727272727,1.6363636363636365,44.43888605510279,0.0050021573,55.56111394489722,809895,-126.95454545454545
0.0038613586,0.0,311478.0444444445,5964,1.9111111111111112,-26.132285658448343,0.27533466,74.1773415617346,14664.629701375961,0.0038613586,27.955555555555556,76.04444444444445,1.0888888888888888,45.51589351270154,0.004294559,54.48410648729846,819822,-124.46666666666667
0.0037874389,0.0,310476.8,6009,1.488888888888889,-25.442883423004858,0.2624519,73.93448881783583,14781.818528652191,0.0037874389,28.22222222222222,75.8,1.511111111111111,46.16145526125268,0.0039787823,53.83854473874733,829909,-122.6
0.0070730713,0.0,311482.1818181818,6053,1.8181818181818181,-25.290695652693934,0.28345045,74.1505117710429,14895.30289363861,0.0070730713,28.0,76.04545454545455,1.1818181818181819,46.010398813947944,0.0056894817,53.98960118605205,839911,-123.13636363636364
0.0032275717,0.0,308747.3777777778,6098,1.5333333333333334,-25.787439830913396,0.27405706,73.54070224888201,15011.73526763916,0.0032275717,28.644444444444446,75.37777777777778,1.4666666666666666,44.711803567003805,0.002912004,55.28819643299619,849868,-125.0
0.0040856972,0.0,313116.44444444444,6143,1.9111111111111112,-25.379312068481795,0.28113893,74.53787939799007,15122.183632850647,0.0040856972,27.57777777777778,76.44444444444444,1.0888888888888888,46.86900496003687,0.004560834,53.13099503996311,859865,-121.93333333333334
0.005818145,0.0,313433.04347826086,6189,1.9782608695652173,-26.322119175602275,0.28803927,74.62549334541897,15236.377393722534,0.005818145,27.47826086956522,76.52173913043478,1.0217391304347827,43.729531902253655,0.004618612,56.270468097746345,869982,-129.3913043478261
0.004423557,0.0,312248.5581395349,6232,1.9767441860465116,-25.638819807182426,0.27456626,74.33965711875835,15347.922385454178,0.004423557,27.790697674418606,76.23255813953489,1.0232558139534884,44.87859487945348,0.0042261775,55.12140512054654,879793,-126.06976744186046
0.0043814545,0.0,313165.9130434783,6278,2.130434782608696,-26.527739267473397,0.26080436,74.53613001430351,15461.830058574677,0.0043814545,27.58695652173913,76.45652173913044,0.8695652173913043,44.09600185225188,0.00453603,55.903998147748105,889864,-128.47826086956522
