entropy,TimestepsSoFar,TimeElapsed,AttC,meankl,TtR,MtR,AttNC,Tmt,entloss,Tmc,Tbt,Ptt,surrgain,MpbtN,MpbtA,EpisodesSoFar,optimgain
0.22898906,759947,16794.913559675217,0.23684210526315788,0.0053210417,-67.52631578947368,-38.1442653193394,0.7631578947368421,81.97368421052632,0.0,21.92105263157895,335764.2105263158,79.78356267665303,0.0072589903,82.39857445453204,17.60142554546797,6275,0.0072589903
0.26705426,769942,16902.580976247787,0.13513513513513514,0.006289437,-67.8108108108108,-38.39994079637843,0.8648648648648649,82.27027027027027,0.0,21.7027027027027,336979.02702702704,80.00057990035964,0.00626521,82.39271784216129,17.607282157838718,6312,0.00626521
0.22977652,779796,17010.80198764801,0.5384615384615384,0.0039411164,-67.6923076923077,-38.37633050122162,0.46153846153846156,82.3076923076923,0.0,21.641025641025642,337132.3076923077,80.0545007858686,0.0043908996,82.23175815110152,17.7682418488985,6351,0.0043908996
0.21746917,789990,17127.424456119537,0.38461538461538464,0.005384689,-67.51282051282051,-37.631618861040074,0.6153846153846154,82.02564102564102,0.0,21.94871794871795,335977.0256410256,79.76917228110129,0.0041438714,82.34643580073335,17.65356419926665,6390,0.0041438714
0.26721793,799739,17231.599791765213,0.05555555555555555,0.0077392557,-67.02777777777777,-37.75220210700517,0.9444444444444444,82.41666666666667,0.0,21.583333333333332,337578.6666666667,80.11491057791847,0.0070720953,81.33637588678887,18.663624113211128,6426,0.0070720953
0.21984531,809988,17342.350479841232,0.38461538461538464,0.005290055,-67.64102564102564,-37.80713218315638,0.6153846153846154,82.53846153846153,0.0,21.435897435897434,338077.53846153844,80.24632563285827,0.005009533,81.90761426572914,18.092385734270884,6465,0.005009533
0.22675617,819742,17450.35618185997,0.34210526315789475,0.004485043,-69.23684210526316,-38.2964320581463,0.6578947368421053,82.97368421052632,0.0,20.973684210526315,339860.2105263158,80.67373810857706,0.0054931375,83.46676342514485,16.53323657485514,6503,0.0054931375
0.22210445,829794,17559.937432527542,0.2894736842105263,0.004584126,-67.23684210526316,-37.69388974959882,0.7105263157894737,82.10526315789474,0.0,21.86842105263158,336303.15789473685,79.84499003480093,0.004007477,81.86518825500688,18.134811744993094,6541,0.004007477
0.2531046,839955,17665.060612916946,0.05263157894736842,0.0049328743,-68.15789473684211,-38.43609811077535,0.9473684210526315,82.39473684210526,0.0,21.605263157894736,337488.84210526315,80.09499555716711,0.007294896,82.72389411911989,17.276105880880085,6579,0.007294896
0.25387964,849808,17777.310086011887,0.23684210526315788,0.006158396,-68.0,-38.832682990900345,0.7631578947368421,82.84210526315789,0.0,21.07894736842105,339321.2631578947,80.57233754844445,0.006142938,82.0811465505728,17.918853449427182,6617,0.006142938
