TimeElapsed,meankl,surrgain,TimestepsSoFar,optimgain,entloss,EpisodesSoFar,TtR,MtR,entropy,AttNC,AttC,Fce
25071.267103910446,0.008933204,1.4415541e-05,759991,1.4415541e-05,0.0,3595,2490.0,142.24093722167942,0.71557784,10.0,0.0,0.9959999999999998
25380.556381464005,0.008933204,7.90511e-05,769769,7.90511e-05,0.0,3636,2356.3414634146343,134.6409687779413,0.8131715,9.512195121951219,0.4878048780487805,0.952907264901526
25713.62171292305,0.010174863,0.00010079403,779875,0.00010079403,0.0,3684,2047.7083333333333,117.37584225342175,0.7155776,8.333333333333334,1.6666666666666667,0.8668473329502743
26014.272544145584,0.008933196,1.8481827e-05,789901,1.8481827e-05,0.0,3726,2360.714285714286,134.98275024236213,0.8131715,9.523809523809524,0.47619047619047616,0.9619274376417233
26310.162142038345,0.008933204,0.00018201096,799933,0.00018201096,0.0,3768,2321.6666666666665,132.7413979121427,0.91076547,9.452380952380953,0.5476190476190477,0.9441456582633052
26621.473699092865,0.010174781,2.6803093e-05,809792,2.6803093e-05,0.0,3814,2028.2608695652175,116.19160102116203,0.8131715,8.41304347826087,1.5869565217391304,0.8522097759370887
26936.081241846085,0.010174863,0.0002673354,819871,0.0002673354,0.0,3859,2163.1111111111113,123.97164549920993,0.7155776,8.844444444444445,1.1555555555555554,0.8945121737408184
27237.787523508072,0.008933204,0.0002012996,829880,0.0002012996,0.0,3900,2402.1951219512193,137.34844525791348,0.8131715,9.707317073170731,0.2926829268292683,0.9661029810298104
27541.042731285095,0.01017476,0.0006799298,839893,0.0006799298,0.0,3941,2357.317073170732,134.741924321604,0.7155776,9.731707317073171,0.2682926829268293,0.9464840525328331
27871.867320537567,0.01017476,0.00015841545,849896,0.00015841545,0.0,3982,2407.8048780487807,137.6233721956303,0.6179875,9.707317073170731,0.2926829268292683,0.9791869918699184
28182.000860214233,0.008933204,0.0003851429,859911,0.0003851429,0.0,4023,2431.2195121951218,139.03130921268126,0.7155776,9.75609756097561,0.24390243902439024,0.9831869918699186
28541.339888334274,0.008933196,0.00030757257,869940,0.00030757257,0.0,4064,2415.121951219512,138.10567901132828,0.8131715,9.731707317073171,0.2682926829268293,0.9712531539108493
28841.747044324875,0.010174863,8.1500475e-05,879940,8.1500475e-05,0.0,4104,2450.5,140.1260038270578,0.7155776,10.0,0.0,0.9802
29139.513983249664,0.010174781,2.7371445e-05,889945,2.7371445e-05,0.0,4145,2407.560975609756,137.69590179888934,0.6179874,9.707317073170731,0.2926829268292683,0.9678048780487807
29433.191386938095,0.01017476,0.0001362883,899948,0.0001362883,0.0,4186,2427.0731707317073,138.67855274658825,0.52040666,9.75609756097561,0.24390243902439024,0.978861788617886
29729.39759850502,0.010174863,0.00016429447,909948,0.00016429447,0.0,4226,2491.0,142.32664334106343,0.42281157,10.0,0.0,0.9963999999999997
29997.467552900314,0.008933102,0.00018584244,919948,0.00018584244,0.0,4266,2498.5,142.80282001680507,0.52039534,10.0,0.0,0.9994000000000002
30293.192686080933,0.010174781,0.0006210622,929948,0.0006210622,0.0,4306,2491.25,142.418105281513,0.42281157,10.0,0.0,0.9964999999999999
30587.035087823868,0.010174863,0.00037809298,939948,0.00037809298,0.0,4346,2498.5,142.78885766530112,0.32522273,10.0,0.0,0.9994
30905.961604833603,0.010174863,0.00011509653,949948,0.00011509653,0.0,4386,2499.5,142.84866126871233,0.22763059,10.0,0.0,0.9998000000000001
31217.643686532974,0.010174781,0.00038629994,959948,0.00038629994,0.0,4426,2500.0,142.8784238871937,0.13004108,10.0,0.0,1.0
31527.122244119644,0.008933102,0.00029657508,969948,0.00029657508,0.0,4466,2500.0,142.8784238871937,0.22763059,10.0,0.0,1.0
31822.011927366257,0.008933204,0.00030623598,979948,0.00030623598,0.0,4506,2500.0,142.8784238871937,0.3252227,10.0,0.0,1.0
32131.98651599884,0.01017476,9.993931e-05,989948,9.993931e-05,0.0,4546,2498.75,142.81730484974327,0.22763059,10.0,0.0,0.9994999999999999
32470.119412899017,0.010175198,0.00010496265,999948,0.00010496265,0.0,4586,2500.0,142.8784238871937,0.13004074,10.0,0.0,1.0
32786.842703819275,0.010174781,7.365587e-05,1009948,7.365587e-05,0.0,4626,2500.0,142.8784238871937,0.03244971,10.0,0.0,1.0
33127.03543949127,0.010174781,1.2781563e-05,1019948,1.2781563e-05,0.0,4666,2500.0,142.8784238871937,-0.065139845,10.0,0.0,1.0
33444.08779525757,0.010174781,0.0002462017,1029948,0.0002462017,0.0,4706,2500.0,142.8784238871937,-0.16272916,10.0,0.0,1.0
33784.91378378868,0.008933204,0.00020604828,1039948,0.00020604828,0.0,4746,2500.0,142.8784238871937,-0.065139845,10.0,0.0,1.0
34095.24103927612,0.010174863,0.00040647847,1049948,0.00040647847,0.0,4786,2500.0,142.8784238871937,-0.16272917,10.0,0.0,1.0
34399.36862182617,0.00893351,0.00022266441,1059948,0.00022266441,0.0,4826,2500.0,142.8784238871937,-0.065139845,10.0,0.0,1.0
34709.580848932266,0.010174863,0.00014667465,1069948,0.00014667465,0.0,4866,2500.0,142.8784238871937,-0.16272916,10.0,0.0,1.0
35051.356974601746,0.010174781,0.0003597243,1079948,0.0003597243,0.0,4906,2500.0,142.8784238871937,-0.26031882,10.0,0.0,1.0
35326.42836809158,0.010174871,0.0005387365,1089948,0.0005387365,0.0,4946,2500.0,142.8784238871937,-0.35791025,10.0,0.0,1.0
35624.53817844391,0.008933196,0.0005050066,1099948,0.0005050066,0.0,4986,2500.0,142.8784238871937,-0.26031944,10.0,0.0,1.0
35932.55132126808,0.008933204,0.00018888645,1109948,0.00018888645,0.0,5026,2500.0,142.8784238871937,-0.16272923,10.0,0.0,1.0
36257.82212853432,0.008933204,0.00015373025,1119948,0.00015373025,0.0,5066,2500.0,142.8784238871937,-0.065140076,10.0,0.0,1.0
36538.29911541939,0.008933204,0.00049072324,1129948,0.00049072324,0.0,5106,2500.0,142.8784238871937,0.032449722,10.0,0.0,1.0
36840.67282772064,0.010174781,0.0005961094,1139948,0.0005961094,0.0,5146,2500.0,142.8784238871937,-0.06514005,10.0,0.0,1.0
37144.24704909325,0.010174863,0.00034091828,1149948,0.00034091828,0.0,5186,2500.0,142.8784238871937,-0.16272926,10.0,0.0,1.0
37458.76805138588,0.008933204,0.00014065001,1159948,0.00014065001,0.0,5226,2500.0,142.8784238871937,-0.06514067,10.0,0.0,1.0
37778.46738743782,0.008933204,7.107891e-05,1169948,7.107891e-05,0.0,5266,2500.0,142.8784238871937,0.03244957,10.0,0.0,1.0
38113.57537531853,0.010174863,0.0004929245,1179948,0.0004929245,0.0,5306,2500.0,142.8784238871937,-0.06514074,10.0,0.0,1.0
38424.43739318848,0.01017476,0.00011460278,1189948,0.00011460278,0.0,5346,2500.0,142.8784238871937,-0.16272928,10.0,0.0,1.0
38727.069361925125,0.008933416,0.00037158676,1199948,0.00037158676,0.0,5386,2500.0,142.8784238871937,-0.06514007,10.0,0.0,1.0
39026.97522044182,0.008933204,0.00011685458,1209948,0.00011685458,0.0,5426,2500.0,142.8784238871937,0.03244958,10.0,0.0,1.0
39334.5523583889,0.010174863,5.3688775e-05,1219948,5.3688775e-05,0.0,5466,2500.0,142.8784238871937,-0.06514074,10.0,0.0,1.0
39645.39111113548,0.008933204,0.00022958097,1229948,0.00022958097,0.0,5506,2500.0,142.8784238871937,0.03244926,10.0,0.0,1.0
39921.14848327637,0.010174781,0.0006635673,1239948,0.0006635673,0.0,5546,2500.0,142.8784238871937,-0.065140076,10.0,0.0,1.0
40174.88538122177,0.01017476,0.00012948872,1249948,0.00012948872,0.0,5586,2500.0,142.8784238871937,-0.16272926,10.0,0.0,1.0
40478.13298988342,0.008933204,0.00025798104,1259948,0.00025798104,0.0,5626,2500.0,142.8784238871937,-0.06514005,10.0,0.0,1.0
40749.80556321144,0.01017476,0.00029497463,1269948,0.00029497463,0.0,5666,2499.75,142.8669286609238,-0.16272916,10.0,0.0,0.9999
41029.89637374878,0.008933204,0.0007476303,1279948,0.0007476303,0.0,5706,2500.0,142.8784238871937,-0.06513979,10.0,0.0,1.0
41323.7257039547,0.008933204,0.00046019405,1289948,0.00046019405,0.0,5746,2500.0,142.8784238871937,0.03244987,10.0,0.0,1.0
41644.847178697586,0.010174781,0.00050537445,1299948,0.00050537445,0.0,5786,2500.0,142.8784238871937,-0.06513976,10.0,0.0,1.0
41944.02430462837,0.008933204,0.00021663074,1309948,0.00021663074,0.0,5826,2500.0,142.8784238871937,0.032450315,10.0,0.0,1.0
42247.435891628265,0.010174781,0.00035710013,1319948,0.00035710013,0.0,5866,2500.0,142.8784238871937,-0.065139696,10.0,0.0,1.0
42543.6884803772,0.008933204,0.00039684746,1329948,0.00039684746,0.0,5906,2500.0,142.8784238871937,0.032451034,10.0,0.0,1.0
42839.37539434433,0.010174863,0.00017337372,1339948,0.00017337372,0.0,5946,2500.0,142.8784238871937,-0.065139696,10.0,0.0,1.0
43152.35726284981,0.008933204,0.00021587005,1349948,0.00021587005,0.0,5986,2500.0,142.8784238871937,0.032451026,10.0,0.0,1.0
43443.54889297485,0.010174863,7.4675256e-05,1359948,7.4675256e-05,0.0,6026,2500.0,142.8784238871937,-0.06513975,10.0,0.0,1.0
43713.97126150131,0.008933204,0.00087157456,1369948,0.00087157456,0.0,6066,2500.0,142.8784238871937,0.032451026,10.0,0.0,1.0
43996.35499572754,0.008933204,0.00019657433,1379948,0.00019657433,0.0,6106,2500.0,142.8784238871937,0.13004123,10.0,0.0,1.0
44303.99282550812,0.010174781,0.00079159345,1389948,0.00079159345,0.0,6146,2499.75,142.87004142484798,0.03245148,10.0,0.0,0.9999
44624.18865084648,0.008933204,0.00021412931,1399948,0.00021412931,0.0,6186,2500.0,142.8784238871937,0.13004121,10.0,0.0,1.0
44940.178106069565,0.008933102,0.00044455848,1409948,0.00044455848,0.0,6226,2500.0,142.8784238871937,0.22763063,10.0,0.0,1.0
45213.90045762062,0.010174863,0.00012369602,1419948,0.00012369602,0.0,6266,2499.25,142.83692878390085,0.1300412,10.0,0.0,0.9997
45479.28581237793,0.008933204,0.0005781177,1429948,0.0005781177,0.0,6306,2500.0,142.8784238871937,0.22763066,10.0,0.0,1.0
45739.02976489067,0.010174751,0.00036283775,1439948,0.00036283775,0.0,6346,2500.0,142.8784238871937,0.13004242,10.0,0.0,1.0
46008.15063047409,0.010174781,0.00019765255,1449948,0.00019765255,0.0,6386,2500.0,142.8784238871937,0.032451592,10.0,0.0,1.0
