MpbtN,MpbtA,Tmc,EpisodesSoFar,surrgain,MtR,TtR,Ptt,Tbt,entropy,TimestepsSoFar,AttC,AttNC,optimgain,TimeElapsed,meankl,Tmt,entloss
25.393682502361774,74.60631749763824,47.75,21790,0.001509753,-10.399771195051208,-145.625,55.94261970847746,234880.0,0.22086415,3209994,3.171875,6.828125,0.001509753,52185.442168712616,0.010696021,57.34375,0.0
25.479585304176542,74.52041469582343,48.6875,21854,0.0011943195,-10.137154942111065,-143.90625,55.07188411222713,231168.0,0.2084591,3219871,3.84375,6.15625,0.0011943195,52343.11101555824,0.0087068435,56.4375,0.0
24.274581574299464,75.72541842570052,48.96923076923077,21919,0.002055462,-9.694856137812963,-136.76923076923077,54.846981483387474,230384.24615384615,0.2197659,3229884,4.061538461538461,5.938461538461539,0.002055462,52500.668166399,0.010225518,56.246153846153845,0.0
25.867679068800363,74.13232093119966,48.86363636363637,21985,0.0016721319,-10.326388100514597,-145.45454545454547,54.92389183677176,230617.21212121213,0.20623605,3239983,4.848484848484849,5.151515151515151,0.0016721319,52657.37389397621,0.009774738,56.303030303030305,0.0
23.53003474233255,76.46996525766743,49.95454545454545,22051,0.0016117697,-9.527685096518253,-129.84848484848484,53.913240470829614,226335.0303030303,0.2010936,3249941,4.181818181818182,5.818181818181818,0.0016117697,52816.08183288574,0.0089444835,55.25757575757576,0.0
24.266027231192695,75.73397276880729,49.06153846153846,22116,0.0020976318,-9.679400551453686,-136.15384615384616,54.73176948743388,229754.0923076923,0.2111949,3259872,4.476923076923077,5.523076923076923,0.0020976318,52974.13154768944,0.009323992,56.09230769230769,0.0
26.685697603497115,73.3143023965029,47.546875,22180,0.0016910163,-10.448504390588683,-152.96875,56.132485911511125,235712.0,0.18747604,3269957,5.390625,4.609375,0.0016910163,53125.00358462334,0.008479179,57.546875,0.0
23.267433457204874,76.73256654279511,48.65151515151515,22246,0.0014173755,-9.491927224678836,-131.96969696969697,55.139650099854435,231610.18181818182,0.19895665,3279856,2.772727272727273,7.2272727272727275,0.0014173755,53280.91911649704,0.008487038,56.54545454545455,0.0
23.660477465485748,76.33952253451422,49.196969696969695,22312,0.002201851,-9.544699080051542,-132.27272727272728,54.63832197464308,229500.12121212122,0.19956648,3289905,3.6818181818181817,6.318181818181818,0.002201851,53438.674402952194,0.00982206,56.03030303030303,0.0
25.587141810384793,74.4128581896152,48.8,22377,0.0026885835,-10.379883314860235,-143.84615384615384,54.978770184642705,230825.35384615386,0.21511887,3299980,2.7384615384615385,7.2615384615384615,0.0026885835,53598.47506380081,0.009924357,56.353846153846156,0.0
27.440802707501923,72.5591972924981,45.225806451612904,22439,0.0017165228,-11.18521189771561,-164.19354838709677,58.296394090256,244967.2258064516,0.18299784,3309962,5.129032258064516,4.870967741935484,0.0017165228,53746.75859999657,0.008917791,59.806451612903224,0.0
23.831261011062754,76.16873898893724,48.6875,22503,0.0010529496,-9.426042872927214,-134.6875,55.093560911007955,231360.0,0.20496555,3319997,3.21875,6.78125,0.0010529496,53901.23855447769,0.0101496065,56.484375,0.0
24.931975192711192,75.0680248072888,50.09375,22567,0.0012105746,-9.880830610043441,-137.96875,53.79906948288339,225920.0,0.20085417,3329872,3.3125,6.6875,0.0012105746,54064.07960128784,0.0091370335,55.15625,0.0
23.91039688094823,76.08960311905177,49.850746268656714,22634,0.0011988552,-9.753706905758573,-132.38805970149255,54.01848163190283,226808.35820895524,0.21499372,3339868,2.91044776119403,7.08955223880597,0.0011988552,54227.27958369255,0.009461259,55.37313432835821,0.0
24.45395478555818,75.54604521444182,49.784615384615385,22699,0.0014160895,-9.590686762334965,-135.53846153846155,54.076434006822176,227044.43076923076,0.21779215,3349925,4.6,5.4,0.0014160895,54382.55022263527,0.009094189,55.43076923076923,0.0
25.973839260990836,74.02616073900919,46.935483870967744,22761,0.0012717139,-10.330234549022192,-151.7741935483871,56.70484752753889,238162.5806451613,0.20634766,3359887,6.467741935483871,3.532258064516129,0.0012717139,54531.71706581116,0.009250121,58.145161290322584,0.0
24.234141906767608,75.76585809323238,48.484848484848484,22827,0.0018238565,-9.989795426092263,-137.27272727272728,55.29026158426103,232230.78787878787,0.2009168,3369982,4.909090909090909,5.090909090909091,0.0018238565,54685.089180231094,0.008788635,56.696969696969695,0.0
26.100546542725443,73.8994534572746,48.41269841269841,22890,0.0013611563,-10.387173904218072,-148.57142857142858,55.36229382802989,232561.77777777778,0.19764891,3379882,5.666666666666667,4.333333333333333,0.0013611563,54841.595509529114,0.008723549,56.77777777777778,0.0
24.861050535725564,75.13894946427442,47.390625,22954,0.0014602991,-10.200503906560732,-143.75,56.283472028972284,236352.0,0.20725024,3389886,4.328125,5.671875,0.0014602991,54996.12156844139,0.009737216,57.703125,0.0
26.129933255703815,73.87006674429618,46.859375,23018,0.002004038,-10.652397101952667,-152.1875,56.769297043626295,238400.0,0.23798117,3399944,4.359375,5.640625,0.002004038,55150.0736849308,0.010244858,58.203125,0.0
29.77833580260899,70.221664197391,45.88333333333333,23078,0.001877612,-11.638516803267974,-176.66666666666666,57.6676227226404,242210.13333333333,0.20241414,3409841,6.683333333333334,3.316666666666667,0.001877612,55298.38916182518,0.008841427,59.13333333333333,0.0
25.129273238036983,74.87072676196301,46.815384615384616,23143,0.0011266686,-10.263889190488284,-146.30769230769232,56.83281287708115,238765.29230769232,0.19870809,3419994,4.292307692307692,5.707692307692308,0.0011266686,55454.47773003578,0.008203291,58.292307692307695,0.0
24.015963249955988,75.98403675004401,48.453125,23207,0.0016197107,-9.79842749826494,-136.09375,55.29246564784252,232128.0,0.20014313,3429997,3.046875,6.953125,0.0016197107,55615.321115493774,0.008946033,56.671875,0.0
25.850729797679435,74.14927020232058,46.765625,23271,0.0015465533,-10.849574286030347,-150.625,56.86596642448932,238848.0,0.22434796,3439871,2.5625,7.4375,0.0015465533,55777.10135960579,0.010884949,58.3125,0.0
25.81124715836891,74.18875284163106,49.390625,23335,0.0017482806,-10.251527939458049,-143.4375,54.39182412855953,228160.0,0.2384441,3449936,4.703125,5.296875,0.0017482806,55934.37024331093,0.010657483,55.703125,0.0
32.37604216144544,67.62395783855456,43.68333333333333,23395,0.0017604483,-12.89665286705073,-200.33333333333334,59.7449983433655,251221.33333333334,0.21208587,3459955,7.7,2.3,0.0017604483,56082.554614543915,0.009260289,61.333333333333336,0.0
33.64199893115078,66.35800106884922,44.916666666666664,23455,0.00089711364,-12.999855638220088,-203.33333333333334,58.56805386840136,246033.06666666668,0.18295352,3469972,7.55,2.45,0.00089711364,56229.75219345093,0.007854684,60.06666666666667,0.0
25.941932648057218,74.0580673519428,48.50769230769231,23520,0.002110743,-10.579418696749592,-146.76923076923077,55.232143801973926,231833.6,0.17973854,3479959,4.907692307692308,5.092307692307692,0.002110743,56389.04115176201,0.008298882,56.6,0.0
25.310571911549296,74.6894280884507,50.42424242424242,23586,0.0022762683,-10.307666891618188,-138.63636363636363,53.49075022614057,224597.33333333334,0.20145734,3489977,3.696969696969697,6.303030303030303,0.0022762683,56550.2334086895,0.009329355,54.833333333333336,0.0
25.268449541688696,74.7315504583113,49.55384615384615,23651,0.002210845,-10.11554851998457,-140.76923076923077,54.28008716182479,227863.63076923077,0.20623031,3499865,4.538461538461538,5.461538461538462,0.002210845,56707.05746793747,0.009671911,55.63076923076923,0.0
25.718717092118546,74.28128290788143,47.803030303030305,23717,0.0012746337,-10.35772158790395,-148.03030303030303,55.919853604845876,234899.39393939395,0.18752116,3509975,6.106060606060606,3.893939393939394,0.0012746337,56860.396824121475,0.008968017,57.34848484848485,0.0
25.26249563030105,74.73750436969893,48.875,23781,0.003052642,-10.074688689781938,-142.8125,54.92246568577212,230656.0,0.17376167,3519910,6.140625,3.859375,0.003052642,57015.733682632446,0.009863908,56.3125,0.0
24.549548697596347,75.45045130240366,49.77272727272727,23847,0.0012306058,-9.974641480652762,-136.36363636363637,54.11540915620469,227328.0,0.20277072,3529849,4.515151515151516,5.484848484848484,0.0012306058,57176.65696024895,0.009627416,55.5,0.0
