Tmt,MtR,surrgain,EpisodesSoFar,Ptt,meankl,optimgain,AttNC,entloss,TtR,Tmc,TimeElapsed,TimestepsSoFar,Tbt,AttC,entropy,MpbtA,MpbtN
59.114754098360656,-11.60604807700452,0.0027274322,20636,57.600323630369225,0.0034791688,0.0027274322,2.819672131147541,0.0,-173.9344262295082,46.0,54923.94525766373,3169897,242134.03278688525,7.180327868852459,0.24738008,70.76654449630516,29.233455503694834
60.440677966101696,-11.415998188441563,0.0032569356,20695,58.87413124801621,0.0034372732,0.0032569356,2.864406779661017,0.0,-173.22033898305085,44.6271186440678,55074.9049680233,3179900,247565.01694915254,7.135593220338983,0.23449898,71.62220779569176,28.377792204308236
59.36666666666667,-12.187728196444267,0.003314547,20755,57.88285206153757,0.004330727,0.003314547,3.1166666666666667,0.0,-183.83333333333334,45.666666666666664,55232.00980424881,3189832,243165.86666666667,6.883333333333334,0.25629583,69.3982622332691,30.60173776673092
59.516666666666666,-12.846511070718803,0.0025039557,20815,57.995700908810456,0.0033623884,0.0025039557,2.3333333333333335,0.0,-197.5,45.56666666666667,55384.51726555824,3199969,243780.26666666666,7.666666666666667,0.23027189,67.18091891734535,32.81908108265465
59.40677966101695,-11.769256429334266,0.0027266766,20874,57.893172695087834,0.0029731733,0.0027266766,2.5762711864406778,0.0,-177.45762711864407,45.67796610169491,55535.67622423172,3209835,243330.16949152542,7.423728813559322,0.22867772,70.20984387686045,29.79015612313954
59.559322033898304,-11.627812293055152,0.0029727807,20933,58.04521557343822,0.0038941796,0.0029727807,2.8983050847457625,0.0,-173.38983050847457,45.50847457627118,55685.77222490311,3219839,243954.98305084746,7.101694915254237,0.23529404,71.03881977574996,28.96118022425006
60.233333333333334,-12.662104373995808,0.0028178357,20993,58.69980013030801,0.0032948032,0.0028178357,2.3,0.0,-190.5,44.8,55835.31683254242,3229936,246715.73333333334,7.7,0.22644898,68.47642856803846,31.523571431961557
58.71666666666667,-11.090015431552475,0.002693429,21053,57.21825895176332,0.0035212238,0.002693429,2.9833333333333334,0.0,-163.16666666666666,46.416666666666664,55986.42754197121,3239874,240503.46666666667,7.016666666666667,0.22564383,72.56523535771774,27.43476464228228
59.09836065573771,-11.06134970744002,0.0031603493,21114,57.627632404914564,0.0039366228,0.0031603493,3.081967213114754,0.0,-162.78688524590163,45.9344262295082,56137.73079299927,3249910,242066.88524590165,6.918032786885246,0.23557936,72.52818257394267,27.471817426057303
59.65573770491803,-11.724209901218702,0.0031650781,21175,58.17794573955938,0.0038689175,0.0031650781,3.2131147540983607,0.0,-173.9344262295082,45.32786885245902,56292.995681762695,3259961,244349.90163934426,6.786885245901639,0.25172964,70.88488930915653,29.115110690843476
