TimestepsSoFar,Fce,meankl,optimgain,entloss,AttNC,AttC,MtR,TimeElapsed,EpisodesSoFar,surrgain,entropy,TtR
1719887,0.15561904761904763,0.0037916605,0.0015914063,0.0,1.619047619047619,1.380952380952381,22.252171163212154,7105.479154109955,7771,0.0015914063,0.9288322,116.71428571428571
1729887,0.15730000000000005,0.0025858192,0.00096512504,0.0,1.35,1.65,22.534512234726037,7146.303182840347,7811,0.00096512504,0.95662034,117.975
1739942,0.16042572062084254,0.0044458685,0.0013471339,0.0,1.7073170731707317,1.2926829268292683,22.671987276160703,7189.270157575607,7852,0.0013471339,0.93074286,118.2439024390244
1749821,0.1550496717332161,0.003979453,0.0013097847,0.0,1.5238095238095237,1.4761904761904763,21.472909473468675,7229.5368485450745,7894,0.0013097847,0.9220725,112.42857142857143
1759899,0.14327570707628093,0.0052670883,0.0015666606,0.0,1.4090909090909092,1.5909090909090908,19.495532534999374,7275.96932554245,7938,0.0015666606,0.9071652,102.95454545454545
1769832,0.1630197653816262,0.004574407,0.0014718638,0.0,1.6904761904761905,1.3095238095238095,21.675357402895308,7316.339817285538,7980,0.0014718638,0.90716565,113.35714285714286
1779843,0.15473170731707317,0.0042920136,0.0014916834,0.0,1.4146341463414633,1.5853658536585367,22.373535383162782,7358.601125240326,8021,0.0014916834,0.93994147,116.04878048780488
1789902,0.1449772140004698,0.003205974,0.0010461481,0.0,1.4186046511627908,1.5813953488372092,20.38273958567761,7400.137613773346,8064,0.0010461481,0.91082877,105.62790697674419
1799902,0.15809999999999996,0.005297735,0.0016500417,0.0,1.65,1.35,22.48503226259814,7441.841119289398,8104,0.0016500417,0.8828078,118.575
1809933,0.153117230527144,0.0048876964,0.0014565125,0.0,1.5365853658536586,1.4634146341463414,21.12409570950719,7482.308748483658,8145,0.0014565125,0.8290827,111.21951219512195
1819778,0.14888665898252992,0.006451749,0.0020205597,0.0,1.4523809523809523,1.5476190476190477,20.386006258439465,7523.42329788208,8187,0.0020205597,0.87699544,107.5
1829813,0.15905226480836235,0.004841462,0.0018034205,0.0,1.5609756097560976,1.4390243902439024,21.94725956813247,7566.337215662003,8228,0.0018034205,0.83483505,115.2439024390244
1839868,0.164470066518847,0.0045750923,0.0014362294,0.0,1.853658536585366,1.146341463414634,23.296986414363857,7608.283999681473,8269,0.0014362294,0.81443393,121.53658536585365
1849937,0.16468151290208552,0.0049023638,0.0015807429,0.0,1.9024390243902438,1.0975609756097562,23.21817901817926,7651.367384195328,8310,0.0015807429,0.79063237,121.97560975609755
1859938,0.17902439024390246,0.0031581374,0.0016982165,0.0,1.8780487804878048,1.1219512195121952,21.77414908459071,7691.875057935715,8351,0.0016982165,0.76741534,116.04878048780488
1869950,0.1518095238095238,0.0065037906,0.001881493,0.0,1.9523809523809523,1.0476190476190477,21.39201325118349,7735.959382534027,8393,0.001881493,0.704285,113.85714285714286
1879950,0.15870000000000004,0.0057684327,0.0016106853,0.0,1.95,1.05,22.038964575689903,7777.613181114197,8433,0.0016106853,0.69433475,119.025
1889951,0.1948292682926829,0.004125509,0.0014353032,0.0,2.1707317073170733,0.8292682926829268,24.04433024193536,7820.82347536087,8474,0.0014353032,0.679913,127.90243902439025
1899951,0.1681,0.0056802775,0.0017963852,0.0,2.275,0.725,23.692474549427565,7861.274083852768,8514,0.0017963852,0.6445729,126.075
1909980,0.15796131202691335,0.0038580652,0.0014533211,0.0,2.341463414634146,0.6585365853658537,22.025973502478735,7903.715596199036,8555,0.0014533211,0.60306734,115.6829268292683
1919980,0.16889999999999997,0.0033153347,0.001267221,0.0,2.325,0.675,23.87389026754098,7942.536147356033,8595,0.001267221,0.6171534,126.675
1929980,0.1639,0.004535565,0.0018529709,0.0,2.15,0.85,23.239091875456936,7984.512589454651,8635,0.0018529709,0.61559415,122.925
1939987,0.15597212543554007,0.0048970357,0.002361253,0.0,1.8780487804878048,1.1219512195121952,21.595361968138977,8024.986973524094,8676,0.002361253,0.5883719,114.4390243902439
1949987,0.17889999999999995,0.005709131,0.0017793274,0.0,2.425,0.575,25.527659902548127,8066.440129518509,8716,0.0017793274,0.5988981,134.175
1959798,0.167015873015873,0.0051531717,0.0016380681,0.0,1.7142857142857142,1.2857142857142858,23.230536515085504,8106.7183928489685,8758,0.0016380681,0.57662255,121.35714285714286
1969831,0.15115151515151518,0.0048247916,0.0019106918,0.0,1.6097560975609757,1.3902439024390243,21.193912105592016,8148.210671663284,8799,0.0019106918,0.5853655,111.4390243902439
1979858,0.1619078590785908,0.0033122594,0.0018306839,0.0,1.4390243902439024,1.5609756097560976,22.551285184450013,8189.789830207825,8840,0.0018306839,0.5850491,117.8048780487805
1989952,0.16783735660068919,0.004790962,0.0016787547,0.0,1.441860465116279,1.558139534883721,22.56090537241517,8229.861226797104,8883,0.0016787547,0.559753,116.16279069767442
1999971,0.16823823902831164,0.0050870287,0.0020013356,0.0,1.288888888888889,1.711111111111111,22.030443052647545,8270.100054502487,8928,0.0020013356,0.5838622,111.86666666666666
