TimestepsSoFar,MtR,TtR,surrgain,MpbtA,optimgain,TimeElapsed,entloss,AttNC,Tmc,Tbt,Ptt,MpbtN,AttC,entropy,meankl,EpisodesSoFar,Tmt
2199762,-36.8474530752135,-66.94285714285714,0.006584428,18.062645918999824,0.006584428,32343.73088002205,0.0,0.9142857142857143,22.285714285714285,334584.6857142857,79.45641145013124,81.93735408100015,0.08571428571428572,0.21466851,0.0074680834,11987,81.68571428571428
2209770,-38.279930823446115,-67.78378378378379,0.004093511,17.84242285625884,0.004093511,32452.00269961357,0.0,0.8108108108108109,21.513513513513512,337864.64864864864,80.17949036869148,82.15757714374118,0.1891891891891892,0.1915804,0.006328393,12024,82.48648648648648
2219977,-37.78061475846774,-66.94736842105263,0.004326239,17.630059232715425,0.004326239,32561.191048383713,0.0,0.868421052631579,22.710526315789473,332853.8947368421,79.05971457498498,82.36994076728458,0.13157894736842105,0.21942739,0.0051142117,12062,81.26315789473684
2229917,-37.77695775283859,-67.48648648648648,0.0044008913,18.114675280787413,0.0044008913,32661.69914841652,0.0,0.9459459459459459,21.54054054054054,337532.54054054053,80.14676256571221,81.88532471921258,0.05405405405405406,0.2240079,0.0049055717,12099,82.4054054054054
2239901,-37.19227631459699,-66.27027027027027,0.005368808,18.596388463077176,0.005368808,32766.469216823578,0.0,0.8648648648648649,22.594594594594593,333436.54054054053,79.1746798627742,81.40361153692284,0.13513513513513514,0.2340577,0.006558692,12136,81.4054054054054
2249868,-37.18954887772057,-66.6842105263158,0.00408125,19.06262167239736,0.00408125,32871.24389433861,0.0,0.7631578947368421,21.63157894736842,337381.05263157893,80.06894580952125,80.93737832760264,0.23684210526315788,0.22375205,0.0038830154,12174,82.36842105263158
2259781,-36.43178572164675,-65.10526315789474,0.0060038576,20.30243287650987,0.0060038576,32979.77728009224,0.0,0.4473684210526316,22.289473684210527,334578.5263157895,79.4512920977054,79.69756712349013,0.5526315789473685,0.25312546,0.0066454927,12212,81.6842105263158
2269890,-38.74230718028569,-67.52380952380952,0.0050473814,18.115899630542966,0.0050473814,33091.919947862625,0.0,0.6190476190476191,21.523809523809526,337724.95238095237,80.16702429746704,81.88410036945702,0.38095238095238093,0.22211689,0.006022002,12254,82.45238095238095
2279817,-37.095276381202495,-65.8974358974359,0.00413049,19.929045515887406,0.00413049,33203.15040516853,0.0,0.5641025641025641,21.666666666666668,337027.28205128206,80.0281299109163,80.07095448411258,0.4358974358974359,0.20980678,0.005075082,12293,82.28205128205128
2289857,-37.53215394961211,-66.71794871794872,0.0052223145,18.934208523891048,0.0052223145,33307.86868929863,0.0,0.8461538461538461,21.692307692307693,337132.3076923077,80.01343126635187,81.06579147610891,0.15384615384615385,0.22700037,0.0070258486,12332,82.3076923076923
2299896,-37.27935647811692,-66.875,0.0034149552,18.749527903744216,0.0034149552,33418.17156171799,0.0,0.625,21.725,336998.4,79.98397021078328,81.25047209625579,0.375,0.21058306,0.0054158606,12372,82.275
2309807,-37.435348746699546,-67.12820512820512,0.0065436037,18.81377809634525,0.0065436037,33523.93774390221,0.0,0.5897435897435898,21.256410256410255,338707.6923076923,80.41055038224792,81.18622190365475,0.41025641025641024,0.24260122,0.0078521045,12411,82.6923076923077
2319821,-37.69961594739979,-66.92857142857143,0.005231888,18.298650428449957,0.005231888,33636.912296295166,0.0,0.2857142857142857,22.071428571428573,335481.90476190473,79.65566922055811,81.70134957155004,0.7142857142857143,0.20019501,0.006918004,12453,81.9047619047619
2329909,-37.48806285249742,-66.8,0.005941898,18.913188800037865,0.005941898,33748.410511255264,0.0,0.475,21.6,337408.0,80.0958761837285,81.08681119996211,0.525,0.20308547,0.007233229,12493,82.375
2339787,-38.66640022397816,-67.61538461538461,0.004114133,18.251772656702403,0.004114133,33856.65289545059,0.0,0.6153846153846154,21.307692307692307,338707.6923076923,80.37160614702576,81.74822734329759,0.38461538461538464,0.19280823,0.006153085,12532,82.6923076923077
2349786,-38.07535520461695,-67.89473684210526,0.0043405886,17.85499140495959,0.0043405886,33961.22728419304,0.0,0.8157894736842105,21.31578947368421,338566.7368421053,80.35926042692385,82.1450085950404,0.18421052631578946,0.20639531,0.0056170817,12570,82.65789473684211
2359937,-37.435526408826775,-67.48648648648648,0.0036790967,17.966158973651254,0.0036790967,34064.02539277077,0.0,0.972972972972973,21.675675675675677,336868.3243243243,80.01488597610141,82.03384102634874,0.02702702702702703,0.20688821,0.004943763,12607,82.24324324324324
