Ptt,MpbtA,TimestepsSoFar,MpbtN,surrgain,optimgain,entropy,Tmc,entloss,AttC,meankl,EpisodesSoFar,AttNC,TimeElapsed,TtR,Tbt,MtR,Tmt
55.14276814594765,81.75928864895137,2389935,18.240711351048645,0.0024764484,0.0024764484,0.26764894,48.62903225806452,0.0,3.1129032258064515,0.00633855,16478,6.887096774193548,82577.45799946785,-102.90322580645162,231556.12903225806,-7.58963192599553,56.53225806451613
56.19724223501478,80.73242966965671,2399924,19.267570330343275,0.002724857,0.002724857,0.2738032,47.49152542372882,0.0,4.728813559322034,0.005865415,16537,5.271186440677966,82856.65680217743,-111.52542372881356,236040.6779661017,-7.452561043757008,57.6271186440678
54.45144433305925,82.42556149330144,2409881,17.57443850669855,0.0035769416,0.0035769416,0.27355415,49.39344262295082,0.0,3.2131147540983607,0.009079351,16598,6.786885245901639,83161.83197116852,-98.19672131147541,228704.52459016393,-7.299601158742451,55.83606557377049
55.92373181366826,83.3317752930113,2419956,16.668224706988713,0.0027107217,0.0027107217,0.2863846,47.77049180327869,0.0,4.016393442622951,0.00736843,16659,5.983606557377049,83467.13429880142,-96.72131147540983,234814.95081967214,-6.72394310560235,57.32786885245902
57.26535523246673,69.37802234283693,2429878,30.621977657163065,0.0036596118,0.0036596118,0.26086327,46.34848484848485,0.0,6.5606060606060606,0.0069796117,16725,3.4393939393939394,83801.20972967148,-190.15151515151516,240608.9696969697,-12.451464198907987,58.74242424242424
55.77742128006269,78.24368000376529,2439848,21.756319996234723,0.0023761862,0.0023761862,0.24293053,47.96774193548387,0.0,6.419354838709677,0.0060985778,16787,3.5806451612903225,84130.1433441639,-128.5483870967742,234396.90322580645,-8.729974495292272,57.225806451612904
54.839436891350445,80.65872756171349,2449976,19.341272438286527,0.0023492123,0.0023492123,0.25706124,48.983333333333334,0.0,5.216666666666667,0.0048835124,16847,4.783333333333333,84455.2091600895,-108.83333333333333,230400.0,-7.724998150316464,56.25
55.44550382650613,79.43837500269983,2459945,20.561624997300154,0.0025598817,0.0025598817,0.28067794,48.31666666666667,0.0,6.116666666666666,0.006534249,16907,3.8833333333333333,84783.23387980461,-118.66666666666667,232925.86666666667,-8.140190488453491,56.86666666666667
55.58303074666802,80.28987254417945,2469900,19.710127455820544,0.001855809,0.001855809,0.2680212,48.18333333333333,0.0,4.916666666666667,0.0057674604,16967,5.083333333333333,85109.99620318413,-114.66666666666667,233540.26666666666,-7.766761231943465,57.016666666666666
56.34321852566395,79.42186874334317,2479943,20.578131256656818,0.002016781,0.002016781,0.2401621,47.31147540983606,0.0,5.426229508196721,0.0050692717,17028,4.573770491803279,85432.49135732651,-119.50819672131148,236560.7868852459,-8.291023863011555,57.75409836065574
55.289948162895726,78.67252754333893,2489994,21.32747245666105,0.0035241724,0.0035241724,0.25316516,48.483333333333334,0.0,5.266666666666667,0.006336247,17088,4.733333333333333,85753.75313019753,-122.0,232243.2,-8.5244578380293,56.7
54.58264054449853,82.64018492417006,2499980,17.359815075829914,0.0025247412,0.0025247412,0.28790054,49.22950819672131,0.0,4.295081967213115,0.00595203,17149,5.704918032786885,86084.91786193848,-97.54098360655738,229174.55737704918,-7.0301288732499465,55.950819672131146
57.55332473821102,72.91381568284851,2509937,27.086184317151492,0.0020446638,0.0020446638,0.28827086,46.01639344262295,0.0,5.754098360655738,0.0054544373,17210,4.245901639344262,86394.02860498428,-166.72131147540983,241798.29508196723,-10.594310269882243,59.032786885245905
54.63697039195318,79.84088607175559,2519961,20.159113928244395,0.0021371534,0.0021371534,0.25286666,49.21311475409836,0.0,3.9836065573770494,0.0061949412,17271,6.016393442622951,86715.13046574593,-113.93442622950819,229577.44262295082,-7.932577408179504,56.049180327868854
54.08188120682374,82.16651898485543,2529830,17.83348101514457,0.002538401,0.002538401,0.27299792,49.74576271186441,0.0,2.9322033898305087,0.0062654023,17330,7.067796610169491,86992.7387714386,-99.15254237288136,226946.16949152542,-7.117929755358492,55.40677966101695
53.97836008678808,83.03785003447994,2539907,16.96214996552005,0.002257837,0.002257837,0.25591314,49.885245901639344,0.0,3.262295081967213,0.005228615,17391,6.737704918032787,87291.18858909607,-93.77049180327869,226622.95081967214,-6.818670122398357,55.32786885245902
55.47456337389265,81.17887934456301,2549882,18.821120655436953,0.0022557238,0.0022557238,0.2682804,48.271186440677965,0.0,4.254237288135593,0.005242649,17450,5.745762711864407,87606.18222641945,-107.62711864406779,232986.0338983051,-7.449553409456813,56.88135593220339
55.76555290032224,80.21884399503489,2559930,19.781156004965116,0.0020081853,0.0020081853,0.2550931,47.94915254237288,0.0,4.47457627118644,0.0052550584,17509,5.52542372881356,87933.1294670105,-113.89830508474576,234166.2372881356,-7.830141842184505,57.16949152542373
54.176635500708315,82.30504145169083,2569926,17.694958548309163,0.0021859067,0.0021859067,0.25812778,49.67796610169491,0.0,3.7457627118644066,0.0051773745,17568,6.254237288135593,88264.20714664459,-98.30508474576271,227501.5593220339,-7.123538069795984,55.54237288135593
55.086952165279484,81.84095246010685,2579877,18.159047539893177,0.0018724657,0.0018724657,0.2605607,48.704918032786885,0.0,3.4262295081967213,0.004474422,17629,6.573770491803279,88606.75601625443,-103.77049180327869,231390.4262295082,-7.228240720558512,56.49180327868852
55.876659333463245,79.16842444744731,2589933,20.83157555255267,0.0026197718,0.0026197718,0.24613908,47.85245901639344,0.0,3.3442622950819674,0.006154904,17690,6.655737704918033,88953.73762488365,-121.47540983606558,234747.80327868852,-8.409360037072345,57.31147540983606
54.61324588052644,83.1331954519396,2599968,16.86680454806038,0.002139619,0.002139619,0.26916903,49.19672131147541,0.0,3.098360655737705,0.0050410163,17751,6.901639344262295,89302.79812335968,-94.91803278688525,229308.8524590164,-6.923757906659351,55.98360655737705
55.814378886570935,82.05797770203492,2609918,17.94202229796505,0.003154812,0.003154812,0.25593072,47.90163934426229,0.0,5.655737704918033,0.00594577,17812,4.344262295081967,89643.03331184387,-104.42622950819673,234412.0655737705,-6.954815955519588,57.22950819672131
55.43506258325073,82.20408400721499,2619935,17.795915992785048,0.0025137202,0.0025137202,0.26793292,48.32203389830509,0.0,4.033898305084746,0.0060762987,17871,5.966101694915254,89988.89467263222,-101.69491525423729,232847.18644067796,-6.985619916284332,56.847457627118644
55.10552580754866,80.95077901324602,2629911,19.049220986753987,0.0029020745,0.0029020745,0.2501162,48.66101694915254,0.0,5.559322033898305,0.0065500927,17930,4.440677966101695,90333.8493282795,-108.8135593220339,231389.28813559323,-7.464891763364984,56.49152542372882
55.34365039281628,81.76111126369544,2639884,18.23888873630456,0.0026059267,0.0026059267,0.2540505,48.416666666666664,0.0,5.533333333333333,0.0066806166,17990,4.466666666666667,90683.78876113892,-104.0,232448.0,-7.195457876799017,56.75
