TimestepsSoFar,TimeElapsed,Fce,TtR,AttC,entropy,optimgain,entloss,EpisodesSoFar,MtR,surrgain,AttNC,meankl
479981,3017.964549779892,0.12219047619047618,91.64285714285714,1.3095238095238095,1.5144908,0.00092848105,0.0,2247,17.218439491870814,0.00092848105,1.6904761904761905,0.0032632449
489996,3078.7940349578857,0.14309135802469136,88.93333333333334,1.3777777777777778,1.50536,0.0011240841,0.0,2292,16.80344200850022,0.0011240841,1.6222222222222222,0.0025328172
499996,3136.6717681884766,0.13320000000000004,99.9,1.25,1.4923122,0.0011633788,0.0,2332,18.919763510278877,0.0011633788,1.75,0.0019076426
509778,3194.589005470276,0.11087486157253602,82.3953488372093,1.302325581395349,1.4778607,0.00098682,0.0,2375,15.748120540526305,0.00098682,1.697674418604651,0.0014539276
519849,3262.9247817993164,0.11647053069210077,84.8936170212766,1.4042553191489362,1.4902784,0.0007173299,0.0,2422,16.329146857866647,0.0007173299,1.5957446808510638,0.0011582212
529767,3326.506320953369,0.12264231661789929,80.23404255319149,1.5106382978723405,1.487217,0.0010040741,0.0,2469,15.36159180200438,0.0010040741,1.4893617021276595,0.0012846697
539990,3389.7389302253723,0.1449680289894959,88.6,1.2,1.5067579,0.0010030039,0.0,2514,17.08314612377383,0.0010030039,1.8,0.0020765164
549924,3454.190248966217,0.1447364810281304,74.6470588235294,1.6862745098039216,1.4914656,0.0010370036,0.0,2565,14.342495162378654,0.0010370036,1.3137254901960784,0.005030786
559755,3520.439544916153,0.13426118067978535,94.07142857142857,1.5,1.4929113,0.0010732234,0.0,2607,18.260009095314945,0.0010732234,1.5,0.0029103772
569775,3582.192617416382,0.1234777190855622,81.47058823529412,1.7058823529411764,1.4759544,0.0011731334,0.0,2658,15.579274455992397,0.0011731334,1.2941176470588236,0.0015419328
580000,3645.6722967624664,0.12798048682960966,91.13333333333334,1.6,1.4814461,0.0009352178,0.0,2703,17.450546308594106,0.0009352178,1.4,0.0012097822
589934,3704.729527235031,0.11955448335378113,73.73076923076923,1.6538461538461537,1.4825445,0.0010108413,0.0,2755,14.045044721112102,0.0010108413,1.3461538461538463,0.00092826673
599951,3770.676079750061,0.12881068042186847,86.02173913043478,1.565217391304348,1.4954859,0.0013268095,0.0,2801,16.391644209360354,0.0013268095,1.434782608695652,0.0018011907
609774,3831.782296180725,0.13821226980494714,79.76086956521739,1.326086956521739,1.5059919,0.0009577123,0.0,2847,15.238782909991505,0.0009577123,1.673913043478261,0.00097130623
619904,3893.013288497925,0.13739173222164644,79.8125,1.4583333333333333,1.5224719,0.0008077301,0.0,2895,15.293194736832907,0.0008077301,1.5416666666666667,0.0018703099
629889,3957.4723370075226,0.1294193783744346,91.97727272727273,1.4318181818181819,1.5314052,0.0011409835,0.0,2939,17.598133082938627,0.0011409835,1.5681818181818181,0.0036115248
639909,4011.8095133304596,0.106,79.5,1.5,1.5277208,0.00030535788,0.0,2987,15.50194740761824,0.00030535788,1.5,0.0041821147
649926,4073.159996509552,0.11561904761904766,84.4,1.4666666666666666,1.5441917,0.0007856883,0.0,3032,15.932995378436898,0.0007856883,1.5333333333333334,0.0073929084
659962,4141.430660486221,0.12841991341991343,93.3409090909091,1.4090909090909092,1.5470842,0.0003462087,0.0,3076,17.628020295778295,0.0003462087,1.5909090909090908,0.0034016133
669968,4201.523189306259,0.12476190476190477,93.57142857142857,1.4761904761904763,1.5710344,0.0008248502,0.0,3118,17.573303918003578,0.0008248502,1.5238095238095237,0.008240094
679994,4269.457498550415,0.12734387351778653,92.67391304347827,1.434782608695652,1.577595,0.0008914113,0.0,3164,17.792422499182923,0.0008914113,1.565217391304348,0.0010764484
689807,4326.451400279999,0.16324304267161405,94.92857142857143,1.4285714285714286,1.5891453,0.0008197408,0.0,3206,18.31289509281836,0.0008197408,1.5714285714285714,0.002849857
699981,4389.0275774002075,0.11992886652377847,84.5625,1.7708333333333333,1.606209,0.0010202235,0.0,3254,16.43774157354144,0.0010202235,1.2291666666666667,0.005463921
