entloss,meankl,optimgain,TimestepsSoFar,Fce,AttC,AttNC,surrgain,TimeElapsed,EpisodesSoFar,TtR,entropy,MtR
0.0,0.004506539,0.0026561257,2479858,0.13970000000000002,0.0,1.0,0.0026561257,20123.069291114807,11359,34.925,-0.07021988,19.940654044223468
0.0,0.004403534,0.0038073868,2489859,0.1469268292682927,0.024390243902439025,0.975609756097561,0.0038073868,20208.11073565483,11400,36.73170731707317,-0.060947724,21.067575653902193
0.0,0.0058409623,0.004578282,2499860,0.14946341463414636,0.024390243902439025,0.975609756097561,0.004578282,20288.96974992752,11441,37.36585365853659,-0.073531106,21.488367963048
0.0,0.005085547,0.003981154,2509860,0.14830000000000004,0.0,1.0,0.003981154,20372.343367099762,11481,37.075,-0.08830644,21.02666673552767
0.0,0.005669452,0.0034656096,2519860,0.14710000000000004,0.0,1.0,0.0034656096,20462.380606651306,11521,36.775,-0.076454155,20.96013585772081
0.0,0.006363058,0.0030938156,2529860,0.14880000000000002,0.0,1.0,0.0030938156,20536.31070613861,11561,37.2,-0.107647866,21.08032935230434
0.0,0.010988469,0.002860675,2539860,0.1564,0.0,1.0,0.002860675,20619.703718185425,11601,39.1,-0.15662445,22.33413023553866
0.0,0.005211186,0.004292677,2549860,0.1467,0.0,1.0,0.004292677,20703.109580039978,11641,36.675,-0.1599327,21.055629581603263
0.0,0.0074045495,0.00615599,2559860,0.1482,0.0,1.0,0.00615599,20788.967405080795,11681,37.05,-0.14543658,21.373884569049437
0.0,0.005083599,0.0043544862,2569860,0.14810000000000004,0.0,1.0,0.0043544862,20877.2007894516,11721,37.025,-0.12573244,21.15852548901902
0.0,0.0060723717,0.00492944,2579901,0.13999999999999996,0.06976744186046512,0.9302325581395349,0.00492944,20954.068416118622,11764,33.69767441860465,-0.107445456,18.968247474694248
0.0,0.004528622,0.004165215,2589901,0.1504,0.0,1.0,0.004165215,21030.923228740692,11804,37.6,-0.117653675,21.164882190338936
0.0,0.006453813,0.0039397175,2599918,0.14784505021520802,0.024390243902439025,0.975609756097561,0.0039397175,21113.88439297676,11845,36.292682926829265,-0.08665085,20.78352034283256
0.0,0.003736947,0.0039980593,2609918,0.15030000000000002,0.0,1.0,0.0039980593,21195.72448849678,11885,37.575,-0.06910359,21.25432194125963
0.0,0.0046563796,0.0027999587,2619919,0.1441951219512195,0.024390243902439025,0.975609756097561,0.0027999587,21276.02309370041,11926,36.048780487804876,-0.08215069,20.42647233359396
0.0,0.0039390493,0.0037161675,2629920,0.1433170731707317,0.024390243902439025,0.975609756097561,0.0037161675,21350.530677318573,11967,35.829268292682926,-0.0925168,20.478089888181604
0.0,0.0060129,0.0019932983,2639921,0.14995121951219514,0.024390243902439025,0.975609756097561,0.0019932983,21442.67945575714,12008,37.48780487804878,-0.07465752,21.42317622050259
0.0,0.0075701308,0.0058204285,2649922,0.13795121951219516,0.024390243902439025,0.975609756097561,0.0058204285,21513.29917526245,12049,34.48780487804878,-0.06150669,19.70801715387468
0.0,0.0037504337,0.0027352797,2659948,0.14713553113553107,0.047619047619047616,0.9523809523809523,0.0027352797,21598.89110684395,12091,35.04761904761905,-0.06909321,19.765148360561472
0.0,0.0039005752,0.002957871,2669948,0.1505,0.0,1.0,0.002957871,21670.113443136215,12131,37.625,-0.06419134,21.107127622663146
0.0,0.0066464674,0.0048262756,2679948,0.1496,0.0,1.0,0.0048262756,21754.392766714096,12171,37.4,-0.05358516,21.192888401727764
0.0,0.009530941,0.0053174784,2689950,0.14371428571428568,0.047619047619047616,0.9523809523809523,0.0053174784,21833.571584939957,12213,35.92857142857143,-0.07144157,20.08958031087097
0.0,0.0036239044,0.0020181763,2699950,0.1466,0.0,1.0,0.0020181763,21915.610367536545,12253,36.65,-0.096088216,21.18743756044515
0.0,0.004012115,0.0029371404,2709950,0.15129999999999996,0.0,1.0,0.0029371404,22007.8209502697,12293,37.825,-0.09045385,21.839742625195584
0.0,0.0062249675,0.0029873748,2719950,0.14870000000000003,0.0,1.0,0.0029873748,22091.964519023895,12333,37.175,-0.09812188,21.232106291272494
0.0,0.005184851,0.0034589749,2729950,0.1463,0.0,1.0,0.0034589749,22175.270841360092,12373,36.575,-0.10781497,21.148365099567588
0.0,0.0049767294,0.004129503,2739950,0.14680000000000004,0.0,1.0,0.004129503,22261.789390325546,12413,36.7,-0.0838549,20.76785377682199
0.0,0.008459664,0.005416796,2749951,0.13658536585365857,0.024390243902439025,0.975609756097561,0.005416796,22335.95942759514,12454,34.146341463414636,-0.10982515,19.532909253965883
0.0,0.0048473403,0.004777324,2759951,0.14300000000000004,0.0,1.0,0.004777324,22414.15537405014,12494,35.75,-0.112826735,20.465957004507544
0.0,0.0060099945,0.0053287474,2769951,0.13240000000000002,0.0,1.0,0.0053287474,22493.74104642868,12534,33.1,-0.097736165,18.955324016763054
0.0,0.0063493233,0.0056692325,2779951,0.14610000000000004,0.0,1.0,0.0056692325,22579.36468720436,12574,36.525,-0.10651799,20.65745204941555
0.0,0.007832797,0.0050241724,2789951,0.14319999999999997,0.0,1.0,0.0050241724,22661.479558944702,12614,35.8,-0.08879064,20.534227472445608
0.0,0.006769464,0.005710384,2799951,0.1389,0.0,1.0,0.005710384,22728.781999588013,12654,34.725,-0.094688214,19.83397359676205
0.0,0.0054566977,0.0059109638,2809953,0.1384761904761905,0.047619047619047616,0.9523809523809523,0.0059109638,22821.69104218483,12696,34.61904761904762,-0.07784771,19.71578121189423
0.0,0.0055690045,0.004359493,2819953,0.13880000000000003,0.0,1.0,0.004359493,22904.79125905037,12736,34.7,-0.042972527,19.644183991014067
0.0,0.005114819,0.0036161712,2829954,0.14214634146341465,0.024390243902439025,0.975609756097561,0.0036161712,22984.220146417618,12777,35.53658536585366,-0.03569411,20.222781079225957
0.0,0.0040884367,0.003321469,2839954,0.1468,0.0,1.0,0.003321469,23051.332102060318,12817,36.7,-0.02018768,20.997925241297104
0.0,0.0045095026,0.0028306106,2849954,0.1461,0.0,1.0,0.0028306106,23143.372338056564,12857,36.525,-0.022886526,20.834214091093692
0.0,0.0047418573,0.0050221435,2859955,0.1390243902439024,0.024390243902439025,0.975609756097561,0.0050221435,23220.34007191658,12898,34.75609756097561,0.0042930543,19.88692980424685
0.0,0.005248548,0.0044234022,2869955,0.14430000000000004,0.0,1.0,0.0044234022,23305.44709277153,12938,36.075,-0.009429932,20.13589966871927
0.0,0.0072215055,0.002822046,2879956,0.13736585365853657,0.024390243902439025,0.975609756097561,0.002822046,23380.689334392548,12979,34.34146341463415,-0.017767275,19.614213882524794
0.0,0.00461911,0.0036863808,2889957,0.143219512195122,0.024390243902439025,0.975609756097561,0.0036863808,23455.8782184124,13020,35.80487804878049,-0.0035407543,20.184428702591664
0.0,0.0062487274,0.004108264,2899958,0.14126829268292684,0.024390243902439025,0.975609756097561,0.004108264,23541.90417122841,13061,35.31707317073171,-0.02788353,20.204418087753606
0.0,0.0059531275,0.0039688614,2909959,0.13795121951219516,0.024390243902439025,0.975609756097561,0.0039688614,23618.803202867508,13102,34.48780487804878,-0.05184555,19.505901535712443
0.0,0.006504446,0.005969024,2919959,0.14430000000000004,0.0,1.0,0.005969024,23693.448477506638,13142,36.075,-0.059207946,20.57224873264928
0.0,0.0050366987,0.004753728,2929959,0.145,0.0,1.0,0.004753728,23785.35819554329,13182,36.25,-0.06409082,20.63506357182232
0.0,0.004282741,0.0027413375,2939960,0.13346341463414635,0.024390243902439025,0.975609756097561,0.0027413375,23869.217788219452,13223,33.36585365853659,-0.05069017,19.082006225129014
0.0,0.005281562,0.004156464,2949960,0.14140000000000005,0.0,1.0,0.004156464,23943.522670269012,13263,35.35,-0.022016596,19.914051714288053
0.0,0.0075851637,0.005332029,2959960,0.14759999999999995,0.0,1.0,0.005332029,24022.25017142296,13303,36.9,-0.019210836,21.143353704313647
0.0,0.0042335982,0.0037271546,2969960,0.1459,0.0,1.0,0.0037271546,24109.430755376816,13343,36.475,-0.020964604,20.515372471895414
0.0,0.005338613,0.0037281334,2979961,0.14829268292682926,0.024390243902439025,0.975609756097561,0.0037281334,24188.272773742676,13384,37.073170731707314,-0.0034350236,21.300955691013623
0.0,0.007120722,0.004990795,2989961,0.1395,0.0,1.0,0.004990795,24264.509093284607,13424,34.875,0.0046339035,19.741494759658114
0.0,0.0052823713,0.0040298617,2999963,0.13504761904761906,0.047619047619047616,0.9523809523809523,0.0040298617,24358.9646320343,13466,33.76190476190476,0.0321167,19.407067931322633
0.0,0.0064240326,0.005357965,3009963,0.13730000000000003,0.0,1.0,0.005357965,24434.09609222412,13506,34.325,0.05214069,19.837083091155094
0.0,0.0050357804,0.0045548105,3019979,0.1384761904761905,0.047619047619047616,0.9523809523809523,0.0045548105,24516.94991517067,13548,34.61904761904762,0.025477348,19.994368486596436
0.0,0.0050957063,0.0046431627,3029991,0.14458874458874457,0.047619047619047616,0.9523809523809523,0.0046431627,24589.9612698555,13590,34.595238095238095,0.030815918,19.93560121537898
0.0,0.006974873,0.006431842,3039991,0.1489,0.0,1.0,0.006431842,24667.056257724762,13630,37.225,0.0065945997,20.951056379161813
0.0,0.006381684,0.0054531205,3049991,0.1469,0.0,1.0,0.0054531205,24752.35622906685,13670,36.725,0.012642414,20.942851132666444
0.0,0.0046329126,0.0034773224,3059755,0.1359069767441861,0.09302325581395349,0.9069767441860465,0.0034773224,24823.851846694946,13713,33.97674418604651,0.0044107437,19.469548056031545
0.0,0.0057299803,0.0042460863,3069756,0.14829268292682926,0.024390243902439025,0.975609756097561,0.0042460863,24910.950075387955,13754,37.073170731707314,-0.006768001,20.53909583029429
0.0,0.008488373,0.0030448914,3079756,0.1486,0.0,1.0,0.0030448914,24995.98187470436,13794,37.15,-0.030657941,21.125350627905807
0.0,0.009661707,0.0038947365,3089768,0.1484935064935065,0.047619047619047616,0.9523809523809523,0.0038947365,25080.729869127274,13836,35.57142857142857,-0.069075145,20.25304477159456
0.0,0.0068720053,0.0025510986,3099769,0.13531707317073172,0.024390243902439025,0.975609756097561,0.0025510986,25147.30530142784,13877,33.829268292682926,-0.09637432,19.182930918781754
0.0,0.0040126187,0.003732894,3109770,0.1411707317073171,0.024390243902439025,0.975609756097561,0.003732894,25231.1771337986,13918,35.292682926829265,-0.07635116,19.910198315655414
0.0,0.00831947,0.003270577,3119771,0.13990243902439026,0.024390243902439025,0.975609756097561,0.003270577,25310.797057390213,13959,34.97560975609756,-0.04876136,20.397715229489467
0.0,0.0052825017,0.0043694763,3129771,0.14040000000000002,0.0,1.0,0.0043694763,25388.834273338318,13999,35.1,-0.021557808,20.05810199378173
0.0,0.0030732895,0.002926783,3139771,0.1382,0.0,1.0,0.002926783,25469.511626005173,14039,34.55,-0.0043877685,19.59949026125964
0.0,0.0057659824,0.0036419933,3149772,0.13775609756097562,0.024390243902439025,0.975609756097561,0.0036419933,25548.313589334488,14080,34.4390243902439,-0.0069727898,19.761018084820904
0.0,0.008266754,0.003739801,3159772,0.1405,0.0,1.0,0.003739801,25629.98764181137,14120,35.125,0.020627096,19.632117593090847
0.0,0.0070439926,0.004153873,3169773,0.1342439024390244,0.024390243902439025,0.975609756097561,0.004153873,25718.23568701744,14161,33.5609756097561,0.05074311,18.624388144109183
0.0,0.004892205,0.0028228026,3179774,0.1395121951219512,0.024390243902439025,0.975609756097561,0.0028228026,25788.680916547775,14202,34.8780487804878,0.047044754,19.971959758330787
0.0,0.0068980865,0.0050359736,3189774,0.1456,0.0,1.0,0.0050359736,25872.47861456871,14242,36.4,0.089782506,20.99665544854511
0.0,0.0073417025,0.0042716935,3199776,0.13142857142857145,0.047619047619047616,0.9523809523809523,0.0042716935,25952.973566532135,14284,32.857142857142854,0.08084013,18.785492852418127
0.0,0.0070888824,0.0040744157,3209777,0.13600000000000004,0.024390243902439025,0.975609756097561,0.0040744157,26028.753573179245,14325,34.0,0.051458318,19.325909484083486
0.0,0.0070038466,0.0040555024,3219784,0.13392334494773522,0.024390243902439025,0.975609756097561,0.0040555024,26104.579429626465,14366,32.63414634146341,0.048654683,18.51330777813832
0.0,0.0028915652,0.0015228936,3229786,0.13285714285714284,0.047619047619047616,0.9523809523809523,0.0015228936,26187.144044160843,14408,33.214285714285715,0.034519207,18.80182133340913
0.0,0.0050496305,0.003558104,3239787,0.1379512195121952,0.024390243902439025,0.975609756097561,0.003558104,26265.94718003273,14449,34.48780487804878,0.058823023,19.558603063662158
0.0,0.0017382402,0.001241407,3249787,0.1354,0.0,1.0,0.001241407,26347.009892225266,14489,33.85,0.06904711,19.169124501624434
0.0,0.005782295,0.003808866,3259787,0.1368,0.0,1.0,0.003808866,26428.959278821945,14529,34.2,0.0582771,19.375853022428966
0.0,0.005788274,0.003187259,3269788,0.13902439024390242,0.024390243902439025,0.975609756097561,0.003187259,26512.310606956482,14570,34.75609756097561,0.094731204,19.905037701400822
0.0,0.004403026,0.0022343826,3279790,0.13476190476190478,0.047619047619047616,0.9523809523809523,0.0022343826,26597.82182431221,14612,33.69047619047619,0.10518926,19.254129607667625
0.0,0.0073520285,0.0030781128,3289799,0.12434551495016609,0.06976744186046512,0.9302325581395349,0.0030781128,26682.640967845917,14655,30.27906976744186,0.06986582,17.111630853911688
0.0,0.005822831,0.002833397,3299799,0.13510000000000005,0.0,1.0,0.002833397,26755.661653280258,14695,33.775,0.08741767,19.40641848836619
0.0,0.0058303215,0.005119086,3309802,0.13283720930232557,0.06976744186046512,0.9302325581395349,0.005119086,26840.126329660416,14738,33.2093023255814,0.10953806,18.980981539342014
0.0,0.0058351625,0.0039285547,3319802,0.13200000000000003,0.0,1.0,0.0039285547,26913.5014667511,14778,33.0,0.083786234,18.43024896912556
0.0,0.004053,0.0028685364,3329803,0.13873170731707318,0.024390243902439025,0.975609756097561,0.0028685364,26994.299910783768,14819,34.68292682926829,0.08532713,19.852509971516
0.0,0.009853616,0.0052073584,3339804,0.13609756097560977,0.024390243902439025,0.975609756097561,0.0052073584,27073.63159942627,14860,34.02439024390244,0.048726566,19.22675293549834
0.0,0.00617698,0.0046224985,3349804,0.1341,0.0,1.0,0.0046224985,27155.311205387115,14900,33.525,0.06837323,19.38786682998667
0.0,0.0057301386,0.00403524,3359805,0.13609756097560977,0.024390243902439025,0.975609756097561,0.00403524,27237.251245498657,14941,34.02439024390244,0.07788373,19.479480997066656
0.0,0.0068599167,0.004229819,3369805,0.14279999999999998,0.0,1.0,0.004229819,27312.20588326454,14981,35.7,0.107756875,20.478700937652192
0.0,0.005140754,0.0035601975,3379806,0.1421463414634146,0.024390243902439025,0.975609756097561,0.0035601975,27383.10293531418,15022,35.53658536585366,0.13479124,20.29368949614304
0.0,0.0076475535,0.0036309524,3389809,0.13153488372093022,0.06976744186046512,0.9302325581395349,0.0036309524,27472.500898838043,15065,32.883720930232556,0.113268785,18.92339910068363
0.0,0.007229254,0.004315871,3399809,0.14610000000000006,0.0,1.0,0.004315871,27549.020419597626,15105,36.525,0.12725583,20.722120774455313
0.0,0.0071347,0.0042197546,3409809,0.13940000000000002,0.0,1.0,0.0042197546,27633.060465335846,15145,34.85,0.1366652,20.1021861824312
0.0,0.004701915,0.0033484737,3419810,0.14585365853658536,0.024390243902439025,0.975609756097561,0.0033484737,27710.31365275383,15186,36.46341463414634,0.16891654,20.802363831544547
0.0,0.007175856,0.004434005,3429812,0.1313333333333333,0.047619047619047616,0.9523809523809523,0.004434005,27789.632365226746,15228,32.833333333333336,0.17906135,18.757556139537332
0.0,0.007830352,0.0055660233,3439813,0.1435121951219512,0.024390243902439025,0.975609756097561,0.0055660233,27874.10186815262,15269,35.8780487804878,0.15792131,20.518586094597605
0.0,0.005634121,0.002786502,3449813,0.1466,0.0,1.0,0.002786502,27943.641627311707,15309,36.65,0.17261325,21.169064554034286
0.0,0.007267131,0.004655618,3459956,0.1412648814600034,0.024390243902439025,0.975609756097561,0.004655618,28016.67002224922,15350,34.951219512195124,0.15374553,19.888112354906458
0.0,0.0069377716,0.0052461866,3469998,0.1300621242923033,0.13043478260869565,0.8695652173913043,0.0052461866,28099.11477613449,15396,31.23913043478261,0.14228757,17.726844310443006
0.0,0.007700577,0.0038664825,3479810,0.14356977209116356,0.04878048780487805,0.9512195121951219,0.0038664825,28187.011889457703,15437,35.4390243902439,0.115951754,20.31406563195477
0.0,0.0067203124,0.0047344854,3489831,0.13723520923520927,0.1111111111111111,0.8888888888888888,0.0047344854,28263.740476369858,15482,32.08888888888889,0.096981816,18.276401777266447
0.0,0.0076531004,0.004809792,3499897,0.14822510822510826,0.047619047619047616,0.9523809523809523,0.004809792,28340.887601614,15524,35.26190476190476,0.091124415,20.22476586893592
0.0,0.0062414682,0.0038694756,3509898,0.14634146341463414,0.024390243902439025,0.975609756097561,0.0038694756,28423.81132555008,15565,36.58536585365854,0.10200858,20.824489991313232
0.0,0.0066992003,0.004271617,3519900,0.1455238095238095,0.047619047619047616,0.9523809523809523,0.004271617,28505.008996486664,15607,36.38095238095238,0.08318358,20.809718439455807
0.0,0.0062708566,0.0030540116,3529922,0.14019834710743803,0.09090909090909091,0.9090909090909091,0.0030540116,28582.89123082161,15651,33.56818181818182,0.111908175,19.198266809798124
0.0,0.0072067436,0.0044622757,3539922,0.1443,0.0,1.0,0.0044622757,28673.11261868477,15691,36.075,0.07842986,20.521324460063894
0.0,0.008389702,0.0045378213,3549923,0.13434146341463415,0.024390243902439025,0.975609756097561,0.0045378213,28751.621437311172,15732,33.58536585365854,0.053159893,19.291006659516125
