EpisodesSoFar,Fce,entropy,AttC,MtR,meankl,TimestepsSoFar,entloss,surrgain,TtR,TimeElapsed,AttNC,optimgain
15747,0.1642101284958428,8.372674,7.071428571428571,22.32131386596954,0.010174781,3809832,0.0,8.392334e-09,388.0952380952381,28578.037978172302,2.9285714285714284,8.392334e-09
15790,0.1597836083928867,8.372674,6.813953488372093,22.36412810361527,0.010174781,3819967,0.0,8.392334e-09,387.90697674418607,28642.943138599396,3.186046511627907,8.392334e-09
15830,0.17229999999999998,8.372674,6.35,24.77276229456024,0.010174781,3829967,0.0,8.392334e-09,430.75,28706.90341114998,3.65,8.392334e-09
15871,0.1612465328652225,8.372674,6.585365853658536,23.023933120197302,0.010174781,3839933,0.0,8.392334e-09,395.3658536585366,28771.331310272217,3.4146341463414633,8.392334e-09
15914,0.16517398529233196,8.372674,7.162790697674419,22.4922111139904,0.010174781,3849841,0.0,8.392334e-09,390.0,28836.13792157173,2.8372093023255816,8.392334e-09
15956,0.16211572167669733,8.372674,7.166666666666667,22.743891864972248,0.010174781,3859893,0.0,8.392334e-09,394.04761904761904,28901.81091451645,2.8333333333333335,8.392334e-09
15997,0.1688780487804878,8.372674,6.609756097560975,24.289424773575384,0.010174781,3869900,0.0,8.392334e-09,422.1951219512195,28966.76380419731,3.3902439024390243,8.392334e-09
16037,0.16940000000000002,8.372674,6.55,24.39134301745232,0.010174781,3879900,0.0,8.392334e-09,423.5,29032.21062207222,3.45,8.392334e-09
16080,0.1815394040657199,8.372674,5.976744186046512,25.174975378576217,0.010174781,3889953,0.0,8.392334e-09,436.27906976744185,29097.354797124863,4.023255813953488,8.392334e-09
16120,0.1554,8.372674,7.225,22.44183332467548,0.010174781,3899953,0.0,8.392334e-09,388.5,29162.056377649307,2.775,8.392334e-09
16161,0.16745966228893053,8.470243,6.902439024390244,23.453022164891003,0.008933204,3909992,0.0,-7.781982e-09,410.7317073170732,29229.064819335938,3.097560975609756,-7.781982e-09
16201,0.16151034482758622,8.470243,6.825,22.89704250300454,0.008933204,3919771,0.0,-7.781982e-09,394.25,29294.090975284576,3.175,-7.781982e-09
