optimgain,AttNC,EpisodesSoFar,AttC,Fce,surrgain,TimestepsSoFar,entropy,TimeElapsed,MtR,meankl,entloss,TtR
0.0031628967,0.9523809523809523,5911,0.047619047619047616,0.13511688311688314,0.0031628967,1179803,0.34010205,9187.36605978012,18.91232608750469,0.014775668,0.0,33.26190476190476
0.0024075066,0.9302325581395349,5954,0.06976744186046512,0.11832558139534888,0.0024075066,1189806,0.32769752,9257.1704723835,16.82319384006415,0.0053700856,0.0,29.58139534883721
0.0030971495,0.9523809523809523,5996,0.047619047619047616,0.12057142857142858,0.0030971495,1199808,0.35478124,9330.317605257034,16.867252330724043,0.006437433,0.0,30.142857142857142
0.0023049614,1.0,6036,0.0,0.127,0.0023049614,1209808,0.38951138,9412.124393224716,18.177622801891452,0.0040057246,0.0,31.75
0.002737291,0.9090909090909091,6080,0.09090909090909091,0.12154545454545457,0.002737291,1219816,0.38989156,9498.240391016006,16.654792546877545,0.005855327,0.0,29.272727272727273
0.002141723,0.975609756097561,6121,0.024390243902439025,0.13141463414634147,0.002141723,1229817,0.4009887,9575.085960149765,18.308046561678484,0.005568227,0.0,32.853658536585364
0.0023548089,0.9090909090909091,6165,0.09090909090909091,0.11772727272727276,0.0023548089,1239823,0.40530396,9640.792042732239,17.087504294747024,0.0042159087,0.0,29.431818181818183
0.0027799003,0.8888888888888888,6210,0.1111111111111111,0.12912592592592592,0.0027799003,1249830,0.37587312,9730.324143648148,16.0642072753763,0.00560356,0.0,28.622222222222224
0.0023125764,0.9090909090909091,6254,0.09090909090909091,0.12690909090909097,0.0023125764,1259834,0.39540124,9804.096918821335,18.065477505392657,0.0033015427,0.0,31.727272727272727
0.0018269959,0.9523809523809523,6296,0.047619047619047616,0.12219047619047622,0.0018269959,1269836,0.4216734,9889.199665307999,17.29167094141326,0.0030612862,0.0,30.547619047619047
0.0034045037,0.8163265306122449,6345,0.1836734693877551,0.10628571428571429,0.0034045037,1279845,0.41989434,9962.868489027023,15.222105776985929,0.00615495,0.0,26.571428571428573
0.0024841859,0.8888888888888888,6390,0.1111111111111111,0.12183703703703706,0.0024841859,1289864,0.40622044,10040.458884954453,17.435471768466403,0.00496608,0.0,30.11111111111111
0.0039874734,0.851063829787234,6437,0.14893617021276595,0.11582978723404257,0.0039874734,1299875,0.4211583,10122.933474302292,16.58205896087778,0.007456819,0.0,28.95744680851064
0.00358992,0.9302325581395349,6480,0.06976744186046512,0.16254263565891472,0.00358992,1309880,0.41451737,10195.500608921051,18.72482709336176,0.0064344415,0.0,32.93023255813954
0.003438144,0.8888888888888888,6525,0.1111111111111111,0.11795555555555558,0.003438144,1319885,0.4438479,10282.642587900162,16.89452281254556,0.00480256,0.0,29.488888888888887
0.0028547542,0.8125,6573,0.1875,0.12502245221075384,0.0028547542,1329874,0.3863869,10361.007377386093,17.130048995293368,0.006485674,0.0,29.729166666666668
0.0030008317,0.9523809523809523,6615,0.047619047619047616,0.13752380952380952,0.0030008317,1339876,0.39797994,10435.994433403015,19.519320444812568,0.0043773325,0.0,34.38095238095238
0.002487595,0.8888888888888888,6660,0.1111111111111111,0.14448547008547005,0.002487595,1349893,0.42056268,10515.6838824749,17.074250095857693,0.004310045,0.0,29.77777777777778
0.0023389012,0.9090909090909091,6704,0.09090909090909091,0.12536363636363637,0.0023389012,1359911,0.42874053,10594.357867002487,17.7102460892508,0.0043257405,0.0,31.34090909090909
0.002158014,0.8888888888888888,6749,0.1111111111111111,0.12622222222222226,0.002158014,1369916,0.39025506,10677.820141077042,17.99901175530202,0.0050947326,0.0,31.555555555555557
0.0025135009,0.9302325581395349,6792,0.06976744186046512,0.12762790697674414,0.0025135009,1379919,0.37553796,10753.999204158783,18.069944280023453,0.006734836,0.0,31.906976744186046
