EpisodesSoFar,AttC,AttNC,MtR,MpbtN,TimeElapsed,Ptt,TtR,meankl,Tmc,optimgain,TimestepsSoFar,entropy,Tmt,entloss,MpbtA,surrgain,Tbt
18428,1.9545454545454546,1.0454545454545454,-27.81053010703528,60.24913691650671,47831.599569797516,73.57342778821524,-136.5681818181818,0.004771969,28.613636363636363,0.0042902892,3560000,0.19004281,75.43181818181819,0.0,39.75086308349328,0.0042902892,308968.7272727273
18473,1.7333333333333334,1.2666666666666666,-28.289650529365286,61.110810024400195,47952.16675066948,74.73889438411847,-140.46666666666667,0.0055131475,27.355555555555554,0.0063702404,3569796,0.19365163,76.64444444444445,0.0,38.88918997559982,0.0063702404,313935.64444444445
18519,1.5869565217391304,1.4130434782608696,-28.341861060192084,60.8652813120574,48068.5430791378,75.51865276072644,-141.58695652173913,0.0052060406,26.52173913043478,0.0065884916,3579982,0.19717331,77.47826086956522,0.0,39.13471868794259,0.0065884916,317350.95652173914
18562,1.6046511627906976,1.3953488372093024,-27.222253125434992,58.18868568805772,48182.983258485794,75.11292075655598,-134.72093023255815,0.0055154753,26.953488372093023,0.0059863837,3589871,0.19374079,77.04651162790698,0.0,41.81131431194227,0.0059863837,315582.511627907
18607,1.9555555555555555,1.0444444444444445,-27.46730128570893,59.49392975598092,48303.207611083984,74.93069574795854,-137.26666666666668,0.006579627,27.155555555555555,0.0072655,3599843,0.20173667,76.86666666666666,0.0,40.506070244019064,0.0072655,314845.86666666664
18652,2.1333333333333333,0.8666666666666667,-27.64156802712145,60.17242773420871,48422.57312846184,75.25497368767074,-139.46666666666667,0.0054571633,26.8,0.006678726,3609911,0.19447216,77.2,0.0,39.82757226579129,0.006678726,316211.2
18698,2.0434782608695654,0.9565217391304348,-28.35904457473032,60.60474130230406,48541.4990336895,74.8135055528679,-139.6304347826087,0.0051614875,27.282608695652176,0.007492736,3619850,0.19640195,76.73913043478261,0.0,39.39525869769593,0.007492736,314323.47826086957
18744,1.826086956521739,1.173913043478261,-27.458922546996934,59.13191261722957,48658.708713531494,74.6857200651097,-135.97826086956522,0.005541757,27.41304347826087,0.0057493937,3629992,0.188824,76.58695652173913,0.0,40.86808738277043,0.0057493937,313700.17391304346
18788,2.0454545454545454,0.9545454545454546,-28.65663714353681,62.16840961019781,48780.1398999691,74.79952016140847,-143.3181818181818,0.0053870343,27.295454545454547,0.005178371,3639834,0.1853319,76.72727272727273,0.0,37.8315903898022,0.005178371,314274.9090909091
18834,2.0652173913043477,0.9347826086956522,-28.546499437054532,61.11035741743576,48898.00073814392,74.3187391673606,-139.95652173913044,0.0049943477,27.804347826086957,0.0060976655,3649985,0.19052264,76.19565217391305,0.0,38.88964258256425,0.0060976655,312097.39130434784
