Tbt,Tmc,AttNC,AttC,EpisodesSoFar,TimestepsSoFar,Ptt,surrgain,optimgain,TimeElapsed,meankl,Tmt,MpbtA,MpbtN,TtR,MtR,entropy,entloss
336896.0,21.725,0.475,0.525,8172,1209790,79.97946050317321,0.0068610106,0.0068610106,20969.20382618904,0.0050830366,82.25,20.799528604603786,79.20047139539622,-65.15,-37.367906672613046,0.19746096,0.0
335360.0,22.1,0.525,0.475,8212,1219833,79.63139513305238,0.007262071,0.007262071,21062.707764863968,0.004692112,81.875,20.53985233911823,79.46014766088177,-65.075,-37.02257808193604,0.2026085,0.0
337408.0,21.6,0.65,0.35,8252,1229982,80.09611407760838,0.006041349,0.006041349,21156.034029960632,0.004834752,82.375,21.076925723764663,78.92307427623533,-65.025,-36.86951811940381,0.20890701,0.0
335766.9743589744,22.0,0.6153846153846154,0.38461538461538464,8291,1239771,79.72340790783983,0.0065622665,0.0065622665,21246.33515739441,0.005472174,81.97435897435898,21.1792746573298,78.8207253426702,-64.61538461538461,-36.70795473209357,0.19898741,0.0
335769.6,22.0,0.6,0.4,8331,1249878,79.72427893553561,0.006339378,0.006339378,21331.778140068054,0.00500076,81.975,20.992904850602425,79.0070951493976,-64.775,-36.763328224967616,0.22073658,0.0
335052.8,22.175,0.5,0.5,8371,1259987,79.55933198186185,0.004700165,0.004700165,21423.20923256874,0.0034692513,81.8,20.951892395748192,79.04810760425181,-64.675,-36.0876722242819,0.20696475,0.0
334540.8,22.325,0.525,0.475,8411,1269976,79.4251455848319,0.006030789,0.006030789,21508.26589512825,0.005735781,81.675,20.81048641783354,79.18951358216647,-64.7,-36.88203645602314,0.2158124,0.0
338069.85365853657,21.4390243902439,0.5365853658536586,0.4634146341463415,8452,1279787,80.24564681610013,0.005181016,0.005181016,21595.905362844467,0.0056779534,82.53658536585365,20.310386593885955,79.68961340611403,-65.78048780487805,-37.943946974843726,0.19173567,0.0
336691.2,21.8,0.6,0.4,8492,1289900,79.91428438895699,0.005024695,0.005024695,21685.80617070198,0.0038760486,82.2,21.18716893702961,78.81283106297037,-64.775,-36.54962363949004,0.19238296,0.0
338077.53846153844,21.384615384615383,0.6153846153846154,0.38461538461538464,8531,1299861,80.28797419888404,0.004263298,0.004263298,21769.285714387894,0.0020120144,82.53846153846153,21.120200520570627,78.87979947942937,-65.1025641025641,-36.41419000471587,0.20270978,0.0
337203.2,21.65,0.625,0.375,8571,1309882,80.04981801043684,0.0061460356,0.0061460356,21852.598469734192,0.0043868045,82.325,21.172547595593137,78.82745240440684,-64.9,-37.032145306220286,0.19122168,0.0
331161.6,23.15,0.425,0.575,8611,1319744,78.65590665471306,0.0069120727,0.0069120727,21940.53289914131,0.0050980584,80.85,19.13959747136611,80.8604025286339,-65.4,-37.26748950504371,0.17168322,0.0
334073.756097561,22.4390243902439,0.6341463414634146,0.36585365853658536,8652,1329879,79.31908470557006,0.007104422,0.007104422,22023.098764657974,0.004454702,81.5609756097561,19.61917660182174,80.38082339817828,-65.58536585365853,-37.24909305446496,0.17966695,0.0
337342.358974359,21.564102564102566,0.717948717948718,0.28205128205128205,8691,1339963,80.12102884925125,0.0071963407,0.0071963407,22103.209972143173,0.0062698843,82.35897435897436,20.72776643356928,79.27223356643074,-65.3076923076923,-37.08830055076255,0.18433146,0.0
337920.0,21.473684210526315,0.7894736842105263,0.21052631578947367,8729,1349964,80.2132577051669,0.006044817,0.006044817,22184.242844104767,0.0052665505,82.5,21.175629244546542,78.82437075545346,-65.02631578947368,-37.092776799249826,0.19249438,0.0
334401.641025641,22.333333333333332,0.6923076923076923,0.3076923076923077,8768,1359775,79.41378661539683,0.006447644,0.006447644,22269.22051548958,0.004451801,81.64102564102564,20.008660420564812,79.99133957943519,-65.33333333333333,-37.63357112125065,0.18902998,0.0
