EpisodesSoFar,TimeElapsed,MtR,Fce,AttNC,entropy,meankl,AttC,optimgain,surrgain,TtR,entloss,TimestepsSoFar
3190,2031.1485152244568,15.745826994050379,0.13534387351778662,0.8695652173913043,0.5809657,0.0033802,0.13043478260869565,0.0011809494,0.0011809494,27.47826086956522,0.0,559946
3238,2063.6245465278625,15.535801149382571,0.11186764705882356,0.8333333333333334,0.57135284,0.0014681222,0.16666666666666666,0.0002866417,0.0002866417,27.395833333333332,0.0,569974
3283,2097.846065759659,16.54219522173802,0.11706666666666668,0.8888888888888888,0.5873214,0.0026067223,0.1111111111111111,0.0009630951,0.0009630951,29.266666666666666,0.0,579981
3330,2134.9358763694763,14.490959391627591,0.12297872340425528,0.851063829787234,0.5548593,0.00401897,0.14893617021276595,0.0013542221,0.0013542221,25.4468085106383,0.0,589992
3380,2171.5613565444946,14.70002430345047,0.11656250588156217,0.78,0.51695645,0.0055204476,0.22,0.0017255906,0.0017255906,25.68,0.0,599849
3423,2211.1398096084595,16.344448381671697,0.11330232558139539,0.9302325581395349,0.5744711,0.0061210585,0.06976744186046512,0.00268815,0.00268815,28.325581395348838,0.0,609852
3471,2250.1603198051453,15.82013438367782,0.11623202614379087,0.8333333333333334,0.58443207,0.0024442112,0.16666666666666666,0.0014366135,0.0014366135,27.875,0.0,619894
3522,2282.6583614349365,15.003233415085754,0.10732900562601952,0.7843137254901961,0.59523696,0.0039875763,0.21568627450980393,0.0015830474,0.0015830474,26.07843137254902,0.0,629969
3582,2317.735318660736,13.001915729293891,0.11452403327378698,0.65,0.56356806,0.0038595612,0.35,0.0014374343,0.0014374343,23.083333333333332,0.0,639856
3639,2353.621479034424,14.67343257838376,0.1358780633784212,0.6491228070175439,0.5267217,0.009613529,0.3508771929824561,0.0034797639,0.0034797639,25.50877192982456,0.0,649924
3690,2391.958263874054,15.441854831957924,0.12218808688896303,0.7647058823529411,0.5165519,0.01123856,0.23529411764705882,0.0027806824,0.0027806824,26.862745098039216,0.0,659818
3737,2430.900897502899,15.994476318379647,0.12040787445023292,0.851063829787234,0.5076388,0.0038556603,0.14893617021276595,0.0016179978,0.0016179978,28.21276595744681,0.0,669925
3784,2465.9653346538544,16.01839564813299,0.11792034915439173,0.851063829787234,0.49785376,0.003403273,0.14893617021276595,0.00033316115,0.00033316115,28.425531914893618,0.0,679958
3826,2499.242584705353,17.00397418552466,0.1206666666666667,0.9523809523809523,0.5556031,0.00625518,0.047619047619047616,0.0024276078,0.0024276078,30.166666666666668,0.0,689960
3872,2537.6084752082825,15.908060507305766,0.11139130434782608,0.8695652173913043,0.5905236,0.007675522,0.13043478260869565,0.0031948395,0.0031948395,27.847826086956523,0.0,699968
3923,2574.1306233406067,15.275859668561315,0.13818132178558992,0.7647058823529411,0.5760166,0.0036102768,0.23529411764705882,0.0018075462,0.0018075462,26.431372549019606,0.0,709980
3978,2613.7487761974335,14.810781844407785,0.12027899755872154,0.6545454545454545,0.59999585,0.0044076573,0.34545454545454546,0.0022619553,0.0022619553,24.745454545454546,0.0,719755
4036,2652.4045152664185,14.131077610213252,0.1287716357182556,0.6551724137931034,0.6038228,0.006944545,0.3448275862068966,0.003022992,0.003022992,24.56896551724138,0.0,729871
4083,2688.078257083893,17.48996314721417,0.1285140312433732,0.851063829787234,0.60327137,0.0068915086,0.14893617021276595,0.0013410656,0.0013410656,30.51063829787234,0.0,739944
4130,2722.454375267029,16.281364312823424,0.13327659574468084,0.851063829787234,0.60138005,0.00437422,0.14893617021276595,0.00085287093,0.00085287093,28.02127659574468,0.0,749951
4177,2759.1619222164154,16.369037375533523,0.1145531914893617,0.851063829787234,0.6274926,0.004376506,0.14893617021276595,0.0019348603,0.0019348603,28.638297872340427,0.0,759960
4228,2796.155163049698,15.348520061981956,0.11833053221288516,0.7843137254901961,0.5828547,0.006145383,0.21568627450980393,0.0018560298,0.0018560298,26.980392156862745,0.0,769981
4277,2834.5480647087097,15.779801177491445,0.12239455782312925,0.7959183673469388,0.6304606,0.005510614,0.20408163265306123,0.001487276,0.001487276,27.591836734693878,0.0,779781
4330,2872.311777830124,15.597968083850981,0.13798616036947714,0.7547169811320755,0.5882243,0.0046694046,0.24528301886792453,0.0019809478,0.0019809478,27.18867924528302,0.0,789858
