AttC,optimgain,surrgain,Tbt,entloss,MtR,EpisodesSoFar,AttNC,Tmc,Ptt,MpbtA,TtR,Tmt,MpbtN,TimestepsSoFar,entropy,meankl,TimeElapsed
0.4,0.0023670495,0.0023670495,339353.6,0.0,-40.56911013482302,4512,0.6,21.05,80.5941328541837,13.893223007076205,-71.375,82.85,86.10677699292381,319982,0.23578589,0.0021834665,11554.053923368454
0.3333333333333333,0.0027796975,0.0027796975,339968.0,0.0,-39.69128097094621,4551,0.6666666666666666,20.94871794871795,80.69364938827867,14.938839623915287,-70.66666666666667,83.0,85.0611603760847,329946,0.20579101,0.0040719667,11666.581263303757
0.3783783783783784,0.0039322404,0.0039322404,338307.45945945947,0.0,-39.29327797554809,4588,0.6216216216216216,21.37837837837838,80.29869281146371,13.48370052140014,-71.48648648648648,82.5945945945946,86.51629947859985,339838,0.24644023,0.0049089687,11775.612692832947
0.21052631578947367,0.0020540894,0.0020540894,342123.7894736842,0.0,-39.77152780755823,4626,0.7894736842105263,20.42105263157895,81.18632730195984,14.422266141733973,-71.47368421052632,83.52631578947368,85.57773385826603,349852,0.19370127,0.0034514924,11884.277047157288
0.08333333333333333,0.0027570557,0.0027570557,338944.0,0.0,-40.02652761233314,4662,0.9166666666666666,21.194444444444443,80.46617765949122,12.781302660255198,-72.19444444444444,82.75,87.21869733974478,359765,0.22013667,0.0033147156,11995.50996851921
0.0,0.0065871826,0.0065871826,340536.8888888889,0.0,-39.48122006299598,4698,1.0,20.805555555555557,80.82814406051818,14.369927520380056,-71.22222222222223,83.13888888888889,85.63007247961995,369833,0.2776353,0.008322502,12097.08903002739
0.3170731707317073,0.0063514253,0.0063514253,337570.34146341466,0.0,-40.8708217507416,4739,0.6829268292682927,21.51219512195122,80.16638809491597,14.90860777322251,-70.17073170731707,82.41463414634147,85.09139222677751,379828,0.23021543,0.006538082,12214.877732992172
0.10256410256410256,0.006702074,0.006702074,342383.58974358975,0.0,-40.40133798448969,4778,0.8974358974358975,20.28205128205128,81.30540935520841,13.89561703129349,-72.0,83.58974358974359,86.10438296870652,389998,0.30639222,0.010778179,12321.341995477676
0.375,0.0042296816,0.0042296816,339968.0,0.0,-38.7611633650543,4818,0.625,20.975,80.6767161823265,17.589982582817008,-68.425,83.0,82.410017417183,399891,0.25378036,0.0046919226,12431.666377067566
0.13513513513513514,0.00552417,0.00552417,334211.45945945947,0.0,-37.702856513140524,4855,0.8648648648648649,22.405405405405407,79.34823360488505,17.336915628532093,-67.48648648648648,81.5945945945946,82.66308437146793,409776,0.3310068,0.0077840225,12539.08875823021
0.3181818181818182,0.0040713656,0.0040713656,340340.36363636365,0.0,-41.174560997908166,4899,0.6818181818181818,20.863636363636363,80.77719520396205,17.42750065989153,-68.68181818181819,83.0909090909091,82.57249934010848,419848,0.2739935,0.004210848,12656.639005184174
0.28205128205128205,0.00061121216,0.00061121216,335136.8205128205,0.0,-37.31999629784519,4938,0.717948717948718,22.153846153846153,79.57947677392112,18.790760226188432,-66.46153846153847,81.82051282051282,81.20923977381156,429898,0.25312018,0.0024477486,12766.313513040543
0.20512820512820512,0.003115097,0.003115097,336292.10256410256,0.0,-38.007557331998406,4977,0.7948717948717948,21.897435897435898,79.82191530722207,17.901192743234382,-67.38461538461539,82.1025641025641,82.09880725676561,439915,0.25277257,0.0042977617,12879.323474168777
0.1891891891891892,0.0053419555,0.0053419555,334543.5675675676,0.0,-36.9854431356702,5014,0.8108108108108109,22.27027027027027,79.464949292481,18.11380140455162,-66.89189189189189,81.67567567567568,81.88619859544836,449949,0.30108345,0.006586476,12983.98688173294
0.2926829268292683,0.005602069,0.005602069,338469.46341463417,0.0,-40.53615137409313,5055,0.7073170731707317,21.341463414634145,80.33608437145318,17.199406334946776,-68.46341463414635,82.63414634146342,82.80059366505321,459742,0.25683317,0.0042578364,13098.366314649582
0.2564102564102564,0.0056032706,0.0056032706,336502.1538461539,0.0,-37.47378319503306,5094,0.7435897435897436,21.82051282051282,79.88844454192954,18.273078218257684,-67.17948717948718,82.15384615384616,81.72692178174232,469992,0.32527465,0.0071726823,13207.80687904358
0.5813953488372093,0.004858075,0.004858075,337491.3488372093,0.0,-38.03918398389602,5137,0.4186046511627907,21.558139534883722,80.13030650778269,19.362884506349243,-66.44186046511628,82.3953488372093,80.63711549365075,479857,0.25184828,0.0056752367,13326.818538427353
0.275,0.0033236358,0.0033236358,338534.4,0.0,-39.83525940665616,5177,0.725,21.325,80.35110048729634,16.84625926628599,-68.75,82.65,83.15374073371399,489735,0.24909805,0.004590184,13439.685034036636
