AttNC,MpbtA,Tmt,optimgain,MpbtN,AttC,MtR,Tbt,TtR,TimestepsSoFar,Tmc,Ptt,meankl,entloss,EpisodesSoFar,TimeElapsed,surrgain,entropy
4.338709677419355,72.56152946247772,60.82258064516129,0.0011333289,27.438470537522324,5.661290322580645,-11.328334037343051,249129.29032258064,-166.7741935483871,419917,44.193548387096776,59.263090482302765,0.008912673,0.0,4080,9971.099344730377,0.0011333289,0.35451052
4.96875,74.44067815009478,58.203125,0.001620824,25.559321849905228,5.03125,-10.563939560395655,238400.0,-148.59375,429916,46.828125,56.78548796329738,0.006658296,0.0,4144,10119.6151740551,0.001620824,0.34859788
3.8125,75.87528725936293,58.25,0.0019430328,24.124712740637083,6.1875,-10.073233651480312,238592.0,-140.78125,439964,46.78125,56.82846905352091,0.006158027,0.0,4208,10282.954163312912,0.0019430328,0.3820611
2.796875,73.8087564560911,58.703125,0.0013375919,26.191243543908897,7.203125,-10.662325396491429,240448.0,-154.6875,449923,46.34375,57.25007197857599,0.0062526967,0.0,4272,10429.312415838242,0.0013375919,0.37727517
3.8253968253968256,72.81087268593105,58.42857142857143,0.0012243917,27.189127314068962,6.174603174603175,-10.878800552691338,239323.42857142858,-158.73015873015873,459986,46.58730158730159,57.00699289645082,0.007582544,0.0,4335,10587.468705177307,0.0012243917,0.38044727
3.19672131147541,73.89035847827698,58.40983606557377,0.0013633673,26.109641521722963,6.80327868852459,-10.215010844406036,239246.68852459016,-152.62295081967213,469886,46.65573770491803,56.96367968776715,0.006688001,0.0,4396,10736.214957475662,0.0013633673,0.38153383
4.587301587301587,75.5149305288218,58.74603174603175,0.0012015442,24.485069471178175,5.412698412698413,-9.960761015900701,240623.74603174604,-143.8095238095238,479872,46.285714285714285,57.29831366988504,0.0065695257,0.0,4459,10892.555309057236,0.0012015442,0.38670608
2.8852459016393444,70.07334992768938,60.14754098360656,0.0018196716,29.926650072310625,7.114754098360656,-11.964532748294399,246364.32786885247,-182.29508196721312,489921,44.90163934426229,58.609445525911454,0.008765846,0.0,4520,11041.733714818954,0.0018196716,0.37677935
5.803030303030303,77.5085317243814,57.0,0.00042831543,22.491468275618605,4.196969696969697,-9.224658435533076,233472.0,-128.03030303030303,499927,48.166666666666664,55.58221558873105,0.0050053936,0.0,4586,11198.508868217468,0.00042831543,0.30338278
6.71875,76.07774274735546,57.71875,0.001116228,23.922257252644524,3.28125,-9.74576629889004,236416.0,-138.59375,509864,47.40625,56.28187442682433,0.0070143836,0.0,4650,11364.636789798737,0.001116228,0.32118827
6.015384615384615,77.78175589205925,57.90769230769231,0.0012142676,22.21824410794072,3.9846153846153847,-9.385168258537856,237189.9076923077,-129.07692307692307,519952,47.15384615384615,56.49197410977852,0.00656684,0.0,4715,11518.84178519249,0.0012142676,0.28280702
7.492307692307692,76.72046829653956,57.09230769230769,0.0022491438,23.27953170346046,2.5076923076923077,-9.832454177964284,233850.0923076923,-132.30769230769232,529927,48.06153846153846,55.675615631812406,0.008447581,0.0,4780,11689.013555049896,0.0022491438,0.34715033
3.9193548387096775,73.93177760767979,59.645161290322584,0.0012310907,26.068222392320223,6.080645161290323,-10.531120776067123,244306.5806451613,-155.48387096774192,539913,45.37096774193548,58.15372231286606,0.012246729,0.0,4842,11836.638072490692,0.0012310907,0.40308172
4.213114754098361,72.68615630073664,60.9344262295082,0.0010344138,27.313843699263334,5.786885245901639,-11.162612310977723,249587.40983606558,-167.04918032786884,549821,44.08196721311475,59.36730809692951,0.0061348933,0.0,4903,11989.814639806747,0.0010344138,0.3916813
5.328125,75.09538150795609,58.40625,0.0013549997,24.90461849204388,4.671875,-10.18294765502982,239232.0,-145.78125,559893,46.703125,56.939007370852984,0.007654508,0.0,4967,12142.793352365494,0.0013549997,0.3485927
5.476923076923077,77.08748004952542,57.323076923076925,0.0015291248,22.91251995047456,4.523076923076923,-9.627221374562136,234795.3230769231,-131.53846153846155,569941,47.76923076923077,55.924647707784054,0.007063619,0.0,5032,12305.522391796112,0.0015291248,0.35964835
4.161290322580645,73.89220262113159,59.32258064516129,0.0014154565,26.107797378868426,5.838709677419355,-10.471505714283788,242985.29032258064,-155.0,579988,45.74193548387097,57.82450680732402,0.00823086,0.0,5094,12451.622208356857,0.0014154565,0.38057578
5.1692307692307695,73.94710731353038,57.09230769230769,0.0011695774,26.0528926864696,4.8307692307692305,-10.56192302940989,233850.0923076923,-148.46153846153845,589970,48.0,55.70741171198479,0.007072734,0.0,5159,12620.35983300209,0.0011695774,0.36307907
4.25,76.1188069724812,57.609375,0.0005253107,23.8811930275188,5.75,-9.77132366622543,235968.0,-137.8125,599853,47.46875,56.20250803442474,0.007859059,0.0,5223,12771.497492551804,0.0005253107,0.32589337
6.522388059701493,76.47826136181962,56.19402985074627,0.0019261794,23.52173863818038,3.4776119402985075,-9.874603238287476,230170.74626865672,-132.08955223880596,609875,48.97014925373134,54.82270909283674,0.010403103,0.0,5290,12935.66070318222,0.0019261794,0.32503688
5.477611940298507,76.69530704238572,56.25373134328358,0.0016451416,23.30469295761431,4.522388059701493,-9.478847564248165,230415.28358208956,-130.8955223880597,619971,48.8955223880597,54.886142249390794,0.009589017,0.0,5357,13098.247014522552,0.0016451416,0.37104094
3.1333333333333333,69.87267929156172,61.31666666666667,0.0021812525,30.12732070843826,6.866666666666666,-11.784121365289849,251153.06666666668,-186.16666666666666,629942,43.733333333333334,59.71053783861335,0.008691539,0.0,5417,13246.544343233109,0.0021812525,0.4028212
4.238095238095238,75.58276154497106,57.92063492063492,0.001327196,24.41723845502891,5.761904761904762,-9.842922745888755,237242.92063492062,-141.74603174603175,639864,47.15873015873016,56.49422804295588,0.006499345,0.0,5480,13399.440115451813,0.001327196,0.3178455
6.430769230769231,77.21648668987127,57.36923076923077,0.0015235291,22.783513310128722,3.5692307692307694,-9.380538295043294,234984.36923076923,-130.6153846153846,649888,47.738461538461536,55.96195436710456,0.01007235,0.0,5545,13558.068892002106,0.0015235291,0.34008542
4.421875,76.84484515480919,57.4375,0.0006422699,23.155154845190822,5.578125,-9.478366340395173,235264.0,-133.125,659853,47.703125,56.009912571301314,0.009770889,0.0,5609,13719.541803359985,0.0006422699,0.30205426
