Tmt,meankl,TtR,Tbt,entloss,EpisodesSoFar,TimeElapsed,AttC,AttNC,Ptt,optimgain,entropy,MpbtN,surrgain,TimestepsSoFar,Tmc,MpbtA,MtR
56.134328358208954,0.004213206,-119.25373134328358,229926.20895522388,0.0,6760,15289.19209933281,6.477611940298507,3.5223880597014925,54.75251078708243,0.0020715778,0.30540794,21.292255576885246,0.0020715778,829904,49.059701492537314,78.70774442311473,-8.541613128546802
55.16417910447761,0.005016622,-124.77611940298507,225952.4776119403,0.0,6827,15435.803015708923,6.104477611940299,3.8955223880597014,53.79814303237067,0.0023188707,0.3018422,22.60255215000095,0.0023188707,839886,50.1044776119403,77.39744784999904,-9.325277325326233
55.38235294117647,0.0043573836,-125.58823529411765,226846.11764705883,0.0,6895,15582.850167274475,6.338235294117647,3.661764705882353,54.013760832593455,0.0030574515,0.305408,22.680499564422927,0.0030574515,849917,49.86764705882353,77.31950043557704,-9.365719124531218
55.85294117647059,0.004457403,-123.97058823529412,228773.64705882352,0.0,6963,15730.87056851387,6.529411764705882,3.4705882352941178,54.420812947740856,0.002362324,0.29060763,22.010738684452793,0.002362324,859901,49.470588235294116,77.98926131554724,-8.85425853091821
55.67164179104478,0.0034591535,-127.31343283582089,228031.0447761194,0.0,7030,15876.188654661179,5.3283582089552235,4.6716417910447765,54.29158384245884,0.002460675,0.29389197,22.82960698394704,0.002460675,869905,49.56716417910448,77.17039301605298,-9.199285273835255
54.529411764705884,0.00540005,-118.08823529411765,223352.4705882353,0.0,7098,16023.991458892822,4.0588235294117645,5.9411764705882355,53.18542562089637,0.0029319914,0.2906001,21.660124451562556,0.0029319914,879962,50.76470588235294,78.33987554843742,-8.970301791145387
55.0,0.005552239,-120.3030303030303,225280.0,0.0,7164,16174.77216887474,4.515151515151516,5.484848484848484,53.632580009475774,0.002406604,0.28616428,21.914010671806203,0.002406604,889975,50.28787878787879,78.0859893281938,-9.010580726410451
56.166666666666664,0.0044911457,-120.0,230058.66666666666,0.0,7230,16323.028495788574,4.181818181818182,5.818181818181818,54.810623614775444,0.0022054522,0.3169693,21.39168390936338,0.0022054522,899930,48.96969696969697,78.60831609063663,-8.80709572754254
57.10769230769231,0.005202695,-134.6153846153846,233913.1076923077,0.0,7295,16469.02854657173,5.292307692307692,4.707692307692308,55.70661966666914,0.0025420026,0.306094,23.5296108124006,0.0025420026,909868,48.01538461538462,76.47038918759938,-9.658057505624688
55.28358208955224,0.0027611402,-122.23880597014926,226441.55223880598,0.0,7362,16611.294315814972,5.82089552238806,4.17910447761194,53.91823219879169,0.0019827678,0.31184772,22.17737899223306,0.0019827678,919943,49.97014925373134,77.82262100776694,-8.9650295610634
56.63636363636363,0.003917666,-128.63636363636363,231982.54545454544,0.0,7428,16756.370547533035,5.863636363636363,4.136363636363637,55.28392831654934,0.0022723076,0.317235,22.655533221989742,0.0022723076,929989,48.43939393939394,77.34446677801026,-9.252256252258334
56.30769230769231,0.004761226,-127.38461538461539,230636.3076923077,0.0,7493,16899.04627776146,6.292307692307692,3.707692307692308,54.92701019552439,0.0019932135,0.28359324,22.601396884346844,0.0019932135,939924,48.86153846153846,77.39860311565319,-9.160830668914333
55.76119402985075,0.003637099,-114.6268656716418,228397.85074626867,0.0,7560,17044.782789707184,5.358208955223881,4.641791044776119,54.412900651491185,0.0023225138,0.28969866,20.59580091951377,0.0023225138,949949,49.40298507462686,79.40419908048622,-8.494657021007844
54.28358208955224,0.0030408432,-110.44776119402985,222345.55223880598,0.0,7627,17188.41180038452,6.119402985074627,3.8805970149253732,52.92330564920784,0.0018892303,0.29269093,20.298578458206407,0.0018892303,959953,51.07462686567164,79.70142154179356,-8.368242800984696
