TimestepsSoFar,TtR,meankl,Tmt,Tmc,entloss,TimeElapsed,MpbtN,surrgain,MpbtA,entropy,MtR,Tbt,EpisodesSoFar,AttC,optimgain,AttNC,Ptt
2969941,-152.22222222222223,0.009157025,57.77777777777778,47.317460317460316,0.0,48968.3033118248,26.226264723119858,0.0017080841,73.77373527688017,0.17532401,-10.715027927861811,236657.77777777778,20380,4.825396825396825,0.0017080841,5.174603174603175,56.351022150462704
2979961,-134.6969696969697,0.010653811,55.54545454545455,49.666666666666664,0.0,49126.265652894974,24.197108730168146,0.0015061416,75.80289126983185,0.19566822,-9.763094739275216,227514.18181818182,20446,3.893939393939394,0.0015061416,6.106060606060606,54.18648962754266
2989873,-157.74193548387098,0.008583771,58.61290322580645,46.403225806451616,0.0,49280.07809948921,26.848321518926387,0.001125351,73.15167848107359,0.15520422,-10.833796723704916,240078.4516129032,20508,6.564516129032258,0.001125351,3.435483870967742,57.17810424673902
2999881,-136.09375,0.008592274,57.0625,48.046875,0.0,49436.27027344704,23.89384262540166,0.0010132962,76.10615737459837,0.16004221,-9.625107698027586,233728.0,20572,4.46875,0.0010132962,5.53125,55.669004510540915
3009913,-142.30769230769232,0.010184365,57.30769230769231,47.753846153846155,0.0,49597.41864776611,24.908352376039208,0.0017179489,75.09164762396078,0.16226101,-10.226417484792295,234732.3076923077,20637,4.046153846153846,0.0017179489,5.953846153846154,55.92512371694529
3019996,-136.92307692307693,0.008432998,55.76923076923077,49.44615384615385,0.0,49758.06762504578,24.54973216309164,0.00095736573,75.45026783690838,0.1506855,-9.971385779894861,228430.76923076922,20702,4.6,0.00095736573,5.4,54.395700541633836
3029992,-141.84615384615384,0.007502209,54.784615384615385,50.52307692307692,0.0,49925.55200314522,26.00679827508865,0.0013392887,73.99320172491136,0.16770984,-10.463136111874897,224397.78461538462,20767,3.923076923076923,0.0013392887,6.076923076923077,53.42035649119873
3039967,-140.78125,0.0076670665,56.375,48.75,0.0,50087.75099778175,25.033200469293693,0.0008951863,74.96679953070628,0.14063077,-10.005630212949251,230912.0,20831,5.328125,0.0008951863,4.671875,55.01222499245147
3049868,-140.0,0.009075864,55.28125,50.015625,0.0,50252.88230967522,25.247016854486052,0.00088313967,74.75298314551397,0.14517492,-10.16361621013133,226432.0,20895,3.265625,0.00088313967,6.734375,53.89489405760716
3059947,-134.0,0.008568808,54.50769230769231,50.815384615384616,0.0,50420.82547736168,24.646259277858928,0.0017397392,75.3537407221411,0.14127804,-9.892479527791771,223263.5076923077,20960,2.8923076923076922,0.0017397392,7.107692307692307,53.15083261563522
3069908,-138.15384615384616,0.008926818,54.50769230769231,50.784615384615385,0.0,50588.46092414856,25.393686781044206,0.001978147,74.6063132189558,0.15279394,-10.341810609765272,223263.5076923077,21025,1.9538461538461538,0.001978147,8.046153846153846,53.166110944158554
3079852,-142.03125,0.010584431,56.0625,49.234375,0.0,50754.51198744774,25.336690673889294,0.0015044257,74.66330932611069,0.16935427,-10.12487960904069,229632.0,21089,2.21875,0.0015044257,7.78125,54.633637977303124
3089986,-140.15151515151516,0.0090370625,54.95454545454545,50.303030303030305,0.0,50917.72241806984,25.47068714531726,0.001073598,74.52931285468276,0.1605485,-10.212400245736083,225093.81818181818,21155,3.1363636363636362,0.001073598,6.863636363636363,53.604423856601116
3099907,-132.76923076923077,0.01065314,54.676923076923075,50.56923076923077,0.0,51080.110486745834,24.37715922686333,0.0018100421,75.6228407731367,0.1744004,-9.70831002688233,223956.6769230769,21220,2.923076923076923,0.0018100421,7.076923076923077,53.348169781431565
3109948,-139.0909090909091,0.010297577,55.78787878787879,49.484848484848484,0.0,51239.97514414787,25.062386858768217,0.0015672703,74.93761314123178,0.17655472,-10.087124447065701,228507.15151515152,21286,3.121212121212121,0.0015672703,6.878787878787879,54.38691464565577
3119942,-145.3125,0.0086346865,56.90625,48.265625,0.0,51400.09213209152,25.636325842092205,0.001085919,74.3636741579078,0.16150028,-10.327957808574936,233088.0,21350,4.484375,0.001085919,5.515625,55.49141727469614
3129975,-140.15625,0.008933714,56.734375,48.421875,0.0,51558.0808031559,24.55833934936533,0.0017934112,75.44166065063469,0.17822824,-9.775062109874368,232384.0,21414,3.328125,0.0017934112,6.671875,55.33509647891614
3139920,-125.38461538461539,0.009400554,55.01538461538462,50.323076923076925,0.0,51718.31784772873,22.791801911019952,0.0015626886,77.20819808898008,0.16931035,-9.00834288643387,225343.0153846154,21479,3.1846153846153844,0.0015626886,6.815384615384615,53.62470596781779
3149934,-130.8955223880597,0.009827726,53.791044776119406,51.507462686567166,0.0,51885.11434555054,24.35251863213793,0.0011759198,75.64748136786207,0.19881557,-9.672889566458192,220328.1194029851,21546,1.791044776119403,0.0011759198,8.208955223880597,52.48499456344318
3159969,-135.45454545454547,0.009492147,55.57575757575758,49.621212121212125,0.0,52043.44377088547,24.519056058436615,0.0012885809,75.48094394156338,0.17699371,-9.69624914850294,227638.30303030304,21612,4.0606060606060606,0.0012885809,5.9393939393939394,54.22205714651511
3169896,-139.6875,0.008427566,56.796875,48.34375,0.0,52201.735183000565,24.48175142432072,0.001575162,75.51824857567928,0.17962214,-9.976815282037466,232640.0,21676,3.65625,0.001575162,6.34375,55.40211355924007
3179961,-136.30769230769232,0.009986975,56.41538461538462,48.753846153846155,0.0,52360.86784815788,24.137463084790237,0.0016181018,75.86253691520976,0.16726115,-9.666021493273718,231077.4153846154,21741,3.707692307692308,0.0016181018,6.292307692307692,55.02817775702834
3189865,-138.92307692307693,0.0098528685,54.87692307692308,50.41538461538462,0.0,52526.77314376831,25.329116913935437,0.0017819058,74.67088308606453,0.18519449,-10.171380747874545,224775.87692307692,21806,2.2,0.0017819058,7.8,53.51522982138209
3199869,-135.45454545454547,0.009198264,55.46969696969697,49.77272727272727,0.0,52687.8031039238,24.484949862225292,0.0011833756,75.51505013777474,0.17542873,-9.796506822683597,227203.87878787878,21872,3.272727272727273,0.0011833756,6.7272727272727275,54.099088448474916
3209978,-132.87878787878788,0.0092931995,54.878787878787875,50.42424242424242,0.0,52853.51438975334,24.21171269065878,0.0017887838,75.78828730934121,0.17598598,-9.608266178339006,224783.51515151514,21938,2.742424242424242,0.0017887838,7.257575757575758,53.51222182768776
3219863,-137.27272727272728,0.010358014,56.09090909090909,49.015151515151516,0.0,53017.18319249153,24.448835544445412,0.0014341492,75.55116445555458,0.19522727,-10.039219817719633,229748.36363636365,22004,2.106060606060606,0.0014341492,7.893939393939394,54.753891389611205
3229991,-150.75757575757575,0.008854377,57.0,48.121212121212125,0.0,53177.678579330444,26.441125453992168,0.0015324927,73.55887454600784,0.1914155,-10.800254897113433,233472.0,22070,2.772727272727273,0.0015324927,7.2272727272727275,55.604833524954834
3239979,-135.0,0.008699355,56.86363636363637,48.28787878787879,0.0,53337.44745802879,23.75154331480542,0.0012155238,76.24845668519458,0.17440426,-9.761066566375536,232913.45454545456,22136,3.9696969696969697,0.0012155238,6.03030303030303,55.46167497780246
3249879,-142.96875,0.010298951,56.21875,48.96875,0.0,53500.10970377922,25.415075036461932,0.0020538964,74.58492496353809,0.1912302,-10.337132890452693,230272.0,22200,2.609375,0.0020538964,7.390625,54.834547331140534
3259933,-140.46153846153845,0.010211641,56.69230769230769,48.46153846153846,0.0,53662.04527878761,24.69905325442592,0.00205492,75.30094674557404,0.20555913,-9.98195088769019,232211.6923076923,22265,3.0,0.00205492,7.0,55.297613063771124
3269966,-149.375,0.009162824,57.5,47.625,0.0,53818.26158952713,26.013454385013745,0.0010360428,73.98654561498626,0.18664293,-10.49485503423504,235520.0,22329,4.90625,0.0010360428,5.09375,56.07588106886815
3279941,-138.59375,0.010074265,56.90625,48.265625,0.0,53974.508253097534,24.407385032572527,0.0014169264,75.59261496742747,0.20898163,-9.98792814495586,233088.0,22393,4.03125,0.0014169264,5.96875,55.49342754421395
3289904,-183.9344262295082,0.009339455,60.377049180327866,44.65573770491803,0.0,54124.54705953598,30.319360649375476,0.0015988135,69.68063935062455,0.18693805,-11.98270132219526,247304.39344262294,22454,7.918032786885246,0.0015988135,2.081967213114754,58.832676356614755
3299975,-165.96774193548387,0.009489679,58.193548387096776,46.87096774193548,0.0,54275.75927591324,28.576992290212782,0.0014621943,71.42300770978723,0.18020591,-11.346386284818474,238360.7741935484,22516,6.5,0.0014621943,3.5,56.758370940655766
3309980,-134.0,0.009090655,55.63076923076923,49.49230769230769,0.0,54430.409120082855,24.173028734279285,0.0009906286,75.82697126572072,0.18563254,-9.550871590301956,227863.63076923077,22581,4.446153846153846,0.0009906286,5.553846153846154,54.30920527287735
3319892,-126.66666666666667,0.01065305,55.378787878787875,49.86363636363637,0.0,54589.68433427811,22.936441619462016,0.0017546216,77.063558380538,0.20705803,-9.38716644080184,226831.51515151514,22647,3.9545454545454546,0.0017546216,6.045454545454546,54.014631560495125
3329988,-160.3125,0.009126967,58.75,46.296875,0.0,54744.596177339554,27.20554678118128,0.0015392395,72.79445321881872,0.1779315,-10.764060059776739,240640.0,22711,7.03125,0.0015392395,2.96875,57.2934586086462
3339839,-151.42857142857142,0.008574717,56.93650793650794,48.17460317460318,0.0,54898.81704378128,26.37733393160905,0.0016700818,73.62266606839094,0.16433808,-10.265722184827505,233211.9365079365,22774,6.111111111111111,0.0016700818,3.888888888888889,55.54934015386241
3349977,-132.83582089552237,0.009139807,55.08955223880597,50.16417910447761,0.0,55061.78846383095,24.121118698343103,0.0016160639,75.87888130165688,0.18916442,-9.6058849514811,225646.80597014926,22841,3.2388059701492535,0.0016160639,6.7611940298507465,53.73447443841789
3359876,-132.92307692307693,0.00901353,55.292307692307695,50.0,0.0,55219.4426574707,24.057544598241574,0.0013532364,75.94245540175842,0.1695653,-9.427150789954064,226477.29230769232,22906,4.446153846153846,0.0013532364,5.553846153846154,53.90784714003374
3369940,-131.66666666666666,0.009582292,55.89393939393939,49.303030303030305,0.0,55382.1169655323,23.553656856413554,0.0016128921,76.44634314358642,0.19476192,-9.615162522242528,228941.57575757575,22972,2.8181818181818183,0.0016128921,7.181818181818182,54.52223567828039
3379938,-141.23076923076923,0.008511728,55.276923076923076,50.03076923076923,0.0,55542.01545906067,25.63027517478555,0.0014994666,74.36972482521445,0.1934967,-10.17665578211591,226414.27692307692,23037,3.2153846153846155,0.0014994666,6.7846153846153845,53.88625576564206
3389940,-152.92307692307693,0.008719586,56.96923076923077,48.16923076923077,0.0,55701.33593249321,26.77594325533612,0.0009926422,73.22405674466387,0.18455194,-10.823132504674136,233345.96923076923,23102,3.8923076923076922,0.0009926422,6.107692307692307,55.5672313461772
3399844,-145.3846153846154,0.009957722,55.46153846153846,49.753846153846155,0.0,55866.37682676315,26.25982116609327,0.0014209964,73.74017883390671,0.21747805,-10.614769744587633,227170.46153846153,23167,2.4307692307692306,0.0014209964,7.569230769230769,54.10613937454438
3409918,-165.87301587301587,0.0093548,60.12698412698413,44.888888888888886,0.0,56013.864951610565,27.569713577350733,0.0019113857,72.43028642264927,0.2012011,-11.337399379637635,246280.12698412698,23230,6.095238095238095,0.0019113857,3.9047619047619047,58.607167212246424
3419872,-148.46153846153845,0.010032138,56.707692307692305,48.41538461538462,0.0,56171.344656705856,26.245060590083746,0.0017366327,73.75493940991623,0.20827553,-10.645822775779457,232274.70769230768,23295,5.246153846153846,0.0017366327,4.753846153846154,55.328799997415935
3429985,-174.0983606557377,0.0077387574,59.26229508196721,45.83606557377049,0.0,56317.52136135101,29.34308691611842,0.0012357233,70.65691308388158,0.18724425,-11.406198648503542,242738.3606557377,23356,7.262295081967213,0.0012357233,2.737704918032787,57.74752537991668
3439983,-160.47619047619048,0.009021005,58.20634920634921,46.888888888888886,0.0,56469.33793902397,27.492766698270216,0.0013024454,72.50723330172977,0.18894719,-10.801957957702344,238413.20634920636,23419,6.873015873015873,0.0013024454,3.126984126984127,56.75444876100239
3449927,-152.65625,0.009449144,58.34375,46.71875,0.0,56620.2364962101,26.21501403431754,0.0016176663,73.78498596568245,0.18533574,-10.69932339929789,238976.0,23483,5.53125,0.0016176663,4.46875,56.904521038331715
