TtR,MpbtA,Tmt,TimestepsSoFar,MpbtN,Ptt,entropy,EpisodesSoFar,AttC,optimgain,Tmc,surrgain,entloss,AttNC,TimeElapsed,Tbt,MtR,meankl
-133.9787234042553,42.15899292768359,76.91489361702128,489991,57.84100707231642,74.99122250114648,0.32750455,4546,1.4893617021276595,0.002612379,27.085106382978722,0.002612379,0.0,1.5106382978723405,11122.602500200272,315043.40425531915,-27.284056568731714,0.005926119
-123.8,46.24886346388856,76.68888888888888,499828,53.751136536111424,74.78114018710075,0.3361952,4591,0.8666666666666667,0.0023765573,27.31111111111111,0.0023765573,0.0,2.1333333333333333,11236.072686195374,314117.68888888886,-25.579942993338246,0.0088492995
-126.95744680851064,44.78962522834531,76.57446808510639,509784,55.21037477165472,74.65971903753545,0.30261075,4638,1.8936170212765957,0.0025043057,27.4468085106383,0.0025043057,0.0,1.1063829787234043,11352.607202529907,313649.02127659577,-26.34924429566029,0.0059465496
-132.8125,42.26348785949065,76.625,519917,57.736512140509326,74.70781108943267,0.28040573,4686,1.2916666666666667,0.0044755805,27.395833333333332,0.0044755805,0.0,1.7083333333333333,11471.296595573425,313856.0,-27.59432217335147,0.007954148
-124.13333333333334,45.923838502961615,76.46666666666667,529870,54.076161497038385,74.55956986030951,0.31811684,4731,1.1111111111111112,0.003171727,27.555555555555557,0.003171727,0.0,1.8888888888888888,11586.031308412552,313207.4666666667,-25.88867569806517,0.011157522
-128.125,43.78210532123771,75.95833333333333,539851,56.21789467876231,74.0994070315837,0.29104638,4779,2.0833333333333335,0.0029907117,28.041666666666668,0.0029907117,0.0,0.9166666666666666,11703.412981987,311125.3333333333,-26.955034167962307,0.007382908
-119.3125,47.92078123711709,76.39583333333333,549985,52.0792187628829,74.50643020260979,0.29174507,4827,1.4583333333333333,0.0024856953,27.604166666666668,0.0024856953,0.0,1.5416666666666667,11817.016372442245,312917.3333333333,-25.075244476784928,0.006607121
-123.71739130434783,45.567872877297454,75.76086956521739,559856,54.43212712270254,73.91200687692022,0.30841684,4873,1.608695652173913,0.0047095437,28.23913043478261,0.0047095437,0.0,1.391304347826087,11933.971304893494,310316.52173913043,-25.730082627102973,0.007261503
-127.30434782608695,44.33145982995988,76.15217391304348,569903,55.66854017004012,74.26486109533916,0.28652507,4919,1.3478260869565217,0.0028958658,27.869565217391305,0.0028958658,0.0,1.6521739130434783,12047.722145557404,311919.3043478261,-26.279601704311908,0.0074667633
-124.76086956521739,45.175632969603335,75.84782608695652,579803,54.82436703039667,73.9958127595785,0.26500973,4965,1.1521739130434783,0.0015277955,28.152173913043477,0.0015277955,0.0,1.8478260869565217,12162.38774394989,310672.6956521739,-25.995985573635295,0.005619446
-127.43478260869566,44.32186959115364,76.30434782608695,589808,55.67813040884635,74.42296060836158,0.23308939,5011,1.0,0.0018127919,27.695652173913043,0.0018127919,0.0,2.0,12278.34864974022,312542.60869565216,-26.16094602611042,0.0059133414
-128.46666666666667,44.37705971230285,77.02222222222223,599814,55.62294028769716,75.09259862693844,0.26483026,5056,1.0,0.002900824,26.977777777777778,0.002900824,0.0,2.0,12394.440166711807,315483.02222222224,-26.559883509553487,0.0075885663
