entropy,TtR,Tbt,optimgain,surrgain,Ptt,AttC,meankl,TimestepsSoFar,MtR,EpisodesSoFar,TimeElapsed,entloss,AttNC,MpbtA,Tmt,Tmc,MpbtN
0.30532914,-68.94736842105263,338027.7894736842,0.0061568557,0.0061568557,80.25855740247725,0.07894736842105263,0.009686467,459776,-39.09072835021046,5096,13298.903083562851,0.0,0.9210526315789473,16.505103335718953,82.52631578947368,21.42105263157895,83.49489666428106
0.2629204,-66.51219512195122,334573.26829268294,0.0047852327,0.0047852327,79.46955672612968,0.3902439024390244,0.0054899743,469918,-37.226361108315444,5137,13412.619902133942,0.0,0.6097560975609756,18.629198356595825,81.6829268292683,22.26829268292683,81.37080164340416
0.28061634,-67.1842105263158,338027.7894736842,0.003004837,0.003004837,80.2571187605956,0.13157894736842105,0.004680219,479775,-37.48680319860339,5175,13522.412437438965,0.0,0.868421052631579,18.621898453913424,82.52631578947368,21.42105263157895,81.37810154608658
0.26479313,-66.15384615384616,333561.4358974359,0.0038375396,0.0038375396,79.24241278858524,0.28205128205128205,0.005844531,489841,-37.44572090669136,5214,13632.044656276703,0.0,0.717948717948718,18.803326305606863,81.43589743589743,22.512820512820515,81.19667369439314
0.24969915,-67.1,337203.2,0.004412076,0.004412076,80.06795525349585,0.275,0.005273906,499930,-37.850129821734534,5254,13743.845735311508,0.0,0.725,18.52432352676387,82.325,21.625,81.47567647323616
0.2676556,-66.32432432432432,335097.08108108107,0.0041799345,0.0041799345,79.55149323929346,0.10810810810810811,0.0040499475,509886,-37.29620165639855,5291,13851.247433662415,0.0,0.8918918918918919,18.92428552372217,81.8108108108108,22.18918918918919,81.07571447627782
0.25231126,-66.1842105263158,337381.05263157893,0.0028897794,0.0028897794,80.06991835037876,0.23684210526315788,0.0051562074,519908,-36.675080210409206,5329,13960.043695688248,0.0,0.7631578947368421,19.66944722066902,82.36842105263158,21.63157894736842,80.33055277933097
0.2569617,-67.97560975609755,338769.1707317073,0.0055819727,0.0055819727,80.42440149011128,0.3170731707317073,0.006044226,529850,-38.56130466286991,5370,14072.855805158615,0.0,0.6829268292682927,17.820444576701206,82.70731707317073,21.24390243902439,82.17955542329878
0.21987958,-67.075,336179.2,0.0031808538,0.0031808538,79.81487676211373,0.25,0.005523915,539901,-38.89401953575483,5410,14188.750338554382,0.0,0.75,18.310368285812867,82.075,21.9,81.68963171418713
0.27323136,-68.62162162162163,338418.1621621622,0.005726732,0.005726732,80.32559716930187,0.10810810810810811,0.0071782274,549885,-37.91687872458258,5447,14295.326489925385,0.0,0.8918918918918919,16.96693198242846,82.62162162162163,21.35135135135135,83.03306801757152
0.27732792,-67.92105263157895,339105.6842105263,0.00416944,0.00416944,80.52190711094983,0.21052631578947367,0.006002483,559792,-38.11992034817207,5485,14407.308396816254,0.0,0.7894736842105263,17.954422085813352,82.78947368421052,21.13157894736842,82.04557791418665
0.21384099,-69.6086956521739,341659.82608695654,0.0064631584,0.0064631584,81.07497035537926,0.2826086956521739,0.0074588563,569987,-42.58603971849715,5531,14531.953491210938,0.0,0.717391304347826,16.596957566646125,83.41304347826087,20.543478260869566,83.40304243335389
0.25886962,-68.58333333333333,336782.22222222225,0.0030417442,0.0030417442,79.95512721630804,0.027777777777777776,0.007056549,579813,-38.14615049135719,5567,14638.521266222,0.0,0.9722222222222222,16.59378182013897,82.22222222222223,21.75,83.40621817986103
0.27948463,-67.74358974358974,339862.9743589744,0.007557483,0.007557483,80.6724886218087,0.10256410256410256,0.006579596,589983,-37.79909743181076,5606,14746.024625062943,0.0,0.8974358974358975,18.380488303294936,82.97435897435898,20.974358974358974,81.61951169670505
0.24653037,-67.5,337488.84210526315,0.0027130446,0.0027130446,80.1139068082828,0.2631578947368421,0.0050700866,599846,-37.707720819107415,5644,14855.938252210617,0.0,0.7368421052631579,18.113324651483925,82.39473684210526,21.57894736842105,81.88667534851608
0.24124084,-67.60526315789474,340830.3157894737,0.0029184287,0.0029184287,80.89289770628773,0.2894736842105263,0.0051807673,609734,-38.489518278414046,5682,14966.874794244766,0.0,0.7105263157894737,18.800298608282407,83.21052631578948,20.736842105263158,81.1997013917176
0.30992538,-67.84210526315789,339105.6842105263,0.0033345923,0.0033345923,80.50184032900589,0.05263157894736842,0.00849503,619750,-38.77955051203978,5720,15077.20237493515,0.0,0.9473684210526315,18.040961566413444,82.78947368421052,21.157894736842106,81.95903843358654
0.2407998,-68.22222222222223,339603.9111111111,0.0065460084,0.0065460084,80.62422367572465,0.3333333333333333,0.006708444,629748,-41.03086295408265,5765,15201.213011741638,0.0,0.6666666666666666,17.736125490865717,82.91111111111111,21.022222222222222,82.26387450913428
