AttC,surrgain,TimestepsSoFar,MtR,AttNC,entloss,meankl,optimgain,Fce,TimeElapsed,TtR,entropy,EpisodesSoFar
1.5555555555555556,0.0007201126,1069991,17.103123504077995,1.4444444444444444,0.0,0.0024324313,0.0007201126,0.1485262555295342,6959.045217037201,89.13333333333334,1.5831386,4994
1.4545454545454546,0.00050256855,1079754,15.664056030785959,1.5454545454545454,0.0,0.0054113287,0.00050256855,0.11127272727272727,7030.883272647858,83.45454545454545,1.555045,5038
1.4565217391304348,0.00069946266,1089862,15.830531611389572,1.5434782608695652,0.0,0.00061885285,0.00069946266,0.13671610122210187,7097.5502252578735,82.23913043478261,1.5391948,5084
1.3409090909090908,0.00050457305,1099874,16.842763024191918,1.6590909090909092,0.0,0.0019649789,0.00050457305,0.12218181818181822,7157.714205741882,88.29545454545455,1.5355198,5128
1.3095238095238095,0.0011909211,1109886,17.426149411904458,1.6904761904761905,0.0,0.0012254581,0.0011909211,0.12095238095238098,7219.618823051453,90.71428571428571,1.5412172,5170
1.4583333333333333,0.00061094994,1119934,15.278955874906387,1.5416666666666667,0.0,0.0038906124,0.00061094994,0.1164951690821256,7294.381622552872,80.375,1.5463765,5218
1.4090909090909092,0.000180822,1129763,15.799543036424906,1.5909090909090908,0.0,0.0030757014,0.000180822,0.11715430658136791,7358.458713054657,82.70454545454545,1.5580631,5262
1.186046511627907,0.00015361582,1139794,15.573054951215644,1.813953488372093,0.0,0.0020833346,0.00015361582,0.111421188630491,7425.3796989917755,81.83720930232558,1.5632745,5305
1.2272727272727273,0.0002785838,1149800,15.340799151796004,1.7727272727272727,0.0,0.0018213508,0.0002785838,0.13009090909090906,7485.811996936798,80.5909090909091,1.5297934,5349
1.255813953488372,9.981435e-05,1159825,16.016518138621176,1.744186046511628,0.0,0.011324156,9.981435e-05,0.13634473324213403,7547.490132331848,83.93023255813954,1.5124182,5392
1.5217391304347827,0.0008861084,1169905,16.653856979522278,1.4782608695652173,0.0,0.0010662323,0.0008861084,0.1242650103519669,7619.509516239166,87.3913043478261,1.5262349,5438
1.6304347826086956,0.0011032204,1179935,17.23486890862332,1.3695652173913044,0.0,0.0059491307,0.0011032204,0.1524739982949702,7682.7193059921265,90.06521739130434,1.5186659,5484
1.372093023255814,0.0004673472,1189945,16.143186349550433,1.627906976744186,0.0,0.0013878437,0.0004673472,0.11796684380330297,7737.145626783371,83.93023255813954,1.5457758,5527
1.3695652173913044,0.0005286954,1199975,15.250259208105446,1.6304347826086956,0.0,0.0058710244,0.0005286954,0.10934387351778657,7800.521416187286,79.17391304347827,1.5663643,5573
