TimestepsSoFar,EpisodesSoFar,entropy,Tmc,optimgain,AttNC,MpbtA,Ptt,surrgain,meankl,TimeElapsed,TtR,AttC,MpbtN,Tmt,entloss,MtR,Tbt
2199902,15354,0.24879457,48.704918032786885,0.002981934,6.475409836065574,82.2870293784396,55.1078875168511,0.002981934,0.006354378,76485.22814154625,-101.14754098360656,3.5245901639344264,17.712970621560373,56.540983606557376,0.0,-7.251440917285265,231591.868852459
2209862,15416,0.27124235,49.193548387096776,0.0023589828,6.629032258064516,81.095808489319,54.61729443617319,0.0023589828,0.00610551,76783.55582427979,-105.64516129032258,3.370967741935484,18.904191510681006,55.983870967741936,0.0,-7.881790938994029,229309.93548387097
2219855,15478,0.27643052,50.064516129032256,0.0026136502,5.67741935483871,81.00398918765323,53.83693982418436,0.0026136502,0.005945444,77095.14545440674,-104.83870967741936,4.32258064516129,18.996010812346736,55.20967741935484,0.0,-7.654994974868044,226138.83870967742
2229929,15538,0.2665351,49.916666666666664,0.0019628147,5.616666666666666,80.20210049255067,53.99641908691411,0.0019628147,0.00450983,77373.47313570976,-109.5,4.383333333333334,19.797899507449355,55.4,0.0,-7.797913073977802,226918.4
2239831,15599,0.26411366,50.18032786885246,0.0025069285,6.590163934426229,83.62621791242465,53.745364160165515,0.0025069285,0.0060578017,77656.55937480927,-90.0,3.4098360655737703,16.373782087575357,55.131147540983605,0.0,-6.588081229015975,225817.18032786885
2249928,15662,0.26566356,49.74603174603175,0.0019446313,6.5396825396825395,81.96448772840886,54.10017773915392,0.0019446313,0.0047136396,77919.16500902176,-100.0,3.4603174603174605,18.03551227159117,55.44444444444444,0.0,-7.424480259618973,227100.44444444444
2259930,15724,0.26729053,47.75806451612903,0.0029182662,6.274193548387097,79.9086717648276,55.95844500151996,0.0029182662,0.0061879894,78188.06800150871,-115.64516129032258,3.725806451612903,20.091328235172387,57.38709677419355,0.0,-8.347147076465388,235057.5483870968
2269857,15786,0.26238874,49.11290322580645,0.0022913215,5.774193548387097,81.36094433985366,54.6777408316659,0.0022913215,0.005708351,78476.1179151535,-104.35483870967742,4.225806451612903,18.639055660146372,56.03225806451613,0.0,-7.574418392317129,229508.12903225806
2279952,15847,0.2553694,49.83606557377049,0.002852301,5.508196721311475,81.50467928530537,54.03928253371428,0.002852301,0.0051035695,78766.9944820404,-102.95081967213115,4.491803278688525,18.495320714694607,55.40983606557377,0.0,-7.196372460773234,226958.68852459016
2289912,15909,0.24181195,48.74193548387097,0.0019049951,6.048387096774194,78.47119485184365,55.049207640403885,0.0019049951,0.0043193265,79082.6928422451,-124.83870967741936,3.9516129032258065,21.528805148156344,56.45161290322581,0.0,-8.62406057555118,231225.8064516129
2299935,15972,0.24848881,48.44444444444444,0.0022501273,5.603174603174603,80.67571250803614,55.300988992865,0.0022501273,0.0051611774,79396.30016255379,-110.47619047619048,4.396825396825397,19.32428749196383,56.682539682539684,0.0,-7.820854465450823,232171.68253968254
2309917,16033,0.23976962,50.63934426229508,0.0029637201,5.180327868852459,81.18731037167974,53.311986749284465,0.0029637201,0.005963891,79716.39136147499,-102.95081967213115,4.819672131147541,18.812689628320257,54.67213114754098,0.0,-7.337510147247238,223937.04918032786
2319897,16093,0.23608816,49.78333333333333,0.0021269522,4.033333333333333,79.07793760444636,54.08385925921848,0.0021269522,0.0059587318,80038.7340517044,-117.0,5.966666666666667,20.92206239555365,55.45,0.0,-8.146219679207535,227123.2
2329963,16153,0.25281805,49.233333333333334,0.0023426884,5.366666666666666,81.46201898528203,54.57298601511832,0.0023426884,0.004513369,80362.4356906414,-103.5,4.633333333333334,18.537981014717943,55.93333333333333,0.0,-7.521501692028906,229102.93333333332
2339853,16213,0.2573477,49.583333333333336,0.0022583674,5.516666666666667,82.07712170327821,54.27278533839915,0.0022583674,0.005469991,80688.788667202,-99.66666666666667,4.483333333333333,17.922878296721805,55.65,0.0,-7.2333733568755845,227942.4
2349898,16274,0.25175485,47.459016393442624,0.0031405534,5.360655737704918,79.79235479816056,56.23172750008184,0.0031405534,0.005580484,81017.0965025425,-119.18032786885246,4.639344262295082,20.207645201839483,57.67213114754098,0.0,-8.124256262688798,236225.04918032786
2359941,16336,0.27711692,49.354838709677416,0.0028489898,5.82258064516129,81.13423186047486,54.508666476341766,0.0028489898,0.0072227763,81355.12295603752,-105.3225806451613,4.17741935483871,18.865768139525144,55.91935483870968,0.0,-7.701128358493375,229045.67741935485
2369962,16395,0.30404496,46.76271186440678,0.0020871235,4.322033898305085,77.75523142036127,56.876186168219355,0.0020871235,0.005262102,81692.7551009655,-131.6949152542373,5.677966101694915,22.244768579638716,58.33898305084746,0.0,-8.639751484542517,238956.4745762712
2379870,16454,0.2668317,46.983050847457626,0.0024798466,4.0508474576271185,79.74946931604121,56.653990137679536,0.0024798466,0.006726135,82017.99639248848,-118.47457627118644,5.9491525423728815,20.250530683958758,58.08474576271186,0.0,-7.878044912742077,237915.11864406778
2389927,16516,0.22517219,47.37096774193548,0.0021927455,3.870967741935484,82.30144344582541,56.30763580264967,0.0021927455,0.00533829,82339.33490395546,-102.41935483870968,6.129032258064516,17.698556554174584,57.74193548387097,0.0,-7.366917592410184,236510.96774193548
2399849,16576,0.25179708,50.06666666666667,0.0039892835,4.383333333333334,82.24265426559151,53.82380130172858,0.0039892835,0.009388069,82652.5961034298,-98.33333333333333,5.616666666666666,17.757345734408467,55.18333333333333,0.0,-7.382990794520796,226030.93333333332
2409799,16633,0.28851175,46.666666666666664,0.0024259612,3.6491228070175437,75.40429900018651,56.974708747737964,0.0024259612,0.005795592,82954.28861904144,-148.7719298245614,6.350877192982456,24.595700999813495,58.45614035087719,0.0,-9.341641290559407,239436.35087719298
2419968,16693,0.25695696,46.43333333333333,0.001699241,3.9833333333333334,80.27475140684278,57.18685861469906,0.001699241,0.004259553,83231.57143568993,-118.33333333333333,6.016666666666667,19.72524859315724,58.666666666666664,0.0,-7.724829052876723,240298.66666666666
2429993,16755,0.2739449,48.75806451612903,0.0034175613,5.096774193548387,80.65948658171773,55.05810357338658,0.0034175613,0.0065949806,83517.84289860725,-109.35483870967742,4.903225806451613,19.340513418282253,56.483870967741936,0.0,-7.886065145061885,231357.93548387097
2439843,16814,0.26117042,47.220338983050844,0.0022715975,4.406779661016949,80.71872979069045,56.4387875058184,0.0022715975,0.0051182224,83820.3382461071,-114.23728813559322,5.593220338983051,19.28127020930955,57.86440677966102,0.0,-7.609608521230493,237012.61016949153
2449989,16876,0.24653246,48.04838709677419,0.0025525822,5.306451612903226,83.92826419838403,55.675254279564754,0.0025525822,0.005899373,84140.05729746819,-92.09677419354838,4.693548387096774,16.07173580161593,57.08064516129032,0.0,-6.727516897270276,233802.32258064515
2459861,16935,0.26246873,49.57627118644068,0.0028719965,5.254237288135593,83.96149627745758,54.26673161487853,0.0028719965,0.006367508,84465.91932225227,-89.32203389830508,4.745762711864407,16.038503722542412,55.6271186440678,0.0,-6.510395293385565,227848.6779661017
2469988,16996,0.26094547,45.57377049180328,0.002284673,3.639344262295082,72.95390370174721,57.9957665874047,0.002284673,0.006416364,84799.06575751305,-170.1639344262295,6.360655737704918,27.046096298252817,59.52459016393443,0.0,-10.886767168664791,243812.7213114754
2479969,17053,0.26744154,46.87719298245614,0.0032909533,4.9298245614035086,77.92277744438626,56.76164512295543,0.0032909533,0.006975163,85118.85375332832,-129.47368421052633,5.0701754385964914,22.07722255561374,58.21052631578947,0.0,-8.410277539274153,238430.31578947368
2489912,17110,0.23732501,49.31578947368421,0.004463501,4.385964912280702,79.44675465385754,54.507475491948384,0.004463501,0.0064164144,85446.95677542686,-117.36842105263158,5.614035087719298,20.553245346142486,55.87719298245614,0.0,-7.810735499162784,228872.98245614034
2499965,17169,0.25810733,48.79661016949152,0.0019743838,4.440677966101695,80.79255178852765,54.96283247700368,0.0019743838,0.0035213951,85772.01756978035,-108.64406779661017,5.559322033898305,19.207448211472364,56.32203389830509,0.0,-7.295043453093428,230695.05084745763
2509840,17227,0.23958938,48.48275862068966,0.0021646544,4.5344827586206895,77.84813757984347,55.292167177487144,0.0021646544,0.0065765325,86100.18393397331,-130.51724137931035,5.4655172413793105,22.15186242015654,56.706896551724135,0.0,-8.378401191124727,232271.44827586206
2519987,17288,0.22532699,49.90163934426229,0.00164396,5.639344262295082,79.488782002697,53.9855858848101,0.00164396,0.005588231,86429.97064685822,-114.26229508196721,4.360655737704918,20.511217997303007,55.36065573770492,0.0,-7.913745860240677,226757.24590163934
