AttNC,entloss,TimestepsSoFar,EpisodesSoFar,surrgain,TtR,Fce,meankl,AttC,TimeElapsed,entropy,MtR,optimgain
1.0357142857142858,0.0,1179837,5502,1.1182149e-05,75.80357142857143,0.15938919810348381,0.008932953,1.9642857142857142,15660.455904960632,2.8671646,14.566995568944503,1.1182149e-05
1.1071428571428572,0.0,1189848,5558,1.486028e-05,76.875,0.15307876539045367,0.00073213346,1.8928571428571428,15783.095231294632,2.8739483,14.911362169700771,1.486028e-05
0.9629629629629629,0.0,1199980,5612,1.0413615e-05,81.44444444444444,0.16882005247743123,0.00075888954,2.037037037037037,15894.096779584885,2.8496797,15.757268306219997,1.0413615e-05
0.9245283018867925,0.0,1209976,5665,1.5008291e-05,81.28301886792453,0.16216983462080303,0.00294213,2.0754716981132075,16029.582966566086,2.7978456,15.605921800265081,1.5008291e-05
1.1132075471698113,0.0,1219874,5718,3.3071647e-05,81.84905660377359,0.12868912295440882,0.00857007,1.8867924528301887,16150.730360269547,2.708014,15.80812691452554,3.3071647e-05
1.0727272727272728,0.0,1229997,5773,9.592234e-05,79.58181818181818,0.13983334645152823,0.0022513196,1.9272727272727272,16270.010707616806,2.7252667,15.230352033033629,9.592234e-05
1.0892857142857142,0.0,1239906,5829,1.0734558e-06,75.96428571428571,0.16946773053952585,0.001098116,1.9107142857142858,16418.850959300995,2.7172055,14.46362209363591,1.0734558e-06
1.4285714285714286,0.0,1249924,5871,6.713867e-08,101.71428571428571,0.13711111111111113,0.0005836094,1.5714285714285714,16555.276442289352,2.714624,19.528862942745448,6.713867e-08
1.2307692307692308,0.0,1259970,5923,0.00021238302,81.51923076923077,0.17866666666666656,0.0022394746,1.7692307692307692,16680.503470420837,2.7175047,15.507602677456104,0.00021238302
1.0925925925925926,0.0,1269806,5977,5.451711e-05,78.72222222222223,0.12047152833626266,0.0009254251,1.9074074074074074,16807.612954616547,2.6954594,15.303728009038574,5.451711e-05
0.8793103448275862,0.0,1279777,6035,9.3868e-05,77.22413793103448,0.18655151788282848,0.0012994085,2.1206896551724137,16930.101934432983,2.691237,15.056930331894154,9.3868e-05
1.0892857142857142,0.0,1289891,6091,9.6394855e-05,78.375,0.14928971780099598,0.0007024367,1.9107142857142858,17050.752292633057,2.6883776,15.064030323481443,9.6394855e-05
1.0588235294117647,0.0,1299960,6142,8.0301925e-06,83.52941176470588,0.1399253034547152,0.0033179626,1.9411764705882353,17180.859382152557,2.6343782,16.06373287508276,8.0301925e-06
1.1372549019607843,0.0,1309762,6193,0.00012417958,80.82352941176471,0.1502446311858076,0.0041338843,1.8627450980392157,17309.327003240585,2.5778031,15.077460398571938,0.00012417958
1.0925925925925926,0.0,1319866,6247,6.526413e-05,82.33333333333333,0.178605292641416,0.0008363359,1.9074074074074074,17441.333038806915,2.571291,15.99254959243689,6.526413e-05
1.06,0.0,1329753,6297,9.237493e-05,85.62,0.13337847408641695,0.002326787,1.94,17572.16460967064,2.5583432,16.59222974652873,9.237493e-05
1.2156862745098038,0.0,1339824,6348,6.512044e-05,82.29411764705883,0.13861192042125103,0.000116790834,1.7843137254901962,17710.446372032166,2.5615172,15.615628120258675,6.512044e-05
1.125,0.0,1349898,6404,3.9266204e-05,73.28571428571429,0.13678571428571426,0.010174776,1.875,17825.6172811985,2.4638891,14.009427549452012,3.9266204e-05
1.196078431372549,0.0,1359784,6455,6.913605e-05,75.05882352941177,0.11249325257168397,0.0048238863,1.803921568627451,17947.526399850845,2.534767,14.528663994962864,6.913605e-05
1.2291666666666667,0.0,1369866,6503,2.092387e-05,88.8125,0.12707232542139665,5.027543e-05,1.7708333333333333,18071.191415309906,2.5343401,17.021555297369318,2.092387e-05
1.103448275862069,0.0,1379986,6561,6.78889e-05,71.37931034482759,0.11420133755965839,0.009771641,1.896551724137931,18191.712650060654,2.438638,13.723116201135905,6.78889e-05
1.3555555555555556,0.0,1389780,6606,7.915192e-05,88.26666666666667,0.12221733821733827,0.010174758,1.6444444444444444,18312.881115198135,2.341064,16.876284655789668,7.915192e-05
1.1923076923076923,0.0,1399866,6658,7.8322344e-05,80.82692307692308,0.13213384051845592,0.0091442345,1.8076923076923077,18436.646728754044,2.2484407,15.45164071543136,7.8322344e-05
1.1923076923076923,0.0,1409944,6710,4.6288555e-05,79.61538461538461,0.1407392085039144,6.0067065e-05,1.8076923076923077,18556.090308904648,2.241307,15.076639876380437,4.6288555e-05
1.1296296296296295,0.0,1419791,6764,4.109853e-05,71.94444444444444,0.12695035488138937,0.010174758,1.8703703703703705,18682.95429944992,2.1436846,13.92624157740163,4.109853e-05
1.3061224489795917,0.0,1429854,6813,0.000103417966,84.06122448979592,0.11723502304147466,0.010175057,1.6938775510204083,18801.720155715942,2.0461345,15.785215781359852,0.000103417966
1.4166666666666667,0.0,1439880,6861,0.00011067658,79.875,0.1083106060606061,0.008933181,1.5833333333333333,18919.853910446167,2.1436846,15.166719548269327,0.00011067658
1.5348837209302326,0.0,1449897,6904,0.00010110779,92.30232558139535,0.1530161001788908,0.010174758,1.4651162790697674,19033.066930532455,2.0461345,17.39700196726362,0.00010110779
1.3061224489795917,0.0,1459936,6953,2.2144064e-05,79.28571428571429,0.14764625850340132,0.008933181,1.6938775510204083,19160.521593809128,2.1436846,15.151243110709279,2.2144064e-05
1.125,0.0,1469998,7009,8.903707e-05,70.28571428571429,0.13995318966747541,0.010174776,1.875,19278.199536800385,2.0461345,13.304965876642186,8.903707e-05
1.4545454545454546,0.0,1479765,7053,5.913086e-05,88.29545454545455,0.13152380952380957,0.008933174,1.5454545454545454,19398.14267873764,2.1436846,16.783736382122566,5.913086e-05
1.489795918367347,0.0,1489802,7102,3.1467185e-05,81.0,0.1316830732292917,0.008933181,1.510204081632653,19515.752061605453,2.241307,15.172343457541208,3.1467185e-05
1.3541666666666667,0.0,1499906,7150,4.204e-05,87.625,0.12636346905912121,0.008933181,1.6458333333333333,19630.13615489006,2.3388727,16.96029990517521,4.204e-05
1.3265306122448979,0.0,1509945,7199,2.7505239e-05,83.0204081632653,0.15534693877551023,0.008933181,1.6734693877551021,19752.516535520554,2.4364977,15.978785499548941,2.7505239e-05
1.1702127659574468,0.0,1520000,7246,8.369954e-06,87.82978723404256,0.1230867239019535,0.008933181,1.8297872340425532,19891.907160520554,2.5340757,16.925486296207772,8.369954e-06
1.2448979591836735,0.0,1529792,7295,1.7867533e-05,82.89795918367346,0.1130884353741497,0.008933417,1.7551020408163265,19998.78842306137,2.6316676,15.68320368925413,1.7867533e-05
1.28,0.0,1539910,7345,1.1569214e-05,85.02,0.1702998891167312,0.008933181,1.72,20118.44635796547,2.7292478,16.45552190182046,1.1569214e-05
1.02,0.0,1549954,7395,2.1775055e-05,81.72,0.1261638095238095,0.008933181,1.98,20239.983771800995,2.8268332,15.543113136764003,2.1775055e-05
1.1020408163265305,0.0,1559774,7444,3.7994385e-05,84.73469387755102,0.1541679587866484,0.010174852,1.8979591836734695,20358.202109336853,2.7292478,16.24286363249437,3.7994385e-05
1.3333333333333333,0.0,1569876,7498,3.4154257e-06,78.66666666666667,0.13358756018971074,0.010174758,1.6666666666666667,20484.697589159012,2.6316676,14.92769786405784,3.4154257e-06
0.9354838709677419,0.0,1579811,7560,1.1745198e-05,68.3225806451613,0.15940471492768368,0.010174852,2.064516129032258,20603.576065063477,2.5340757,13.241875660554786,1.1745198e-05
1.3695652173913044,0.0,1589911,7606,2.335612e-05,90.52173913043478,0.15043809766670915,0.010174758,1.6304347826086956,20713.834797859192,2.4364977,17.15786000688042,2.335612e-05
1.2826086956521738,0.0,1599949,7652,0.00013394623,95.41304347826087,0.150231884057971,0.010174852,1.7173913043478262,20845.630645751953,2.338873,17.909500965044323,0.00013394623
1.14,0.0,1609770,7702,5.415853e-05,78.6,0.13168827586206897,0.010174776,1.86,20960.10862994194,2.241307,14.900566977528397,5.415853e-05
1.24,0.0,1619854,7752,5.3026582e-05,83.7,0.11376701754385968,0.008933095,1.76,21084.42411351204,2.3388727,16.204086737392885,5.3026582e-05
1.3125,0.0,1629900,7800,2.5009791e-05,83.375,0.16102799736495388,0.008933181,1.6875,21197.21248483658,2.4364977,16.018642313695008,2.5009791e-05
1.1111111111111112,0.0,1639988,7854,2.6503818e-05,77.22222222222223,0.14650289628067406,0.008933417,1.8888888888888888,21306.851991653442,2.5340757,14.69288603719911,2.6503818e-05
1.0925925925925926,0.0,1649877,7908,6.146749e-05,75.72222222222223,0.153920332231545,0.010174776,1.9074074074074074,21433.70490884781,2.4364977,14.561982086597757,6.146749e-05
1.2452830188679245,0.0,1659984,7961,8.770244e-06,79.24528301886792,0.1331141060197664,0.010174776,1.7547169811320755,21560.39859175682,2.338873,15.244131532263381,8.770244e-06
1.2549019607843137,0.0,1669846,8012,3.4180706e-05,80.76470588235294,0.11991534773898391,0.008933181,1.7450980392156863,21673.360692501068,2.4364977,15.428371608388128,3.4180706e-05
1.2,0.0,1679912,8062,1.2931824e-07,80.82,0.1307948538011696,0.008932569,1.8,21792.411588430405,2.5340748,15.744265805908592,1.2931824e-07
1.12,0.0,1689946,8112,1.42150875e-05,84.66,0.1401963636363636,0.008933181,1.88,21920.005390882492,2.631617,16.086170193044854,1.42150875e-05
1.0350877192982457,0.0,1699796,8169,5.099233e-06,71.78947368421052,0.12741571099465837,0.008933095,1.9649122807017543,22054.355640888214,2.7292473,13.786271729099063,5.099233e-06
0.9672131147540983,0.0,1709788,8230,2.7673339e-05,66.59016393442623,0.13488718896173515,0.010174845,2.0327868852459017,22175.806756734848,2.631617,13.002572912366889,2.7673339e-05
1.14,0.0,1719870,8280,3.7587483e-06,81.24,0.14236231438812083,0.010174758,1.86,22298.831829547882,2.5340748,15.410592225541565,3.7587483e-06
1.0576923076923077,0.0,1729920,8332,4.6974437e-05,77.71153846153847,0.1493853923853924,0.010174776,1.9423076923076923,22418.111172676086,2.4364974,14.789823914681612,4.6974437e-05
1.1702127659574468,0.0,1739951,8379,2.4268087e-05,88.02127659574468,0.16324405506883602,0.008933181,1.8297872340425532,22539.705810785294,2.5340748,16.95707390636874,2.4268087e-05
1.1914893617021276,0.0,1749757,8426,6.827901e-05,88.97872340425532,0.19608857225377874,0.010174776,1.8085106382978724,22659.06840133667,2.4364974,17.217204579536553,6.827901e-05
1.2653061224489797,0.0,1759820,8475,3.9233906e-05,88.83673469387755,0.14707691306187548,0.010174758,1.7346938775510203,22770.371460676193,2.338869,17.045924846706523,3.9233906e-05
1.2941176470588236,0.0,1769887,8526,5.8332316e-05,81.82352941176471,0.12593562337215586,0.010174845,1.7058823529411764,22909.610177755356,2.241306,15.727111025561552,5.8332316e-05
1.1914893617021276,0.0,1779926,8573,1.5421549e-06,90.12765957446808,0.14553191489361703,0.010174845,1.8085106382978724,23024.038775920868,2.1436841,17.375334662928424,1.5421549e-06
1.574468085106383,0.0,1789790,8620,7.089233e-05,82.97872340425532,0.11230480252120609,0.008933181,1.425531914893617,23149.580959796906,2.241306,15.6806556790562,7.089233e-05
1.2244897959183674,0.0,1799831,8669,4.7450765e-05,84.73469387755102,0.12459086491739554,0.008933181,1.7755102040816326,23275.099548339844,2.338869,16.088872072477262,4.7450765e-05
