TimestepsSoFar,surrgain,entropy,TimeElapsed,AttC,TtR,optimgain,AttNC,Tbt,MpbtA,Ptt,Tmt,entloss,Tmc,MpbtN,MtR,EpisodesSoFar,meankl
4029845,0.004072415,0.17473647,51313.46342945099,0.1794871794871795,-65.05128205128206,0.004072415,0.8205128205128205,335661.9487179487,20.62531999634824,79.69918654821726,81.94871794871794,0.0,22.025641025641026,79.37468000365175,-35.93419409709597,19100,0.0089287525
4039896,0.0058617187,0.16923696,51418.74640965462,0.075,-67.35,0.0058617187,0.925,339148.8,18.662943748143658,80.48934250329877,82.8,0.0,21.175,81.33705625185634,-39.024818117688824,19140,0.008291121
4049917,0.0031804023,0.1421825,51525.699942827225,0.02631578947368421,-66.71052631578948,0.0031804023,0.9736842105263158,336303.15789473685,18.818675089397136,79.84356304380309,82.10526315789474,0.0,21.86842105263158,81.18132491060287,-37.78751404851056,19178,0.009300107
4059817,0.003240185,0.15719283,51630.1859703064,0.0,-68.16666666666667,0.003240185,1.0,337920.0,17.394295956095256,80.19208028182409,82.5,0.0,21.5,82.60570404390478,-37.6017725215907,19214,0.00887523
4069990,0.0054839216,0.16876751,51732.035974264145,0.0,-67.86842105263158,0.0054839216,1.0,339644.63157894736,18.131956313638046,80.66671159193618,82.92105263157895,0.0,20.973684210526315,81.86804368636196,-38.16037367558187,19252,0.010146164
4079880,0.0066101686,0.21991514,51836.46508693695,0.18421052631578946,-65.63157894736842,0.0066101686,0.8157894736842105,335656.4210526316,19.91250988847019,79.69779359008213,81.94736842105263,0.0,22.026315789473685,80.0874901115298,-37.015236778928795,19290,0.010615376
4089850,0.00954714,0.18773128,51966.3494412899,0.3673469387755102,-67.85714285714286,0.00954714,0.6326530612244898,340385.9591836735,18.43706501215044,80.81557486444821,83.10204081632654,0.0,20.816326530612244,81.56293498784959,-43.62275192937946,19339,0.007944627
4099909,0.005873717,0.20545746,52073.46703886986,0.15,-65.65,0.005873717,0.85,338432.0,20.59592864465271,80.3666767765426,82.625,0.0,21.3,79.4040713553473,-37.986436208323155,19379,0.009138091
4109984,0.0033267853,0.17929891,52189.05143880844,0.35714285714285715,-64.97619047619048,0.0033267853,0.6428571428571429,337627.4285714286,21.21417660684485,80.20021147698067,82.42857142857143,0.0,21.476190476190474,78.78582339315514,-38.48935949260659,19421,0.0070713824
4119790,0.0076191733,0.19056062,52289.45701980591,0.0,-66.51351351351352,0.0076191733,1.0,337975.35135135136,19.43781423891515,80.26689376739733,82.51351351351352,0.0,21.405405405405407,80.56218576108486,-37.85438918404164,19458,0.010752719
4129919,0.005534613,0.16330294,52397.39106464386,0.2,-64.85,0.005534613,0.8,335462.4,20.876362477514654,79.69130386825262,81.9,0.0,22.025,79.12363752248532,-36.84536254117493,19498,0.008436615
4139764,0.0050760726,0.17803867,52503.34112381935,0.16216216216216217,-65.37837837837837,0.0050760726,0.8378378378378378,335207.7837837838,20.12580383773294,79.61910079117801,81.83783783783784,0.0,22.10810810810811,79.87419616226707,-35.99845551620304,19535,0.010052925
4149963,0.0047298064,0.15963978,52609.2097864151,0.1,-67.575,0.0047298064,0.9,340172.8,18.658132106438824,80.76298840680955,83.05,0.0,20.875,81.34186789356117,-38.333594894042896,19575,0.009748224
4159762,0.0036760254,0.1605528,52717.44178175926,0.15789473684210525,-66.65789473684211,0.0036760254,0.8421052631578947,337165.4736842105,19.07478116841923,80.06163956171838,82.3157894736842,0.0,21.63157894736842,80.92521883158076,-37.959932062828564,19613,0.008490648
4169754,0.0039852476,0.15291019,52821.79732847214,0.05405405405405406,-66.67567567567568,0.0039852476,0.9459459459459459,336979.02702702704,18.96317267930113,80.01970251616726,82.27027027027027,0.0,21.675675675675677,81.03682732069888,-36.849231336127815,19650,0.008890542
4179902,0.004487378,0.18863921,52918.334277153015,0.0,-67.47368421052632,0.004487378,1.0,337812.2105263158,18.21803038371315,80.24993032797335,82.47368421052632,0.0,21.42105263157895,81.78196961628686,-37.672621107358964,19688,0.009378798
4189801,0.005105884,0.17237908,53028.03406524658,0.1951219512195122,-67.3170731707317,0.005105884,0.8048780487804879,340067.9024390244,18.938212315370432,80.70085765210911,83.02439024390245,0.0,20.951219512195124,81.06178768462955,-39.23531249621923,19729,0.009004313
4199857,0.002952951,0.1655816,53130.00673651695,0.10526315789473684,-66.55263157894737,0.002952951,0.8947368421052632,337920.0,19.330058342970325,80.21363447127499,82.5,0.0,21.473684210526315,80.66994165702968,-36.925745237280005,19767,0.008692901
4209860,0.0043654907,0.17668226,53236.820548057556,0.05263157894736842,-67.23684210526316,0.0043654907,0.9473684210526315,337488.84210526315,18.403882715792243,80.13619792761509,82.39473684210526,0.0,21.55263157894737,81.59611728420778,-38.16711794278378,19805,0.00856526
4219941,0.002733632,0.1595638,53344.08899593353,0.02631578947368421,-66.60526315789474,0.002733632,0.9736842105263158,335009.6842105263,18.621002800701433,79.6117604800982,81.78947368421052,0.0,22.105263157894736,81.37899719929858,-37.85719824760779,19843,0.007285689
