TtR,AttNC,Fce,EpisodesSoFar,TimeElapsed,AttC,entropy,meankl,optimgain,TimestepsSoFar,surrgain,MtR,entloss
91.5,1.565217391304348,0.14507093821510297,1370,1657.6907823085785,1.434782608695652,1.4054073,0.0020956674,0.0011541186,279768,0.0011541186,17.400427258559834,0.0
88.27659574468085,1.5106382978723405,0.13211560626829713,1417,1721.7938015460968,1.4893617021276595,1.4093107,0.0025703893,0.0011424668,289891,0.0011424668,16.94784203559981,0.0
75.22641509433963,1.320754716981132,0.11711857798058707,1470,1783.1480603218079,1.679245283018868,1.401132,0.0033131149,0.0010078003,299825,0.0010078003,14.413159136594711,0.0
89.1063829787234,1.4042553191489362,0.1353252734013897,1517,1842.2219302654266,1.5957446808510638,1.3979403,0.0026439987,0.0013800153,309815,0.0013800153,17.072925300518396,0.0
85.18867924528301,1.2641509433962264,0.15277002363812087,1570,1900.9603278636932,1.7358490566037736,1.4047941,0.0027303703,0.0012855734,319851,0.0012855734,16.435876622639558,0.0
87.4375,1.5,0.1402428109356046,1618,1958.7592942714691,1.5,1.4159318,0.0035303975,0.0014937457,329769,0.0014937457,17.033510368899805,0.0
85.98,1.26,0.13821623702694116,1668,2018.8150656223297,1.74,1.4156606,0.0016787513,0.0012275961,339843,0.0012275961,16.59402294770742,0.0
94.95652173913044,1.6521739130434783,0.14899975359742654,1714,2080.518090248108,1.3478260869565217,1.403162,0.0035475066,0.0012177262,349814,0.0012177262,18.289166287564974,0.0
86.67391304347827,1.565217391304348,0.11858385093167703,1760,2140.0347628593445,1.434782608695652,1.3903419,0.0050805216,0.0016537028,359840,0.0016537028,16.5992310484352,0.0
94.04651162790698,1.5116279069767442,0.1288239202657807,1803,2193.8036527633667,1.4883720930232558,1.409386,0.0019378162,0.0012663254,369881,0.0012663254,17.785476937887555,0.0
87.88636363636364,1.6136363636363635,0.11892529252925291,1847,2252.8730080127716,1.3863636363636365,1.4289457,0.0019447171,0.0011899302,379991,0.0011899302,16.77536012591985,0.0
80.51020408163265,1.346938775510204,0.14473089360465125,1896,2314.593491792679,1.653061224489796,1.4409202,0.0014916542,0.00084624044,389844,0.00084624044,15.369671904256698,0.0
87.0,1.553191489361702,0.12706806605923673,1943,2374.295648574829,1.446808510638298,1.4383914,0.0056900526,0.0014613947,399884,0.0014613947,16.712053846294705,0.0
81.46666666666667,1.6888888888888889,0.11580875420875424,1988,2430.1503047943115,1.3111111111111111,1.4431065,0.0010829417,0.0015542267,409925,0.0015542267,15.77023311046151,0.0
91.07142857142857,1.8095238095238095,0.12926984126984128,2030,2483.9265010356903,1.1904761904761905,1.4503268,0.0008488372,0.0009364268,419929,0.0009364268,17.65392970952608,0.0
89.8695652173913,1.5869565217391304,0.12552306199841254,2076,2538.2301120758057,1.4130434782608696,1.455444,0.0031111802,0.0013963009,429997,0.0013963009,16.83635419846444,0.0
81.12765957446808,1.574468085106383,0.1667184771783962,2123,2603.1319723129272,1.425531914893617,1.4472562,0.0052170786,0.001052002,439824,0.001052002,15.2952552935311,0.0
87.8,1.6444444444444444,0.1299798242098052,2168,2661.2152647972107,1.3555555555555556,1.450204,0.00159767,0.0011247543,449756,0.0011247543,17.187753310609956,0.0
74.72727272727273,1.2727272727272727,0.12182353580890286,2223,2717.728059530258,1.7272727272727273,1.4708256,0.0025615066,0.0013022197,459988,0.0013022197,14.433430295243136,0.0
77.07272727272728,1.1272727272727272,0.14752058422708078,2278,2779.9065279960632,1.8727272727272728,1.4585327,0.003178828,0.0010480589,469983,0.0010480589,14.682852050471528,0.0
88.40425531914893,1.297872340425532,0.13850098761113447,2325,2837.850012779236,1.702127659574468,1.4649636,0.004917708,0.0016852061,479804,0.0016852061,17.208985942967143,0.0
88.625,1.4375,0.14838888888888888,2373,2898.8191125392914,1.5625,1.4605721,0.00478191,0.0015375976,489830,0.0015375976,16.95751421058038,0.0
88.81395348837209,1.627906976744186,0.12072727272727277,2416,2954.4398119449615,1.372093023255814,1.4712005,0.0030483257,0.0007305168,499895,0.0007305168,16.858367595131266,0.0
87.06976744186046,1.7674418604651163,0.11955068012286091,2459,3013.072456598282,1.2325581395348837,1.4650005,0.0025720915,0.00020533065,509952,0.00020533065,16.69381413976229,0.0
89.23255813953489,1.627906976744186,0.11897674418604655,2502,3068.1256985664368,1.372093023255814,1.4454784,0.0018454061,0.0013378426,519959,0.0013378426,16.873122971316636,0.0
73.27659574468085,1.8085106382978724,0.10229787234042559,2549,3132.048427581787,1.1914893617021276,1.4510388,0.0038163173,0.00046702678,530000,0.00046702678,14.07316740440459,0.0
82.70454545454545,1.3863636363636365,0.1205348288075561,2593,3181.528899669647,1.6136363636363635,1.4549906,0.0060712695,0.0006420563,539775,0.0006420563,15.67867092474977,0.0
89.66666666666667,1.5333333333333334,0.15060544224155692,2638,3238.9001846313477,1.4666666666666666,1.4545463,0.0057053366,0.0014616841,549761,0.0014616841,17.12350455439338,0.0
89.85714285714286,1.7380952380952381,0.11980952380952381,2680,3306.4025416374207,1.2619047619047619,1.453894,0.0036922474,0.0011094859,559767,0.0011094859,16.99611673776626,0.0
86.45454545454545,1.6136363636363635,0.11770707070707069,2724,3358.1440529823303,1.3863636363636365,1.4409938,0.005386806,0.0013413157,569779,0.0013413157,16.60277200978304,0.0
80.42553191489361,1.5106382978723405,0.11599646524715905,2771,3420.6568636894226,1.4893617021276595,1.4448243,0.005415613,0.0011155935,579832,0.0011155935,15.479436177126725,0.0
71.15217391304348,1.7826086956521738,0.09486956521739134,2817,3477.946351289749,1.2173913043478262,1.4465425,0.0043642335,0.0012919492,589854,0.0012919492,13.489554666700146,0.0
81.38297872340425,1.5106382978723405,0.1219306703634147,2864,3530.967223882675,1.4893617021276595,1.4349482,0.006508027,0.0020488957,599955,0.0020488957,15.696786311469644,0.0
92.325,1.75,0.12310000000000001,2904,3591.363358736038,1.25,1.462488,0.001269604,0.0005631672,609955,0.0005631672,17.7823824898065,0.0
87.825,1.8,0.11857777777777781,2944,3653.2310523986816,1.2,1.4653434,0.0028437795,0.00065104576,619822,0.00065104576,16.900409795828658,0.0
75.3125,1.4791666666666667,0.13023918620607358,2992,3704.0978498458862,1.5208333333333333,1.4760771,0.005872376,0.0015245382,629780,0.0015245382,14.56050303718223,0.0
90.54545454545455,1.5681818181818181,0.14621212121212118,3036,3762.1173746585846,1.4318181818181819,1.4678591,0.005362855,0.0011792063,639798,0.0011792063,17.177138144850492,0.0
80.6086956521739,1.6956521739130435,0.12446075663466968,3082,3816.5095534324646,1.3043478260869565,1.4767296,0.0025069998,0.00097223715,649834,0.00097223715,15.451440783184397,0.0
89.33333333333333,1.4444444444444444,0.1336809642316889,3127,3882.8228526115417,1.5555555555555556,1.4858509,0.005373771,0.0016564692,659977,0.0016564692,17.35488850492463,0.0
80.75510204081633,1.4489795918367347,0.12150086858395188,3176,3937.9484283924103,1.5510204081632653,1.477817,0.0034892405,0.0006957924,669883,0.0006957924,15.56595738360474,0.0
82.29545454545455,1.5681818181818181,0.13236363636363638,3220,3995.8034982681274,1.4318181818181819,1.4859711,0.0034305078,0.00028479157,679887,0.00028479157,15.776206632256883,0.0
86.45454545454545,1.6818181818181819,0.12440211099761661,3264,4047.940499305725,1.3181818181818181,1.450928,0.0035998607,0.00044774273,689987,0.00044774273,16.436774073035988,0.0
89.925,2.0,0.1199,3304,4116.333540439606,1.0,1.4562622,0.0016296408,0.00097427634,699987,0.00097427634,17.19298308298908,0.0
88.28571428571429,1.8095238095238095,0.12094038423450193,3346,4171.825194358826,1.1904761904761905,1.4886138,0.0036049497,0.0007516479,709956,0.0007516479,16.587291839865955,0.0
90.27272727272727,1.6818181818181819,0.12787144739318654,3390,4227.697519779205,1.3181818181818181,1.5022771,0.0034848058,0.00070678303,719943,0.00070678303,17.396096916118708,0.0
90.66666666666667,1.511111111111111,0.16951111111111106,3435,4281.627222061157,1.488888888888889,1.4942653,0.00073283113,0.00077777123,729952,0.00077777123,17.023123259305393,0.0
83.0,1.6222222222222222,0.1390254992319509,3480,4342.729631900787,1.3777777777777778,1.5115079,0.0032608279,0.001086807,739754,0.001086807,15.655571116774397,0.0
87.125,1.3958333333333333,0.11870689655172416,3528,4406.909148931503,1.6041666666666667,1.5137157,0.0026015071,0.0005342499,749814,0.0005342499,16.466471124170152,0.0
92.93333333333334,1.4444444444444444,0.1327049615653389,3573,4464.839802503586,1.5555555555555556,1.5025628,0.0061167977,0.001361206,759993,0.001361206,17.611000150772636,0.0
88.8409090909091,1.3181818181818181,0.1637272727272727,3617,4517.519996881485,1.6818181818181819,1.4964508,0.001502354,0.0004256083,769758,0.0004256083,16.768751291104874,0.0
81.48837209302326,1.8604651162790697,0.1318139534883721,3660,4579.405799865723,1.1395348837209303,1.5011872,0.012301674,0.0009241706,779767,0.0009241706,15.38291910638313,0.0
89.47826086956522,1.5434782608695652,0.145092530657748,3706,4636.178617954254,1.4565217391304348,1.5291727,0.0013121073,0.00061714073,789835,0.00061714073,17.22033545814971,0.0
93.27272727272727,1.5454545454545454,0.13527340407871383,3750,4698.353542566299,1.4545454545454546,1.5410239,0.004111109,0.00078355003,799760,0.00078355003,17.580753051480176,0.0
89.93877551020408,1.510204081632653,0.13690886186124282,3799,4751.3113124370575,1.489795918367347,1.5436926,0.0019022326,0.000970458,809967,0.000970458,17.253516026689944,0.0
82.17647058823529,1.1372549019607843,0.1338370297775878,3850,4810.21088218689,1.8627450980392157,1.552525,0.0024106095,0.00075206807,819928,0.00075206807,15.988930735914705,0.0
87.25531914893617,1.4680851063829787,0.1511650310963969,3897,4868.943329811096,1.5319148936170213,1.5529436,0.0060915747,0.0010711222,829894,0.0010711222,16.88122706917708,0.0
96.20454545454545,1.5909090909090908,0.1370144284128746,3941,4933.539316415787,1.4090909090909092,1.5534754,0.00411448,0.00081968383,839970,0.00081968383,18.34127298256325,0.0
95.5609756097561,1.9024390243902438,0.1274146341463415,3982,4986.69228219986,1.0975609756097562,1.5800755,0.0026252645,0.0008035488,849979,0.0008035488,18.11609725853962,0.0
88.04651162790698,1.5348837209302326,0.1257252612748329,4025,5045.373263120651,1.4651162790697674,1.5571312,0.0010255608,0.00091877644,859777,0.00091877644,16.76855959340043,0.0
84.44680851063829,1.7446808510638299,0.1291608074747485,4072,5102.763946533203,1.2553191489361701,1.5642067,0.0064379475,0.00046168567,869964,0.00046168567,16.359784852090364,0.0
85.46511627906976,1.744186046511628,0.1189354005167959,4115,5167.7011160850525,1.255813953488372,1.5822436,0.0006269306,0.00045778631,879975,0.00045778631,16.259725443455366,0.0
85.9090909090909,1.6590909090909092,0.1181693537461049,4159,5231.26039481163,1.3409090909090908,1.5858476,0.0024097208,0.00062796404,889858,0.00062796404,16.118747933481426,0.0
93.0,1.7804878048780488,0.12400000000000004,4200,5283.915397167206,1.2195121951219512,1.6003832,0.0055067604,0.0011719022,899861,0.0011719022,17.812067564316596,0.0
