surrgain,EpisodesSoFar,AttNC,entloss,Ptt,Tbt,TimestepsSoFar,MpbtN,Tmc,Tmt,meankl,AttC,MpbtA,entropy,TtR,TimeElapsed,MtR,optimgain
0.0027302012,7876,1.5208333333333333,0.0,74.21626621380837,311808.0,1199868,53.79978311370012,27.9375,76.125,0.0077372296,1.4791666666666667,46.20021688629989,0.23832154,-122.875,19014.753613471985,-25.415867749714792,0.0027302012
0.0016639862,7924,1.9583333333333333,0.0,73.67193996264477,309248.0,1209889,52.81305104714267,28.5,75.5,0.0073403474,1.0416666666666667,47.18694895285733,0.20355822,-119.8125,19130.01388859749,-25.201264212433045,0.0016639862
0.0022187158,7971,2.74468085106383,0.0,72.80171583075204,305631.3191489362,1219877,51.300890139887464,29.4468085106383,74.61702127659575,0.008692668,0.2553191489361702,48.699109860112536,0.24594444,-114.70212765957447,19244.222316265106,-24.479944475520515,0.0022187158
0.0025485326,8019,2.0416666666666665,0.0,73.70919987304268,309418.6666666667,1229993,50.91089223343602,28.458333333333332,75.54166666666667,0.009473457,0.9583333333333334,49.089107766563984,0.23228247,-115.3125,19357.065158605576,-24.19185955211394,0.0025485326
0.003163257,8063,1.7954545454545454,0.0,74.02135875510778,310923.63636363635,1239778,56.638817446228856,28.136363636363637,75.9090909090909,0.008589201,1.2045454545454546,43.36118255377112,0.1963989,-129.3409090909091,19467.480566978455,-26.04312872086068,0.003163257
0.0023804686,8110,2.1914893617021276,0.0,73.51400094436177,308681.5319148936,1249831,52.346894135625185,28.680851063829788,75.36170212765957,0.008015204,0.8085106382978723,47.65310586437484,0.21745127,-118.34042553191489,19580.650406599045,-24.55622216658472,0.0023804686
0.002177332,8157,1.9148936170212767,0.0,72.70355807013037,305369.87234042556,1259826,51.096818517380115,29.574468085106382,74.55319148936171,0.008832399,1.0851063829787233,48.903181482619885,0.22892243,-114.19148936170212,19694.8156645298,-23.94127626333379,0.002177332
0.0032682503,8206,1.7959183673469388,0.0,74.19294987668556,311713.9591836735,1269811,53.8849432610112,27.959183673469386,76.10204081632654,0.008269099,1.2040816326530612,46.11505673898882,0.20996581,-123.0,19811.11693763733,-25.860534244541,0.0032682503
0.0034958618,8253,2.021276595744681,0.0,74.88710221464778,314694.8085106383,1279821,53.80472701209512,27.21276595744681,76.82978723404256,0.008029503,0.9787234042553191,46.19527298790489,0.20368096,-124.2127659574468,19924.967794656754,-25.894536701331695,0.0034958618
0.0031673443,8300,2.0,0.0,74.21733280141511,311818.89361702127,1289779,53.9119690752771,27.93617021276596,76.12765957446808,0.008137189,1.0,46.0880309247229,0.17292477,-123.38297872340425,20043.303882598877,-25.66357766834631,0.0031673443
