optimgain,AttC,AttNC,TimeElapsed,TtR,entloss,MtR,entropy,Tmt,Tmc,Tbt,MpbtN,EpisodesSoFar,TimestepsSoFar,meankl,MpbtA,surrgain,Ptt
0.003991636,1.3181818181818181,1.6818181818181819,10471.538084030151,-135.27272727272728,0.0,-26.861871281187813,0.32468328,76.6590909090909,27.363636363636363,313995.63636363635,58.771711783904216,4312,429841,0.004114923,41.228288216095756,0.003991636,74.73778058195218
0.004014676,1.4883720930232558,1.5116279069767442,10589.681846857071,-129.62790697674419,0.0,-26.2192296942569,0.3262213,75.79069767441861,28.25581395348837,310438.6976744186,56.92358164373601,4355,439762,0.00313875,43.076418356263986,0.004014676,73.9104237963667
0.0036609333,1.4222222222222223,1.5777777777777777,10704.741827964783,-126.86666666666666,0.0,-26.114471483402,0.32101732,75.6,28.444444444444443,309657.6,55.955345705108336,4400,449969,0.0034658834,44.044654294891664,0.0036609333,73.73331160505413
0.004411067,1.5227272727272727,1.4772727272727273,10820.173022985458,-131.79545454545453,0.0,-26.90676432464436,0.32174316,75.75,28.272727272727273,310272.0,57.877905931079404,4444,459888,0.004476395,42.122094068920596,0.004411067,73.88638940570439
0.004828468,1.511111111111111,1.488888888888889,10936.448549509048,-129.8,0.0,-26.995227015275127,0.32634786,76.2,27.844444444444445,312115.2,56.71791283679579,4489,469978,0.0038905472,43.282087163204224,0.004828468,74.29548217175314
0.004631213,1.6363636363636365,1.3636363636363635,11051.315225601196,-131.3181818181818,0.0,-26.64142652936488,0.31931633,75.11363636363636,28.931818181818183,307665.45454545453,58.350605606984644,4533,479909,0.0038126202,41.64939439301532,0.004631213,73.27767576435465
0.0038237518,1.6666666666666667,1.3333333333333333,11167.405793428421,-131.33333333333334,0.0,-27.034506745497715,0.32938647,76.73333333333333,27.31111111111111,314299.73333333334,57.006469319438104,4578,489908,0.002451977,42.99353068056189,0.0038237518,74.79123430955275
0.0046465658,1.8222222222222222,1.1777777777777778,11285.189308404922,-133.26666666666668,0.0,-27.479938698428057,0.31863335,75.95555555555555,28.044444444444444,311113.9555555555,58.399570779129036,4623,499914,0.0036647338,41.60042922087097,0.0046465658,74.09320438644319
0.005397284,1.5,1.5,11401.61853146553,-127.8913043478261,0.0,-26.340527007824836,0.3466179,75.6086956521739,28.391304347826086,309693.2173913043,56.33093178168285,4669,509956,0.004827546,43.669068218317136,0.005397284,73.77129872632668
0.0054699243,1.9111111111111112,1.0888888888888888,11514.710242986679,-129.33333333333334,0.0,-26.306570913399607,0.34875897,76.24444444444444,27.755555555555556,312297.2444444444,56.40301887208582,4714,519946,0.0047477754,43.596981127914184,0.0054699243,74.36236281129376
0.004299789,1.7777777777777777,1.2222222222222223,11629.841682434082,-133.2,0.0,-27.36908543296892,0.3323093,75.86666666666666,28.155555555555555,310749.86666666664,58.47500728909401,4759,529883,0.003561679,41.52499271090598,0.004299789,73.99931010857773
0.0037968927,1.6444444444444444,1.3555555555555556,11742.952372312546,-125.33333333333333,0.0,-25.45092772945923,0.32158607,74.95555555555555,29.11111111111111,307017.9555555555,55.67336044654503,4804,539925,0.0032515833,44.326639553454974,0.0037968927,73.11653447256407
0.004338009,1.5909090909090908,1.4090909090909092,11854.946205854416,-127.36363636363636,0.0,-25.97019226575462,0.32396853,76.13636363636364,27.90909090909091,311854.54545454547,55.7724369327159,4848,549818,0.0036541596,44.2275630672841,0.004338009,74.2346489915083
0.005877283,1.2222222222222223,1.7777777777777777,11969.468938827515,-125.4,0.0,-26.419074527942495,0.33726636,76.15555555555555,27.844444444444445,311933.15555555554,54.90238381551445,4893,559805,0.0059680208,45.09761618448556,0.005877283,74.28182611297076
