EpisodesSoFar,meankl,TimestepsSoFar,MtR,optimgain,AttNC,surrgain,TimeElapsed,entloss,AttC,entropy,TtR,Fce
9438,0.007674762,2069811,19.209028884756652,0.0050766296,0.975609756097561,0.0050766296,6241.6935312747955,0.0,0.024390243902439025,-0.11056804,33.53658536585366,0.13414634146341461
9478,0.0073274416,2079811,20.931148876666732,0.006230341,1.0,0.006230341,6269.8703491687775,0.0,0.0,-0.06673776,36.9,0.14759999999999998
9518,0.007981674,2089811,20.416513017583608,0.0052379402,1.0,0.0052379402,6298.320623397827,0.0,0.0,-0.061354097,35.675,0.14270000000000002
9559,0.006713706,2099812,20.794506776223884,0.004006998,0.975609756097561,0.004006998,6326.62002158165,0.0,0.024390243902439025,-0.06193006,35.951219512195124,0.14380487804878048
9599,0.005653827,2109812,20.63127801152995,0.0043185013,1.0,0.0043185013,6355.095589160919,0.0,0.0,-0.049943894,36.0,0.14400000000000004
9640,0.006300647,2119813,20.007236394764696,0.004624823,0.975609756097561,0.004624823,6383.6827919483185,0.0,0.024390243902439025,-0.02592681,35.073170731707314,0.1402926829268293
9680,0.008395987,2129813,21.749209252379263,0.0044911955,1.0,0.0044911955,6412.246733188629,0.0,0.0,-0.015995026,37.575,0.1503
9722,0.0065548033,2139815,20.56895309867819,0.0036414764,0.9523809523809523,0.0036414764,6440.166911840439,0.0,0.047619047619047616,-0.043474067,36.19047619047619,0.14476190476190476
9762,0.0064104255,2149815,21.460326114391204,0.004317041,1.0,0.004317041,6468.805208683014,0.0,0.0,-0.06300888,37.725,0.15089999999999998
9802,0.006552681,2159815,22.63925768162025,0.004297342,1.0,0.004297342,6497.118701696396,0.0,0.0,-0.04207424,39.525,0.15810000000000005
9842,0.007539558,2169815,21.76838522841589,0.0051819426,1.0,0.0051819426,6525.484834194183,0.0,0.0,-0.040620662,37.75,0.15100000000000002
9883,0.006185412,2179816,21.723242590529672,0.003605916,0.975609756097561,0.003605916,6553.876533746719,0.0,0.024390243902439025,-0.017274857,38.609756097560975,0.15443902439024393
9923,0.006449802,2189816,21.574150081287275,0.004683823,1.0,0.004683823,6583.002371788025,0.0,0.0,0.00072824955,37.55,0.1502
9963,0.0073958244,2199816,21.36191921921188,0.005480574,1.0,0.005480574,6610.781542301178,0.0,0.0,-0.020044612,37.85,0.1514
10005,0.0060526174,2209838,20.816192390738962,0.0032575089,0.9523809523809523,0.0032575089,6638.908094167709,0.0,0.047619047619047616,-0.033170886,36.666666666666664,0.14898245614035088
10045,0.0069803437,2219838,20.406258686304874,0.0030394776,1.0,0.0030394776,6667.745879888535,0.0,0.0,-0.05324416,35.825,0.1433
10086,0.00623973,2229839,21.417778272650235,0.0030050569,0.975609756097561,0.0030050569,6695.755372047424,0.0,0.024390243902439025,-0.026901187,37.68292682926829,0.15073170731707314
10127,0.007917436,2239954,21.593963564446483,0.0049029784,0.975609756097561,0.0049029784,6725.294947862625,0.0,0.024390243902439025,-0.034828365,37.36585365853659,0.151983032873807
10167,0.006085533,2249954,20.558201082607056,0.0037653493,1.0,0.0037653493,6752.882786512375,0.0,0.0,-0.046342354,35.75,0.143
10208,0.006386621,2259971,20.078556506107287,0.0043269778,0.975609756097561,0.0043269778,6779.356266736984,0.0,0.024390243902439025,-0.019929865,35.951219512195124,0.14781635581061695
10250,0.005914775,2269999,20.646272927607633,0.0040924135,0.9523809523809523,0.0040924135,6807.637699604034,0.0,0.047619047619047616,-0.03160782,35.595238095238095,0.1509551656920078
10291,0.007992592,2280000,20.940405603271785,0.0047888407,0.975609756097561,0.0047888407,6834.610741376877,0.0,0.024390243902439025,-0.006292343,36.26829268292683,0.14507317073170733
10333,0.00553492,2289753,19.550865500537352,0.0029540015,0.9285714285714286,0.0029540015,6862.729220628738,0.0,0.07142857142857142,0.0067557725,34.095238095238095,0.13638095238095238
10373,0.007008752,2299753,21.552089585624365,0.0032342025,1.0,0.0032342025,6889.790873527527,0.0,0.0,-0.039045293,37.6,0.15040000000000003
10414,0.005741823,2309754,19.98854664931376,0.0040104887,0.975609756097561,0.0040104887,6916.910894870758,0.0,0.024390243902439025,-0.029291153,35.73170731707317,0.14292682926829267
10454,0.006762542,2319754,21.937595063583366,0.003132463,1.0,0.003132463,6944.033205986023,0.0,0.0,-0.037099797,38.375,0.15350000000000003
10495,0.007949251,2329755,21.91129647079076,0.0039249086,0.975609756097561,0.0039249086,6972.215516328812,0.0,0.024390243902439025,-0.072718546,38.48780487804878,0.15395121951219512
10536,0.0060147913,2339756,20.839683049322968,0.0034833325,0.975609756097561,0.0034833325,6999.428471803665,0.0,0.024390243902439025,-0.06509631,36.390243902439025,0.1455609756097561
10576,0.005909887,2349756,21.026515529002523,0.0043458296,1.0,0.0043458296,7027.225318193436,0.0,0.0,-0.068660736,37.275,0.14910000000000004
10619,0.008305436,2359769,19.4111098135627,0.0044332338,0.9302325581395349,0.0044332338,7054.229794025421,0.0,0.06976744186046512,-0.084225796,33.883720930232556,0.13755602536997882
10662,0.006903795,2369874,19.700370505331165,0.0048265634,0.9302325581395349,0.0048265634,7082.1752688884735,0.0,0.06976744186046512,-0.0864522,34.325581395348834,0.14492670573803637
10703,0.007483339,2379875,21.020785097969863,0.004384018,0.975609756097561,0.004384018,7109.954692363739,0.0,0.024390243902439025,-0.07242999,37.09756097560975,0.14839024390243902
10743,0.007640228,2389875,21.958909810862163,0.0047940444,1.0,0.0047940444,7136.686893939972,0.0,0.0,-0.07499662,38.775,0.1551
10783,0.0076260497,2399875,20.765964688921724,0.0049098968,1.0,0.0049098968,7164.566583633423,0.0,0.0,-0.058547877,36.65,0.14659999999999995
10824,0.005438954,2409876,21.75488456039364,0.0025301673,0.975609756097561,0.0025301673,7191.698105812073,0.0,0.024390243902439025,-0.06516151,38.58536585365854,0.15434146341463414
10867,0.004618982,2419955,19.50803801871695,0.0033604524,0.9302325581395349,0.0033604524,7219.084923744202,0.0,0.06976744186046512,-0.0852556,34.04651162790697,0.14028618294982448
10911,0.0070925993,2429989,21.480053260051843,0.005191055,0.9090909090909091,0.005191055,7246.774791240692,0.0,0.09090909090909091,-0.06780353,37.54545454545455,0.16504252610134962
10952,0.007807587,2439996,22.105594510006508,0.005819655,0.975609756097561,0.005819655,7274.058767318726,0.0,0.024390243902439025,-0.08616363,38.51219512195122,0.15743554006968644
10992,0.007603688,2449761,20.841438775301146,0.00457471,0.975,0.00457471,7300.402004241943,0.0,0.025,-0.105753824,36.625,0.15276666666666672
11035,0.0073586944,2459904,20.329823725687866,0.005283475,0.9302325581395349,0.005283475,7327.513085126877,0.0,0.06976744186046512,-0.12625064,35.627906976744185,0.15241544318018088
11075,0.0058867736,2469904,23.218798844936792,0.00462878,1.0,0.00462878,7355.66249704361,0.0,0.0,-0.118880406,40.975,0.16390000000000002
11115,0.007846554,2479904,22.540855386193023,0.004886634,1.0,0.004886634,7381.992996454239,0.0,0.0,-0.14070667,39.575,0.1583
11158,0.006067626,2489792,20.105978753286138,0.0038698527,0.9069767441860465,0.0038698527,7409.783155679703,0.0,0.09302325581395349,-0.15397897,35.116279069767444,0.14857789300439095
11204,0.007853217,2499814,20.395241025666284,0.0048267273,0.8260869565217391,0.0048267273,7436.31734752655,0.0,0.17391304347826086,-0.1408235,35.23913043478261,0.16708344972012829
11246,0.00602212,2510000,23.19815417084278,0.0052401884,0.9523809523809523,0.0052401884,7463.843610525131,0.0,0.047619047619047616,-0.14316337,40.54761904761905,0.16607922695705502
11289,0.0029465018,2519984,21.142846143780808,0.0019509861,0.9069767441860465,0.0019509861,7491.247720241547,0.0,0.09302325581395349,-0.13973516,36.55813953488372,0.15220460250120896
11331,0.0057404716,2529801,21.609143192891814,0.0029107705,0.9285714285714286,0.0029107705,7517.677371501923,0.0,0.07142857142857142,-0.116760306,37.57142857142857,0.15581613608489311
11375,0.006765306,2539983,21.218984771775734,0.004728407,0.9090909090909091,0.004728407,7546.742648839951,0.0,0.09090909090909091,-0.10668546,37.34090909090909,0.1606706315491362
11415,0.006621772,2549776,22.778809298227085,0.0044257017,0.975,0.0044257017,7573.69891500473,0.0,0.025,-0.10945875,39.825,0.16315116279069772
11455,0.0060769427,2559776,22.806537482317975,0.0035618804,1.0,0.0035618804,7601.6534152030945,0.0,0.0,-0.12927246,39.975,0.15990000000000004
11495,0.005589016,2569776,22.571409489654304,0.003844304,1.0,0.003844304,7629.089038610458,0.0,0.0,-0.1470851,39.25,0.15699999999999997
11536,0.0064533777,2579797,21.830900614165188,0.004753468,0.975609756097561,0.004753468,7658.131058454514,0.0,0.024390243902439025,-0.10777285,38.170731707317074,0.15800232288037172
11578,0.007989485,2589863,21.985419831857033,0.005696454,0.9523809523809523,0.005696454,7685.073990821838,0.0,0.047619047619047616,-0.11816091,38.333333333333336,0.15712820512820516
