TimestepsSoFar,Tbt,surrgain,TimeElapsed,Tmc,TtR,optimgain,MtR,Ptt,AttNC,meankl,entloss,entropy,MpbtN,EpisodesSoFar,AttC,Tmt,MpbtA
399939,236643.09677419355,0.0015986026,15327.390326023102,47.33870967741935,-155.32258064516128,0.0015986026,-10.728936616316199,56.338419804278765,2.225806451612903,0.0031660486,0.0,0.35565102,26.946625179919696,4058,7.774193548387097,57.774193548387096,73.0533748200803
409909,242639.2380952381,0.001740874,15632.596974611282,45.82539682539682,-176.66666666666666,0.001740874,-12.15845074082578,57.74600418861238,1.9841269841269842,0.005259187,0.0,0.3389537,29.57432987449164,4121,8.015873015873016,59.23809523809524,70.42567012550835
419970,239814.1935483871,0.0019121387,15956.741513252258,46.483870967741936,-161.29032258064515,0.0019121387,-11.379718315607144,57.11010235336679,2.7580645161290325,0.00523469,0.0,0.3729853,27.423121011800376,4183,7.241935483870968,58.54838709677419,72.57687898819961
429944,246540.19047619047,0.0009797195,16276.709127426147,44.84126984126984,-183.33333333333334,0.0009797195,-12.253109334365314,58.6584112175916,1.6666666666666667,0.0017838703,0.0,0.36961624,30.363437800198387,4246,8.333333333333334,60.19047619047619,69.63656219980162
439961,246327.13846153847,0.0016941406,16606.5506567955,44.89230769230769,-168.15384615384616,0.0016941406,-11.501389013840516,58.61246362194195,1.8,0.004629907,0.0,0.33534437,27.76796059943261,4311,8.2,60.13846153846154,72.2320394005674
449916,240428.6984126984,0.0013108641,16935.98454618454,46.36507936507937,-148.0952380952381,0.0013108641,-10.6821781127294,57.23593780864841,2.126984126984127,0.0037480837,0.0,0.3707161,25.270535759405618,4374,7.873015873015873,58.698412698412696,74.72946424059438
459933,245952.0,0.0015733651,17285.18604040146,45.046875,-173.90625,0.0015733651,-11.801389751044926,58.49205795666074,1.984375,0.0047518043,0.0,0.33770743,28.829602402659344,4438,8.015625,60.046875,71.17039759734064
469995,241597.93548387097,0.0016020684,17613.311708450317,46.04838709677419,-155.6451612903226,0.0016020684,-10.835775425939103,57.521318216821314,2.532258064516129,0.0048179924,0.0,0.34797153,26.37076750408066,4500,7.467741935483871,58.983870967741936,73.62923249591934
479962,240321.04918032786,0.0011880945,17962.157659053802,46.377049180327866,-151.31147540983608,0.0011880945,-10.538795051359457,57.21878214266963,3.7540983606557377,0.0043356917,0.0,0.31093326,25.68926848367581,4561,6.245901639344262,58.67213114754098,74.31073151632417
489928,239483.87096774194,0.0016881274,18302.086046218872,46.58064516129032,-160.0,0.0016881274,-11.587684857136411,57.02618163772478,3.661290322580645,0.004295545,0.0,0.3707661,27.43482621505246,4623,6.338709677419355,58.46774193548387,72.56517378494753
499972,240474.83870967742,0.0010551404,18644.966804742813,46.37096774193548,-149.83870967741936,0.0010551404,-10.635203512891925,57.24006781095674,3.274193548387097,0.0026657244,0.0,0.37522367,25.538815055424564,4685,6.725806451612903,58.70967741935484,74.46118494457545
509916,250516.64516129033,0.0014257907,18967.904574394226,43.83870967741935,-159.51612903225808,0.0014257907,-11.017833113089543,59.590357732135516,3.161290322580645,0.0036672486,0.0,0.35412952,26.05766527716011,4747,6.838709677419355,61.16129032258065,73.94233472283989
519897,244462.93333333332,0.0016909643,19305.51441669464,45.35,-162.33333333333334,0.0016909643,-10.909849374739569,58.179866729554114,3.3,0.004861812,0.0,0.32536745,26.905568016168356,4807,6.7,59.68333333333333,73.09443198383164
529847,236762.22950819673,0.001488869,19600.73805165291,47.31147540983606,-143.11475409836066,0.001488869,-10.253840884652178,56.364429394302974,3.901639344262295,0.004033006,0.0,0.31348476,24.68800385068332,4868,6.098360655737705,57.80327868852459,75.31199614931668
539996,238955.35483870967,0.0011483902,19883.09315609932,46.70967741935484,-146.4516129032258,0.0011483902,-10.338500146678657,56.90239965232127,4.193548387096774,0.0032220867,0.0,0.30625144,25.0166804647348,4930,5.806451612903226,58.33870967741935,74.9833195352652
549902,239946.32258064515,0.0010705082,20201.540932893753,46.516129032258064,-154.19354838709677,0.0010705082,-11.146787152226624,57.11047403888751,4.741935483870968,0.003579804,0.0,0.32744423,26.339019255414478,4992,5.258064516129032,58.58064516129032,73.66098074458552
559888,247640.131147541,0.0018121589,20513.75827741623,44.540983606557376,-165.7377049180328,0.0018121589,-11.46732566664062,58.92792780747248,4.377049180327869,0.0042331493,0.0,0.31843436,27.29280903259177,5053,5.622950819672131,60.459016393442624,72.70719096740821
569848,242899.3015873016,0.0016327582,20855.226111888885,45.73015873015873,-147.3015873015873,0.0016327582,-10.586047924676762,57.8227205735508,3.7936507936507935,0.0051745893,0.0,0.32004035,24.797146906730116,5116,6.2063492063492065,59.301587301587304,75.2028530932699
579829,238933.33333333334,0.0016847302,21196.13258433342,46.74242424242424,-166.36363636363637,0.0016847302,-12.054237945486772,56.884291696719195,2.4545454545454546,0.0056159585,0.0,0.3090774,28.311071627842647,5182,7.545454545454546,58.333333333333336,71.68892837215733
589966,243549.46031746033,0.0013832501,21536.48825120926,45.58730158730159,-165.0793650793651,0.0013832501,-11.654619105444247,57.96305357181004,3.1904761904761907,0.0026147175,0.0,0.31015188,27.804333320607288,5245,6.809523809523809,59.46031746031746,72.19566667939272
599894,236787.80952380953,0.0019001896,21885.526522874832,47.285714285714285,-144.28571428571428,0.0019001896,-10.528077593050563,56.38283260751157,4.301587301587301,0.0049755694,0.0,0.35026905,24.97327937058117,5308,5.698412698412699,57.80952380952381,75.02672062941882
609925,247587.44615384616,0.002080138,22227.270913362503,44.58461538461538,-173.69230769230768,0.002080138,-11.44210682032261,58.90011332717101,1.5384615384615385,0.0065123662,0.0,0.33588994,28.53148553195135,5373,8.461538461538462,60.44615384615385,71.46851446804864
619964,245888.0,0.0018545483,22572.04357814789,44.96875,-176.5625,0.0018545483,-11.848994659663164,58.52523757093256,1.640625,0.005252893,0.0,0.3162949,29.222468688098242,5437,8.359375,60.03125,70.77753131190177
629839,237766.1935483871,0.0012591137,22895.926892995834,47.03225806451613,-140.16129032258064,0.0012591137,-10.087347786430419,56.61394105980481,3.7903225806451615,0.0027998756,0.0,0.32282066,24.128681765547494,5499,6.209677419354839,58.04838709677419,75.8713182344525
639965,234560.0,0.0017641486,23225.047528266907,47.875,-139.375,0.0017641486,-9.8003701939416,55.84560923551867,3.5,0.0050595826,0.0,0.30795127,24.26734438875782,5563,6.5,57.265625,75.73265561124221
